#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	phoR//ispE//
Ada-Methylated_pos	idnR//cueO//phoP//puuC//
AlaS-L-alanine_neg	nirC//
AllS-allantoin_pos	ilvE//betA//putP//
AraC-L-arabinose_neg	edd//amiB//fadI//hofO//evgA//fepD//fhuC//lsrF//
AraC-L-arabinose_pos	cpxR//oxc//gspG//rbsB//ansB//cydD//metH//acrB//ykgM//gntT//
ArcA-Phosphorylated_neg	talA//rhaS//tfaQ//fecC//purC//mntS//comR//abgB//argB//mutL//nrfF//dadA//fucA//gspK//znuA//casA//ilvC//csgE//astC//ilvX//nrfE//ydhU//actP//napG//csiD//hybB//pepT//sufD//dsdX//ompW//glnG//ydeP//alaT//yfeW//puuA//hdeA//fnr//gspC//codA//ycdZ//torC//iraM//malE//rnlB//skp//phnF//hmp//fdnI//hemA//ilvY//mhpT//bglG//ppiD//thrS//gltW//cyaR//cydD//malM//hdeA//hdeA//pheT//fecA//fdnH//araB//yfdX//oxyR//purK//malQ//fimF//glpF//psd//marA//aroG//rrfC//lrp//hflC//phnD//dsdC//bioC//rnhB//alkA//ackA//grpE//dcuR//araA//phoU//mglB//fimE//iclR//murP//deoA//yegH//agp//exbD//gspH//rrlH//ackA//phoQ//thrV//hypE//aroA//nrdI//gatC//glpE//envY//yccA//purN//glpG//gspF//fhlA//nagC//hybE//gabP//ftnB//dpiB//ompR//purF//cheZ//cusR//fimE//oppD//baeR//mhpR//sucA//glpX//gltU//putP//
ArcA-Phosphorylated_pos	feoC//frdC//fucR//ydeM//nrdG//ilvB//mhpE//oppC//ydiU//yecR//fepC//uxuB//cpxA//hlyE//hemA//ulaC//atoA//rutF//ptsI//puuB//glcD//ulaD//hyfC//priB//creB//glpE//lacI//phnE_2//sucB//rbsK//sodB//nrdB//qseC//agaV//ssrS//rplD//gltW//gltV//yfaE//ileU//cheA//ynfF//ydfH//gatC//fecC//argD//nupC//phoB//fecD//ilvX//dppD//rpsF//prpB//entA//rcnB//sucC//sohB//fbaA//
ArgP-L-arginine_neg	pta//
ArgP-L-arginine_pos	cysA//fdnH//hybO//yibN//phnH//aroL//oppF//allE//tap//yebE//ssuE//ygbA//artJ//appA//napD//
ArgR-L-arginine_neg	ilvM//napA//sufA//ydeM//nikR//oppD//lamB//arfB//livM//xylG//bglB//cysH//lysA//fimC//sufA//ssb//icd//sbmA//phoH//agaA//cynR//sucA//pgpC//agaV//nupC//fepB//hyaB//atoA//rbsK//lamB//sufA//spf//hyfG//purL//
ArgR-L-arginine_pos	fhuC//ulaE//ykgR//cyoB//motA//
AtoC-phosphorylated_pos	ilvB//rrlE//grxD//ynfH//
BaeR-Phosphorylated_pos	sucD//hycD//cusC//speA//rpsI//mtlR//gspJ//pgk//
BirA-bio-5'-AMP_neg	qseC//fucK//dppA//uxuB//metY//
CRP-cAMP_neg	glpA//ydiU//ydbD//folE//ivbL//ebgC//cysD//fimD//metA//nanT//rrlB//pgaA//fnrS//nrdD//frdD//ycjF//livK//xylH//phnI//pstS//dnaA//rbsD//miaA//aer//bcsZ//katG//hycE//glpC//trpL//fecB//fimC//lrp//dpiA//manA//hydN//acrD//ompT//cydD//ydhW//rrlC//ompA//purR//gspG//cytR//ugpQ//glpD//yaiW//pgaB//galK//hybA//adiC//mhpE//rrfB//trpL//infC//arcA//pta//envY//phnD//borD//pgaA//abgA//modC//argE//bdcA//asr//fau//hybA//ahpF//bioD//gpmA//rimM//gapA//cra//mntS//speB//pyrC//sucC//cydB//sodB//pyrC//gspE//speC//rbsR//cvpA//trxA//nuoL//rpsQ//entC//araJ//fhuF//envY//hycH//cpxA//pstS//guaA//rpsS//acnA//aldB//kbaZ//glpQ//nikB//ycjX//dctA//moeB//yedX//trg//ompX//frdA//ubiA//psiE//rrsB//fepD//dsdC//arfB//argB//malE//ssuA//metQ//feaR//hybD//rpoH//metB//melA//sbmA//rrlG//hyfB//tdcA//uhpB//prmC//astA//ybiT//cynT//
