#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	mglC//srlB//
Ada-Methylated_pos	hyaD//leuE//aceA//sbmC//
AlaS-L-alanine_neg	rnpB//
AllS-allantoin_pos	lldP//glpE//ydeM//
AraC-L-arabinose_neg	nrfC//rcnA//acrB//marA//ackA//fiu//argD//yeiP//
AraC-L-arabinose_pos	rrfB//malZ//lysC//ssuC//fecD//dcuS//deoA//fixB//hypD//rutF//
ArcA-Phosphorylated_neg	puuC//rrsA//sufA//casA//xapA//xylH//tauA//cysU//ubiC//rutE//tauA//livJ//rpsF//purA//nanM//ampE//mutL//purK//oxyR//gyrA//tnaB//metF//feaR//yggX//cusS//mdtB//cadA//abgA//metF//dsdA//atoA//nikC//purM//pagP//glpR//ygiA//rplP//tauD//ssrS//modB//dnaA//dpiA//gspF//lacZ//cpxR//livM//ppdD//caiT//yaeQ//metL//tadA//zraS//rplM//caiD//manY//hfq//mutL//csgC//rhaR//fimG//hybB//nikE//nlpE//yhjC//bcsZ//cydC//aroM//cdd//envY//nanA//mzrA//yaeQ//ybfN//tauB//idnO//rstA//caiE//ascF//ansB//lrp//cheR//garL//ydeJ//fadI//aroG//xylB//ccmC//purA//bglB//deoC//xapB//ygiA//fecI//gntP//folE//puuP//manZ//caiF//ccmG//prpD//nuoG//yhhY//ppdD//astC//casE//rmf//cheY//marR//fimE//codA//ldtB//metJ//alaV//ubiX//zinT//rstB//ompC//hdeA//mhpR//agaA//nikC//sbcC//narQ//feoC//feoB//rpsC//dsbA//
ArcA-Phosphorylated_pos	artP//iscU//feoC//idnO//trpE//ycjX//metK//fucR//nirD//fimD//gcvH//cysP//fau//sufE//ompT//gntT//osmC//ilvN//rplT//entH//mutY//metQ//purB//prmC//ada//iraD//serA//lysU//rutE//ppiA//carA//ilvG_2//malQ//ugpQ//metL//zraR//fau//yoaG//ulaB//fliA//psiE//mdh//galE//prmC//acs//uxuA//atoB//chbF//rutB//xdhA//rnpB//dadX//glnL//yecR//purN//glnL//nrdD//tauA//
ArgP-L-arginine_neg	rrfB//
ArgP-L-arginine_pos	nagA//mhpA//glpR//citG//ykgR//edd//lldD//argH//sucD//artJ//artI//cpxR//appC//ihfA//hdeD//
ArgR-L-arginine_neg	glrR//evgS//nirC//rpmC//gcvT//ygeH//fldA//fucP//aroH//ydhW//malQ//psd//cydC//gabT//uxaB//ilvA//oppF//gltW//nikA//pstA//iscS//betI//truB//cadC//upp//yojI//nadC//yrbL//adiC//hycG//ynfK//rimM//aroA//cysC//
ArgR-L-arginine_pos	narI//ilvY//yoaC//speA//dppF//
AtoC-phosphorylated_pos	rpsC//lysO//priB//chbG//
BaeR-Phosphorylated_pos	avtA//bglB//nrfE//rutF//dcuS//ulaC//glpR//ydfH//
BirA-bio-5'-AMP_neg	ssuE//glgS//ndh//ccmE//grxC//
