#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cysH//glyA//
Ada-Methylated_pos	rplC//argT//cynR//rpsI//
AlaS-L-alanine_neg	tolC//
AllS-allantoin_pos	znuA//puuB//hycF//
AraC-L-arabinose_neg	mcaS//hycG//polA//fhuC//trpA//araF//yhiD//yggX//
AraC-L-arabinose_pos	psd//bamA//gltF//citD//ykgO//lysU//purC//yjjZ//bglG//agaV//
ArcA-Phosphorylated_neg	araC//oppA//mglA//mtlA//hyfB//nanK//pgpC//uxaC//rrsC//purL//yeiB//bioB//yebE//mgtA//gabT//rrlG//cusC//treR//ynfK//paaE//hemA//truB//aaeA//idnD//paaG//metE//treR//alkB//ahpC//ydeJ//paaB//cheZ//nuoC//tolC//efeU_1//casD//yqjI//lsrB//argC//lysU//nikR//pstC//artI//gltV//gcvH//csgG//guaB//malY//nrdB//lsrR//rrlH//alaS//exbB//ptsG//uidC//caiF//thrS//ybdN//torA//entE//uof//hyfA//xapB//lpxB//frdB//torA//narH//livJ//glnB//aldA//cvpA//gcvT//argG//glpT//rrsE//pyrD//znuA//pstC//fecA//rpsC//rplW//caiE//speC//ahpC//nuoM//araC//agaA//ccmF//nfuA//mhpA//metF//exbB//ppiA//oppF//cusS//aceF//guaA//glpQ//moeA//fecE//gntX//fdnH//pta//hycH//emrK//aaeR//trpB//moaB//agaV//prs//pyrD//thrV//cydB//araD//dsdC//nrfB//rnlA//mzrA//yoaC//fucI//hyaA//nlpD//acrE//fhuD//hpt//gspG//puuP//
ArcA-Phosphorylated_pos	lysP//abgA//uof//dadA//mhpE//lysP//alaT//hupB//priB//alaS//rrlD//ubiX//rrsH//rprA//rpsI//citC//znuA//pgk//safA//aaeB//aceA//avtA//yggX//tadA//narJ//amtB//csgG//narG//rseA//araH//glpX//cusR//deoD//pgaA//rrlB//yfaE//ccmD//pepT//dsbA//zraP//cysM//rplW//osmY//hofP//livJ//purM//lysU//napD//casA//moeA//tnaA//zinT//waaH//aspC//galE//garP//rplS//cpxA//
ArgP-L-arginine_neg	mdtD//
ArgP-L-arginine_pos	lsrR//hemL//ugpE//aldA//ychO//ychO//speB//ybjG//glnK//ccmG//ftnA//cysJ//katG//grcA//gntK//
ArgR-L-arginine_neg	cspD//metR//rutG//yhjC//moaE//nuoK//dnaA//glnD//fadH//cyoD//mdtB//safA//osmY//exbB//ppiD//sucC//hemA//casB//proP//cusC//ygbA//dppF//cheR//bcsB//emrK//hypC//csiE//xseA//ydeJ//carA//uxuA//acrA//dmsC//moaA//
