#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	metA//tdcC//
Ada-Methylated_pos	modC//fixA//hdeB//abgT//
AlaS-L-alanine_neg	focB//
AllS-allantoin_pos	nuoM//mtlD//betB//
AraC-L-arabinose_neg	rrfA//nanS//entF//rseB//folA//idnT//hycC//oppD//
AraC-L-arabinose_pos	citE//nuoG//caiC//aaeR//metL//gspJ//xdhA//dcuS//purA//rhaR//
ArcA-Phosphorylated_neg	cvpA//bcsA//uof//ilvD//tyrA//yrbL//rpoE//sohB//entB//chbA//cusS//xdhC//gntK//hybA//modA//trpD//glnD//evgS//gutM//fadB//aceB//sufB//yaiW//dps//malF//ampE//chbC//casB//skp//hyfF//cysB//atoE//yfiP//manA//metY//cyoC//hyaC//pagP//manY//metQ//yaeP//araC//cbl//ykgR//truB//rrsD//ahpF//avtA//sbmC//rplT//betA//xdhC//entS//puuC//hyfF//fepG//dsdA//pepT//uhpB//uxaA//cueO//narK//fumB//yecR//rrsA//atoE//rhaT//mscM//cusC//ulaA//ileT//speA//caiA//ilvN//ccmH//pgk//yqjI//xylF//baeS//prpC//nikB//csgB//eda//rpoE//fliA//hflX//xylB//comR//nagE//garP//ung//cynT//hfq//oppC//dcuD//moaA//leuE//preT//sucB//rnhB//modA//rseC//fucU//sdhC//allC//hycF//gspL//dsdC//entD//chbA//gdhA//crp//dppD//sucA//fimI//borD//trpR//tnaC//agaW//pdhR//ilvB//glcE//argG//soxS//yaeP//rrfF//fadL//
ArcA-Phosphorylated_pos	cydB//glcE//psiE//xylB//mltC//yfdX//katE//cysI//argI//uxuA//ilvN//araE//ftnB//fabZ//tadA//moaE//pflB//prs//rplC//rpsO//rbsK//phnM//rrlG//rnlA//exbD//arcZ//fecE//entB//lpxD//fecD//ydeA//betB//aer//livH//ugpE//gspG//sufB//fis//metA//aroH//uidC//rrfC//rhaA//csgA//lsrA//hslJ//iscR//aceE//exbD//tnaC//malM//hofN//metK//trpB//cheB//ubiC//cydD//xapA//
ArgP-L-arginine_neg	argP//
ArgP-L-arginine_pos	pdhR//hyfH//tdcA//rutG//rutD//astD//cpxA//feaB//ccmF//ulaC//nuoI//ompX//yojI//lrp//yciW//
ArgR-L-arginine_neg	metQ//atoB//ompT//casD//metC//napF//hyaD//prpB//prpR//ccmH//glnD//nrfG//putP//hyfF//rutG//ccmA//yhcH//hyfR//trpE//tehA//dppC//pepT//yfbR//nikD//cysM//hofM//oppC//rpoE//mgrB//fumA//cynR//lolB//waaH//yrbL//
ArgR-L-arginine_pos	fumC//ompX//zinT//tap//ccmF//
AtoC-phosphorylated_pos	idnO//fliA//aroL//yiaJ//
BaeR-Phosphorylated_pos	speA//rcnB//ychH//puuB//ycjX//pgaC//tdcG//cas2//
BirA-bio-5'-AMP_neg	soxR//abgA//dnaN//garP//dpiA//
CRP-cAMP_neg	zntA//gspH//ilvD//folE//hypC//serC//garK//ampD//xapB//feoA//ompW//fumC//rrfB//cspE//ompT//nupG//yrbL//csiE//modA//ldtC//livK//dpiA//gspD//cysJ//flhC//trpC//metY//tap//rbsC//manX//narQ//grxD//fur//cysH//hisM//nuoH//ileV//norW//gspL//soxS//dcuA//tnaB//yjeF//tpx//ompT//torD//amtB//glgA//ytfE//nrfA//talA//rnpB//cysI//tdh//spf//nuoN//hypF//oppF//araF//tauB//ogt//metR//tauB//atoD//rrlH//xdhA//rrsH//paaZ//cadA//glpR//tnaC//argG//nrdF//evgA//cysK//rrsC//nuoA//cysI//ilvD//ybfN//rimM//ssuC//rrsA//glcC//pgk//sxy//gcd//idnT//psiF//ilvE//gltA//glgX//ccmD//rrsG//ompA//idnR//gltD//ccmC//agaA//nrdB//moaA//agaA//rnlA//pheT//entS//rhaT//tsx//nanA//ydfN//narI//mlc//efeU_2//dsdC//mhpC//hybB//sroD//pgaD//mntH//sufC//yneM//rbfA//rrsG//cvpA//ompT//fecA//napC//tsx//fimH//rrlE//eda//norV//hdeB//fixX//
