#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cyoE//fadJ//
Ada-Methylated_pos	cynT//bglF//hofM//xseA//
AlaS-L-alanine_neg	prpE//
AllS-allantoin_pos	sbcD//sdhB//gltB//
AraC-L-arabinose_neg	hisJ//hycF//iclR//gpmA//rpsC//phoA//sbmC//aldA//
AraC-L-arabinose_pos	hisP//yjeV//yfdE//rhaB//hflD//ccmE//aroA//yeiW//artJ//preA//
ArcA-Phosphorylated_neg	sodB//cusS//secB//nirD//ilvY//argP//yegR//csgF//gspH//stpA//avtA//sbmC//araE//cydD//gspO//focA//rpsQ//dsdX//ykgR//pgpC//iscS//nuoB//fucK//aroH//nrfB//garP//lsrF//entF//rrfH//alaU//zraP//cdd//malI//caiE//gntK//livF//caiE//sdhC//lsrK//cspD//xapA//tsr//xylR//aidB//iscR//dcuB//grpE//oppF//modB//ahpF//yggX//cheB//rrlA//zntA//dmsB//ccmB//allE//hyfF//phnE_1//rplS//abgT//aceA//nmpC//rhaD//pncB//nanE//araD//nrdA//nrdE//fepA//purC//hpt//leuE//thrS//ynfG//gspK//xylB//fecB//gspE//prpC//hycE//lysA//norW//tnaC//fecD//fixC//ilvI//yfbR//gdhA//ccmF//hyfC//galE//rutD//bglB//modB//katG//rbsR//rseB//entA//creD//hisP//carA//evgA//atoE//yjeV//rpmC//nanM//ugpB//yjeV//glnL//dppC//fucP//zraR//baeS//iscR//acrD//avtA//metK//galE//fepC//purF//fadL//yedX//cspE//torR//tcyJ//ackA//
ArcA-Phosphorylated_pos	artP//oppF//argT//trxA//moaD//gltD//iscS//uidB//mhpA//srlA//ynfE//rrlC//iscS//tdh//rnlA//thrV//rplT//aaeR//csgA//acrF//yeaR//rplI//ilvI//tonB//yhfA//alaT//dps//rrsA//fdnI//hyfH//ybfN//narG//entB//bamE//argE//pitB//nagB//ispE//rpmC//hyaB//feoC//hycF//fucR//focA//dcuS//adiC//rpoS//sucA//fdnH//tktB//uhpT//tsx//napG//gltW//glpB//cpdB//yqjA//paaC//
ArgP-L-arginine_neg	narJ//
ArgP-L-arginine_pos	katG//lamB//cysU//spf//hycG//aroA//araH//dusB//sdhD//cheA//hyfC//umpH//murP//caiC//mglB//
ArgR-L-arginine_neg	fadD//qseC//agp//uraA//nuoB//nuoM//nupG//torA//rplT//nrdE//yfaE//lysP//yecR//sxy//hycA//paaJ//nikD//ygeH//evgS//trxA//glmY//pitB//rrfB//lsrC//sroD//alkB//cynX//ampD//nagA//dapD//srlB//artQ//mdh//artJ//
ArgR-L-arginine_pos	yciW//rnlA//cusC//yeaE//livG//
AtoC-phosphorylated_pos	nuoM//metN//glnA//dcuC//
BaeR-Phosphorylated_pos	gntU//rrsG//srlR//ynfH//sohB//gltF//cueO//dadX//
BirA-bio-5'-AMP_neg	ftnB//gdhA//aceF//rrfA//tauB//
