#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fur//phnN//
Ada-Methylated_pos	hofB//cspD//ydeJ//hslJ//
AlaS-L-alanine_neg	grpE//
AllS-allantoin_pos	umpH//hyaA//rrsA//
AraC-L-arabinose_neg	atoE//cvpA//ynfF//phnE_2//ybdN//fepA//galS//nanE//
AraC-L-arabinose_pos	metI//nohA//glcB//fucK//psd//gcvT//atoB//gadB//pgaA//rstB//
ArcA-Phosphorylated_neg	araA//cas2//cas1//trmD//hypE//cvpA//hycF//tsaE//purE//nuoA//acrD//uidA//gntR//glpQ//fhuE//napD//deoC//uxaC//pyrC//metY//phnH//puuC//cysA//mgrR//agp//betB//csgE//oxc//ulaA//cynT//hdeB//caiD//ompC//aspC//aidB//ppiA//cysD//bacA//lysP//fau//hha//nrdF//dmsB//sufC//zraP//livK//aspA//aspA//gntX//amiB//hofN//yeaD//csiE//ebgA//dpiA//trg//bioB//dmsB//paaH//argA//yjjZ//gltB//cydC//rof//mhpT//phoA//alkA//mgrR//hisQ//bacA//yjcH//proP//caiE//glgB//ynfK//oppD//aroA//livM//glyA//znuA//narJ//ydhY//srlA//leuE//aldB//idnR//garK//csgB//rbfA//ygiB//deoD//adiC//fimI//ackA//iclR//tar//baeS//cynS//chbR//narJ//mhpF//ccmE//caiC//nrfD//caiD//nirB//gcvP//ykgO//alaS//mscM//dpiA//mdtA//citX//nuoK//gspC//arcZ//fucR//rplD//aldB//lysU//rpsS//rrlD//dmsA//hyfE//narX//yggX//artP//
ArcA-Phosphorylated_pos	kbaZ//ccmG//lysU//appY//yqjA//focB//ompR//betT//hypC//ptsI//crp//mhpB//fhlA//dcuR//glgS//rplB//infB//xapB//metK//bioF//cysP//tdcA//fimF//rplM//zraP//trg//aceF//cyoC//yccA//fadD//glpD//alaA//ccmG//glcD//appB//galK//xylR//gltU//torC//garK//baeS//tnaC//nirD//caiF//ugpC//pgk//uhpC//folA//tsgA//phnP//copA//efeU_1//glpG//appA//lacI//mcaS//hyaD//rimM//
ArgP-L-arginine_neg	rpsJ//
ArgP-L-arginine_pos	paaH//safA//prs//thrS//glgA//bacA//aceK//ilvG_1//avtA//yccA//hofB//acrE//mzrA//nuoC//phnE_2//
ArgR-L-arginine_neg	ssuE//cueO//qseC//uxaA//casC//fiu//mgrB//fepD//epd//ilvD//mgrR//iscS//bioB//casC//fucP//rhaD//yhjA//rrlC//argA//ompX//fadA//caiD//bglB//araB//nuoN//glgP//mepH//rnlB//caiB//dapD//fdhF//hfq//nadC//codB//
ArgR-L-arginine_pos	metB//rof//nirB//cyaR//ubiG//
AtoC-phosphorylated_pos	rutC//degP//chbA//aceF//
BaeR-Phosphorylated_pos	fau//ampD//hycD//pdeF//mltC//trpE//frdA//puuB//
BirA-bio-5'-AMP_neg	rbsC//rprA//oppB//preA//argF//
CRP-cAMP_neg	csiE//fecD//galT//mzrA//galK//yegH//caiD//tdcD//cysW//rcnA//caiC//nikC//katG//fadJ//caiT//appC//adhE//cytR//xylH//hisJ//gntP//grxC//ubiX//phnE_2//gltV//srlA//idnD//fhuC//xdhC//acrD//glnD//rhaB//mdtA//patZ//agaV//fucU//moeB//ascB//bcsA//moaD//arcA//iscA//thrV//pheT//purL//gutM//cusR//fimH//mntH//dppF//hypB//narJ//nuoL//citC//ynfE//gltD//aroP//malS//talA//crl//carB//sucD//fadJ//malT//nrdH//idnO//hypC//tam//emrY//malT//fdnI//bioF//rpsP//cusR//aceF//modA//nuoJ//rseC//hyfI//nlpD//alaU//fixX//fadD//ompR//rhaD//glgX//speC//ytfE//iraD//rrsA//guaA//aceA//puuB//tauA//fepB//metL//dnaN//ulaC//pgaD//slyB//mgrR//cysC//hofN//prs//rrlC//rprA//artI//ahpC//sufB//ydfH//nuoC//fhuC//nrfF//efeU_2//rhaD//chbB//nac//mdtA//tauA//nanS//rutD//yjiY//putP//abgA//atoE//dsdA//prpR//hybE//hypB//ryhB//paaF//nrdG//priB//
