#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	dnaA//nrdI//
Ada-Methylated_pos	oppD//galM//malX//rplS//
AlaS-L-alanine_neg	fhuD//
AllS-allantoin_pos	pstB//srlA//fucP//
AraC-L-arabinose_neg	feaB//manA//ygeH//galK//epd//ubiG//dsbA//aceF//
AraC-L-arabinose_pos	livG//nrdG//fimE//upp//feoB//deoA//dnaE//oppB//mdtD//yiaJ//
ArcA-Phosphorylated_neg	garP//hycH//araC//secB//rrsG//rplC//dgcZ//rrsG//argO//entC//tdcF//zraR//phnC//paaH//aldB//guaA//fhuB//ynfE//puuD//araB//dppF//gspH//phoU//gatA//fucU//phoA//sdhA//acnB//sucC//feoA//fimF//dppC//cysG//znuA//skp//uxaA//ilvA//napH//ivbL//tauB//casD//dppD//pitA//casA//hycE//gatD//pdhR//rbfA//gspC//yccA//uof//hslJ//ydeM//rplT//bioD//puuE//fadJ//sbmC//yqjA//chbF//lsrG//ompC//yjjZ//cheA//ileV//rhaT//caiF//hyfR//actP//ssuA//ybdZ//miaA//narH//recF//ubiG//iscA//casA//sufS//yneM//gntX//exbB//alaA//puuA//glcD//yfaE//argR//argH//rbsB//pstB//ugpQ//rnlB//fepB//dppD//casD//yegR//paaE//phnE_1//tauC//rrfH//cbl//xapB//mglC//hybG//exbB//fadL//uhpC//metH//uxuA//csgC//ygiC//appY//sucD//sufE//trxA//uhpB//purR//mgtA//mhpC//nanM//bioB//glpE//gcvH//ybdN//galE//gcvH//waaH//dps//
ArcA-Phosphorylated_pos	ilvI//xseA//hycB//astE//arcZ//ilvH//rpsQ//metN//nrfF//mpl//flhC//galM//glpX//metB//acrF//soxS//phnJ//uidA//idnK//yqjA//tauA//sufC//fdnI//xylR//ldtB//sbmA//aceE//sdhA//mhpC//hycA//modC//dadA//puuC//aroP//hyaE//paaK//sufD//ydeN//ilvC//mntP//glnA//ilvN//cadC//rplS//glnA//rplV//tdcG//livM//casA//cynS//ompX//rplM//yciW//pflB//fimF//hupB//alaA//fhuE//
ArgP-L-arginine_neg	phoA//
ArgP-L-arginine_pos	yaiA//phnD//znuA//nuoG//emrY//ilvH//rplV//zntA//tar//appY//bhsA//cspE//asr//lysA//crl//
ArgR-L-arginine_neg	uof//lrp//fucU//ynfF//stpA//moaE//ygeA//zraR//tauD//cynT//codA//aceA//lacI//spy//narJ//ccmG//tdcC//cysI//glpA//fldA//xdhA//araD//hyfH//lpxD//casD//focB//rseA//rbsC//rutD//mdtD//yeaR//hofN//katE//lpxB//
ArgR-L-arginine_pos	deoD//rhaS//mepH//casC//ybdZ//
AtoC-phosphorylated_pos	nrdB//pstS//pncB//dgcZ//
BaeR-Phosphorylated_pos	frdA//puuP//nrfG//oxc//tyrA//trpL//fadL//comR//
BirA-bio-5'-AMP_neg	xylA//alkA//yeiB//citX//rrfF//
CRP-cAMP_neg	caiD//pyrD//secB//rseB//gspJ//argI//livF//amiB//bcsZ//lpxA//ogt//spf//hypD//fiu//hofC//chbR//iscA//pheT//fliA//betA//ynfH//dppD//fdnI//marR//sxy//priB//rdoA//hypB//patZ//malI//rutA//araB//glgX//cysU//rhaT//qseB//hofM//pgaB//artJ//glrR//hemL//pnp//uxaC//aaeR//hdeA//hofP//phoB//gltW//chbR//phnI//xylR//bdcA//gspL//thrV//dusB//atoB//nrfE//glpG//fnrS//nac//hupA//cusA//ydeN//arfB//metQ//hypC//bioA//frdA//lldD//tnaB//acnB//carA//rrlD//garK//glcG//hyaD//narQ//avtA//rnlA//cydD//murQ//cas1//tam//paaI//hybA//oppF//argA//gdhA//glgB//mglA//nupC//nrdA//phnI//paaE//csgC//mhpF//rpsI//lsrC//ysgA//nuoF//fepD//tyrB//borD//ptsH//purK//mzrA//pagP//purA//zinT//hycH//atoB//tnaA//ebgA//nirB//cyoE//nrfG//fadL//hyaC//ybdZ//hemL//glpE//gutQ//iraD//yaeP//tdcA//phnJ//nrfG//ybfN//astB//yqjI//abgT//ldtC//tnaC//
