#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	tdh//norV//
Ada-Methylated_pos	nuoC//sbmA//pagP//rrsG//
AlaS-L-alanine_neg	nadC//
AllS-allantoin_pos	pdhR//cas2//dmsA//
AraC-L-arabinose_neg	fadJ//zraS//erpA//sufE//astB//lysU//znuC//gspH//
AraC-L-arabinose_pos	glpF//edd//chbF//fimD//dsdC//grpE//motB//tsx//agp//alaA//
ArcA-Phosphorylated_neg	emrK//carB//lpxD//tdh//acrE//ampD//cysP//gcvT//borD//yiaJ//mcaS//citC//ubiA//pstB//fixX//yccA//dppC//yeaD//ulaC//bioF//ftnA//fepG//ompC//hupB//rutG//nikB//tdcD//srlE//eda//hcp//mdtC//yaeQ//galK//rrsD//ssuA//gntX//gcd//yhcH//grpE//speB//ubiC//ubiX//narI//adhE//tdcA//glmY//ampE//xapA//gatB//modA//nrdE//rseB//lrp//yebE//malZ//srlR//dsdX//yiaJ//cynT//nikR//rutE//bglG//phnO//sufC//lacA//ilvL//upp//nanA//nrdE//ydfH//cysM//hflX//yegH//xdhC//oppD//fadE//pnp//atoD//cusB//rpsQ//hycB//mcaS//udp//ilvG_1//icd//nlpD//nanK//ubiX//hpt//rrfH//malG//yhjC//mntP//fixC//creB//hdeA//cydC//tsaE//glcB//nanT//prs//lysC//ychO//argG//proP//ung//ssb//purD//hyfR//moaC//dpiB//treB//phnF//edd//gabD//gntT//gltB//tdcF//acnA//murQ//marR//glpG//narJ//paaD//gpsA//allD//uxuR//
ArcA-Phosphorylated_pos	lpd//ilvX//polA//citD//hyfH//pncB//purH//raiA//gspD//fadH//glgA//rutB//ileU//galT//mglB//astD//ilvB//yebE//uxaB//araJ//ompX//ydbD//araG//garK//uidA//gabD//erpA//crr//glgP//nikR//metN//evgA//phoH//srlA//cyoC//glpA//hcr//trpR//malQ//lsrG//cusB//rbsR//dapB//fecD//cysP//hflD//arcZ//narQ//ilvD//hypB//gntP//lsrC//speB//gadB//cyoC//appC//tdcG//ptsH//
ArgP-L-arginine_neg	alaV//
ArgP-L-arginine_pos	chbR//gspO//cyaR//tauC//hyfI//aldA//hybF//xylF//hisQ//hyaE//manA//ilvM//ubiX//hyfH//katG//
ArgR-L-arginine_neg	nrdB//cirA//metL//cysU//miaA//yfdV//hycI//rplT//phnI//rpsQ//nanT//sbcD//caiT//aroF//mhpB//casB//oppA//pflB//ynfG//sdhC//cyoC//ompR//napC//atoE//rutB//efeU_1//ulaF//ilvM//ampD//gntT//idnK//melB//nrdE//hofM//
