#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	glcE//dmsA//
Ada-Methylated_pos	entC//fepC//uof//gpmA//
AlaS-L-alanine_neg	rpoS//
AllS-allantoin_pos	nanT//treB//hyfE//
AraC-L-arabinose_neg	uxaA//nikR//araJ//cysH//araD//hyfD//aceF//dmsC//
AraC-L-arabinose_pos	feaR//phoA//emrY//hemL//yjiY//galS//glcG//garP//trxA//gcd//
ArcA-Phosphorylated_neg	yhfA//ssuB//yoaG//nrfF//dusB//chbC//gspL//tomB//yqjI//hycB//hycC//artI//alaT//pdeF//mcaS//iraM//hofN//nanA//aceA//modB//ilvN//rrlG//mipA//hyaF//moaA//pstS//nrdA//nagA//mtlR//hfq//ccmA//cusF//pagP//gntT//sufA//dppF//fadL//aroF//rybB//speB//cydC//ulaE//betI//efeU_2//ompC//rmf//fadA//ydhU//ugpC//gpsA//malQ//marR//nanS//paaJ//cusA//caiD//hofC//glgC//pgaD//aroP//trpE//sufD//yjiY//umpH//psd//ulaC//uidB//preT//gspG//nanS//nuoI//tdcF//gspH//mipA//ampD//nfuA//lldR//rnlA//yfaE//fiu//mpl//trpE//gabP//zwf//yfaE//ssb//tehA//astC//fecR//gatY//cysP//nuoM//uxuA//glnB//purC//yeaR//yebE//rrsB//nikA//ycdZ//ynfF//speB//acnB//hemL//cyoC//yqjI//yhjA//yqjI//cheA//puuE//rybA//dmsB//crl//epd//gspH//mntP//hemL//gcd//gcvT//rpsS//ilvD//ung//rrfB//napC//fucO//yqaE//dusB//
ArcA-Phosphorylated_pos	glnK//bioC//aaeB//rrfC//rpsQ//phoB//mntP//rutD//sufS//nuoA//csgE//motB//katG//nuoB//ssuA//bglG//bcsA//narX//marA//rnpB//actP//bioA//lsrC//uxuR//rplC//artI//bioD//fimH//amn//uhpC//nuoC//fepC//casC//narK//cusS//mhpT//hycF//tap//bglF//glpD//glmY//lldD//rpoE//rplD//cysJ//yoaC//araG//rstA//sodA//nrdH//nrdA//mlc//tsgA//iscA//phnN//norR//iscR//ynfH//
ArgP-L-arginine_neg	purH//
ArgP-L-arginine_pos	ispE//csiD//psiE//hha//cysC//trpL//hyaC//hyfR//cyoA//garK//eda//mlc//nrdH//napF//paaC//
ArgR-L-arginine_neg	trmD//ybdN//cynS//agaV//cysC//puuR//rhaT//sufS//gspH//lacI//gspL//sbmC//phoE//hyfE//manA//betT//guaB//pyrC//pyrD//napA//cysC//ydhT//galT//gapA//tyrR//fadH//hflC//modC//creB//ung//asr//nuoM//rplW//caiB//
