#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nlpE//mhpA//
Ada-Methylated_pos	bhsA//arfB//moeA//acnA//
AlaS-L-alanine_neg	agaW//
AllS-allantoin_pos	moeB//psiF//tadA//
AraC-L-arabinose_neg	infC//garL//nagA//hupA//narI//citE//narX//phnG//
AraC-L-arabinose_pos	uraA//qseB//alaS//zraS//dadX//araH//xylR//nohA//znuC//ybfN//
ArcA-Phosphorylated_neg	oppA//araH//argO//lysO//tauC//purC//pgaA//bglB//rplT//moaA//csgE//uraA//glpF//cspD//hyaB//asr//fhlA//bcsC//priB//fimA//gltU//tyrA//nagC//envZ//rplS//ppiA//dppB//fdnH//phnP//gabD//exbD//araD//hdeA//csgC//ydhU//phnM//srlR//pck//trpD//spy//leuE//artM//hyaF//uhpT//dcuD//bioD//nuoH//yeaD//paaK//rpsO//guaA//cusB//fimC//gltV//sroD//cyaR//kbaZ//phoU//deoC//argP//mtlD//phoU//nuoG//lldD//glnD//ydhX//aceA//pgaD//nagB//patZ//rrlG//rpoH//idnK//rplD//araC//phoB//hofO//nuoN//glgS//moaA//hyaC//fecI//rimP//tam//bglB//aldB//hcp//alaU//nanM//pagP//entB//rhaT//nuoB//yeaR//modB//gntK//phnH//rseA//citD//argG//fepE//ydeA//hybC//gdhA//prpD//speC//ilvG_1//dnaE//citX//creA//citG//ykgO//acrE//lldR//ileU//sucD//cysM//acrA//caiT//araH//fecA//malE//yggX//cspE//yaeQ//mcaS//rutA//
ArcA-Phosphorylated_pos	flhD//kbl//dctA//lsrB//fadI//srlE//cspE//malS//tauD//ynfH//dcuR//nrfG//efeU_1//prpC//acnB//bacA//ssuE//tdcF//nuoM//trpE//ftnB//glpR//rbsB//ydeO//acs//iraM//ilvC//grpE//iscU//fepA//glcF//hyfC//cydD//zraP//yjcH//hyfH//aceE//efeU_2//rimM//gadC//ygeH//paaJ//idnT//cydB//ydhW//ubiC//tdcD//xylF//narL//treR//rdoA//carB//ccmA//galE//ydeO//ulaC//mzrA//lolB//
ArgP-L-arginine_neg	artQ//
ArgP-L-arginine_pos	araF//gntT//prpR//malI//galK//epd//yhfA//caiE//frdD//purL//lysA//tauB//mltC//ulaF//dcuR//
ArgR-L-arginine_neg	yaeP//ygeA//qseB//ssuD//glpQ//purD//ompT//fadI//entA//rrsG//yjjZ//pta//fadI//abgA//ygbA//yojI//fimA//hyfG//rrlB//trpL//spy//rplT//cpdB//hyaF//hflD//waaH//lsrK//ybdZ//uidC//amiB//pnp//argE//casB//treB//
ArgR-L-arginine_pos	betB//paaG//trpD//caiA//ubiA//
AtoC-phosphorylated_pos	ydhX//ung//aroG//cysA//
BaeR-Phosphorylated_pos	ccmC//fucR//envZ//ulaF//fhuC//cvpA//pheS//sufB//
BirA-bio-5'-AMP_neg	lsrG//gatD//ybdZ//napA//bioF//
CRP-cAMP_neg	glrR//cysC//hycI//cspD//garL//cas2//cheZ//trpD//purM//treC//napC//folE//ahpC//rybA//ubiC//rpsR//fepC//argH//gntX//araA//mgtA//trxA//galK//uof//garP//pheM//nrfB//gapA//fliZ//gatC//hlyE//mgrR//malI//gntT//ydeM//gltF//borD//bglB//acrD//ynfE//betB//rhaD//moaE//mhpE//raiA//srlD//glnL//rof//rrsE//prs//puuB//yedX//glcD//fhuB//cheA//phoE//prmC//nuoN//nirB//zraP//hisJ//cspD//ung//hofM//cysH//yfaE//nrfD//ilvY//codA//lacI//pitB//ygbA//metH//ssuA//hcr//hcp//paaZ//nrfD//yaeQ//prfA//glcA//ompF//melR//argI//gspM//hcp//crr//ahpC//flhD//yaeP//aidB//ryhB//fucR//sucA//dsdC//cysJ//metE//sufE//fhuE//envY//alaS//nuoK//yneM//codA//zraP//prfA//cyaR//treC//lsrC//caiD//aaeX//ydeA//melA//glcB//ssuC//ychO//frdC//phnP//rplS//acs//acnB//argA//ybiT//fadI//cheW//puuD//ilvL//micF//uidA//gpmA//hybB//malZ//aroF//
