#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hofB//ompX//
Ada-Methylated_pos	nanE//glcA//bacA//entS//
AlaS-L-alanine_neg	rpsP//
AllS-allantoin_pos	glpD//dnaE//nuoI//
AraC-L-arabinose_neg	betT//lysO//fadE//rrlA//serC//trpA//gltF//tyrR//
AraC-L-arabinose_pos	livF//ybjG//gspO//ugpC//idnK//alaS//ygeH//bioA//argT//gspM//
ArcA-Phosphorylated_neg	preT//idnT//yqjH//cysC//creA//ahpC//ydiU//livK//aroH//rplT//sucA//dcuR//srlE//grxC//lysA//slt//trpA//rbfA//ydeP//ompX//hyaC//mpl//fhuD//modA//nuoI//ccmA//phnP//nanT//glpF//rplP//araC//rrfG//ppdD//tolC//ilvH//ychO//phnF//argG//frdC//ybfN//csgD//nuoF//hybF//degP//alaT//glgA//alaS//cyoB//paaB//ebgA//garP//phoB//serC//infC//slyB//gdhA//katG//glpT//cusF//yjeV//rpsR//polA//grxC//rhaS//gspC//aidB//ilvG_2//ompC//fucP//norR//ivbL//dppB//rpsO//phoU//yeiP//slt//dppB//glnL//hcr//pitB//mltC//yebE//uxaC//hyfF//lpd//araG//rrsG//pgk//glgC//rseB//yeiB//tyrA//ybfN//truB//pgaA//agaW//yqjI//tdcD//metN//purR//kbl//amiB//hdeA//fucP//ogt//gyrA//gatY//yaiA//pgaC//purA//preA//acrB//rrsG//trpA//rbsA//yfbR//rdoA//cheY//gatY//nuoB//bglF//prpB//infC//hycA//rseB//lldP//codA//
ArcA-Phosphorylated_pos	yeiL//rutD//hypC//fhuC//sbcD//lamB//hycI//cusF//rof//dsdX//lldP//betA//mlc//alaA//livK//modB//rrfA//artI//ccmC//cadB//gltD//murP//ydhU//nuoE//yggX//oppA//aroP//bioA//fixC//ccmE//glpX//crl//hflD//lldD//ynfH//tsr//azuC//ilvG_1//phoE//gntU//rbsA//glpE//patZ//grxD//ppdD//citG//mntS//frdC//cysA//gatY//fepE//ccmD//gatY//hyaD//fepG//rhaS//argA//bglF//
ArgP-L-arginine_neg	paaF//
ArgP-L-arginine_pos	trpD//atoA//cynR//gabT//entA//phoH//ilvH//rhaD//rpsR//ileU//metB//argO//kbaZ//dcuS//sucC//
ArgR-L-arginine_neg	nrfD//ybdZ//caiF//rplI//rpoH//tar//ulaD//sohB//uidC//rbsB//gltW//malQ//bioA//icd//aroA//bioF//glnL//aaeB//pstS//galP//fimE//argP//nrdE//cysD//acrF//phnE_1//tnaB//rutA//glnD//ascF//umpH//hflX//icd//rplS//
ArgR-L-arginine_pos	fabZ//lpxD//hemA//comR//nrdA//
AtoC-phosphorylated_pos	nirB//iclR//ptsG//glpE//
BaeR-Phosphorylated_pos	rpmC//fhuA//yeaE//pagP//xdhA//ptsG//srlE//malZ//
BirA-bio-5'-AMP_neg	ydhX//zraP//galE//livH//phoU//
CRP-cAMP_neg	paaF//mntS//moeA//ynfE//rof//thrV//argH//nohA//rrsC//argR//alaV//tdcA//hflD//glgA//purH//slt//aceA//tnaB//araB//cysN//glmY//nuoL//cyaR//casC//ebgA//cvpA//mtlD//fur//cysI//yaiA//citC//purL//rutC//uidB//rhaD//oxyR//cydA//allD//udp//mtlA//norV//uraA//hyfF//casA//argF//appB//mltC//cysD//rbsR//mdtC//nupC//nrfC//entS//phnL//ispE//epd//rimP//puuD//rrfG//bglG//ygaC//dppC//dcuA//yegZ//amn//nuoN//araJ//dnaE//yggX//fbaA//artQ//nanC//cadC//ugpB//ompR//napD//malG//gspJ//copA//lacA//rutA//ppiD//hdeD//hflK//yhcH//ycjX//evgS//hpt//glyA//fhuA//icd//alaU//allE//hcr//gntT//nuoF//mdtB//trg//hyfF//kbl//srlR//fhuD//cysW//argB//ydhT//cyaA//gcvH//gadC//alkB//rdoA//ccmC//lacZ//hypB//znuA//ydiU//atoE//fixB//trpL//bcsA//gabT//lpxD//gspM//ybdZ//amn//ansB//cynX//hycG//cysP//rplT//abgA//hofB//putP//carA//
