#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gcd//trmD//
Ada-Methylated_pos	paaB//prmC//leuE//paaJ//
AlaS-L-alanine_neg	nrdI//
AllS-allantoin_pos	tar//glcA//napC//
AraC-L-arabinose_neg	pta//codA//rutA//lysC//modC//ydiU//hypB//araJ//
AraC-L-arabinose_pos	tcyJ//napD//hofB//fepB//lpxD//csgG//cydB//fadE//glpD//caiE//
ArcA-Phosphorylated_neg	rrlH//phoH//rpmC//paaC//ung//ilvB//ppiA//chbF//napF//ycdZ//xapB//fixA//codA//fecI//hofB//modB//sroD//fimI//gspF//aspC//phnL//nusA//modC//cysU//dnaN//ccmB//creA//putP//nrdB//moaD//rhaS//hybB//hofB//cynS//soxS//rmf//cydC//argO//narL//rcnA//hycF//yhfA//metK//argO//agaA//preT//yegR//sucA//sufE//tdh//garL//fucO//crl//ispE//grcA//rrsE//xylB//lpd//adiC//speC//hycB//ccmE//ung//tar//tolC//hypB//metB//malS//yfeW//dcuR//fiu//cysU//hycF//glpB//dppA//fhuD//phnH//moaA//cysW//artP//lacA//sxy//glpK//fliA//metN//ydhY//ilvL//manY//envZ//hcp//phnG//hofC//chbG//rybB//ompT//fumC//pck//guaB//rseA//fadE//ybiT//dnaE//speC//glgX//bcsZ//argT//chbF//mutL//ygeA//cyoD//casD//yeiP//cheZ//treR//purC//nrdA//ycjF//aldB//yidQ//uxaC//norW//rcnB//nuoH//garK//tonB//dmsD//copA//
ArcA-Phosphorylated_pos	amn//fecI//cydB//glpK//napG//xylB//yiaJ//moeA//fdnI//fucK//garR//cheB//rhaS//dgcZ//mglB//focA//ydeA//ugpB//rplS//fadL//hyfF//dcuD//cusS//alkB//cusF//yhiD//narH//lsrF//ascF//xseA//uxuA//gabD//mdtB//rrsG//sdhC//rutF//araC//lldP//xylB//agaW//dmsC//agaW//livK//fucP//iscU//mntH//ilvH//grpE//rybB//mglA//paaH//sufE//entC//iscR//moaD//hyfH//tnaC//fepD//
ArgP-L-arginine_neg	preT//
ArgP-L-arginine_pos	pstB//prpD//caiA//tyrP//polA//ompA//argE//nanS//idnT//aceA//cas2//gabP//puuR//frdB//tap//
ArgR-L-arginine_neg	purH//bcsC//feaB//hycB//gspE//fimF//stpA//dppD//narJ//purC//aroL//recF//nupG//rmf//pagP//thrS//lsrC//uhpT//bioC//glcG//artI//yidQ//hisM//katG//cpxR//fucR//uxaB//hyfG//hycH//rpmC//pdhR//glgS//entH//nusA//
ArgR-L-arginine_pos	rcnB//srlA//yeiL//fadA//gspC//
AtoC-phosphorylated_pos	fadJ//malM//proP//rpsJ//
BaeR-Phosphorylated_pos	hyaE//iscU//torA//deoC//ubiA//sdaA//glpX//gntT//
BirA-bio-5'-AMP_neg	hydN//hemL//hypD//sbmA//aidB//
CRP-cAMP_neg	nuoB//ilvH//uhpB//hyfH//ilvH//tfaQ//bdcA//livH//yqjH//aaeX//rhaR//rrsB//fau//oppF//fepG//xylB//gspI//lacI//pepT//preA//grpE//argR//dcuA//pgaD//ydhT//rrfC//yibN//napF//mutY//katE//ptsI//phnG//glpR//mcaS//narQ//rutD//fis//hyfE//alkA//tadA//sohB//torD//gltD//aroA//nupC//ppdD//dadX//marA//hisM//phnN//oppF//prfA//norV//rplD//gltU//dsdC//paaI//hyaE//glpK//moaA//rplW//rrfF//gltF//sufC//tnaA//uxaA//ampD//ahpC//rutC//rnlA//yccA//narK//nrdB//sxy//fadD//sufB//murP//sucD//xdhB//rbfA//yfbR//mcaS//galK//rhaS//malF//uraA//amiB//cpxR//phnD//nirB//atoB//rrsC//ihfA//rplS//oppF//chbB//ihfA//envY//aaeR//tolC//aceA//thrS//fimF//rrsA//nuoG//uidC//yfbR//glcC//idnT//speB//kbaZ//entH//fecB//guaA//hycE//ulaF//livK//narG//yecR//recF//rbfA//cydC//nuoF//phoH//phnI//yeaD//frdA//appC//rpsO//fhuF//glyA//fumC//spy//
