#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fadB//hdeB//
Ada-Methylated_pos	malQ//rseC//dmsC//ilvN//
AlaS-L-alanine_neg	rbsD//
AllS-allantoin_pos	hybC//adhE//melR//
AraC-L-arabinose_neg	phnD//ykgM//cueO//ydeP//lsrF//garK//xylG//ygeA//
AraC-L-arabinose_pos	tdcG//yebE//lpxA//aaeX//nikD//gadC//tdcE//rpsS//glnD//frdC//
ArcA-Phosphorylated_neg	lysA//nrdF//soxS//ydbD//chbB//astD//livJ//yeaE//nuoA//aldA//uhpA//rrfB//frdA//hycF//katG//treR//glgA//cusS//aceE//avtA//yggX//phoA//feoC//yaiW//sufS//fadI//artJ//dadA//hisM//betI//metR//ampD//flhC//ssb//fucR//sufD//uidA//malM//guaB//melR//hybF//flhC//moaA//crl//gatD//bcsC//appA//tfaQ//cyaA//malE//rpmI//prpE//ydhV//deoB//cusA//prpB//ydeM//ydiU//pstB//fadH//cyoB//tdcG//yidQ//ssb//cueO//rutC//acs//livM//tktB//rpsC//ompF//marR//pgaB//caiA//nrdA//hyaC//yaiW//rutA//hyfA//ugpQ//ydeP//rplC//betT//hmp//rrsB//citD//yrbL//focB//mhpT//evgS//hypA//ompT//envY//aceB//aidB//prpB//iscR//yeiB//treR//hyfE//cheW//atoB//csiD//micF//ychH//ulaA//phoA//rrsG//narH//serA//gspK//cysW//yhiD//malS//nuoC//cpdB//yoaC//rcnB//puuE//rpsC//infB//borD//rrfH//zntA//phnF//fhuA//dsdX//
ArcA-Phosphorylated_pos	yneM//cyoA//yqjH//livJ//cusA//lacZ//phnD//cysW//rplP//rpsS//gntR//srlD//lpxA//ubiG//idnD//rutA//fucU//modC//tdcF//copA//cadB//yjjZ//ychO//mscM//ldtB//crp//lpxD//ydeJ//rbfA//cysU//uxaB//phnF//srlB//hflD//aceF//artI//ispE//fixB//rutC//ispE//aroA//ccmD//gltB//rrfF//malX//rimP//livF//xylH//rrsH//fimH//pitA//tomB//hybA//evgS//nanM//sdhD//tnaB//ldtB//
ArgP-L-arginine_neg	gspH//
ArgP-L-arginine_pos	phnN//dppB//abgT//narX//argO//glcE//lsrB//garL//fhuA//fhuF//soxS//cusB//tsaE//hyaD//napC//
ArgR-L-arginine_neg	atoE//purR//rutF//cydA//thrS//creB//nuoM//citF//glpE//uxuA//putP//ykgR//arfB//deoC//fucU//mdtB//ansB//ompR//artP//fdnI//livH//znuC//hyaA//ihfA//flhC//ivbL//dpiA//pncB//sbmC//phoA//glpD//yqjA//fadI//zraS//
ArgR-L-arginine_pos	argP//marB//nikC//feoC//hupA//
AtoC-phosphorylated_pos	chiP//amiB//hycH//hyfI//
BaeR-Phosphorylated_pos	galE//hyaB//ppiD//dadX//ulaD//qseC//idnT//appX//
BirA-bio-5'-AMP_neg	paaG//gspK//mdtC//preT//iscA//
CRP-cAMP_neg	araA//kbaZ//nfuA//rrsH//rrfF//mhpE//argH//csgD//mdtB//exuT//rrsH//rnhB//dcuR//entE//ydfH//yedX//ulaD//gabT//lacZ//hlyE//miaA//rrsE//ccmH//ileV//pstA//ilvN//fbaA//fixB//mltC//hyfA//rnhB//dctA//fhuA//gnd//paaH//purL//cysU//aaeX//raiA//creC//glpE//uxaB//cysK//glgP//gcvH//puuE//envZ//nrdG//ykgR//cysC//hpt//malG//yeaR//feaB//glcC//cynT//phnM//bglG//malM//rrfD//dmsC//rplS//moaA//betT//map//zraR//lpxD//hemA//nrfE//paaK//hybB//hyfC//argC//hycF//yegH//aer//rpsR//caiT//flhD//lysA//gpmA//citC//aroA//pck//gntK//rrlA//gltU//dkgB//uxaC//cadB//cysD//araA//appB//ompC//puuA//ulaA//yiaJ//ccmB//focB//hofC//motA//paaJ//hycF//chbC//fucP//nikE//nirC//ung//ccmD//puuE//manA//cheW//trxA//cpdB//hemA//ccmD//ryhB//malS//katG//rplW//narK//glnG//flhD//sufD//ilvH//glgC//lysP//iraM//rplV//modC//grxD//carB//rcnB//
CRP-cAMP_pos	cirA//cysI//nanA//rplC//yojI//ompW//purR//ilvB//yegR//tdh//phoE//rplP//miaA//nikR//nuoH//sufA//nrfF//norR//ycjF//ompC//rrfD//gatD//phnL//envY//fimE//ydeJ//entE//nanC//phnK//crl//gntX//purM//gntT//dcuS//ulaF//rseB//citD//rpsP//tsx//bioB//metA//sroD//fliA//uhpT//yhhY//hyfR//caiT//lsrD//rhaS//tadA//mglC//hofP//lsrA//fadA//metA//mglC//gltB//csgE//lacI//exbD//mutY//creD//glgC//hyfE//hyfG//pstC//udp//nuoA//rof//srlD//ftnB//umpH//hyfA//gntP//betT//gutQ//purD//amiB//nirD//norW//cusS//csiE//mhpA//polA//mdtC//ilvI//glcG//gspG//argI//argE//acnA//ssuB//acrE//yqjH//idnO//phoQ//carA//rrsA//rpmI//deoC//citG//envZ//aroA//nikC//dgcZ//gntX//csgC//nrdD//fecA//hyaC//hycG//acrF//cadC//yeiB//rplI//malG//micF//gspE//srlR//araH//erpA//mhpT//gcvH//dppF//exuT//ptsI//adhE//csgD//nrdA//lsrA//glcD//rseC//fadH//yfdE//arcZ//glpD//ssrS//malX//argO//glyA//betA//metN//purA//fepC//rutD//gatB//glcC//sdhC//metE//thrV//map//gspL//tsr//cydD//lsrB//citF//phnL//dpiA//gutM//lldR//fadJ//rcnA//caiT//bcsA//atoB//gspG//yfeW//lacA//hofP//rybA//moaB//csgF//phoH//ihfA//yoaG//yciW//atoA//hmp//rbsA//napC//ugpB//gatZ//nuoF//metQ//ykgM//argB//lysU//chbA//rutD//ptsI//gspK//deoC//astD//tyrP//phnE_1//rrfE//idnR//gspM//glnL//malX//baeR//hybA//tdcC//ssuE//lysU//oxc//xylA//aaeR//malY//crr//serC//ulaC//hcr//nrdA//narI//artM//yggX//cpxR//treB//malP//cusB//rpmC//trxA//cbl//phoB//carB//nusA//acrD//fimH//cynT//cyoA//cas1//torR//dmsC//glgS//livG//gcd//creD//gpmA//lacY//glrR//paaH//fucU//hycA//hyfE//fecA//gspC//paaJ//ygbA//mtlR//dppD//aroL//gspK//acnB//rpsI//citC//zraP//rrlH//agaW//sufC//hycE//nrfF//manY//ydeN//atoE//fdnI//malS//ccmG//metA//feaB//fumA//fecR//feoC//fimH//metR//hslJ//yeaE//hyfH//fimH//iscA//gspF//tktB//gspF//atoB//tsgA//hyfC//metN//ubiG//ulaC//galP//cysU//ndh//rplS//ppdD//mglB//fhuD//cysN//crr//entB//ulaE//malT//rimP//lsrG//glpC//prpC//gspE//rplS//nupC//rrlC//livF//ydeP//ychH//dppA//nrdI//casD//hyfI//cspE//entH//livF//fucO//ssuB//tdcE//hfq//glcC//ilvC//yebE//cheA//baeS//idnR//cysK//ygaC//galE//rnlA//paaK//deoD//rplI//pyrC//tolC//cadA//lysO//ygeH//mhpB//gspD//argB//casC//uof//agaV//tcyJ//yfeW//asr//pck//agp//oppC//tnaB//bglF//rrfA//xylG//nanT//fecC//cusS//gltB//lsrA//narK//hyfA//narX//hybF//nuoM//fdnI//alkA//xdhA//marA//argT//marB//ykgM//hisJ//ygbA//hisP//csgG//dmsC//hybG//argO//rpsF//infC//cynR//ydeP//uhpT//ldtC//tdcD//cheB//mltC//rybA//uxaA//ydhX//manY//rhaA//puuE//ubiX//acnB//narQ//tdcD//patZ//argH//copA//gntR//narX//fadE//lldP//cysI//thrS//cadC//fixB//hflC//cyoE//ssuD//fnr//acrA//ppiA//acs//adiC//ahpC//adiC//trpL//nrdA//aidB//ubiG//hupA//hyaB//yhhY//copA//
ChbR-Monoacetylchitobiose-6P_neg	mtlR//argR//gspK//xylA//narK//ychH//
ChbR-Monoacetylchitobiose-6P_pos	pgaA//deoB//mdtA//phnJ//ydhW//malK//
CpxR-Phosphorylated_neg	aroA//glpD//nuoE//gntU//argF//yqjI//modA//cusA//cdd//hybO//rrfH//udp//glcD//pitA//lsrD//mntH//xdhA//nanE//gutQ//mhpF//mtlD//evgS//fucO//ybfN//
CpxR-Phosphorylated_pos	arfB//gnd//narG//ileU//hycF//metK//casD//rplM//ykgM//allC//astE//gnd//ydeJ//napF//arcZ//aroP//pdeF//nanM//nuoA//dppC//fau//metE//ftnA//qseC//bamE//envZ//folA//aspC//ulaA//mtlA//aldA//gltD//preA//rpoS//nagA//pitB//purK//caiT//yqaE//cusC//uhpT//fepB//ilvE//aceE//atoD//
CreB-Phosphorylated_neg	aspA//fadE//csgC//
CreB-Phosphorylated_pos	fimA//uhpA//chbC//rpsJ//xylB//mepH//
CueR-Ag_neg	ygiC//appC//evgS//trpB//aceE//
CueR-Ag_pos	pyrD//puuP//
CueR-Cu+_neg	efeU_1//bcsB//dnaN//puuD//rutB//
CueR-Cu+_pos	fliZ//aldA//
CuerR-Au_neg	uidB//nrfD//focA//xdhA//aidB//
CuerR-Au_pos	yfdE//uhpA//
CusR-Pasp_pos	osmY//csiD//glpR//gapA//ydhT//hmp//dsdA//tauD//gltF//psd//adiC//yegH//
CynR-Cyanate_neg	uidC//
CynR-Cyanate_pos	ilvG_1//ilvG_2//mgtA//
CysB-N-acetyl-L-serine_neg	araA//rplS//pagP//prpB//zraR//gspH//ynfF//
CysB-N-acetyl-L-serine_pos	slt//nanK//glpF//mipA//hypD//napB//tap//stpA//yjjZ//bioF//fepE//hisQ//malK//copA//ascB//yfeW//adhE//gltW//phoA//gspE//modC//puuE//rplC//
CysB-O-acetyl-L-serine_neg	gspD//iraD//sufB//gcvT//glpR//malT//cheZ//
CysB-O-acetyl-L-serine_pos	argT//fepG//amn//aroG//agaW//ycjX//tsaE//rrlE//casD//fecA//fucA//pyrD//hybB//sucD//artP//cynS//glnB//yedX//ubiG//ihfA//nanM//trpC//dcuB//purH//
DcuR-Phosphorylated_pos	sdhB//rrsB//purD//ydeJ//tehB//purD//rplI//stpA//dcuR//
DnaA-ATP_neg	mdtB//arcZ//rnlB//fepB//tsx//pheM//dadX//rpoS//fhuE//tdcA//idnR//
DnaA-ATP_pos	purB//grxC//phoQ//rrlC//agaV//purK//bglB//
DpiA-Pasp_neg	rbsR//
DpiA-Pasp_pos	tolC//ynfH//hyfR//yegR//exuT//metC//metA//cpxA//ygeH//rrfE//
DsdC-D-serine_neg	csgG//
DsdC-D-serine_pos	bglG//fumC//
EvgA-Phosphorylated_pos	glpC//fliA//zntA//gutQ//ung//rpsS//purL//hdeB//ygiB//nrdI//zinT//rmf//bglF//fecE//uxuR//
FNR-[4Fe-4S]2+ reduced_neg	purA//moeB//rutC//appC//arfB//fepC//kbl//glcG//murQ//garL//amiB//hupA//cueO//cusF//malE//entD//yjcH//dmsA//appY//hflX//cstA//ccmC//tehA//erpA//fecR//glyA//hisP//bioF//priB//lpxA//yfbR//hyaA//avtA//fhuA//puuB//nlpD//yhjA//rplD//napA//ugpA//efeU_2//purF//gspG//gatY//cyoB//sufD//tyrR//argE//yaiW//lldD//rutD//rcnB//rrlC//bglB//idnO//raiA//purH//tehB//phnN//ydhU//malM//lsrG//paaB//metB//priB//yfdV//citE//epd//pyrC//fimG//glnG//ynfF//ugpQ//nuoG//nuoJ//ynfF//araD//pheM//fhuC//sbcC//hyaF//nikB//glpX//nikE//ydhU//carB//fimE//rrsG//ygaC//ydeM//ansB//cyoC//hemL//ileU//pheS//dsdX//paaI//lldP//hycB//purA//glpT//csgC//cvpA//alaV//lysC//mhpA//trpD//phoU//ychH//cyoB//yojI//aldA//evgS//malI//yjcH//ydhV//argH//glpX//cra//trxA//
FNR-[4Fe-4S]2+ reduced_pos	ssuC//purL//aroG//nrdB//hdeD//puuB//sodA//caiE//secB//ldtB//epd//fepB//dcuS//hcp//nuoJ//cysN//cynT//lsrK//chbB//hofO//gabP//cysU//glpR//casD//phnN//icd//metK//tap//rrsH//ygeH//ynfH//fecE//nuoL//artM//hslJ//malE//bcsZ//gspM//nuoN//artM//cydA//fadL//fhuF//caiE//thrS//fliZ//napG//acs//rpoE//gutM//fes//dppD//skp//sufB//amn//dmsD//fldA//tonB//csiE//hyfH//ascF//cysK//fumA//emrK//pyrC//purC//rutD//nikA//cpxR//mhpE//nrfC//tar//nrdA//aaeA//malM//hemA//mhpB//tauD//glgS//mntP//moaC//sucB//citC//galK//ygiB//sufC//hycI//bioC//rhaT//betT//aspC//fur//guaA//alkB//gspK//malE//hycB//ydeA//frdB//citF//galM//xylF//ileU//ilvE//livJ//lpxD//hybD//glcA//hemL//iscS//nupG//dpiB//melR//garP//purA//exbB//bioD//ptsG//hemL//frdB//feaR//zwf//astB//purH//ampD//cysB//bcsB//yhhY//rplC//rplV//trpB//nrdF//ynfH//ssb//aer//citG//ulaA//hofO//znuC//gspG//rplS//bioC//envY//yhiD//paaA//glgP//puuP//hybF//ansB//yaiA//napD//metA//rhaT//dcuC//acrF//puuE//argP//ynfH//hycF//gltA//ydeO//gntK//mzrA//rseA//hflK//marB//ynfG//sxy//norV//rrfE//hyfI//rplV//rrsA//ybdN//lolB//asr//sbcD//chbR//gspC//tnaA//gpsA//tdcB//gcd//oppC//acrA//frdB//aaeB//fau//nac//sodB//gspI//yegZ//rrsA//mdtD//ybdZ//emrK//cas1//astD//tauB//lacY//tdcD//srlD//
FhlA-Formate_pos	carA//phnI//fumB//fadD//fau//fimF//srlA//chbG//feoC//ebgA//dmsC//rimP//ogt//uxuR//rrlH//dadX//fimC//rutF//nanC//fhuB//artI//ebgA//deoC//uidC//gcd//ptsH//mutY//qseB//agaV//srlE//
FucR-L-fuculose-1-phosphate_pos	paaE//arcA//rrlD//cra//fecR//ydhY//tdcG//
Fur-Fe2+_neg	gabD//cysK//ptsH//bglF//betI//ugpQ//yneM//cusF//gpmA//metH//sdhD//mipA//cueO//deoA//ydeN//cdd//nirC//fnrS//aaeX//malI//umpH//tdh//zraS//dsdA//cysG//trpR//malX//fadI//nmpC//paaZ//ilvL//yeiP//waaH//glpF//zwf//rplS//prfA//ydfN//nohA//tadA//ykgR//alaS//cpdB//azuC//hcp//ydfH//pepT//fecE//fadJ//aceK//acnA//entB//lsrB//argC//fepC//gdhA//ulaA//lldR//narK//lpxD//ogt//nrfF//cyoA//entS//trpC//ldtC//dps//cysH//caiC//evgA//rplD//pdhR//cysM//xdhB//malK//glcD//araD//hfq//fnrS//mgtA//fucA//ackA//manX//znuB//csiD//zraP//metQ//mhpE//rrfC//uof//gntR//pgaC//yfiP//fadJ//secB//ynfK//malI//envY//mhpR//norR//purN//gntK//abgT//aceK//fimE//grxD//tolC//bhsA//napD//hofC//malE//puuD//purA//rrsH//pyrD//fadI//amiB//truB//acrD//hypC//fimC//ycjX//dppB//cadB//
Fur-Fe2+_pos	avtA//dmsD//cyaR//lysP//rpmC//fhuD//nac//fucP//hypA//exbB//entS//tolC//dmsA//cyoC//malF//dcuC//glpT//hcp//appA//mglC//nikD//rrlB//actP//ilvE//xapA//
Fur-Mn2+_neg	hypB//ulaB//ykgR//paaH//caiT//gltA//entD//metR//glgS//gspE//fdnH//iscA//xylB//bioC//lpxD//purM//marR//bioA//gltW//asr//glrR//rbsR//acrA//entF//dnaA//fhuD//ycdZ//hyaD//zraS//fucO//nohA//baeS//citG//argA//dnaE//glpE//uxuA//nagC//phoQ//ompR//manY//aceE//skp//tdcC//ynfF//ydhV//prpD//agp//cysN//nuoN//glgA//mscM//garL//hcp//sohB//rutA//galK//astB//oppF//nuoC//sucB//metL//gcd//cysM//tdcF//fimF//yfeW//mdh//rhaT//speC//mhpA//bcsA//sohB//gpmA//yibN//yfdV//nfuA//hypE//dmsA//tauB//allE//safA//rutG//pyrC//hydN//moaD//napD//mglC//rutG//ccmD//thrS//cynX//dnaA//pagP//dapD//metJ//tdcF//rof//gatD//xdhB//malM//glpC//cyoB//rplM//ygiB//trpR//gspC//cpxA//ubiC//purN//yaiA//mhpD//paaG//argA//livM//dppC//gntT//speC//ydfN//nikB//nadC//aspC//yqjA//erpA//
Fur-Mn2+_pos	astB//gabT//narG//cusC//nac//dnaE//ompW//sxy//hyaF//ynfK//gspI//hdeB//ssuC//map//alaU//acs//mhpB//katE//araB//rutC//cynX//aceF//araJ//appY//napB//
GlcC-Acetate_neg	ydhX//
GlcC-Acetate_pos	livG//purL//ygeH//ydhY//citF//znuA//
GlcC-Glycolate_neg	ilvA//
GlcC-Glycolate_pos	rutE//rplB//manZ//csgA//hyfF//mhpD//
GlrR-Pasp56_pos	ygeH//
IclR-pyruvate_neg	cysI//uvrA//phnF//cydA//
IdnR-5-ketogluconate_neg	tauA//hdeA//uhpT//
IdnR-5-ketogluconate_pos	glpA//nuoI//exbD//yqjA//ybdN//
IdnR-Idonate_neg	fnrS//hyfR//aceF//
IdnR-Idonate_pos	rpmI//allE//tdcB//nuoC//cynS//
IlvY-2-acetolactate_neg	uxaC//
IlvY-2-acetolactate_pos	hybO//
IlvY-Alfa-acetohydroxybutirate_neg	bglB//
IlvY-Alfa-acetohydroxybutirate_pos	gutM//
IscR-[2Fe-2S]1+_neg	trpA//slt//fes//efeU_1//rstA//nrfA//cheZ//tar//pepT//entE//fldA//ydhY//prs//tsx//rof//yqjH//yqjI//ampE//fabZ//fdnH//nuoJ//ileU//asr//ykgM//hyfA//pheT//fecB//cspD//nanC//acrA//
IscR-[2Fe-2S]1+_pos	glnK//oppA//mdtC//slyB//ptsI//tktB//hycF//lsrC//cirA//ldtB//lysA//
LldR-L-lactate_neg	moeA//gcvT//nlpE//
LldR-L-lactate_pos	ccmF//rseA//zntA//
Lrp-Leucine_neg	malI//agp//hisP//hyfJ//fiu//rrlG//fabZ//nrdG//lacA//napA//aceA//paaF//galT//psd//fdhF//glgP//dcuB//rhaS//gspH//efeU_1//hypA//nuoB//torD//argO//xapB//mglB//rhaR//malF//ccmC//oppF//sucD//nrdI//hypC//nikC//pdeF//feaB//lhgO//ilvY//caiC//sbcC//oppC//artI//gpmA//rrsD//creD//ryhB//phnL//ilvA//tehB//nanT//narJ//dpiA//lhgO//pstA//galM//phoB//atoA//hybO//rdoA//napH//nuoN//alkA//gspM//metL//malZ//cspD//pstB//mcaS//moaE//yqjH//fimA//osmY//qseC//nfuA//rutB//
Lrp-Leucine_pos	osmC//yeaR//creD//entB//cpxR//ydeP//sufS//ugpE//dkgB//spf//efeU_2//aer//sufD//betT//yfaE//hyfJ//tomB//galP//mglA//lysC//pstB//bhsA//nrfC//rhaT//ugpE//atoD//rbsD//hofC//ugpA//emrK//hyfE//mdtC//gabD//rbfA//hyfA//
LsrR_neg	arcA//fixA//sodA//mglB//amiB//yeiP//phnN//dppA//puuB//
