#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	tar//betI//
Ada-Methylated_pos	grxD//arcZ//rrsG//tdcB//
AlaS-L-alanine_neg	cysA//
AllS-allantoin_pos	gatC//astD//yfdV//
AraC-L-arabinose_neg	cydC//dnaE//hypD//rplD//micF//csgE//fucK//sucA//
AraC-L-arabinose_pos	znuB//hyfE//nohA//rrlA//iscU//argG//yegH//ydhW//truB//hybO//
ArcA-Phosphorylated_neg	pgaD//entF//ahpF//amiB//glcC//nrdG//ycjX//ilvG_1//bglF//spy//ilvX//casA//nuoC//abgT//mhpA//tyrA//hyaD//narH//ileV//trpL//acrA//yccA//phnD//mhpR//uxaC//cyoD//lpxD//ugpB//rrsC//cysA//cydB//umpH//ssrS//rrfC//caiB//pflB//mltC//yrbL//livG//prfA//ampE//ychO//nuoG//sbmA//paaB//nuoF//phnC//malQ//glcF//fecD//tehA//nac//ybfN//napA//tyrA//artI//tdh//narH//bioD//rrlB//cyoB//aldB//appA//gntT//uidA//yeiP//hyaA//cstA//nrdD//astA//cbl//deoA//uhpC//acnA//frdB//metY//betA//hdeB//xylG//agaW//cysB//hisP//rrsH//csgC//moaC//phnF//yggX//tyrB//nirC//metL//entS//nikR//modB//nrfE//csgD//dppD//speC//rhaS//ulaC//mcaS//gltV//yegH//ccmB//sbcC//ldtC//purH//tnaA//hdeD//xylR//alkB//dsdX//ydeJ//hypB//hlyE//ydfH//ccmF//acs//ynfH//malF//gpsA//gabD//mutY//cynX//ascB//ydbD//sdhA//erpA//
ArcA-Phosphorylated_pos	lsrD//yedX//citC//secB//ytfE//rbsC//narX//fadL//entE//nrdF//rseA//marA//phoU//pdeF//hyfA//rpsF//napC//slt//fhlA//metF//tauA//ilvA//fecE//trpB//araG//dnaN//actP//csgG//glnG//phoH//glpX//ugpA//moaA//xylG//malT//rrfB//skp//lldR//creD//dpiA//idnT//mtr//metA//lysC//gatY//argC//lsrC//puuC//gpsA//cusF//mtr//araG//prpC//hyfA//purM//narI//hybA//metL//
ArgP-L-arginine_neg	gspM//
ArgP-L-arginine_pos	mntP//dppC//purC//hyfA//rpmI//narJ//hycA//rbsB//araC//cheA//ycjX//tsgA//hypC//hycI//glnA//
ArgR-L-arginine_neg	manZ//galE//sroD//hisQ//yoaC//fecE//rrlH//chbB//rprA//ychH//nanE//metH//gutM//guaB//paaF//hflX//napG//hyaE//aceE//bioB//feaB//xylH//trpC//hemA//nmpC//rplB//moaC//ptsH//dsbA//hyfD//manZ//sbcC//ftnA//thrV//
ArgR-L-arginine_pos	mdh//tktB//hyfE//cydD//mzrA//
AtoC-phosphorylated_pos	nrfB//gltF//phoE//ebgA//
BaeR-Phosphorylated_pos	gltT//ssuA//astB//uidA//gatZ//mscM//cysB//mpl//
BirA-bio-5'-AMP_neg	tyrB//malZ//pitB//rpsP//frc//
