#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	purC//amiB//
Ada-Methylated_pos	mdtB//paaK//rnlA//codA//
AlaS-L-alanine_neg	cynS//
AllS-allantoin_pos	gatY//sdaA//csiE//
AraC-L-arabinose_neg	paaZ//entB//xdhA//prs//rrfF//rhaR//rutA//gspI//
AraC-L-arabinose_pos	cysJ//rpoH//galE//ydeP//galP//hyaF//aroF//araJ//fucR//gltD//
ArcA-Phosphorylated_neg	dadX//mhpR//fhlA//lysU//ldtB//hycD//putP//ygbA//gcvP//glgX//malT//fliA//tsgA//fimC//hpt//glgX//katE//hydN//aceE//abgA//cspD//yhjA//hha//aidB//aceB//malI//waaH//fecR//ccmB//xdhC//rof//citE//manX//gatD//cysK//alaU//araH//garK//hyfJ//ydhY//glcF//ybiT//hofP//mtlA//deoC//evgS//yjjZ//paaH//ompX//rutE//speB//fucK//paaC//leuE//ulaD//yiaJ//glpA//sbcD//argG//fepB//gcvH//glgC//aroF//fliZ//pstS//ydfH//purB//moaD//uof//tam//yqaE//bioF//puuD//phnD//glpA//tsr//mcaS//chbR//pflB//alkA//hybA//xylF//ydfN//tnaC//yeiL//raiA//ilvY//soxS//ppiD//astA//dcuS//prpB//dadX//hyfJ//purL//ptsG//cas2//malX//metH//osmY//idnK//nuoG//mscM//ydhX//rrfE//nuoN//yfdX//tfaQ//ybjG//moaC//hyfR//ubiC//melR//ompW//ynfK//yoaG//pdhR//gspH//thrV//hybG//crp//citX//fumC//cpdB//fhuB//rnlB//nuoM//
ArcA-Phosphorylated_pos	rpsJ//cpxA//galP//yfdV//folA//astE//hflX//appA//iscA//hisM//paaE//cysW//crr//ydeA//melA//paaF//talA//bacA//bglG//rpsJ//evgS//glcC//cas1//aceB//folE//marB//arcA//appX//ygiB//infB//cvpA//gutQ//fecE//exuT//hybC//rseB//manZ//frdC//purM//mhpR//mipA//paaD//efeU_1//hycH//uxaC//sdhA//yhcH//mntS//manA//ybiT//nuoB//preT//exbD//csiE//torD//fadE//ugpA//gltV//
ArgP-L-arginine_neg	ompX//
ArgP-L-arginine_pos	rrsA//trg//phnL//rplT//xapB//fur//carB//narI//fimE//norV//argG//lpxB//lysA//gapA//ykgM//
ArgR-L-arginine_neg	nrfB//cadC//fliA//hypA//rrfD//phoB//aroA//manA//dppC//mtlA//ccmC//astA//gadC//ygaC//feoB//mdtA//ubiA//motB//ccmH//tadA//dsdC//dnaN//csiE//yqaE//rbsC//sufE//creD//fucI//ptsI//talA//nupG//pstB//rimP//ybdN//
ArgR-L-arginine_pos	araC//cheB//glpG//bhsA//marR//
AtoC-phosphorylated_pos	dcuA//borD//dsdC//bglF//
BaeR-Phosphorylated_pos	yidQ//ygeH//epd//ygbA//rpsI//grcA//adhE//ompX//
BirA-bio-5'-AMP_neg	aspC//crp//mntP//malF//grpE//
CRP-cAMP_neg	fimA//phnF//fadD//xseA//fhuF//dnaE//fepB//fadH//lacI//rseC//ldtC//dcuA//micF//dpiB//kbl//cheZ//xdhA//fucI//mhpE//nmpC//cynX//xdhB//nuoF//nrfC//arcA//ynfG//nrdI//phoR//zraP//gspF//napD//yidQ//srlD//sufD//fimG//dcuR//murP//hupB//cynS//lacZ//dsdX//lrp//gabD//nagA//rof//purB//rhaD//cysU//tauB//fixX//ssb//fixX//argG//mdtA//mipA//fdhF//pheT//rseC//fur//gltA//chbA//fes//feoB//csgG//map//lpd//paaJ//ubiA//tauC//aspC//srlE//yfeW//tcyJ//lacA//ilvX//nrfC//alaU//glnB//xseA//agaA//cydB//yneM//mglB//fhlA//tsx//lldR//marA//nrfD//ilvI//aaeB//rutG//malT//rseB//astD//skp//ppdD//tdh//purK//cydA//gutQ//yidQ//arfB//phnM//moeA//nusA//nuoJ//grcA//narQ//yaeQ//yecR//manZ//fepA//puuC//aroM//dmsA//ygiC//citF//nrfB//rrfC//hyaC//araE//cynS//aidB//xylA//rrsD//fur//mglA//fur//artQ//cusA//xylB//fhuB//appB//
CRP-cAMP_pos	iraM//mglC//uhpC//glnG//yeiW//talA//artJ//nagB//uvrA//paaD//glyA//puuP//asr//mntP//yhfA//yfeW//dppA//cysG//casB//skp//uof//mpl//ygiA//cysM//gspC//gpsA//lysU//tauA//cysH//nuoH//gntP//paaJ//znuC//lysA//nikC//crp//hofO//paaZ//ssuA//citE//mscM//pta//fhuE//rrsB//ykgO//mutY//gutQ//cyoC//nikR//marA//abgT//hybD//hybB//uhpC//ybfN//cysJ//ulaF//ychO//nanK//dsdX//zraR//yeaR//erpA//csgA//casC//gcvH//epd//rutE//sbmC//feoB//lysO//phoP//rrlB//ilvL//yfdV//nuoF//glpA//yeaE//alaT//phnG//phoB//dps//pgaB//artM//uxaC//galK//tehA//hybG//phnM//hyaA//ycdZ//fdnI//ilvY//mlc//csgE//ssuC//grxC//psiE//rrfE//tdh//mcaS//tauB//tonB//cas1//lamB//ubiA//glpX//osmY//yedX//pgaA//katE//malG//gpsA//phnM//hofB//ryhB//mntP//feaR//lamB//hcr//aceF//frdB//chbR//mdtD//uof//malT//frdB//gatB//metL//baeR//baeR//hisJ//aceE//nrfC//oppD//tdcF//amn//trmD//nuoK//bioD//glnL//mdh//fecE//deoA//rrlE//ynfK//cysM//rplP//allE//crp//prfA//bacA//idnO//trpE//aldB//trxA//yoaG//codB//rrsD//caiA//yiaJ//metJ//uxuA//nrdI//ptsG//rnlB//mglA//araG//pagP//entC//sbmA//nirC//fecC//rdoA//carA//patZ//rplM//dpiB//malT//iscS//rrfB//melR//hypB//fdhF//rutD//purL//envZ//aer//ackA//sucB//nanS//ogt//narH//hcr//bglG//rnpB//glpC//yibN//betI//bioB//narL//malG//napH//paaC//rplW//ubiG//lsrG//pepT//mntH//lacY//envY//fecR//hofO//galM//cysB//dnaE//fhuD//caiT//fis//pstC//hfq//gltT//yfeW//yeiW//chbG//tyrR//tdcA//yegH//cysK//feoA//artI//motA//nirB//rutB//rbsC//lysP//nirB//purM//umpH//mcaS//gltU//infB//phoP//napH//argI//narQ//nuoF//chbA//cstA//dcuA//trpD//lolB//waaH//truB//ygiC//glpK//argB//atoD//rrfA//tehA//ccmC//emrK//ssuB//mdtC//gcvH//tolC//dcuA//rrlG//cynR//envZ//caiC//purL//deoA//raiA//fimD//mhpC//acnB//hemA//cpxA//cstA//cvpA//acnB//glpB//amtB//hisQ//ampD//ilvM//envY//cas2//fepC//garP//yhfA//aroM//yneM//pgaA//prpE//cynX//livM//fldA//sodB//aroL//purB//amn//tauC//nikA//chbR//uhpB//ilvM//pnp//casC//gspF//metL//phoR//dppB//csiD//ackA//rstB//fldA//xylH//lacY//malQ//malF//fis//rutE//rrsE//ykgM//agaW//ccmA//cadC//hyaC//cpxR//ilvG_1//modB//emrY//appA//trxA//puuB//preA//ssuE//gspK//rcnB//yjeF//ugpE//rutG//rplV//gltU//yfaE//dmsA//crl//narI//phoE//asr//acrB//feoA//aroL//pheT//nanC//agaW//allD//oppF//glcB//oppB//nuoN//oppA//psd//cysH//metQ//purK//manY//ccmD//cynS//livG//fadH//gltW//moaD//mgrB//uof//fiu//ydiU//cbl//focB//grxC//hycH//aceB//phnF//hypD//casE//rof//ptsI//cysH//yciW//fadB//rrsB//casE//erpA//ilvD//phoU//fhuC//ftnA//fimH//rbsD//hupB//csiE//ileU//ynfK//entF//betB//fucI//gatB//ssuB//yqjH//katE//argH//nrfA//sucB//tnaC//galT//hofO//puuC//yfeW//rplM//fucP//crl//hdeA//dusB//fixX//yaeQ//mcaS//hybE//
ChbR-Monoacetylchitobiose-6P_neg	dpiA//hyfC//xylB//ulaA//nuoJ//nrdF//
ChbR-Monoacetylchitobiose-6P_pos	napA//tsr//ysgA//gapA//galM//lolB//
CpxR-Phosphorylated_neg	csiE//ydhY//hcr//rrfE//phoU//dppC//dppC//nmpC//tonB//micF//dadA//udp//tonB//hyfJ//paaJ//glpR//garP//cueO//fucR//nirC//tpx//abgB//trpD//exuT//
CpxR-Phosphorylated_pos	hybD//pstB//rrfC//ydhY//glgC//hha//cheA//fepC//codB//glpX//arcZ//cusB//csiD//nrdA//skp//nrdE//glpE//pheT//sroD//ubiC//glgP//yqjA//paaG//manZ//oppD//entA//frdC//aaeX//yhiD//cytR//rplS//nadC//hofB//glgA//moaD//creD//argC//qseC//uxuA//yegR//narL//oppA//nanS//oppD//nanA//
CreB-Phosphorylated_neg	agaW//sucD//ulaD//
CreB-Phosphorylated_pos	uhpC//lamB//ilvI//cysK//hyaE//pgaD//
CueR-Ag_neg	hydN//xylB//lacY//dmsC//glcG//
CueR-Ag_pos	gatC//yeaE//
CueR-Cu+_neg	ahpC//rplC//mhpR//lldD//puuE//
CueR-Cu+_pos	ulaA//emrK//
CuerR-Au_neg	ygiC//crr//rpsI//fucO//frdC//
CuerR-Au_pos	ugpC//glgC//
CusR-Pasp_pos	casC//ydhU//ilvX//bioB//alkA//hflX//fepG//tehB//appC//norR//fhlA//mglC//
CynR-Cyanate_neg	uidC//
CynR-Cyanate_pos	qseB//livF//rrsD//
CysB-N-acetyl-L-serine_neg	ldtB//phoH//araE//grxC//hcp//mgrB//gltD//
CysB-N-acetyl-L-serine_pos	bhsA//cyoC//tdh//xylH//frdD//nmpC//nupG//evgA//motA//bdcA//rstA//metC//hyfC//glpB//malX//fadB//nuoM//gatY//gntK//pgaB//metQ//murQ//glpQ//
CysB-O-acetyl-L-serine_neg	malE//moeA//dapD//nupC//fes//ppiD//phnE_2//
CysB-O-acetyl-L-serine_pos	gltT//nanA//gspO//uxaA//yeiW//gabT//caiD//rplT//uxaB//ydeM//xapB//moaC//yhiD//gltV//sucA//pheS//yoaG//fepE//hmp//paaJ//emrY//grxC//gatB//phnP//
DcuR-Phosphorylated_pos	moaE//malQ//rrfD//torC//hcr//manA//fhuA//tdcA//ilvI//
DnaA-ATP_neg	grpE//ydeO//yhjA//cysU//frc//cysH//feoA//pdeF//nagE//fadL//sucD//
DnaA-ATP_pos	argE//mgtL//hyaF//nirC//puuR//frdB//rdoA//
DpiA-Pasp_neg	hyfI//
DpiA-Pasp_pos	alaT//slyB//gspO//argP//fucU//ulaB//cysI//alaA//gspJ//rrfG//
DsdC-D-serine_neg	murP//
DsdC-D-serine_pos	fdhF//cysG//
EvgA-Phosphorylated_pos	nlpD//tsgA//cspE//mglC//cysG//aroG//fdnG//puuR//cyoE//hycE//fixB//fecC//dapB//mtlR//nirC//
FNR-[4Fe-4S]2+ reduced_neg	yjeF//ilvL//hycE//galM//nrdG//prpD//rutD//ydhU//prpD//argE//tdcF//pflB//garK//qseB//zraS//yeiB//chbF//glcC//ebgA//ilvD//torR//cheR//yhfA//ebgA//fucU//dmsC//narI//sucB//metB//fecR//alaV//phoQ//hypA//hypC//pflB//nrfD//glpR//nanT//hofN//mglB//ssb//malE//tnaA//aroH//fau//tsgA//yqaE//yfbR//dusB//iscS//uof//feoB//aroF//yidQ//allC//hcp//serA//rhaB//cheY//tdcF//slt//lsrK//fadH//fdnI//uhpB//osmY//asr//safA//skp//xylF//feaB//rpmC//dcuD//nrfG//qseC//hslJ//pstA//ispE//oppA//rhaB//rpoH//yebE//fis//metF//polA//purD//map//caiD//torC//aroF//fdhF//lacI//mepH//fecC//cydB//sroD//paaJ//paaA//agaW//feoB//lsrR//artP//sbmA//gntP//waaH//pck//fecE//gabD//yjeV//moaB//gcvP//crr//flhD//cusA//phoQ//cysA//nrdG//folA//katE//rnhB//
FNR-[4Fe-4S]2+ reduced_pos	tnaB//iclR//ada//srlA//mtlR//gabT//aroH//acrA//xseA//ftnB//tnaC//fucP//livM//cyoE//hybF//cydA//rhaA//rseC//puuR//agp//argP//nrdF//oppD//cueO//mhpC//moaA//gatD//ybdN//dcuS//rhaD//hupB//trpE//artJ//fadE//proP//fixX//gltD//glpQ//gabT//rplW//ydiU//rplM//fumC//znuA//hflC//gadC//rbfA//rpmC//azuC//hmp//feoC//cysH//marB//allC//ebgA//recF//moeB//fliA//tpx//gltV//nrfG//serA//malS//mutY//yhiD//mepH//fadD//fbaA//gcvT//rhaT//phnO//norR//puuC//sucC//rnlB//nikD//hyfJ//prpR//znuC//cspE//rstA//osmC//dctA//dsdA//amn//metH//nanA//modA//hisJ//yebE//ykgO//csgF//uxuR//sbcD//tdcG//manY//napA//ydhY//chiP//emrK//phnH//hyaD//narI//ackA//pstB//mdtC//purD//nanC//rbsD//citD//ppdD//comR//phoA//phoB//dcuA//dppC//iscU//hofP//yfaE//rplC//dppF//hycF//yjcH//glgX//caiF//ccmG//fecR//chbG//dsdC//idnD//cysB//paaH//purE//araG//citE//nuoJ//hybG//mdtA//galK//fdnI//pflB//ptsH//garL//mltC//uidB//gntU//puuA//sxy//glpB//ykgR//ubiC//yoaG//idnO//appY//hslJ//dsdA//hflX//crl//galS//fecC//cydC//rbfA//torC//bglG//pgaA//rrlH//ccmC//hyfF//narX//mdtA//mgtA//dps//oppC//cas2//fimD//purL//napA//nrfB//hypB//fnrS//dsdX//yqjH//acrD//nirC//cysG//bioF//comR//glpF//xylH//rpsO//hypC//ampD//mpl//mgtA//yeiW//hha//fecA//gcvT//torD//cydB//hcr//rprA//
FhlA-Formate_pos	zraP//tcyJ//cyoD//trpA//acnA//prpE//fdnI//ssuC//glgC//cas1//oppD//sucC//aroL//fnr//dadA//ihfA//murP//arfB//glcF//hypC//ydeA//aceF//moaD//fadH//tdcE//oppA//paaG//rrsE//oppF//nrfC//
FucR-L-fuculose-1-phosphate_pos	tnaC//galE//pstB//speB//gatC//ilvG_2//argT//
Fur-Fe2+_neg	trg//phoR//abgA//fiu//ydfN//idnO//cydC//aldA//rutF//fadD//fbaA//uhpB//srlE//rutC//nanE//rplD//gntU//mzrA//glcC//hyaC//gpsA//sufB//malE//ychH//malM//ydeN//psd//ugpB//hybB//envZ//rprA//arcZ//nikR//allD//priB//purD//uxuR//ubiG//hybA//bioF//glyA//dapB//cysW//hyaA//lacI//psd//astD//dppF//xylF//cydD//hisP//mtr//yoaG//fadJ//ahpF//yeiP//phnH//ugpA//artQ//ompW//gabT//exuT//hycG//napH//galE//hyfG//chbG//tpx//galE//spf//hofP//ubiX//ppiD//bioB//carA//araB//treB//ilvG_2//qseB//uxuB//fecA//rbsA//fhuF//garK//paaA//dcuB//nrdH//rpsQ//malQ//bioD//ugpB//nirB//mdtC//ogt//gltW//aceA//paaZ//aaeA//rrlA//lldR//yiaJ//ulaB//araD//borD//yfdV//bioA//sbmA//glcC//pflB//melB//rrfD//gltB//gpmA//nmpC//galT//ppiD//bamA//crr//ydfN//rstB//rpsO//casA//fliA//fimA//
Fur-Fe2+_pos	gapA//tdcA//bcsB//aaeB//rpsO//lsrK//ybiT//hybB//ybjG//nuoE//fepG//tehA//yeiP//mscM//preA//cusF//deoA//gspK//oppD//yhcH//preA//iscA//appC//nrfE//atoD//
Fur-Mn2+_neg	gatD//ccmE//artM//ycjF//serC//ulaC//rpoE//lsrF//casA//pgk//ileT//nuoC//cysI//umpH//rrfB//lysO//envY//puuP//rrfD//fiu//slyB//hybD//ybdN//efeU_1//thrV//phoU//bglG//mhpD//hypE//sdhB//ygeA//glyA//araE//copA//nuoL//galM//astA//proP//fadD//argO//cysG//yfdV//entD//dmsB//yegH//garL//baeR//aspC//cas2//fadJ//ccmC//fadL//xdhC//xdhA//garL//ilvG_1//ilvL//actP//ydhT//fucO//ssuC//ychH//aceE//sufE//raiA//fucO//chbB//uidA//yegR//envY//fepE//ccmC//ugpQ//glcC//oppB//hyfA//gcvP//ycjX//chiP//argC//fepA//bglB//gadB//pyrD//lamB//cusA//treB//napF//uof//entS//artP//ygiA//ascF//aldA//yegZ//ulaF//csiD//narG//rutG//lysC//gatZ//hflC//feaR//cpxA//napH//mglC//gcvH//caiE//glgC//moaA//gspL//creC//map//glpE//pgaB//nrfC//focB//nanT//fnrS//ileV//paaD//rrfD//hlyE//malF//
Fur-Mn2+_pos	abgA//dcuA//malI//gltA//rbsR//uxuA//malE//priB//rybA//tauC//cysG//nusA//hypD//hisP//araA//sdaA//kbl//mdtC//fiu//uxaB//acrB//mdtA//gltW//lsrC//nuoK//
GlcC-Acetate_neg	gntR//
GlcC-Acetate_pos	glpB//nuoE//rpsP//hybD//ahpC//fadB//
GlcC-Glycolate_neg	araC//
GlcC-Glycolate_pos	lsrC//lldR//csiE//trpL//dadA//araA//
GlrR-Pasp56_pos	frc//
IclR-pyruvate_neg	ydhU//malF//dppA//aldB//
IdnR-5-ketogluconate_neg	uxaA//fes//sucA//
IdnR-5-ketogluconate_pos	rdoA//rbsC//rcnB//atoA//paaD//
IdnR-Idonate_neg	glnK//evgS//yaiW//
IdnR-Idonate_pos	rutG//purE//hybB//galE//kbaZ//
IlvY-2-acetolactate_neg	hybF//
IlvY-2-acetolactate_pos	bglB//
IlvY-Alfa-acetohydroxybutirate_neg	entB//
IlvY-Alfa-acetohydroxybutirate_pos	ydhY//
IscR-[2Fe-2S]1+_neg	qseB//rof//ccmF//tyrR//hflD//rprA//cpxA//prpR//hybF//ahpF//rrfA//citG//hdeA//ygiA//glgA//csgA//pepT//rbsR//cusC//nrdE//bioD//frdB//aaeB//entS//yjjZ//pepT//mtr//gatZ//tsgA//trg//
IscR-[2Fe-2S]1+_pos	yggX//malM//nikR//lpxD//sdhD//rpsJ//ilvA//ulaE//nrdE//hypB//iscR//
LldR-L-lactate_neg	phoE//caiF//malG//
LldR-L-lactate_pos	flhC//caiD//lysO//
Lrp-Leucine_neg	fimG//arcZ//cysW//thrS//nrdD//nlpE//fepE//bamE//yoaC//paaB//putP//citE//lpxB//ydeN//cheW//rrsC//pheM//hflK//xylH//manA//argC//manY//gabD//rbsK//sucC//mhpF//yibN//safA//hycF//icd//bamE//mdtB//emrY//grcA//atoB//znuC//gcd//proP//melB//malE//glpE//srlE//iclR//ynfF//ompF//trg//emrY//cysP//paaI//ccmD//glrR//putP//artI//purE//ispE//arcZ//nanS//ldtC//gpmA//lacI//cynX//glnK//nirC//ahpF//metN//zraR//aroH//copA//gspF//fimE//napC//creC//aroM//caiB//gntU//
Lrp-Leucine_pos	rybB//livJ//nuoK//ompC//casE//carB//lamB//pgpC//rplT//ilvG_2//glpQ//tnaB//agaW//phnE_2//deoA//gatC//rrfF//zntA//ygiB//casB//gatC//nupG//cysK//malT//fau//slyB//hlyE//sufE//gadC//katG//cbl//bioF//nagC//uidC//lamB//
LsrR_neg	manZ//tfaQ//ynfH//entH//mipA//paaK//gatD//glcG//mhpF//
MalT-ADP-Maltotriose_pos	citX//rnlA//ycjX//motB//gcvT//pheM//rhaB//rhaR//narJ//trg//
MalT-Maltotriose-ATP_pos	hemL//allE//yjeV//fixB//lsrB//idnK//aer//rbsC//bglG//hybO//
