#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	astB//recF//
Ada-Methylated_pos	casA//gltD//dapB//rbsK//
AlaS-L-alanine_neg	livM//
AllS-allantoin_pos	cynR//rdoA//ilvM//
AraC-L-arabinose_neg	rybA//feoB//rhaS//tadA//rutD//ccmF//fimD//moaC//
AraC-L-arabinose_pos	emrY//metR//nadC//yneM//ivbL//sdhD//pflB//hycA//puuC//ccmE//
ArcA-Phosphorylated_neg	bcsC//tsaE//ulaD//ldtC//yoaC//moaD//zwf//hybO//livK//fimG//mpl//phnP//ynfG//srlE//cyoA//dnaE//casB//tyrR//uxuB//chbB//nikE//motA//znuC//hflK//sufE//tnaA//ompA//rrsD//yneM//ccmH//glpA//nanE//cyaR//gatA//glpQ//pepT//fdnG//astB//uidB//araE//cysU//hybF//tnaB//ubiG//mgrB//cadC//ulaB//tyrR//rpsS//rrsB//aaeX//araE//rpmC//metQ//glmY//nanM//tyrR//asr//ilvC//entC//rseB//slyB//gspO//gntU//ilvE//cusC//ydbD//marA//fecD//pgaC//hybE//dctA//cheY//glgS//melB//hofP//paaG//ssb//rrsA//pflB//trxA//pstB//hflX//hybA//rutG//oppD//narX//trpR//galT//appA//purM//araH//csgE//hybE//atoB//lhgO//kbl//ptsG//grxD//soxR//speA//lpxB//chbF//ampD//fecR//hyaF//fecA//pyrD//entE//malG//xdhB//sohB//nuoN//aroG//xdhB//ybiT//tauC//puuE//map//trpB//iclR//fadJ//dnaE//yaiW//rrsA//ssuC//gatY//
ArcA-Phosphorylated_pos	gcvH//moaD//caiA//pheM//nrdG//gspL//creB//fecC//rutA//yegR//yeaE//nanE//gltW//cysC//nrdH//mhpT//rplI//yeaR//moaA//mntH//rrsD//entE//fhuF//torR//ycdZ//mtlD//spf//cspD//ompA//cusR//hypD//ykgM//lpxB//gspL//fecR//entB//ycjF//ppdD//znuB//phoP//xylR//gadB//hfq//tcyJ//bglG//osmY//csgB//dapD//nrdB//dmsB//frdA//dmsC//cydD//entS//hflC//grpE//cadA//ugpE//
ArgP-L-arginine_neg	lsrK//
ArgP-L-arginine_pos	azuC//atoE//fimF//betI//ybdZ//fucO//dppD//dctA//ogt//speC//ssuB//tdcC//rcnB//argF//prmC//
ArgR-L-arginine_neg	prs//focA//mepH//lpxA//betB//ompX//argR//acnA//fumB//spf//aceK//paaE//tap//mipA//malP//norR//tyrB//yjiY//fnr//baeS//paaH//tar//ilvI//rseC//srlD//aceB//hyfE//pgaB//malM//dkgB//mtr//yebE//torR//astD//
ArgR-L-arginine_pos	nrfG//fucI//lpxA//sufD//ynfE//
AtoC-phosphorylated_pos	trmD//chbG//lsrB//cysW//
BaeR-Phosphorylated_pos	yoaG//moaB//cas1//moaE//aaeR//hycB//rrlE//nrfF//
BirA-bio-5'-AMP_neg	nuoG//micF//yiaJ//torD//pepT//
CRP-cAMP_neg	cstA//gabD//csgD//rpsQ//yeaR//ilvE//hofP//mhpC//cytR//dps//motA//cyaA//aroF//lhgO//hyfI//gatC//xapA//asr//rnhB//uvrA//gpmA//waaH//yecR//aaeR//yggX//argT//hypF//focA//rutE//glyA//gspD//borD//atoE//sbmC//miaA//iclR//napC//hslJ//epd//astB//acrB//yhfA//psiE//yfdX//fixC//rplV//gspO//lldD//ubiC//ydiU//aspA//mgrR//nuoI//trg//fadJ//trpL//ygiC//dkgB//phoH//ubiG//glpQ//mtlD//srlB//phoP//fadI//prfA//alaU//metN//purR//rimM//nikD//gnd//hyfI//csgB//cysG//pheT//fecB//caiF//ldtC//gcvT//gntK//murP//hypB//lacI//phnJ//mglB//ilvA//tauA//frdD//nrdD//oppD//comR//araG//ilvB//entF//puuE//fepG//focA//waaH//hycC//rhaA//ssb//ynfK//glpX//deoA//hmp//hyfJ//nikD//dcuC//gspC//rnlB//hycF//dcuR//yqjH//nrdH//ptsH//fhuF//ulaE//fadL//yeiP//aceK//pheM//fecR//carA//pagP//nrdA//znuC//znuB//guaB//nikD//lldR//mdtD//tcyJ//
CRP-cAMP_pos	lsrA//chbA//rrfE//agaW//prpC//moaA//bglF//artQ//lldD//purK//hdeD//gntP//yfdX//mzrA//ygeA//fadJ//livM//iscU//micF//rrsH//idnR//cyoB//rrsD//narX//mtr//aaeR//edd//ilvD//ung//hybF//rnhB//kbaZ//nanM//idnR//gdhA//yojI//cra//nirC//grxD//glnA//araF//lldP//mhpB//araD//bglF//ampD//ygeA//gntT//caiT//metE//sufS//ccmH//bioC//uidB//phoB//argB//prpC//ytfE//argA//citF//gltF//ybiT//dppD//atoE//nuoA//narL//ssuC//lpxD//paaF//crl//mscM//idnK//frdB//map//cra//dnaE//yeiB//yhfA//entD//cpxA//nrdH//paaC//ileU//prpB//glnD//trpC//fixB//gspC//fdnI//tcyJ//nupG//hycB//glcC//yjiY//argO//metF//hyfC//uvrA//uof//uvrA//dnaN//manX//rbsK//ilvI//nlpD//frdD//hybB//artQ//ccmH//rhaR//mgtL//bamE//hpt//ychH//guaB//dppC//rplB//argH//manY//hyaE//melB//preT//nrdB//tktB//hisP//rybA//frdC//citG//hflD//cadC//pflB//malS//ftnA//hflD//ccmA//umpH//purD//phnI//nuoF//prpD//lsrG//yaiW//frdC//puuC//yneM//cysH//glcE//bglB//baeS//yhcH//tar//hycA//idnO//gspK//pstB//alaA//paaZ//hyfH//galP//ldtC//ugpC//yggX//rrsD//lldR//hslJ//nrfF//aroG//rplS//emrK//tsaE//zinT//ilvC//fadJ//hycB//astA//dusB//soxR//pstB//flhD//nuoJ//pstA//nlpE//mdtB//narX//tdcD//ilvD//rrfC//hyfJ//lysC//uhpB//nikA//oppB//pstS//aceK//yhhY//tauD//mglA//sohB//ykgR//sufC//soxR//bcsC//nirD//argD//treR//stpA//marB//lpxB//dpiA//acrF//ugpQ//ssb//ydhY//feaR//hypA//rbfA//iscA//mscM//yhcH//idnD//znuA//rbsC//appY//mgrB//sdaA//tehB//glgX//tdcF//cynS//ybfN//purA//modA//gspI//rrsA//glpQ//xylF//entH//ahpF//yneM//tpx//amtB//hemA//tfaQ//yeiB//araA//ileT//speB//nrdI//frdA//bglF//ydhT//cysH//crr//ugpC//soxS//pepT//araF//fadE//amiB//gpsA//paaF//waaH//entA//fldA//yjjZ//yqaE//metR//fucP//cusR//sohB//caiB//manY//yfiP//norW//fimH//lysU//ispE//mntS//cysK//arcA//lacY//artP//dppA//idnK//serA//glcA//rhaS//hybD//rrlC//cyoE//tam//rimP//trmD//astD//ilvI//ilvH//yhcH//phnI//fixC//bioC//fimI//ybdZ//mtlR//iscR//fliZ//hybE//moaE//norV//zraS//rpsC//aidB//malY//yfaE//argR//ychH//rpsO//phnG//puuC//mhpR//fimE//mhpE//ptsH//yoaG//yqjI//fhuC//mglB//livM//hyfR//ubiA//tdcE//katE//fadH//napC//aer//araF//fliZ//rplP//hcp//pitA//metJ//ccmB//mlc//napA//mgtL//cspD//lacI//gatZ//argI//mhpE//cysJ//nrdE//degP//agaV//dppC//ompC//phoQ//srlE//xylB//araJ//nac//mntH//ugpB//efeU_1//malX//ygeH//nuoM//tam//fucA//yeiL//feoC//acnB//ilvC//rrfC//phnH//cadA//trpD//fadB//fumC//ynfG//rhaT//hyfD//narK//phnG//aroH//deoA//cysI//dpiB//abgB//tauB//rpsC//allD//nmpC//gspK//gatD//fabZ//lacA//deoA//umpH//csiD//rpmI//ysgA//uidC//astE//envY//mtlA//polA//metA//prpB//yecR//ulaC//prpD//ugpB//paaF//rrfH//galP//ykgM//phnE_1//cstA//hcp//cpxA//baeS//casA//napG//sucB//ilvL//tnaC//sufC//hyaF//aroL//
ChbR-Monoacetylchitobiose-6P_neg	fepC//mutL//metH//phnE_1//serC//tsx//
ChbR-Monoacetylchitobiose-6P_pos	rrfG//livK//fadA//cysN//uxuA//puuA//
CpxR-Phosphorylated_neg	cheW//bcsZ//chbA//puuR//araG//alaA//lldP//yciW//gntR//fldA//dsdX//purR//metB//cbl//rutA//lsrB//cusR//fimC//fumA//glcG//aldA//pflB//purN//ilvL//
CpxR-Phosphorylated_pos	fucI//ptsI//narQ//erpA//tyrA//infB//gatY//nagA//zntA//dcuR//cysH//adiC//malQ//acrE//hypA//feoA//modB//cyaR//gatD//mtlR//ccmA//entF//miaA//mhpC//hyaB//mdtD//rpsP//narX//dadX//fucI//fliZ//melA//cusB//fucP//fecR//rpsR//hemA//lpd//hyfC//fiu//yeaD//ulaE//allE//glnL//rbsR//
CreB-Phosphorylated_neg	caiA//nrdH//fadA//
CreB-Phosphorylated_pos	hofC//comR//glpB//metL//codB//ydeO//
CueR-Ag_neg	pdeF//paaF//gltV//yfbR//nuoK//
CueR-Ag_pos	hyfG//napG//
CueR-Cu+_neg	cheB//fadB//gcvP//rplV//purA//
CueR-Cu+_pos	araG//bamE//
CuerR-Au_neg	caiD//metK//sufB//mhpE//safA//
CuerR-Au_pos	nagA//pgaA//
CusR-Pasp_pos	yojI//pheT//rrfE//xapB//bioD//cysJ//yiaJ//lysU//cadB//csgC//rnpB//mhpR//
CynR-Cyanate_neg	rplD//
CynR-Cyanate_pos	lhgO//rrsA//hybC//
CysB-N-acetyl-L-serine_neg	recF//casD//rpoH//rimM//dppC//bcsB//tauD//
CysB-N-acetyl-L-serine_pos	ysgA//uidC//csgA//chbB//ilvA//fadD//sbcC//pncB//glcG//gspE//rbfA//alkB//fecB//rpmI//mdtA//phoQ//tdcF//grcA//dmsC//fhuA//bglB//ompF//xylB//
CysB-O-acetyl-L-serine_neg	ubiG//ydfH//fadJ//hofC//hyaC//carB//napA//
CysB-O-acetyl-L-serine_pos	agp//hycG//tonB//creA//cheA//grxC//alaV//rpsP//rbsB//fucA//nrdF//artP//hofC//phnK//soxR//osmY//folE//ppiA//amiB//puuR//entC//nikA//deoC//narI//
DcuR-Phosphorylated_pos	ulaE//rof//bhsA//ugpQ//fdnH//purF//ssrS//puuC//prpE//
DnaA-ATP_neg	yeaD//argP//araH//mscM//aldA//cysA//dcuR//iscS//cydA//hyfR//mtlA//
DnaA-ATP_pos	hha//ygbA//fliA//dcuR//fhuD//glnG//hyaE//
DpiA-Pasp_neg	gltF//
DpiA-Pasp_pos	rseA//argT//gatY//infC//mhpE//mhpA//glnB//glcB//uvrA//purL//
DsdC-D-serine_neg	rplP//
DsdC-D-serine_pos	nrfA//argD//
EvgA-Phosphorylated_pos	cpdB//citD//fes//narG//lsrK//aaeB//purF//rnpB//rnhB//rhaD//napH//dppF//hycE//dcuD//dpiA//
FNR-[4Fe-4S]2+ reduced_neg	araC//cdd//yhjC//hycE//uhpC//paaJ//glgC//narQ//prpB//nupG//ilvB//aceF//purR//citD//malK//cysG//deoA//rpmI//ilvI//norV//caiB//casB//mglC//metL//talA//frdA//yaiA//ybdZ//rrfA//rpsC//lacZ//tam//gspM//paaF//ompX//marA//lldD//rplM//marA//dcuB//yneM//feaB//motB//ilvL//galS//nupG//rrfC//tdcC//phnD//hofP//lacY//ssb//hyaA//sdhA//serA//casA//idnK//araB//fdnG//paaD//rrfG//motB//bcsA//frc//metC//moaA//cyaA//nuoM//exbD//araB//tyrB//rhaA//cysC//puuB//nirC//pncB//sdaA//tnaB//gyrA//motA//priB//pgk//glnL//nrdI//araD//melA//fixB//glgS//yecR//gspC//nanK//tdcC//fhuE//mipA//glpD//azuC//xseA//rplT//nagB//gntR//hslJ//appY//ugpE//gntT//dmsA//ybdN//phnM//cysC//uidA//nlpE//ilvI//nac//glpF//malX//paaJ//tfaQ//oppB//rrfH//ubiA//rbsC//
