#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ryhB//cas1//
Ada-Methylated_pos	glpG//rbsB//prpR//fixB//
AlaS-L-alanine_neg	fadI//
AllS-allantoin_pos	nuoH//rybB//hydN//
AraC-L-arabinose_neg	zntA//gcvH//casC//manA//caiD//phnF//mhpC//fepG//
AraC-L-arabinose_pos	malG//nuoM//citE//cyoD//allD//dps//appA//lysA//hyfH//ubiX//
ArcA-Phosphorylated_neg	dcuB//tdcB//xapA//malM//copA//nrdF//rrfB//uxaA//ssuB//ccmH//yfeW//hypF//araE//hofO//prfA//pta//nrfG//xylH//pitA//pyrC//yeaE//rrsE//truB//ivbL//ugpB//manA//citF//kbl//xylH//galS//fecA//manY//galT//edd//tadA//entS//citD//malS//qseC//gpsA//xylB//fixA//malP//feaR//nuoL//rpsR//ilvX//rhaA//rrsA//cadC//moaE//bioD//appA//folE//yidQ//ascB//sufA//phoB//ryhB//hyaB//alaA//hybF//glcB//araA//fepE//metA//pitB//gapA//aroL//fdnI//agaW//tam//idnT//nrdE//putP//malI//caiE//moaC//fecA//prpC//mntS//aroM//cpdB//malS//dnaN//ugpQ//ybdN//cysW//ompR//mhpE//efeU_2//cusC//ydeM//lacZ//gpsA//purN//soxR//hypD//yggX//prpC//hybB//yebE//rmf//sbmC//ccmG//tfaQ//citX//pyrD//ssuB//cas2//nrfE//ulaB//rrlD//ulaF//paaA//phoR//nagC//glpE//yggX//fnr//ygiC//nrfA//ispE//eda//yeiP//pstC//dnaA//
ArcA-Phosphorylated_pos	hyaE//ytfE//galP//phnN//tauC//lsrD//grxC//nrfG//mhpT//tdcE//ybiT//gutM//idnO//citE//rplW//pgpC//actP//gltT//micF//lsrR//hypE//nanC//pstC//napH//dppB//rrlD//preT//deoA//malI//garR//rrsE//bcsB//melB//hypE//copA//paaJ//tolC//comR//codA//acrB//ompA//fadB//lsrG//baeS//psd//phnL//casA//gltU//artJ//hofN//ulaD//ileT//deoD//nikE//hofN//pheS//cyaR//metF//
ArgP-L-arginine_neg	nagC//
ArgP-L-arginine_pos	phnJ//dusB//gadB//aroG//ssrS//codA//paaD//infB//fumA//allC//fdnI//glgC//entS//nuoE//fucR//
ArgR-L-arginine_neg	nuoJ//ygeH//hycH//rplP//cdd//casB//gspM//rpoS//cusR//yeiW//livM//cysW//hupB//ssuA//rhaA//fldA//ccmD//rpoE//spf//caiB//ynfK//rybB//nanM//betT//metC//livM//adiC//puuD//metN//malG//mltC//phnH//creA//rhaD//
ArgR-L-arginine_pos	pitB//cysK//sroD//hyaC//cpdB//
AtoC-phosphorylated_pos	nac//allC//trpL//malP//
BaeR-Phosphorylated_pos	nanA//prs//nupG//rybA//sroD//hyfJ//bglB//fau//
BirA-bio-5'-AMP_neg	yhhY//emrY//rrsD//ykgR//moeB//
CRP-cAMP_neg	preA//mntS//ccmA//atoB//yaiA//exbB//puuA//nuoK//yfiP//ydfN//dadA//fucP//nanT//lsrD//fimF//serA//gdhA//bamE//bglF//ogt//manX//napF//hycG//cheB//cdd//fimH//acrE//uidB//manX//gspM//rrfG//cysK//ilvM//chbC//micF//ydiU//motB//astB//aer//gpmA//hofN//gltF//ydeM//fis//evgS//chbA//ubiC//fadI//xapA//cusR//slt//erpA//hemL//frdC//mhpR//citF//pheM//spf//mscM//abgB//yfiP//mcaS//cysW//mtr//ulaB//hyfD//galM//uxaC//feoB//bglB//gpsA//argC//gatZ//trpD//fumA//uidC//allE//tomB//grxC//ydfH//araD//metH//fecC//gntK//fadB//fabZ//paaA//upp//melB//ilvL//uhpB//yjeF//rpoH//sdhB//tdcD//moeB//yibN//ulaC//hyfG//galK//argG//glpD//ybjG//rplM//azuC//mhpR//glpK//ryhB//xapA//yrbL//map//casA//nuoA//tonB//fumC//argT//nuoG//aroP//oppC//citG//focB//lsrC//rpsF//nuoH//dppF//treC//fadJ//gpmA//argH//ileV//ytfE//pitA//hybF//
