#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rseB//uhpC//
Ada-Methylated_pos	hyaC//yciW//nadC//yhjC//
AlaS-L-alanine_neg	csgD//
AllS-allantoin_pos	csgF//ileU//pstS//
AraC-L-arabinose_neg	glgP//fadD//aaeB//gltD//narK//udp//truB//paaI//
AraC-L-arabinose_pos	gntU//gapA//yfdE//fucK//avtA//oxc//hflK//ycjX//glcG//ynfE//
ArcA-Phosphorylated_neg	aceE//xseA//nmpC//hybF//srlR//purF//evgA//cysP//evgA//hycC//srlB//cynX//speB//dppC//lsrB//hflX//nirC//gspD//fadB//cheW//tnaC//aroP//artI//cheB//bacA//yibN//torC//gntX//gspD//ccmC//fimI//aspA//glpT//cpdB//grxC//alaU//truB//ydhV//glgS//tdcC//araF//sdhD//rpoS//rplD//caiD//puuB//ydeO//mhpE//hypC//malK//yegZ//safA//acrE//norW//dnaN//alaA//metJ//moaB//nrfE//edd//znuC//infC//cusB//cadA//tauC//nrfC//lacA//tehB//phnG//rpsQ//ilvI//uidA//fhuF//hyaB//argG//glmY//fepG//cyoE//upp//cyoB//sbmC//argG//hybB//tdcB//fhuB//glpQ//tsaE//ryhB//glgP//mgrR//paaA//lysO//ynfG//ppdD//amtB//citD//araA//gspI//hemA//cynT//rcnA//fliA//yaeP//cusF//hemA//cusS//feaR//pgaB//fis//agaW//micF//yoaG//ilvX//rpoE//hyfR//fimD//gspG//artI//ileU//galE//rrsG//mglB//yeaE//dps//glyA//sdhA//prfA//
ArcA-Phosphorylated_pos	cysB//trpC//ilvX//kbl//idnT//hyfJ//spf//comR//rbsC//nagC//cysD//uidB//malI//rbsK//crp//fur//prpC//avtA//zinT//fau//glpK//cysH//lysA//gcd//araC//pepT//rplD//pgpC//sdhB//deoD//metQ//purF//hmp//nanE//feaB//nikR//malS//yeaD//ycdZ//ynfE//serA//yfaE//nikA//hofP//lldD//ilvG_1//gltV//hyfG//yggX//feaR//qseC//purE//rpoS//galK//yggX//betA//purH//argC//
ArgP-L-arginine_neg	dmsC//
ArgP-L-arginine_pos	azuC//livG//pncB//nuoG//fes//phnL//abgB//citG//uxuB//oppB//ileU//napC//rhaD//yqjH//ascB//
ArgR-L-arginine_neg	araG//exbD//sdaA//ycjX//fucU//pnp//kbaZ//lsrB//gntX//dcuA//rnhB//nuoJ//gltV//cvpA//cydA//citG//rhaR//amtB//dapD//creB//gntP//glpA//rstB//fimA//mhpC//erpA//rplW//pitB//aidB//nuoC//purH//hypF//rrsB//astD//
