#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cas1//epd//
Ada-Methylated_pos	ulaB//pstA//mntP//gadB//
AlaS-L-alanine_neg	hypE//
AllS-allantoin_pos	chbF//cspD//evgS//
AraC-L-arabinose_neg	aroL//iscU//hypD//ilvM//qseB//nagB//caiE//hpt//
AraC-L-arabinose_pos	glnL//cynT//fhlA//alaU//rrsD//uidA//modB//glcG//uidA//cirA//
ArcA-Phosphorylated_neg	fecE//spf//yjcH//lpxB//lacA//ysgA//cydA//caiD//metB//ydeO//fhuF//ccmH//nrdG//frdA//uraA//cysJ//csgA//xylA//csiE//ivbL//prpB//mntP//stpA//gcvT//nrfA//araD//miaA//uidA//argP//garR//rbsR//paaA//xdhB//rseB//ppiD//iclR//ilvB//mhpR//dppB//agp//phnL//trpC//lacZ//sucD//gltU//ulaB//ompT//xdhC//spy//cbl//hyaE//prpD//cvpA//narQ//gltB//ubiC//dapD//znuA//treB//fecA//galS//rbsR//uxaC//serC//dps//dnaN//cyoC//aroM//norR//artM//prpE//yqjA//casE//rutC//rnhB//ulaF//iscS//lpxB//hflX//folE//ydhX//mepH//gspC//rpsP//tdcF//cyaR//rrsB//lsrG//dcuD//cysI//sufC//ccmH//cynS//sxy//narH//rrfF//cusR//argC//gcvH//cpxR//paaK//paaG//mtlD//cynT//phoH//rhaT//ycdZ//astD//manZ//argD//rnpB//cysJ//galE//ompF//glgA//cpdB//fucR//tdcD//fadH//citF//gspL//gutQ//rpsQ//argH//ada//sdhD//aspA//
ArcA-Phosphorylated_pos	ssuC//manA//marR//argP//argP//manY//actP//glgB//map//cysD//mhpB//citC//nikB//gspD//hyaA//ydeJ//lldR//gatA//dcuD//dppC//dmsC//galM//rbsB//ppiA//nuoM//cyaR//glcB//trpA//yjjZ//hpt//hisP//csgA//sbcC//cirA//tar//efeU_2//rutE//ahpF//ynfE//nikD//trmD//gabD//mgrR//lacY//purE//sdhA//lsrB//soxR//tdcD//ilvH//metE//cydD//manX//araG//hfq//guaA//fadJ//hisQ//
ArgP-L-arginine_neg	narK//
ArgP-L-arginine_pos	guaB//rpsO//tauC//aidB//rnpB//ubiC//ssuE//hycF//yegH//atoA//glnA//safA//ileT//ugpB//yaiA//
ArgR-L-arginine_neg	bglF//ybiT//bamA//ulaC//gapA//purC//cbl//cysA//gcd//zntA//rplC//uxuB//tnaB//rrfB//oppA//ilvX//mtlR//serA//fecE//artM//yidQ//prmC//rrlE//efeU_2//zinT//nuoC//tfaQ//purH//rprA//puuC//hybF//pgaD//cusA//uof//
ArgR-L-arginine_pos	ycjF//phnC//lacY//polA//yeiP//
AtoC-phosphorylated_pos	cheY//cynS//rrlD//ppiD//
BaeR-Phosphorylated_pos	puuE//ygaC//citF//evgA//glmY//fldA//yegR//gatA//
BirA-bio-5'-AMP_neg	rbsK//hlyE//eda//feoB//adiC//
CRP-cAMP_neg	livM//malM//ilvM//nrfB//bglG//pitA//artI//phoB//mutY//psiF//fecI//norV//aceE//mgtL//allE//nanK//bamE//mutY//nlpE//dcuC//rpsC//guaA//rbsK//tehA//cysH//glcB//cyoC//soxR//nikR//caiC//gspC//yqjA//lsrD//polA//appB//trpR//phnM//araF//allC//gpsA//nrfE//yegZ//yfdX//paaG//nikD//yegR//tnaB//cysB//gspH//ptsG//ahpF//csgA//gntT//icd//srlA//micF//thrS//cpxA//purL//galM//hybC//pgaC//ivbL//rcnB//tauD//casC//csgG//mhpR//mipA//ynfE//hycG//katG//ugpC//manX//nac//oppA//cusA//hofM//deoD//ydhX//torA//xylF//ydeO//yojI//rhaS//ileV//phnL//baeR//gntU//yjeF//napG//alkB//qseB//ompF//rprA//nrdA//lsrR//uidB//iclR//tnaA//bamE//nirB//gntT//bcsB//nrfA//miaA//eda//lacZ//ynfE//prmC//dpiA//sufE//kbl//torD//chbA//cdd//fecC//uhpA//fadE//bcsA//cspE//nikC//hyfC//iscA//ydfN//hyfB//paaG//entF//hyaB//ccmC//frc//fis//hypC//
CRP-cAMP_pos	mhpR//ileU//gltV//ptsG//bamE//cysA//allD//fecB//hyaC//gltD//purN//entA//aceA//osmY//dnaE//speB//cysC//allE//betI//fixB//ebgC//cysH//arfB//gpmA//argR//ybdZ//oppF//citE//nuoF//ilvE//rpoE//argC//tdcA//ilvD//motB//gspF//torC//srlR//nlpD//zwf//purB//yhhY//hemA//rpoE//cas1//rrlA//argR//hha//ilvL//cynX//cynX//gltU//idnR//yhjA//fhlA//hybB//dnaE//sdhA//lacY//dkgB//mhpA//hybB//ynfF//tomB//gatZ//casD//rhaA//glcD//ndh//cysK//ydiU//nrfB//gcd//bhsA//yeiP//fliZ//csgG//gntP//araE//purR//fecE//bglF//fucU//phnJ//yfdX//glpC//artQ//bioB//frdA//uhpA//hyfI//nikC//uxuR//torC//yqjA//iscU//napH//lsrA//polA//rplT//ccmA//tyrP//bglB//crr//sufA//iscU//hybO//rhaB//lolB//sxy//cspD//cheY//gatY//ychH//artI//manX//csgA//galK//cirA//rpsO//yaeP//yhjC//narL//fhuC//safA//dsbA//rplM//purR//lamB//idnO//glcG//tsgA//pyrC//napH//ydhW//argE//mgrB//aroP//tsaE//thrV//idnO//asr//cysM//lysO//alaA//ulaF//dadX//amn//exuT//artJ//cusB//fepC//lpxD//csgD//skp//priB//abgT//gspL//chbB//stpA//glpR//tdh//dkgB//phoU//rutD//rybA//rplI//frdB//gabP//hpt//araB//iraM//mdtB//rhaT//xylH//dsdX//lsrF//yegH//yjiY//citC//arcA//glpF//arcA//phoU//secB//dsdX//astD//gatA//hyfD//trpR//entC//araJ//mtlA//aldA//gpsA//ptsH//puuD//uidA//mdtD//yfaE//rhaR//rrfH//bhsA//erpA//ilvB//acrE//evgS//glpE//idnD//mdtB//artJ//argO//tdcB//dcuR//torA//rpoE//oppD//ysgA//moaC//gatZ//gltF//rutD//cyaR//tdcE//rrlC//livH//alkA//fau//aldB//srlA//tehA//ompT//yjjZ//dcuA//livH//mdh//metF//yjcH//chbC//yoaG//glcD//ydhT//hofB//caiT//hyfC//rbsD//cadA//tdcE//nikB//rrfB//ybdZ//talA//araH//betT//xdhA//chbC//gcvH//pnp//dcuS//glnD//srlE//frdB//mgtL//crp//torC//livH//fabZ//map//arfB//hyfE//acrB//napD//nohA//tfaQ//glpA//pgaD//nagC//epd//fhlA//preA//cusA//acrB//zwf//betB//hyaF//uxaA//nrdF//kbl//glnA//bamA//bcsB//trpE//nrdG//dcuD//proP//hisM//metN//ybfN//pflB//rprA//allC//caiD//rrlC//nikE//tyrP//pgk//ileU//mtlA//sucA//ampE//sxy//rnpB//galS//hypF//lsrK//fnrS//puuA//citC//cynS//narX//upp//phnH//napB//hflX//hfq//hofO//sucD//lpxD//cdd//actP//fadI//betA//sdhC//entD//fimC//ilvB//rbsR//napD//yqjA//alkB//rseA//aceE//paaD//appB//priB//metF//yojI//fliA//cynT//gapA//srlE//fimI//yhjC//yrbL//csgD//leuE//nrdD//rrsG//agaV//allC//nagC//osmC//psiE//rseA//ilvL//yjiY//ogt//rutF//ubiC//iraD//frdB//udp//icd//allE//ybdN//modB//stpA//narI//gltB//upp//sdhA//phoQ//iscR//hyaC//hofB//phoB//rimM//gntU//fliA//fucR//rplM//malM//tehB//infC//speC//casC//purL//gspM//dsbA//hypD//lldR//nrfF//mglA//rnhB//lldR//sucB//tyrB//speC//hyfA//bcsC//gpmA//mgtA//aroH//hybG//pflB//iraM//ydiU//xapB//ydhY//avtA//hflD//exuT//grpE//rrlG//sucB//narI//aroG//rhaR//preA//
ChbR-Monoacetylchitobiose-6P_neg	fimC//rprA//sodB//nuoK//torR//spf//
ChbR-Monoacetylchitobiose-6P_pos	rpoE//glnD//rbsB//erpA//deoA//trxA//
CpxR-Phosphorylated_neg	sufS//mglC//srlE//nlpD//bcsC//purM//dadA//ulaD//rrfH//cydA//nrfB//ybiT//grpE//nanK//mhpD//cynS//cysK//mscM//glcD//entC//xapB//creB//dadA//ccmD//
CpxR-Phosphorylated_pos	fucP//galT//fecB//xylG//uxaC//narJ//bcsA//mdtB//baeS//trpA//dctA//ulaF//gutM//mscM//malM//ileT//citF//tolC//nirD//cyoB//hcr//micF//edd//fimH//xylA//secB//yeaE//dnaE//pnp//trpE//gcvP//glgA//nagE//talA//glgX//dppB//hypA//fecC//rrfE//oxyR//ycjF//ynfK//ulaC//nanS//gcvH//
CreB-Phosphorylated_neg	torD//cheY//ilvI//
CreB-Phosphorylated_pos	pepT//ydfN//preT//rplV//modB//aceF//
CueR-Ag_neg	aaeR//moaA//casD//phnD//yegZ//
CueR-Ag_pos	fepG//fadE//
CueR-Cu+_neg	fhuC//hflX//yjeF//hyaE//ccmB//
CueR-Cu+_pos	fimD//rpoS//
CuerR-Au_neg	ygbA//cusA//moeB//ynfK//gltU//
CuerR-Au_pos	fnr//metJ//
CusR-Pasp_pos	lsrR//rrlA//nuoK//nanE//yeaD//phoR//rrlC//iraM//recF//argT//rpsI//nuoB//
CynR-Cyanate_neg	aldA//
CynR-Cyanate_pos	yaeQ//gatZ//exbD//
