#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ydeJ//dppC//
Ada-Methylated_pos	malS//gcvP//xylF//ftnB//
AlaS-L-alanine_neg	pyrD//
AllS-allantoin_pos	appB//atoB//oppB//
AraC-L-arabinose_neg	fucI//abgA//rhaT//glrR//yibN//deoC//dnaE//pstC//
AraC-L-arabinose_pos	ykgM//ydeA//dcuB//cstA//cheA//caiE//fecB//ygeA//serC//cheZ//
ArcA-Phosphorylated_neg	creD//araG//astD//lacY//cysM//hybF//ygbA//gnd//ampE//glrR//cysJ//miaA//livH//gspC//csgB//malF//fucA//trpR//dapD//fixA//caiD//nupC//fepC//rrlB//ispE//mntP//yjcH//ivbL//dadX//prs//tar//cra//hyaD//iraD//lsrF//nanK//uxaB//paaC//fadI//astB//cytR//rrlB//ilvI//gabT//pheM//prfA//csiE//pck//napD//mglB//feaB//betI//melR//rpsS//focB//puuB//nupC//sufD//metY//ydeA//ydhU//ycdZ//gltF//borD//fecI//speC//idnK//bglG//glrR//yeaE//caiE//gcvP//citG//ilvG_2//dctA//ynfH//aceA//fadL//phnD//rbsB//oppB//aaeA//bcsC//yhfA//mtlD//aceA//exuT//sdhB//uidA//evgS//cas1//acnB//tsgA//ydbD//ynfF//znuB//rplC//appX//rrlE//mtlR//nuoL//aroL//nuoL//pagP//gabD//allC//metY//cusB//gspE//lacZ//nagA//xdhC//uxaA//malQ//nikA//norW//ahpF//dppA//gltD//napC//trpL//argE//cra//appB//gltV//ycdZ//ubiC//
ArcA-Phosphorylated_pos	fimH//glgC//ugpE//fimE//fis//phnF//aceF//galS//cydB//tdcB//fimD//oppC//iscR//rrsG//ssuE//glrR//ung//aroL//phoU//malI//exbD//tdh//deoA//ssuB//aldA//srlE//nikD//agp//nrdI//yeiP//melB//melA//fecR//dmsC//hofM//spy//purC//nagE//marA//argD//cheA//narG//gcvH//nanM//hflD//cytR//aceF//gyrA//ubiG//ybdN//lamB//uhpT//glgS//gatZ//rbsA//nuoK//gatC//sucD//
ArgP-L-arginine_neg	xapA//
ArgP-L-arginine_pos	efeU_2//gspI//xylH//pstB//hypE//hyfG//gntP//rplT//hyaF//nrfG//rpsR//yeiP//galS//fhuC//rimP//
ArgR-L-arginine_neg	yjiY//ebgC//galE//phoQ//aaeX//fadL//fnr//metN//rpsQ//preA//nirB//mgrR//nanS//soxR//nikC//mglA//fbaA//recF//gspD//gcd//ydeM//argO//narI//yfdX//iscA//argP//xylH//creA//rrsH//cynS//cyoB//mtlD//mtlD//nupG//
ArgR-L-arginine_pos	pheT//fau//fepG//purA//gadC//
AtoC-phosphorylated_pos	acrF//araF//nuoC//pepT//
BaeR-Phosphorylated_pos	fadA//alkA//lacZ//hdeB//cysP//hdeD//phnN//glpD//
BirA-bio-5'-AMP_neg	fepB//tktB//malE//nikR//atoA//
CRP-cAMP_neg	cysD//baeR//pck//yaeQ//moaB//uxaA//mhpD//fhuA//aer//kbl//aidB//gutQ//nrdH//narH//slyB//ada//cpxR//manX//nanC//nuoI//glpE//oxc//bglF//puuB//hisM//nirB//stpA//cusS//nikB//cyaR//preA//nrfB//envY//tyrR//ulaE//fldA//fimH//ilvE//codA//lsrF//tadA//gcvH//rrfC//fepC//lldP//zwf//rpsO//nuoE//fimG//glnB//uhpC//yjiY//rnlA//tam//hdeA//agaV//gatB//galS//phnE_2//bglF//chbA//nohA//rpmI//ycjX//infC//sdaA//hfq//nuoJ//actP//xapB//cheR//modA//argT//ahpF//ybiT//rpmC//degP//phnE_1//galE//dkgB//aaeX//rutE//caiF//nohA//rhaB//fau//ilvX//rplC//tdcA//alaA//livM//pstB//sdhB//pck//pstB//lsrK//actP//emrK//xylA//ykgO//emrK//hybA//glgC//ybdZ//modA//ydeP//cysU//ychH//tauD//frdD//phoH//murP//gutM//glpC//cysJ//ilvY//rrsC//nuoL//glnL//envY//garL//fadI//paaJ//alkB//rseC//idnO//gcvH//ssuD//fucA//artM//tauC//fecI//tdcB//
