#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cyoB//yciW//
Ada-Methylated_pos	pagP//hemL//deoA//comR//
AlaS-L-alanine_neg	trpE//
AllS-allantoin_pos	fepD//aceA//aroM//
AraC-L-arabinose_neg	rutB//codA//rrlG//phoB//fhuE//evgA//araG//rplD//
AraC-L-arabinose_pos	glcE//znuC//phnO//uidC//lldP//zwf//amiB//rplI//nanA//napF//
ArcA-Phosphorylated_neg	cheR//hybO//rrsG//rrlC//nrfE//adiC//dpiB//malI//cusC//ackA//dpiB//aceE//aer//norR//ascF//aroF//trpE//carA//mltC//fumA//nrdB//ydhW//csgF//hyaC//hypC//mntP//rimP//rplD//mzrA//rcnB//rhaS//ompT//chiP//serC//rutE//argC//moaE//nanS//yggX//tktB//rrlE//rbsB//ytfE//fabZ//rrfE//ilvG_1//casD//fhuF//umpH//ygaC//yciW//bacA//rimM//nuoJ//glnA//bioA//fucP//nikR//torC//rhaB//fhuD//fepE//kbl//ybjG//glpK//paaI//casA//nuoN//speB//araD//glnB//appY//betA//gspO//sufS//evgS//pdhR//yhhY//rrfD//leuE//gpmA//ompR//fimI//paaG//fhuC//ptsH//fucU//araB//hycB//ptsH//modC//rybB//rrlB//pepT//caiA//nrfE//focB//hypE//gntR//caiD//pyrD//envY//csgF//modC//srlB//tehB//hupA//creC//udp//psd//ung//ptsH//ptsG//zinT//ada//artJ//focB//tap//ldtB//gatA//xylH//tdcC//ftnA//lsrF//caiA//gdhA//appX//
ArcA-Phosphorylated_pos	mdh//emrK//prpE//phnG//gltB//yfbR//napA//mtlA//nikR//cysA//yegR//pstC//fixA//napB//creB//bioB//nfuA//mhpF//dkgB//bamA//uxaC//argH//agaA//fhuC//yhjA//ahpF//argR//ynfK//puuR//gatY//dsdA//dmsB//csgE//aceF//phoB//hycB//spf//pheS//cyoE//mutL//fhuB//sufA//sodA//fhuD//dcuC//rplP//psiF//ompC//yegZ//nohA//hyaB//aroF//tam//fimA//folA//serA//rrfC//rimP//
ArgP-L-arginine_neg	tnaA//
ArgP-L-arginine_pos	lsrC//yjcH//ihfA//znuC//malE//uhpB//bcsC//nuoB//ynfK//cusF//treB//mntS//tomB//araD//atoD//
ArgR-L-arginine_neg	glcE//rrlG//rrsC//paaA//hdeB//rpsQ//atoA//infC//abgT//mtlR//fecD//hycG//alkB//cyaA//pdhR//rhaD//gnd//mcaS//mhpD//hofP//gltB//cysM//kbl//psiE//rutB//ulaF//guaB//aroM//hisP//purR//norW//melR//lacY//rhaB//
ArgR-L-arginine_pos	xylF//moaA//casB//arfB//hybO//
AtoC-phosphorylated_pos	tsgA//appB//psiF//purN//
BaeR-Phosphorylated_pos	speC//ispE//garP//fhuE//hycC//trpA//exbD//ptsI//
BirA-bio-5'-AMP_neg	puuB//slt//gntR//alaU//fucK//
CRP-cAMP_neg	dapB//fliZ//cysD//rrsD//yjjZ//mdtD//lsrA//ccmF//phoE//araA//dctA//nrdA//lldR//ileV//ydeN//amn//mutY//yeiB//napF//chbR//sbmA//rplV//cadC//ogt//qseB//codB//rrfG//glmY//aceB//nirC//spf//ydeM//amn//ychH//ulaC//aspA//fepE//argO//sufC//ubiG//envZ//argF//gutQ//paaI//rrsE//nuoG//hybF//narL//nuoJ//zraS//fecE//glpA//deoC//gatC//fecB//dkgB//pstS//hyfD//nikE//pck//phnO//gcvT//ssuE//flhD//araE//uof//ugpB//galT//rpsI//rutG//rrlH//galT//mtr//lysP//rutB//mgtL//sufC//fadB//hycE//ubiC//mgtL//dcuS//ykgM//rplW//fhuA//hycD//cusR//safA//rpoE//aaeB//entS//yidQ//mgrR//hycB//araC//hslJ//deoA//cpxR//galK//srlE//grxD//ulaA//mtlR//gltF//hyfG//cpxA//rpsP//codA//tauA//ulaA//ilvE//fldA//dmsB//napA//pdhR//hdeA//fimF//galK//ydhW//artQ//tsaE//csiD//tfaQ//argB//nikR//fixX//cysU//uhpC//zraR//zinT//fixA//ydhV//rybA//
