#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	araE//hyfC//
Ada-Methylated_pos	ilvI//sdhD//asr//cynX//
AlaS-L-alanine_neg	sucA//
AllS-allantoin_pos	aceB//uxuA//rutD//
AraC-L-arabinose_neg	nrfE//appC//gabD//nirD//dppC//rrfF//livG//lrp//
AraC-L-arabinose_pos	argG//pstB//rrsH//rpsI//ydeP//lamB//hybG//rmf//hemA//rrsG//
ArcA-Phosphorylated_neg	oppA//nirC//gntT//cynS//mtr//carA//ahpC//glgB//atoD//gltA//purK//yjiY//ydeJ//fixC//yjeF//treB//moaC//entC//ompC//tdcE//rrlC//artJ//ackA//araB//atoD//nrfC//lpxA//agaA//ydfH//malI//gntR//trpR//chbR//fecA//araD//nuoA//malM//ackA//yjjZ//ppiD//lolB//argB//purM//bioF//csgC//yeiL//nuoH//acrB//rutA//ydiU//arfB//znuC//dmsB//fucP//bacA//moaA//rhaT//yeiW//aldB//putP//grxC//galP//dctA//rhaB//azuC//rrlE//paaC//trpL//fadL//emrY//rrfG//speC//malE//rrlA//ygeH//tehA//ubiC//bioA//idnO//rbsB//creA//fnr//cyoA//hflX//lhgO//narL//ilvI//nrfG//glcB//rnhB//malQ//rpsI//tauB//hflD//yfiP//ychH//ccmA//ampE//abgT//livJ//grpE//rseB//nrdB//hydN//gatD//livJ//purR//psiF//hha//hyfD//sdaA//leuE//yjiY//cvpA//mutL//hycH//phnG//hupA//hypF//mlc//casC//tomB//gspJ//rplT//hyfR//astB//bcsZ//
ArcA-Phosphorylated_pos	ulaE//ydiU//astB//malM//purK//aldB//galK//znuB//crp//dsbA//dnaA//lsrF//ychO//mhpC//glpQ//artP//bglG//hyfB//moaA//csgB//trpR//malZ//srlD//zraR//sucD//tdcE//cyaR//alaU//ygiC//ansB//hflX//lldD//tdcD//lysO//fixC//prpB//puuE//znuB//glgP//fecA//lysO//paaI//rhaS//efeU_2//nanS//sucD//astB//pstC//ebgA//allD//aroA//hcr//ompW//dapB//alkA//sdhA//ugpE//tktB//
ArgP-L-arginine_neg	paaA//
ArgP-L-arginine_pos	moaD//hycC//xylA//avtA//treC//ccmG//fdnI//mhpT//icd//pdeF//iscA//metJ//hypC//rseB//ccmG//
ArgR-L-arginine_neg	hypD//tadA//malE//srlR//yeaD//sohB//fimA//acnA//arfB//psiE//cysN//nanT//actP//polA//cspE//glyA//yidQ//allE//hycF//galP//mtr//idnO//paaZ//sroD//appC//rpsO//citC//fdnH//glgC//ydhY//rseC//caiE//hofC//fucR//
ArgR-L-arginine_pos	metJ//fucI//creC//hypB//pitA//
AtoC-phosphorylated_pos	marR//metF//pck//pgpC//
BaeR-Phosphorylated_pos	mhpF//aroH//agp//puuC//uhpC//zraR//purA//gcvP//
BirA-bio-5'-AMP_neg	crp//casB//dppB//rrlE//cyoB//
CRP-cAMP_neg	tdcA//malG//ynfF//rutD//ccmB//mntS//yecR//dcuS//garL//rplM//uxuB//paaB//atoE//aroH//citF//bioD//cpxR//napG//prfA//hisP//gspJ//hcp//rhaD//napF//arcA//cyoD//pheS//phnO//pstC//pepT//ppiD//rpoH//gcvP//fucO//atoB//phnD//fhuA//gltW//puuB//sufD//frdA//yjeV//citD//copA//cysK//recF//rutB//yhcH//entB//gspO//citD//gspI//galS//ssb//argT//dsdA//spy//rnpB//glpR//moaA//rpsF//ydiU//nanT//yfaE//rrsA//fimG//yaiA//fucI//fadL//fldA//yjcH//trpL//artP//nrfD//gltW//exbB//infB//aceE//manA//hyfC//glgC//lsrD//rrfD//agaA//casA//lldP//rhaD//narG//ydhU//fabZ//purR//sohB//yqjH//agaA//ugpQ//yidQ//betB//astC//mglB//alaT//oppA//nagA//melR//feoC//hypE//betA//cysG//ilvC//hofO//lysO//fumB//rrsE//nirD//malS//nuoA//hyaA//appB//paaH//galP//arfB//rnpB//lacA//rhaB//mpl//mutL//cydB//bhsA//nrdI//lamB//csiD//phoE//fucO//fecB//
