#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gdhA//glpQ//
Ada-Methylated_pos	lldD//ydeJ//prpB//tehB//
AlaS-L-alanine_neg	purN//
AllS-allantoin_pos	yojI//fecB//soxR//
AraC-L-arabinose_neg	cirA//cysW//fhuA//metB//phnL//fucP//mzrA//ascB//
AraC-L-arabinose_pos	uof//pstA//caiE//ubiC//frdB//fimC//ycjF//kbl//katE//rrlB//
ArcA-Phosphorylated_neg	fepD//tktB//phoU//aspA//ilvM//ampD//yegH//rutG//nuoB//moaB//puuD//glpK//melB//agaA//rplC//alaU//avtA//puuA//glpF//efeU_2//codB//zntA//fecI//treR//hflK//ysgA//hemL//gltW//speC//rrsE//fepB//phnP//araG//fecI//mhpR//glyA//nagA//rrfC//fepE//rrfD//cysP//yeiB//nuoK//dsdX//mpl//feaR//astB//glyA//lsrK//hslJ//cheB//glcE//sdhC//hdeA//frdD//cysA//hypA//abgT//uidC//araA//lsrG//hha//phoB//dnaE//pgaA//iscR//treR//fimG//bglF//fumB//rdoA//tehB//ubiX//ulaE//chbB//hyfJ//ptsH//fau//rcnA//hyfJ//mutL//gspL//hycF//fucO//pgpC//sufC//dppF//fixX//rpsQ//fimF//tdcC//fecC//fadB//creA//sdhD//nanK//creD//mtlA//ycjX//fimG//lhgO//hyfF//nrdB//mdtB//moaE//gltV//napH//gspJ//hdeA//atoA//aidB//ydhT//ispE//entE//gspH//prfA//ygaC//paaB//trpR//frdA//metA//chbG//rybA//cysK//aspC//mgtL//aaeR//
ArcA-Phosphorylated_pos	malS//gcvH//mhpC//fbaA//pstS//oppA//hflC//feaB//ubiC//cysC//nlpE//gspD//nanM//ugpA//pheT//aceK//rbsA//cpxR//lsrF//ugpA//oppB//dppA//tdcF//dctA//sbcC//ykgO//gabP//uidA//mglA//ilvL//hpt//ydbD//mutL//hisM//hofN//micF//rrsD//cheW//sdhC//ulaD//chbA//nadC//glyA//aaeB//ychO//purK//cysH//phnH//aroP//znuC//hflD//astA//soxS//rimM//motB//glgP//yiaJ//mhpD//
ArgP-L-arginine_neg	infC//
ArgP-L-arginine_pos	ccmD//rmf//yhhY//epd//ebgC//qseB//purF//garL//lsrR//ychH//glgP//secB//ydhT//ychH//tadA//
ArgR-L-arginine_neg	slt//csgG//serC//gntT//astA//bamA//fnr//yidQ//cysW//dsdX//narQ//mltC//hyfH//moaB//ampD//fhuE//ydeP//mutY//bglF//dcuC//lpxD//hflX//nuoI//rnhB//fimG//feoC//gcvH//paaI//fliZ//znuA//rrfG//lamB//uxuA//sbmA//
