#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	micF//atoB//
Ada-Methylated_pos	puuP//yqjI//comR//glpR//
AlaS-L-alanine_neg	puuE//
AllS-allantoin_pos	nohA//tdcG//mhpF//
AraC-L-arabinose_neg	phnL//chbF//caiB//narQ//dcuB//mutL//caiF//adiC//
AraC-L-arabinose_pos	phoA//pstC//hyaE//ung//ydhX//mhpC//aldB//nanT//hflD//ybjG//
ArcA-Phosphorylated_neg	lacY//eda//tauB//hybB//fecC//borD//lsrR//malI//chbG//srlD//betA//ydhV//pstS//mzrA//mgrB//ycjF//fadL//dsdX//cusB//hycH//glgX//envZ//gatD//fucA//chbR//phnI//ulaD//ppdD//cysG//xylA//pck//nikC//deoD//aceF//argI//uidB//cysJ//nanS//ivbL//rcnB//lldP//prfA//ynfH//fimE//yrbL//pdhR//entH//fepD//pstC//sxy//rimM//trpL//cynX//gatZ//bcsC//trpB//safA//dcuB//motB//cysN//fldA//hyaF//rplI//nirD//amiB//fecC//cusR//bamE//gltB//tsaE//glrR//qseB//grpE//ygaC//phnJ//nikB//puuC//sufE//livK//stpA//rstA//grcA//infB//mtr//purE//ybdN//citX//ilvC//hybC//hycH//garL//dcuA//srlD//tsr//hypA//nohA//gatB//ybfN//glgS//uidC//moaA//focA//fimH//rrfD//rbsR//tsgA//mhpF//malQ//znuB//hlyE//norV//rbsA//cysA//yeaE//purR//narK//cynT//ilvX//cadC//aroL//fixA//acrF//trpE//aer//argO//alaS//spf//
ArcA-Phosphorylated_pos	nusA//livJ//araH//serA//hisP//ptsG//ilvX//rplS//thrV//pta//hyaF//artP//grxC//rhaS//gspG//pstA//ppdD//cpxA//torD//garL//malK//dadX//dps//ftnA//torA//agaA//acrF//zwf//cueO//gspL//cysA//acrA//glnA//grpE//dsdX//aroL//ygaC//mhpF//abgB//oppB//hyfC//guaB//carB//atoE//upp//rrfB//dnaA//galM//lpd//rplC//entE//nanT//glnK//rrfB//uidB//chbF//pgaD//tdcG//
ArgP-L-arginine_neg	argA//
ArgP-L-arginine_pos	cheY//torC//napD//cpdB//fimA//hypE//phoU//rrsG//rutB//hybE//argH//cynS//malE//nanS//gadC//
ArgR-L-arginine_neg	caiB//purC//nuoC//hdeB//yedX//caiT//gcvT//rcnB//ysgA//uxuR//ebgA//garL//malX//rrlE//ygbA//lacY//nuoB//malE//metI//hybA//yhhY//mtlR//lacA//bcsB//moeA//rbsB//pdhR//ychO//caiC//phoE//hypF//glnL//skp//glpC//
ArgR-L-arginine_pos	nanK//appA//nuoA//rstB//cusR//
AtoC-phosphorylated_pos	ampD//frdD//gapA//degP//
BaeR-Phosphorylated_pos	glnB//nikA//cysW//yibN//yjcH//pnp//hyaC//nrfC//
BirA-bio-5'-AMP_neg	acrA//mntP//atoB//tauB//dppB//
CRP-cAMP_neg	fixC//yidQ//rof//lsrR//edd//rybA//malP//dcuD//hyfA//nrfG//nuoL//alaU//acnB//cysA//dcuR//malS//cueO//aer//gadB//nirD//lhgO//gapA//lpxB//garP//trg//rpsS//fdnG//idnD//malK//rpsO//abgT//purD//aroG//alaV//idnR//edd//sdaA//chiP//aspA//rhaR//yaiW//fucU//acrF//dmsD//melR//nrdE//ydhY//iscA//pgpC//nuoL//hyfJ//srlA//hdeA//nuoI//argB//gspI//xylH//iscU//ilvM//paaJ//atoB//casE//metQ//astA//citX//abgT//cyoB//dsbA//ygaC//yaeP//mgrR//fdnG//rrsD//glyA//yciW//gatB//rrsH//abgT//fnr//yhiD//csgE//cydC//xylH//cyaR//rbsC//glcB//rstB//gltD//phnJ//moaB//trpB//cra//glcA//dnaN//map//ptsI//gutQ//mcaS//mhpE//paaG//aldB//sdhB//yhjC//prpR//metQ//serC//hdeA//trpE//pstB//ptsH//sdhC//tdcA//argT//caiE//lysA//treR//dmsD//dppD//mutY//cas1//gatB//comR//atoB//fdhF//feaR//fucI//gcvT//rcnB//ilvX//galP//ccmC//ugpQ//rplM//
