#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gntU//uidC//
Ada-Methylated_pos	puuC//ansB//iscU//ubiC//
AlaS-L-alanine_neg	ulaD//
AllS-allantoin_pos	pgaB//ilvM//narG//
AraC-L-arabinose_neg	yojI//nlpD//glcF//fur//ilvL//glgC//frdC//ygiB//
AraC-L-arabinose_pos	mcaS//glgB//narK//livM//rrsC//rpoH//mcaS//tauC//trxA//dsdC//
ArcA-Phosphorylated_neg	dadA//csiD//ydhW//yggX//acrD//gltW//yhjA//ileV//ppiA//fumC//mntH//yaiA//rcnB//yiaJ//fumA//tomB//ynfG//caiT//treB//uof//manX//atoE//tadA//fepC//actP//rhaT//glnD//osmC//malX//deoB//entA//xylB//dnaN//cysP//phoU//rrsB//speA//nikD//casB//hypD//gntX//ykgO//citX//gspK//hyfC//moaD//speA//gatD//purK//gntK//hybB//srlR//glcD//chbF//phoE//rpsS//rcnB//treB//malX//putP//ubiA//rnlB//rcnA//rmf//ydhT//crp//rprA//hyaD//spf//rnpB//malS//yoaG//ybdN//gnd//lacZ//cyaA//cyoB//rrfH//ybjG//hybD//chbB//ydeJ//rrfC//gspK//ycdZ//mpl//fdhF//hycG//ugpB//mtr//tauC//glgS//znuB//yhjA//hycH//azuC//phnC//citX//rrlG//ydeA//phnO//spy//casC//gntR//phoP//rrlD//bcsC//ada//ygeA//rstA//nuoI//proP//ygiC//caiD//citE//fecE//yfdV//hypC//hyaE//hofN//hyaF//prmC//entH//alaU//phoE//pheT//fnrS//
ArcA-Phosphorylated_pos	acrB//argA//osmY//ompW//xylA//gpmA//rbsK//malX//fumA//torR//mpl//zwf//focA//mdtA//ilvA//paaZ//crp//yrbL//cyoC//crl//hofO//avtA//rhaS//crl//purB//fhuB//paaJ//livK//hypE//livM//lhgO//rseA//bglB//casB//rbsB//gabP//dmsB//paaC//nrdE//paaZ//appC//rrsD//nikD//treC//rrlC//talA//cas2//cspD//purN//tdcE//cadC//sdhB//hofN//tsgA//treR//hypA//hypB//ydeM//
ArgP-L-arginine_neg	sbcC//
ArgP-L-arginine_pos	dcuD//mutL//creB//trmD//waaH//malX//nrdH//gatD//fucU//pstC//rutD//cyoD//yeaR//rbsB//puuP//
ArgR-L-arginine_neg	glcA//iscR//oppC//xapA//yebE//pitA//sdhA//ynfF//yoaC//borD//xapA//trpB//fucO//dnaA//adiC//glpC//lolB//galM//idnO//cusS//fimH//mhpF//rcnA//aroL//appX//gdhA//ilvH//mhpC//napG//argC//spy//hydN//phnC//codA//
ArgR-L-arginine_pos	astC//lrp//aceB//ileU//hypC//
AtoC-phosphorylated_pos	dcuA//nuoI//aaeX//entS//
BaeR-Phosphorylated_pos	exbB//lsrC//astE//rrfA//dppB//phnL//appC//sodA//
BirA-bio-5'-AMP_neg	marA//nanA//yjiY//nohA//yfbR//
CRP-cAMP_neg	napA//nrfD//zwf//glyA//fdnG//mdh//lacY//ilvB//betB//mdtA//caiF//hflC//bglG//emrK//hybB//secB//infC//ytfE//garL//glcB//ygeH//manY//chbB//norR//bamA//phoA//hisQ//gpsA//rrfE//citE//paaZ//prpE//mgtA//bdcA//cirA//ydeM//map//metC//uhpB//purF//ydhU//ldtB//dmsA//lpd//cysD//glgX//fucK//mhpB//csiE//appX//caiF//fhuF//puuB//fhuF//acrF//narG//fimD//dmsD//rseC//dsdC//uxaC//yeaD//cusA//ygiB//napH//metK//fixA//rhaS//fliA//lldR//gspH//nmpC//purB//uxuA//feoB//nirC//fimC//fumB//phnD//ptsH//cusA//alaV//betB//nikC//dsdC//rrfF//glcF//argR//araD//nrdD//yfiP//idnD//pflB//mscM//ldtC//hyfA//appA//pta//nanA//mzrA//fhuE//abgB//nanE//fadE//tap//envY//rhaR//caiC//allD//ytfE//yedX//gntK//malF//ompC//cusC//ulaE//gabD//iraM//purF//nanS//hypD//pgaB//astC//mdtC//rnlA//nuoL//uhpB//argO//yaeP//yegH//rrfD//ptsI//tnaA//
