#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	xapB//phnJ//
Ada-Methylated_pos	rrsD//ebgC//bamE//srlA//
AlaS-L-alanine_neg	fecA//
AllS-allantoin_pos	rof//creC//citC//
AraC-L-arabinose_neg	uxuA//dkgB//malT//aaeR//rpmC//ygeA//envY//fixB//
AraC-L-arabinose_pos	cheA//cheR//ilvB//hyaC//manX//bamA//paaJ//serC//xseA//appB//
ArcA-Phosphorylated_neg	rrsG//paaB//aroP//nikD//galK//argI//bglG//ccmE//gcvT//ampD//cysM//asr//dsbA//sufE//malM//purC//lsrB//lolB//abgT//trpB//purD//nikA//rplM//astC//ccmB//xylH//phnI//hha//hypF//mntS//astA//rrsB//uhpC//uidA//sufS//sucD//rnlB//ivbL//metE//nagB//fimE//codA//ompC//metE//glgP//crp//argP//xylA//sdhC//ompT//carA//paaA//folA//mtr//sbmA//fhuC//moaE//fepB//dapB//rrfF//fau//fucP//epd//pgk//glpF//tpx//garL//modC//citC//lysU//ompF//katG//pstB//nrfA//purF//betB//hyaB//crp//baeR//chbR//hcp//cheZ//phnE_2//trpC//glcC//fimA//lsrR//allE//ulaD//ssuA//oppD//ugpQ//pyrC//nohA//sucD//malZ//araD//glpC//cydA//bcsB//iraM//lpxB//rbsD//spf//hycB//lsrR//creA//nrfF//ccmB//livK//aceE//yeiB//appC//nuoM//trmD//tam//murP//nuoE//ccmF//pdeF//talA//rmf//idnO//nagC//appX//creC//mtlA//
ArcA-Phosphorylated_pos	exbB//ybjG//rseB//gutQ//oppD//yoaG//icd//ydhU//zraS//cra//purD//cheZ//sxy//ygaC//ygeA//rrlA//hyfA//puuC//phnP//fadE//ppdD//dppB//hyfE//livM//preA//moaA//hfq//cvpA//araA//purF//rdoA//araJ//fadA//ydiU//rpmI//gspL//ydhU//fis//yibN//csgE//focA//tnaA//argA//rrlD//acrD//edd//nrfC//gabP//grcA//citF//glpK//srlR//argP//yqjH//gspH//pepT//citC//norW//
ArgP-L-arginine_neg	argR//
ArgP-L-arginine_pos	nac//prs//yecR//ydhX//nanE//dnaE//argE//dsdX//ebgA//prfA//dmsA//tdcA//mhpA//atoD//malF//
ArgR-L-arginine_neg	guaB//dsdC//alaV//ptsI//cadC//pnp//hha//garK//hyaD//thrS//phnL//hyfJ//nlpE//rutG//rdoA//ilvC//ydeM//ilvM//trpE//rrlE//ydhU//ynfE//idnK//rrsA//rpsF//allD//garK//aroM//recF//cydD//idnD//fhuE//tdcC//ccmA//
ArgR-L-arginine_pos	hyfB//purM//cysP//ilvL//napA//
AtoC-phosphorylated_pos	rybB//cheW//ihfA//pgaA//
BaeR-Phosphorylated_pos	rplI//emrY//prpD//cheW//bcsC//rutG//gatA//tauB//
BirA-bio-5'-AMP_neg	mlc//fhlA//purL//aspA//cysJ//
CRP-cAMP_neg	rpsS//sxy//rrsG//bioB//hyfI//carA//chbA//caiA//gatA//kbaZ//phnE_2//cynX//ppiA//cysI//actP//upp//hycF//aaeR//gatA//nikC//nirB//purA//allC//uhpB//yegH//gapA//envY//thrS//pitA//agaW//znuB//yibN//nanS//focA//lacZ//ygbA//rcnB//nuoL//ampE//rutD//prmC//glyA//mutL//argT//gutM//cydC//fucP//ugpQ//rrlE//mtr//sohB//ydeN//bamE//hycF//miaA//metB//sroD//ydbD//malG//ugpQ//mdtC//stpA//rrsD//agp//citD//alaV//deoC//rnpB//ryhB//uxaA//astD//chiP//rrlD//chiP//focA//hyaA//gcd//puuP//cdd//nfuA//argA//yhjC//nrdF//casE//oppC//hypA//chiP//ubiA//uhpC//nohA//cpxA//tdcB//hyfH//fes//malT//sdaA//agaV//tonB//bioC//metC//yrbL//oxyR//rhaR//glmY//atoE//mhpT//borD//sufA//mhpE//cysU//thrV//deoC//dcuR//paaJ//tdcA//hofO//prfA//pgaC//dsdA//ulaC//murP//hflK//aaeB//gntT//dppD//puuB//yhiD//mcaS//mdtA//oxc//pdeF//cpdB//argO//
