#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fixB//stpA//
Ada-Methylated_pos	uxuB//rnpB//yeaE//pdeF//
AlaS-L-alanine_neg	phnP//
AllS-allantoin_pos	asr//cpxA//yoaG//
AraC-L-arabinose_neg	narG//talA//iscU//rrsC//rplD//ygiB//lysA//oxyR//
AraC-L-arabinose_pos	guaB//glgB//amtB//hyfC//narQ//pgk//fdnI//dapB//rrsD//fhuE//
ArcA-Phosphorylated_neg	rutA//uhpB//phnM//aldB//nuoL//hybE//argG//bioD//cysJ//nirB//yjeV//folE//nikD//nuoG//rplS//creC//nanT//hycF//rrsE//hslJ//tnaB//narJ//livM//feaB//rrlG//katG//fimA//sodB//tdh//araH//nrfB//gspL//ompR//cusA//glcF//ebgC//yrbL//prmC//cusA//dmsA//hlyE//ybdN//rimP//fhuB//glcB//ynfG//hyfA//phoR//ldtB//fepC//codB//ssuA//dmsD//ugpQ//nuoE//uxaC//hycF//ygaC//lsrA//cyoC//fepB//yedX//dusB//cyaR//ileU//ydeO//tsaE//yaiA//cyoC//mipA//mgtA//pflB//grxC//fimC//puuA//mntS//xylG//rutB//yneM//hybC//artQ//dgcZ//cydA//ilvC//iscS//kbaZ//argT//csgF//livK//borD//fecA//nagE//ydeM//argA//cpdB//tdcC//envZ//ompA//ydeP//nuoG//gspK//trpD//tyrR//ssuE//uxaA//ompC//murQ//dmsC//tfaQ//moeB//allC//treC//chbB//cadA//yqaE//hisJ//purM//tsr//rutE//fldA//baeR//mgtL//mhpF//ppdD//mhpT//exuT//fepC//
ArcA-Phosphorylated_pos	fimI//paaD//motA//ssrS//dppB//glpF//rhaR//glpG//glnD//caiB//lacZ//tyrP//ychO//yneM//glpC//yqaE//glgB//gspF//acrA//dadX//soxS//ulaC//rimM//prpD//ssuD//sufB//gltF//mdtA//malS//rbsR//oppA//moaC//uxuR//ompT//cdd//ynfK//hisP//bioB//yegR//melA//rutB//aldB//mhpR//yaeP//cas1//mutY//paaH//pgaD//alaV//hycI//dapB//ulaC//hisQ//bamE//chbG//dgcZ//fdnG//csiE//
ArgP-L-arginine_neg	mutL//
ArgP-L-arginine_pos	metI//ung//zraS//ryhB//uxaB//astE//pdhR//rseC//phnG//manA//modC//betB//prpE//ndh//astA//
ArgR-L-arginine_neg	rnpB//fucR//nupG//tdcG//fecR//cysD//dpiA//rcnB//yecR//amiB//lrp//fimF//idnO//deoC//recF//metL//narQ//bglF//metB//tdcD//purL//deoD//yrbL//paaF//ompT//fimH//aceE//sxy//dadX//rutF//micF//uhpA//hycD//csgA//
ArgR-L-arginine_pos	livK//nikR//cysN//garK//mhpE//
AtoC-phosphorylated_pos	xylH//uhpC//tauB//rhaT//
BaeR-Phosphorylated_pos	hdeA//bhsA//ansB//hlyE//mutL//fadD//atoB//mhpF//
BirA-bio-5'-AMP_neg	xylH//hyaD//exbB//zraR//glpT//
CRP-cAMP_neg	cusB//pgaC//frc//uof//glpR//rcnA//nirC//polA//cysC//metB//glnB//yeaD//fdnG//uxaC//bglF//casD//csgE//hypF//aroF//bioC//gltV//ybjG//dpiA//yoaC//trmD//mtlD//cspD//nikA//appX//yeiW//rhaT//ugpB//cusA//cpdB//ssuA//ydhX//zraR//dkgB//nrfG//osmY//glpC//ynfE//efeU_1//citX//napC//livJ//feaB//ilvI//ssuA//yeaR//ascB//ada//fnr//glmY//cheZ//glcE//mpl//ftnA//carA//uxuB//fes//fixC//icd//livK//fucO//fadE//acnA//hflD//rutC//crl//lsrB//glpC//lsrA//narJ//narX//prfA//paaG//mtr//puuC//rrsH//ccmG//dgcZ//gabP//aidB//mdtD//yaiA//argF//dpiB//gltU//ppdD//yjiY//stpA//nuoC//bioB//dapD//gspH//rprA//gutM//gltB//fur//glcG//dppB//gnd//glcD//sufE//ynfK//fhuB//rutE//ubiX//csgB//nikD//rpsQ//crr//frdC//garL//proP//appX//appX//rutA//bhsA//manA//ydfN//mntS//cysB//creC//ygiC//efeU_2//deoC//cysH//yoaC//ebgC//crp//ykgR//
CRP-cAMP_pos	metN//nagA//yjcH//fur//glpD//citG//yibN//nac//carA//rnhB//nuoG//rutF//rpmI//nuoI//xylA//fecA//purA//ascF//paaD//mscM//ydhY//hyaA//fepA//pitA//uhpA//napA//ynfE//nikC//mepH//nrfA//ldtC//aaeX//ybdN//melB//artP//acrF//hycD//rpmI//glpB//gltF//ldtC//lrp//miaA//yoaC//argH//iclR//oppF//trpL//hupB//frc//glpG//tsaE//glgA//rhaS//ppiA//ydfN//argB//glpK//polA//gspO//hisQ//acrF//gatC//purM//ompC//glcA//lsrA//ydeN//nusA//oppB//ssuD//gspO//hybF//gltW//argB//abgA//mgtL//fes//aceF//livH//rnlA//tauB//bcsA//ygiA//yjiY//ubiA//ptsG//motA//dkgB//glcF//acrE//yegH//bioA//feaR//norV//focA//nrdB//oxyR//paaF//ompF//ygiB//ydhU//napB//mglA//nohA//betB//betI//lsrD//mntP//phnC//phoE//ynfE//tcyJ//ldtC//rpmI//aroP//modC//araH//ynfF//yjiY//lacZ//sbmC//hisM//pflB//nikR//rpsI//dapB//hybG//efeU_2//xylA//rrsD//yhjA//manY//glpE//amiB//dsdX//phnI//pheS//tpx//fdnG//tomB//ycjX//galK//hyaE//alaU//creA//cyoC//moeA//purF//oppF//gspJ//dadA//yecR//appB//ybjG//xdhA//treC//dppD//sucB//ssuE//bcsC//tadA//phnC//grcA//mdtB//rnhB//epd//nrdB//epd//aldA//cyoA//mhpF//fecD//pstC//ilvG_1//bioC//malP//bglF//paaK//glnG//hycB//purD//gatD//soxS//csgE//srlA//azuC//ilvN//xdhC//gapA//oppA//comR//purE//aldB//tdcD//envZ//trpR//alkA//purR//citE//miaA//rrlG//nrdD//aceF//uxaC//metK//deoD//manZ//motB//puuB//exuT//entS//alaS//tadA//pdhR//nrdD//nagB//thrV//yiaJ//rnhB//baeR//ydbD//rbfA//mtr//nanT//alkB//tktB//gcvP//cysN//araC//fucK//gltA//yaeP//dnaA//cydA//dppC//pyrC//dcuA//cynX//glpQ//dsdC//uhpT//yggX//rrfF//prpB//yeaE//srlR//fecC//casC//yggX//abgT//ilvC//glyA//ydhW//hofP//melB//betB//tap//mgrR//mltC//speC//rof//tdcE//paaD//glnL//moeA//rseC//yrbL//yhfA//evgS//argH//purN//edd//ulaD//ydiU//treB//fadB//idnT//dapB//csgF//fumC//srlE//cysP//zraP//lpxD//fumC//glpR//bioC//ytfE//fbaA//cynR//pepT//cheR//purH//hypB//rdoA//gntX//astC//phnE_1//uxuB//hflX//fecI//tauC//dppA//fdnI//prpR//metH//degP//znuC//nrfB//artJ//rrsD//bcsB//amn//mntP//nrdF//katE//hfq//srlA//rhaR//crr//carB//ycdZ//cas2//ivbL//xylH//fimF//gltD//nrfA//citC//atoA//argB//cheZ//rutE//yqaE//bcsZ//paaH//hycB//metN//fecD//zinT//cynS//cheB//yidQ//mdtD//ccmF//fepB//purE//argI//uxaC//ynfF//bcsC//nuoI//pgaD//tadA//tyrA//glgP//nuoH//cydC//cyaR//tauB//nrdG//yciW//csgB//araC//cydB//cysB//fadA//malE//cbl//uraA//rpsS//zraS//treB//phnN//lysA//ilvG_1//ssuB//purH//puuA//alaA//ptsH//dnaN//fhuC//napG//mdtD//cra//uhpA//rrfD//ung//atoB//srlA//dmsB//creB//dsbA//malZ//adhE//sohB//torC//feaR//idnO//sdhB//rutF//cas2//rutG//uhpT//mhpD//dppF//grpE//dcuC//trxA//mipA//iclR//garL//ssb//srlA//aceF//gntX//yrbL//raiA//dkgB//treC//rof//mgtA//lpxD//fucU//deoD//rplI//mntS//
ChbR-Monoacetylchitobiose-6P_neg	yeiW//mgrB//casD//secB//fhuF//codB//
ChbR-Monoacetylchitobiose-6P_pos	fnrS//ydhX//xapA//puuE//glpX//sufD//
CpxR-Phosphorylated_neg	ulaE//puuA//flhD//ampD//codB//csgC//hycE//purD//mscM//tar//trmD//gltF//nuoB//yoaC//aroL//qseB//ispE//hyfD//dsdX//tsgA//tonB//uof//nrdA//fecE//
CpxR-Phosphorylated_pos	appY//tsgA//hycI//fixX//ybjG//idnO//malE//rof//ssuE//entS//pitB//rrsG//tauA//tehA//ugpB//ygeA//cyaA//rrfF//zraS//gatZ//fumC//fumC//fadE//napA//hisJ//nuoK//oppF//bioC//pstB//chbB//ssuE//galE//phoR//torA//glcD//livM//modA//fimG//mhpA//ybiT//tdcF//mtr//rutD//gatY//cspE//
CreB-Phosphorylated_neg	sdhB//phnF//fhuE//
CreB-Phosphorylated_pos	frdC//gatD//agaW//hyaE//fumA//rpoE//
CueR-Ag_neg	hybE//cra//cpdB//aroM//rpoH//
CueR-Ag_pos	rimP//napD//
CueR-Cu+_neg	dnaA//nanC//paaC//tktB//ydeA//
CueR-Cu+_pos	cas2//fucR//
CuerR-Au_neg	ybfN//efeU_2//dppD//phnI//bioF//
CuerR-Au_pos	dadA//garR//
CusR-Pasp_pos	ebgA//sufB//argH//arcZ//serC//rcnA//dapD//rrlA//fecI//modC//fbaA//csgF//
CynR-Cyanate_neg	malF//
CynR-Cyanate_pos	hypE//ldtC//nagA//
CysB-N-acetyl-L-serine_neg	srlE//yciW//phnI//fimA//hybG//nuoN//argR//
CysB-N-acetyl-L-serine_pos	cusB//fepA//idnO//casD//aroG//hdeA//cyoB//yeiW//cvpA//lacZ//dapD//lpxD//garP//lhgO//recF//yjiY//fiu//bdcA//sufD//tnaB//aroH//focA//tauA//
CysB-O-acetyl-L-serine_neg	gpsA//dsdA//nuoF//caiC//artJ//yidQ//malY//
CysB-O-acetyl-L-serine_pos	ldtC//gapA//pgaD//pgpC//dapB//yojI//sucC//ccmC//cadC//cheW//ydhV//moaD//mhpB//dsdC//acrB//ynfF//entC//yhjA//yeaE//nikA//ybdN//xdhC//ptsH//napF//
DcuR-Phosphorylated_pos	cysW//nrdG//creB//phnO//yfdE//hofO//rstB//marB//gspM//
DnaA-ATP_neg	ydhV//bdcA//glpQ//exbD//gspM//sdhD//purC//ahpC//mhpF//edd//hofC//
DnaA-ATP_pos	sdaA//pgpC//fadL//nirC//cheZ//nagA//eda//
DpiA-Pasp_neg	yeiW//
