#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ivbL//arcZ//
Ada-Methylated_pos	yjiY//malQ//ccmH//ilvM//
AlaS-L-alanine_neg	fimI//
AllS-allantoin_pos	eda//ykgO//csiE//
AraC-L-arabinose_neg	leuE//lsrF//rpsI//focB//sdhA//lpxD//fumC//gltD//
AraC-L-arabinose_pos	dmsA//creC//phoH//rrlC//borD//purE//ulaF//rhaB//polA//yeiP//
ArcA-Phosphorylated_neg	rhaB//cusF//chbF//nrdI//alaU//yrbL//tyrA//glnB//ogt//yciW//garR//hydN//hisM//agp//znuC//hycB//ssuD//nuoB//phnI//hfq//ppdD//araJ//dsbA//ilvD//aspA//yhfA//uidA//yhcH//amiB//sdhC//tauB//yhfA//zraP//entE//entS//araG//ftnA//aspA//argI//caiD//carA//lsrC//csgF//mlc//iscU//rrlH//frdC//ileV//tehA//hybD//purM//yfbR//tar//rbsC//lpxB//nupG//hdeB//waaH//cysN//hypD//lldR//pstB//ccmG//srlR//gspH//aceB//glcE//tolC//sucD//efeU_2//pdeF//ycdZ//csgF//entE//dnaE//fhuA//torR//hofO//evgA//arcZ//paaK//flhD//epd//lolB//pstB//rplV//trpL//ubiC//araJ//ilvA//malM//tpx//hflK//prpD//gltA//cysI//hupA//phnF//metC//tdcA//putP//pheM//mscM//ispE//nrdG//fadB//tsgA//uidA//gspJ//uidA//fepC//mtlA//argF//nusA//uidB//zraR//proP//nagA//tsaE//dcuD//glnK//mhpA//secB//hyfA//prpD//aroH//gabP//
ArcA-Phosphorylated_pos	ftnA//cspE//amiB//agp//pdhR//cynR//livF//prs//ydiU//allC//glgC//modB//rutC//arcZ//malG//chiP//tsgA//ulaC//crr//gspJ//yhiD//gntU//ugpE//rpsS//rplC//sroD//caiB//ascF//dsdC//astE//prpE//sucA//iclR//pheM//mpl//metH//pepT//yeaD//cusF//crl//nikE//xylA//ilvM//entB//caiD//nlpE//nuoF//metQ//manA//glnK//infB//cpdB//entA//tdcF//gspH//nuoL//ynfH//gspC//
ArgP-L-arginine_neg	cpxR//
ArgP-L-arginine_pos	mepH//serC//astA//nuoK//znuB//fhuD//psiF//purR//glpA//ubiC//gspG//gntK//csgG//exuT//cyoD//
ArgR-L-arginine_neg	lpxB//speC//purD//yeaR//metN//rseC//tsx//rpsO//ycjF//dmsD//hofM//glgX//feaR//znuB//artI//ung//asr//ilvG_2//livK//bioC//tnaC//prfA//pitA//ygaC//glnD//gltV//allC//tpx//paaI//rseB//gutQ//manA//yqjI//arcZ//
ArgR-L-arginine_pos	fecC//ydiU//cspE//gltF//nlpE//
AtoC-phosphorylated_pos	dppB//livK//lacZ//phnD//
BaeR-Phosphorylated_pos	argO//fhuA//rrfA//emrK//ychH//gatC//yjcH//sbmC//
BirA-bio-5'-AMP_neg	hlyE//phnO//araJ//paaG//ihfA//
