#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	phnG//rutD//
Ada-Methylated_pos	idnD//nikR//metH//nanC//
AlaS-L-alanine_neg	yeaD//
AllS-allantoin_pos	carA//hycI//ilvG_1//
AraC-L-arabinose_neg	nagB//rrfD//putP//ybdZ//dusB//rpoE//secB//ryhB//
AraC-L-arabinose_pos	nrdF//chbA//idnR//creD//focB//cysH//prpE//tonB//rybB//tauC//
ArcA-Phosphorylated_neg	ampE//malY//rdoA//nrfF//narJ//ugpB//ssuB//carA//gutM//rpsS//folA//yeiL//gcvP//nmpC//garL//cyaR//amtB//bioC//acnB//glpX//manY//nac//rybA//ptsI//gspM//pck//gcd//nrfF//glpQ//soxS//nadC//uxuA//ilvY//patZ//gspF//glpB//oxyR//baeR//pheS//atoE//tauD//speA//murP//ugpB//lpd//phnE_2//atoE//sufS//yjiY//codA//aer//phnN//argP//folE//hyfD//ygiA//glpA//efeU_1//tyrR//hisQ//rrlG//mutY//mhpB//dsbA//hyfE//metC//udp//yfdX//ilvL//alaA//rseA//fucR//paaF//cytR//tauC//ivbL//phoU//malY//hcp//glpG//casE//nirC//arcA//yjeV//metA//uidB//yaeQ//argF//uxuA//astE//atoE//purK//idnR//nrfF//emrY//srlD//hflK//garR//iraM//fadB//azuC//tolC//hyfH//hyfD//bglG//ccmC//tdcA//rbfA//yqjH//gutQ//artM//malY//asr//lpxA//trmD//phnE_1//cadB//nupG//livM//lysU//phnC//fiu//flhD//ybfN//azuC//agaV//purD//
ArcA-Phosphorylated_pos	fadH//frdB//hyaB//paaG//tdcC//patZ//puuE//ydeJ//bacA//ccmD//yaiW//umpH//sufC//fixX//entC//malF//purN//mdtA//araJ//sroD//gatB//nagB//casC//ilvE//cspD//ompF//exuT//cynT//mglB//nadC//fadD//fadE//fecA//mtlA//stpA//trg//xapA//deoC//creD//feoA//argT//paaG//dcuS//ccmB//puuP//rrlE//cpxR//nrdA//napB//yedX//mutY//ugpQ//napC//melA//baeS//livM//aceK//ilvC//
ArgP-L-arginine_neg	uof//
ArgP-L-arginine_pos	prpR//amiB//cadC//ugpB//alaT//mtlR//feoC//xylR//mutY//nikR//rhaD//csgC//infC//gspD//gcd//
ArgR-L-arginine_neg	mzrA//mhpR//bcsA//nuoN//ydeA//gpsA//glpT//miaA//ilvG_2//rseB//trpE//napF//agaW//uhpT//norR//xdhC//rrfD//fecI//gspG//mglB//waaH//lacZ//lpxA//dcuB//feaR//rbsD//hycI//efeU_1//ygeH//cheZ//dadX//nuoH//mcaS//ycjF//
ArgR-L-arginine_pos	hofP//infC//entH//uvrA//xdhC//
AtoC-phosphorylated_pos	ahpF//metI//glgC//hycI//
BaeR-Phosphorylated_pos	livH//glrR//ileV//rrlC//sbmA//pck//fucO//ydhT//
BirA-bio-5'-AMP_neg	cpxR//puuC//rhaR//hycG//ydhU//
CRP-cAMP_neg	iscR//hupA//feaB//yeaD//nusA//yjjZ//metY//frdC//idnT//mhpC//grxD//chiP//adiC//bacA//nanM//cusR//tauA//bcsZ//hflD//exuT//aceB//araD//gntP//cysC//ulaC//fucA//pgaA//rpmI//hha//trpR//trpL//dcuS//metA//gltD//napA//yfaE//nrdH//treR//icd//bacA//asr//fliA//bamE//exbD//metF//skp//lldR//cysP//ebgA//ompW//glpD//glpB//yeiW//hofB//nanA//cas1//pgaA//rbsR//ilvL//rimM//rrfG//nuoN//fepC//alaS//bcsA//mhpT//citF//betI//hflD//moeB//upp//dapB//hyfJ//napH//gltV//moeA//rpsO//metF//prpR//ftnA//dcuB//fadH//phoH//ompW//tdcB//bacA//sohB//znuB//trpE//melR//yidQ//cysN//metL//gltW//hyfF//iscU//oxyR//fhlA//znuA//mhpE//iscS//rpsF//guaA//uhpC//cynX//paaF//paaJ//ilvM//malS//cvpA//bioD//nuoH//uxuB//ydeO//copA//hdeB//yggX//phoE//tcyJ//speA//citF//nanA//soxS//glyA//arfB//infB//hyfJ//recF//srlD//sroD//yebE//fumC//soxS//
CRP-cAMP_pos	pgpC//dadX//galP//cusC//cra//norR//nanS//bcsA//caiT//sdaA//yqjI//napD//proP//bglB//ilvY//ompA//cusF//rbsB//citD//hypD//gatD//metQ//betA//sufA//lysA//flhD//metR//pflB//sodB//metJ//entB//nadC//fixA//rpmC//fimF//cusF//ahpF//glpR//cusF//sucD//hha//ompF//mdtA//uvrA//grpE//fimG//bglG//modB//mdtD//phnI//zinT//cadA//gntK//glnG//yhiD//fecI//rimM//fadL//narH//edd//metL//hyaE//folE//dcuR//cysJ//argO//hofN//citX//rrsE//aroF//nrdI//yhjC//ygbA//aroG//ptsG//polA//nanA//rrlD//tsr//yegZ//chbC//cyoE//yedX//fucK//deoB//rnhB//rbsA//treB//uvrA//trpE//cusC//prpR//lldP//ydeJ//nikD//pheT//lpd//nuoN//aroL//ompA//caiF//lysP//tehA//hofO//cadB//creA//tdcF//mhpT//cueO//sodB//acrF//hypC//uvrA//ugpC//bamA//cra//ptsI//lysC//rrfH//pitB//map//nuoH//iscS//modB//grxD//zinT//rhaT//chbR//pepT//acrE//ansB//metY//napF//fadB//ilvG_1//citG//aroH//thrV//sufS//prmC//azuC//metB//dnaA//malG//evgA//paaF//rplW//aroG//ccmG//malM//astA//hybD//argR//cysC//dsbA//gabD//tdcC//paaF//glnG//nlpD//nagC//purR//argG//ftnA//araC//cysB//ileT//tdcA//gdhA//tehA//hofM//gadB//hycD//zraP//ihfA//mgrB//hybD//mhpF//nac//yoaC//azuC//ompW//guaA//fimH//acrE//glpT//lacA//azuC//ubiG//tar//thrV//gltT//malZ//dcuS//nfuA//ybfN//gspJ//motB//bcsB//yqaE//fepC//fhuB//xylF//recF//fepE//emrY//ompT//phnP//yeiW//hypD//hyaD//artM//oppB//malX//gltV//rpsJ//nuoC//nirC//gcvH//ydhW//glmY//ackA//gyrA//ychH//xdhB//aldA//csgE//alaT//ynfF//cueO//yfbR//ulaE//aceK//focA//abgA//kbaZ//mhpB//rrfG//glnG//yjjZ//ebgA//argP//idnR//ydbD//rmf//phnK//cpxR//mipA//nohA//tar//yojI//ascF//sbmC//phoQ//murP//xapA//dsdX//purD//csgB//nuoH//tolC//ilvL//dctA//paaI//nrdF//glgX//ydhX//rrfB//dkgB//yqjI//gatD//rnpB//rrlH//idnT//ompW//phnF//rhaS//glcB//cysH//edd//rhaA//lsrG//uhpB//pstS//gntK//cynS//ydhW//rrsC//csgG//rcnB//phnJ//hycH//pck//yhiD//fucU//asr//uidB//tpx//amiB//lysA//moaA//ulaE//agaA//dppC//yoaC//allE//lsrG//xdhC//dcuR//fadD//hupB//fldA//argE//spf//narQ//nrfC//ahpF//degP//argB//trpR//hmp//nuoA//rpsS//cirA//yaeQ//artJ//nrfG//nuoC//aspC//cheB//yeiB//rpsC//aspC//rpoS//fimC//secB//lsrG//speC//map//fis//yeiP//tdcB//pepT//hyaB//rrsC//dppB//glpR//psiE//gspH//garK//asr//hflX//nrfC//uof//ybdN//baeR//bcsB//modC//arcZ//bglG//srlR//lamB//recF//rplP//hfq//yhfA//ada//gdhA//ogt//aspC//hcr//creA//trpA//rutE//fur//melB//hcr//frc//ompA//rplP//gltF//hybA//waaH//rplS//cysC//gspG//malY//bioF//ccmE//spf//glnD//norW//rrlH//nac//yojI//yegZ//tolC//hypC//ssuD//argP//alkA//nrfB//bglB//degP//zinT//creA//dmsC//udp//phnI//yoaC//nrdI//pgk//rhaD//rrlA//allE//glpR//tpx//fhuC//dppB//xylG//ygiA//glgP//nirB//nrfC//nuoE//dcuR//sbmA//phoE//rnlA//
ChbR-Monoacetylchitobiose-6P_neg	gatC//ybfN//lsrG//metF//ptsG//purD//
ChbR-Monoacetylchitobiose-6P_pos	norV//cysW//dsbA//cysW//gcvT//livM//
CpxR-Phosphorylated_neg	hfq//xylG//cysB//ydiU//bcsZ//frdD//idnT//fimI//sohB//yccA//cyaA//secB//ccmF//sdhA//ydhV//fecB//garL//ydhW//degP//astA//soxS//sbmC//argC//creA//
CpxR-Phosphorylated_pos	cirA//cvpA//rstA//marA//chbF//idnR//exbD//creD//chbG//malI//rimP//narJ//pdhR//atoB//dcuC//tomB//astE//nlpE//rseB//oxc//hyaB//nrdD//fadD//ascB//ssuC//phnN//phnE_2//lsrB//fucR//xdhC//gltT//ascB//ppdD//hyfF//rdoA//asr//pgaB//ndh//cynT//nohA//frdC//leuE//mlc//glgB//hpt//
CreB-Phosphorylated_neg	rrfC//dctA//marA//
CreB-Phosphorylated_pos	glnA//tnaA//nuoL//fucR//csiE//folE//
CueR-Ag_neg	ydeP//ysgA//glnB//ilvL//dppD//
CueR-Ag_pos	uidC//livF//
CueR-Cu+_neg	sufC//xylH//adhE//gatY//chbR//
CueR-Cu+_pos	ydhV//hyaC//
CuerR-Au_neg	gntK//garK//oppF//dcuD//paaZ//
CuerR-Au_pos	ybiT//fimA//
CusR-Pasp_pos	rhaS//chbR//phnM//paaJ//mdtA//uxuA//asr//rpsJ//nrfA//dkgB//ygiA//infC//
CynR-Cyanate_neg	ugpA//
CynR-Cyanate_pos	mdtB//bcsC//argT//
CysB-N-acetyl-L-serine_neg	bacA//yeiL//rrsA//nirB//dapD//ilvX//gyrA//
CysB-N-acetyl-L-serine_pos	tam//gcvH//phnP//cheZ//oxyR//purM//hofN//lpxB//uhpT//manZ//thrV//waaH//fucI//lacZ//hyaA//paaZ//cspD//rhaB//glgA//glnA//yjeV//zraS//lpxA//
CysB-O-acetyl-L-serine_neg	tadA//pitA//artQ//focB//nupC//rrlC//mpl//
CysB-O-acetyl-L-serine_pos	casA//slt//abgA//yfdE//rrfF//nfuA//sufC//gadB//glcE//nikB//sufA//citX//nikC//yaiW//rrsD//gutM//hemA//mhpT//fnr//mntP//casA//ileV//zraP//phnN//
DcuR-Phosphorylated_pos	araD//citC//srlB//dsdX//nrfE//znuC//nmpC//rrsB//uxuA//
DnaA-ATP_neg	tonB//dgcZ//cynR//bcsB//phoP//hypA//miaA//hpt//rpmI//oppB//deoD//
DnaA-ATP_pos	gltA//uidC//srlR//gatC//gntR//rof//ubiA//
DpiA-Pasp_neg	lsrD//
DpiA-Pasp_pos	glcE//metR//glnA//argF//pheS//dcuA//gpmA//metQ//rrfG//glpC//
DsdC-D-serine_neg	hybG//
DsdC-D-serine_pos	pgk//yjeF//
EvgA-Phosphorylated_pos	rrfE//ccmD//ilvL//trg//ugpB//tdcA//qseB//waaH//pgaC//prfA//lpxB//safA//manY//rpsF//soxR//
FNR-[4Fe-4S]2+ reduced_neg	cspE//alkB//paaI//phnP//bglG//zwf//rpoH//argE//ynfF//phnM//galK//metH//manA//dnaA//cysU//rof//fis//mipA//degP//argE//uidC//ydeN//araF//amtB//alaU//mipA//appA//hyaA//napD//emrY//oppC//nrdA//fau//ccmB//lsrR//livH//uidA//malS//nuoL//chbA//ebgC//narH//prpE//pitA//napG//fepD//ygeA//ilvB//nuoE//cueO//fimD//lysA//tdcB//talA//ilvD//tauC//ilvN//cpdB//pta//mhpA//nohA//yjeV//ivbL//codB//rrfG//phoB//casE//hisM//grxC//ompA//napA//tyrR//mscM//crp//lacZ//fadL//ldtC//pncB//nrdI//cas1//sbcD//cstA//xseA//gntU//pta//chbF//yaiA//dadX//folE//glcG//dpiA//fes//argB//lsrF//comR//gspK//icd//xylG//ccmB//fliZ//yqaE//glpG//ytfE//cysG//infB//ilvA//manY//hyfC//napC//abgB//hfq//mtr//fadL//sdaA//astA//zinT//sufB//avtA//phoE//ssuD//
