#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	bamE//torC//
Ada-Methylated_pos	lamB//moeA//gltF//mtlD//
AlaS-L-alanine_neg	hofB//
AllS-allantoin_pos	entH//lysP//hybG//
AraC-L-arabinose_neg	nuoE//ychO//gntX//lacZ//rrfH//chbG//cysI//malK//
AraC-L-arabinose_pos	dppB//gspC//yebE//fadD//zraP//paaJ//mtlR//icd//hybD//map//
ArcA-Phosphorylated_neg	yhjC//rhaT//nuoB//acnA//hupB//gabP//gdhA//casA//iscR//alaA//yfdV//fimE//cvpA//aidB//cspE//rpsS//glnB//rrfD//dcuD//mntS//yecR//lldR//tauC//ugpB//rpoH//baeR//abgT//cusC//acrE//acrA//rpsC//ccmF//znuA//livM//rseB//lsrB//tap//phnH//rplI//ilvA//ybdZ//tonB//csgB//tauD//pta//tam//dsdA//cheW//oppC//ydhV//napH//fadH//gutQ//ilvD//yeaR//mlc//cynR//cas2//hupB//nfuA//nuoK//baeS//acrD//atoB//ydhW//gspD//lsrA//patZ//rrfC//livK//citD//prpR//pstB//rrsG//ccmC//hupB//aceF//glcG//cynS//aceB//aroA//yaeQ//nirB//yegR//rrlA//citX//aroG//hypD//creB//sroD//fhuF//aer//cspD//hemA//yfiP//csgB//hlyE//ileT//hyaD//yibN//nagE//tdcB//motA//rutC//speB//trpE//nikE//glgP//ybdN//rutF//uof//cynX//artJ//ppdD//ydiU//livK//cyaA//cas2//rrfE//fhuC//uraA//tyrA//bioD//erpA//rpsC//cra//puuE//
ArcA-Phosphorylated_pos	psiF//hdeD//znuA//ydeO//ppiA//marB//sdhC//atoD//xdhB//fhlA//dps//rstA//hycI//sufC//gabP//alaU//yhhY//fucR//livK//iraM//micF//hofN//fepG//ccmG//melR//narX//pitB//micF//hofN//xapA//glyA//lsrG//rpsO//uraA//yfbR//ycdZ//purC//mgtL//yiaJ//nuoC//hycH//hycD//rrlD//rutF//entB//phoR//fumB//hyfH//ubiG//mpl//fucA//ugpB//yfaE//lysP//narG//ulaC//tehA//paaB//
ArgP-L-arginine_neg	araH//
ArgP-L-arginine_pos	mgtA//yjjZ//pdhR//hisP//rhaR//hyfA//bacA//rpoH//glgX//bdcA//map//sufD//rpsC//ulaD//ybdZ//
ArgR-L-arginine_neg	ldtC//atoD//motB//yoaG//cvpA//mhpF//oppF//rrsG//glgP//phnH//ppiA//dsdC//fecE//ompA//cpxR//mhpR//cynR//dcuR//cynX//lrp//evgS//nrfF//lacY//metH//ompX//ileT//hycC//bglG//rimM//rutE//tadA//ydhT//pyrC//exuT//
ArgR-L-arginine_pos	tcyJ//dusB//nanA//rrfG//cusF//
AtoC-phosphorylated_pos	puuA//ileV//csgC//iscS//
BaeR-Phosphorylated_pos	motA//pstA//mhpC//lamB//hisJ//fes//gspE//lsrK//
BirA-bio-5'-AMP_neg	phnM//glpD//yeaE//nagC//hisQ//
CRP-cAMP_neg	nikB//moaD//nrdE//glcC//phoA//ulaB//trg//paaZ//manZ//tfaQ//speA//ulaD//cytR//hycF//crr//ynfK//ptsH//nuoE//marB//lpd//gspL//moeA//lacY//aroF//napG//fimH//yciW//phoQ//paaF//malE//iscR//norV//ulaC//malQ//ilvG_1//caiA//glpF//yeiB//phnM//polA//napC//casE//fucI//ilvD//gdhA//fixB//acrD//rstB//dcuS//tam//ccmG//nirC//hflX//tsr//murP//chbA//bglB//trpD//purF//iscS//napA//glgP//aroH//rplC//puuP//fur//phnF//entC//mhpR//astD//yqjH//metE//fucP//icd//agaA//dpiB//hybO//glpG//hyfH//phnE_2//fumC//glgX//gutQ//ydhV//nlpD//lsrK//nfuA//hofM//ugpC//trpC//allE//betT//metH//tauD//pflB//aaeA//fhuE//gatY//rpsJ//entB//rnlA//gspF//glpA//nrfF//tnaB//alaU//fepA//feaR//lpxA//norW//rrlH//caiT//nrfF//pncB//slyB//pitA//ygeH//sdhD//dgcZ//xylA//tsr//ccmB//purA//livK//gspI//fucO//tam//casE//fixX//xylB//glrR//cydB//glcE//
