#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	feoB//paaE//
Ada-Methylated_pos	iraD//ispE//nanA//ebgA//
AlaS-L-alanine_neg	rof//
AllS-allantoin_pos	puuA//narK//prfA//
AraC-L-arabinose_neg	rstA//mscM//dcuB//ilvM//purE//argP//hyaC//bacA//
AraC-L-arabinose_pos	rrfA//ampD//psd//ynfF//narJ//hyfB//metB//dppA//artM//aroH//
ArcA-Phosphorylated_neg	hycF//ydhU//aroP//hybE//ftnA//ascB//focA//ubiA//manX//nanK//cyoD//hyfC//hyfR//dgcZ//moaD//rpsO//entB//truB//chbF//ileU//gspL//entS//frdD//nirB//iraD//fadA//hofC//cyoA//fecI//creB//pheT//pstS//mlc//paaA//crp//ccmC//srlA//gabD//glyA//hyfH//thrV//bioA//dnaE//dadA//ydhX//yjeF//ybjG//feoA//rseC//glpE//hcp//edd//ycdZ//araE//mutY//cysN//cheA//kbl//gapA//aaeA//rybA//csgA//pstS//napF//lldR//rrfA//rcnA//puuC//fepA//nuoF//malQ//gspK//rrlA//mepH//alaS//skp//ssb//melA//amiB//idnO//fhuC//araD//artM//ugpC//ynfE//uhpC//aroA//feaB//cysG//zraS//bglB//ydeP//garL//appC//hycD//cpxR//hdeB//tnaB//aroF//rutD//lolB//ascF//cusB//ssb//nanK//fecE//slyB//purD//gltT//atoA//ccmH//glpT//gutM//tdcB//chbR//yidQ//fiu//fumC//hmp//lamB//metN//mutL//ompW//yoaC//guaA//sucC//phnM//
ArcA-Phosphorylated_pos	fecI//gltA//ynfH//nagE//tyrR//cadB//hycE//iclR//metL//phnO//hlyE//rrlA//nagB//acrF//gspI//mgrR//fucI//prpD//prpC//ccmG//yidQ//aroF//hupB//adiC//hycF//amiB//phnP//metY//glpF//norW//rplC//rplV//yhiD//ugpQ//allC//ompT//fecE//lsrR//trg//adhE//sohB//rpsJ//norW//argO//uxaB//artM//dadA//sucD//fixC//ydfN//cynT//mgrB//acnA//yedX//stpA//cvpA//tdcF//cyoD//
ArgP-L-arginine_neg	znuB//
ArgP-L-arginine_pos	nuoG//napC//cyoE//ykgM//phnF//tar//gcvT//ihfA//gntX//aroP//raiA//gabT//ilvH//chiP//paaA//
ArgR-L-arginine_neg	lysC//ulaD//rhaB//gyrA//rrfG//napF//tonB//cysB//nuoH//narG//psiF//sbmA//alkB//rrsG//acrD//hdeB//dcuB//fucR//xseA//entS//aer//cysA//narL//oxyR//dcuR//rpsO//cysB//tyrP//cysB//glmY//mdtD//yaeP//yjiY//ilvH//
ArgR-L-arginine_pos	paaD//treC//idnK//ahpC//tdcF//
AtoC-phosphorylated_pos	glpX//tam//uof//argT//
BaeR-Phosphorylated_pos	fucO//fabZ//ryhB//uraA//malP//frc//purH//aldB//
BirA-bio-5'-AMP_neg	ndh//rplV//rpoS//rbsR//aceB//
CRP-cAMP_neg	oxyR//fdhF//nuoE//aroL//cadC//ogt//ygeH//ykgO//grpE//glnB//lysC//dmsC//dcuB//fimI//hisP//eda//baeR//gntP//garR//rutG//lpd//rutA//lhgO//entD//rbsB//casE//hyaF//tolC//paaZ//yeiP//hlyE//malZ//ivbL//ebgC//phnI//yciW//deoA//murQ//pitB//tdh//ptsH//nrdG//trpA//rpoH//norR//speA//exbD//hyfI//glpD//hmp//ulaE//fixB//sbcC//ugpC//ykgR//gatZ//cysB//casE//rpmC//hfq//metE//moaC//entC//tam//hyfD//folE//fepC//rpmC//phoA//cspE//oxc//sufS//rrlA//pflB//ilvG_1//xylF//gltV//bacA//yeiL//nuoG//metN//glpR//aldB//yeaR//arfB//hyfD//mhpF//sufC//argI//gspO//dmsC//chbC//glpD//yecR//hofP//caiT//garR//entC//phoR//garP//artQ//iscA//fucP//dcuR//tdcF//ilvG_1//epd//ilvN//spy//purK//ybdZ//fhuE//casE//yaeQ//artP//aaeX//erpA//rpoH//ndh//mntP//hyfR//mzrA//cadB//chbB//uhpT//moaC//fdnG//hisJ//tauC//glpK//lsrA//slt//yhhY//
