#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hyaB//flhD//
Ada-Methylated_pos	abgT//phoE//pta//nuoG//
AlaS-L-alanine_neg	aroF//
AllS-allantoin_pos	gabT//dpiB//puuA//
AraC-L-arabinose_neg	lsrG//norW//comR//fucK//ynfG//nikR//tauC//dctA//
AraC-L-arabinose_pos	nrfA//mhpE//prpR//uhpA//tsgA//proP//argI//araF//appX//galM//
ArcA-Phosphorylated_neg	phoE//moaA//aroP//aroP//glpT//lpd//manY//hdeB//nuoL//fhuF//ydhT//narQ//citD//csiD//sdhA//hisJ//cydC//ccmE//csgF//chbA//hyfC//agaV//katE//ihfA//paaH//glgS//araC//yneM//thrS//ilvG_2//hyfJ//hyaF//crr//yhfA//glpQ//aroG//aspA//lysO//aceA//cydA//rrlB//yjjZ//yfeW//fdnG//marB//modB//entD//gspI//spf//pgaA//ilvA//lsrC//rbsR//oppD//gatZ//moeA//nagE//sufE//ompF//mhpE//aceF//sucB//mlc//fdhF//mtr//livJ//livF//metB//hybF//alkA//fadJ//entE//borD//mcaS//znuA//hofP//azuC//citG//entD//gspM//uhpB//mglA//rbsK//fumC//ydbD//yjeF//bioD//cysP//stpA//frc//melA//efeU_1//acrF//sufE//modC//serA//nuoH//frdB//rnlB//gabT//appB//bhsA//yaiW//phnP//glpF//tfaQ//asr//hflD//cirA//glcF//uxaB//yjiY//nagB//fldA//aaeR//hupA//fadE//napA//dapB//tnaA//rseA//narQ//nuoK//aceF//aceA//infC//entF//
ArcA-Phosphorylated_pos	astC//priB//dctA//aaeR//fimH//map//cra//dadA//prfA//cysM//nuoA//entA//iscR//mglC//glpD//mhpB//fis//tsx//rbsR//rplM//gltA//purC//ppdD//hyfC//rrlG//nuoF//phnL//alkB//melB//puuP//livF//trpL//crl//idnR//gspO//epd//citC//rplT//feaB//fdnG//bioD//gntR//garP//rrfE//mhpA//ccmH//dmsA//csiD//exbB//xapA//hycB//hisP//purR//rpmI//cusS//cspE//moaA//ubiA//
ArgP-L-arginine_neg	trpC//
ArgP-L-arginine_pos	lacY//rplI//infB//manX//casE//casD//glpB//gpmA//fnrS//ydhV//thrS//nupG//ascB//gspF//gutM//
ArgR-L-arginine_neg	ilvG_2//nlpE//caiC//rrlD//skp//glgS//acrA//ompF//mglC//gspK//ilvI//tomB//rcnB//casC//hcp//rimM//rplM//tnaB//fimD//hyfE//srlE//hyaC//sufC//nikB//nagB//xdhA//ptsI//tdcA//katE//ldtC//napF//lsrC//glcF//narX//
ArgR-L-arginine_pos	ydiU//rbsB//ppdD//mscM//araH//
AtoC-phosphorylated_pos	ccmD//puuC//umpH//ydeO//
BaeR-Phosphorylated_pos	uhpA//fixC//rimM//phnK//argT//ampD//nuoB//rplS//
BirA-bio-5'-AMP_neg	nlpE//nuoF//moaE//yeiL//zraR//
