#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yaiA//rybB//
Ada-Methylated_pos	malQ//oppD//phnI//idnT//
AlaS-L-alanine_neg	ssb//
AllS-allantoin_pos	cysW//paaJ//nuoG//
AraC-L-arabinose_neg	tauA//ispE//cheA//ydhU//tap//ubiC//norR//pheS//
AraC-L-arabinose_pos	dadX//ndh//lysP//tsaE//aidB//hyfJ//ftnA//mdtC//bhsA//fadD//
ArcA-Phosphorylated_neg	dcuS//casB//arfB//purA//znuB//hyaD//cirA//livF//argF//speA//hslJ//envZ//garP//tdcD//uxuR//araH//hofO//fbaA//phnD//pgpC//fimG//hcr//glcA//sbcD//rcnA//emrK//ilvA//soxS//spy//metY//malF//hyfC//hyfF//spf//hpt//oppA//rutA//hybE//infB//nirC//edd//ilvB//emrY//phnE_1//gcvH//idnT//fepE//psiF//citD//ychH//yedX//ccmD//envZ//rrfE//livJ//ispE//motB//yoaC//polA//fliA//phnK//rrsA//arfB//serC//fixC//phnG//ompA//hlyE//frdD//alaT//ileT//garR//gntR//trpB//araG//iraM//araE//ada//yjeV//fur//purA//gapA//serC//glpA//cynX//puuA//rplP//fhuA//soxR//glcA//emrY//ubiA//safA//talA//psiF//tpx//yneM//nuoF//ydeO//rutA//argD//appC//glcC//casA//uxaC//alaS//hybE//preT//gatD//nikR//mglB//yoaG//nirD//nuoG//ugpQ//fimC//narQ//phnC//ampE//atoB//pheM//cysK//flhD//argD//fecA//frdD//ynfE//
ArcA-Phosphorylated_pos	srlB//pgk//leuE//feoA//fabZ//cysB//nusA//recF//gspF//mglC//dcuD//lsrA//trpE//nrfF//fepC//lysP//rrsA//trpL//sxy//amtB//aceE//aceE//chbC//citC//pheT//hycD//rutF//citG//ilvB//ugpB//ryhB//ydfH//yneM//codA//argD//fucK//oppB//nuoJ//nrfF//phnN//umpH//fadL//hflX//zraS//mipA//hybE//ykgO//uvrA//purC//mtr//yaeP//dkgB//hycI//ydbD//nlpD//fucO//gntT//aidB//
ArgP-L-arginine_neg	gcvT//
ArgP-L-arginine_pos	ryhB//ydeN//katE//ugpE//rpsF//alaS//glpX//araD//rplD//tdcC//fdnG//glpT//fadB//narL//cspD//
ArgR-L-arginine_neg	yhcH//ydfH//sufA//rutF//polA//alkB//nuoB//artM//mdh//hyaF//rutG//ssrS//mutY//rseC//kbaZ//fnrS//mhpB//soxR//fecI//aceE//cyoD//gntU//iraM//creB//napH//slyB//mutL//rrsD//tsaE//uhpT//nrdE//bcsB//gutM//astE//
ArgR-L-arginine_pos	aaeA//ahpC//nuoB//iclR//malE//
AtoC-phosphorylated_pos	znuA//ydeJ//hyfH//puuA//
BaeR-Phosphorylated_pos	glpA//sdaA//sufC//znuA//argA//nuoN//hybG//yeaR//
BirA-bio-5'-AMP_neg	fadE//ilvG_2//ykgR//nuoJ//trg//
CRP-cAMP_neg	casE//glpF//rimP//phnF//garR//ygeA//slt//fepA//yeaD//waaH//entH//cysN//ychH//yhjC//zraR//creD//hha//nanK//citE//hisM//glgP//mdtC//rrfE//mutY//livM//hybD//envY//fau//tnaB//chbG//napD//hdeB//waaH//glpF//ybjG//pstS//fixB//mglA//atoE//dppA//fixA//nuoB//rbsR//fis//chbF//cadB//prpB//rbsA//cadB//cydD//napH//tonB//fepA//tnaC//asr//phnL//glnL//idnD//gnd//ptsH//ccmG//phnJ//appB//phnG//gspH//trpC//mhpT//cyoD//sufC//dadA//glpK//rrsC//stpA//cirA//rutF//moeA//hemA//ykgR//rprA//malG//acrE//prmC//cyaR//yrbL//moaA//lysP//metC//metJ//bcsZ//paaA//gspO//rrlH//nfuA//iscR//galE//paaA//chbF//cdd//yfdX//argG//astE//gspL//artI//gatC//nuoJ//hycE//ilvE//tyrA//ynfE//tauD//dusB//fadB//chbR//pgk//abgB//ung//fimD//ykgR//paaJ//metR//hybO//fecA//cynX//nlpD//focB//casB//dsdA//gutM//frc//borD//fucA//fepD//aroA//
