#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	caiT//borD//
Ada-Methylated_pos	tpx//fixA//yfdE//fhlA//
AlaS-L-alanine_neg	raiA//
AllS-allantoin_pos	pgpC//rpsQ//mhpB//
AraC-L-arabinose_neg	abgB//nirD//lldD//purF//lsrG//paaJ//puuE//hofB//
AraC-L-arabinose_pos	tpx//allC//ydhY//cydB//puuE//nrfC//nfuA//abgB//nanS//ybjG//
ArcA-Phosphorylated_neg	uidC//araA//ssuD//ssuC//aroG//ung//nuoM//yjjZ//phoP//acrE//ilvI//modA//bdcA//nrfF//glpT//qseB//cynR//entF//paaB//hypE//fepD//hofB//lsrD//fepG//pyrC//bhsA//pncB//cyaR//yfdV//rrsC//lsrR//codA//hyfC//lolB//malY//mtlR//lsrD//tolC//phnK//uxaB//agp//cueO//gltB//pdhR//nanE//ugpB//nikE//argC//dppF//rutG//mdtC//nrfA//yhhY//phnL//metK//yjjZ//recF//tauD//yjiY//dmsA//xdhC//cysG//dcuS//znuC//rplP//argE//rcnA//hybC//gspD//ydeO//dnaN//nuoG//xylF//argC//nuoN//nrfE//moeA//trpL//nrdF//cyaR//glpB//narK//alkB//astB//amtB//hyfB//argF//rcnB//ulaC//rutG//waaH//gspO//glcC//rrlC//bdcA//yaeQ//gspH//rutG//mtr//tomB//uhpT//sxy//uxaC//uhpT//rrfA//hyfC//treR//ompF//nuoC//murP//mtlD//phoU//prpR//yfdE//yedX//gapA//deoA//rpsF//ompA//ispE//astE//dnaE//glpR//uidC//tdcE//adiC//glnK//
ArcA-Phosphorylated_pos	cusB//creC//dnaN//csgD//araC//malX//gapA//mgrR//cyaA//tsr//cydA//rplM//fldA//fumC//srlA//manX//emrY//caiB//nrdE//glgC//yqjI//ykgR//rutB//hcp//fecR//yibN//hdeD//norR//rbsK//folE//ybjG//motA//nlpD//safA//glnD//acnB//speB//araC//znuA//hybO//phnO//nuoE//tnaC//rybB//sodA//ccmB//leuE//glrR//malM//glcB//citD//nanC//malS//dmsA//gltB//gltF//crr//gabP//
ArgP-L-arginine_neg	dcuC//
ArgP-L-arginine_pos	yggX//fecR//cynT//argB//ppdD//agp//rpsO//crr//citE//manA//fiu//malE//mdtC//trpB//rrfC//
ArgR-L-arginine_neg	nirD//yjeF//rbsB//ydeO//murP//mhpE//cheY//hyfI//rplP//tauD//chbF//tdh//ryhB//tpx//ygbA//evgS//hyaC//dapB//xylR//nrdI//ybdZ//creA//lsrA//puuD//rrfF//araD//glnG//flhD//amn//rpsR//napB//srlR//bamA//bioC//
