#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cdd//rutG//
Ada-Methylated_pos	torC//paaB//aroF//frc//
AlaS-L-alanine_neg	paaC//
AllS-allantoin_pos	arfB//yccA//metH//
AraC-L-arabinose_neg	citD//malP//trpE//ygiA//ygiA//araE//moaD//betB//
AraC-L-arabinose_pos	cas2//nuoG//ascB//soxS//dmsA//rrfC//rhaR//cueO//nirB//glnK//
ArcA-Phosphorylated_neg	pheM//phnE_1//cydC//aaeX//rbsC//melR//purN//tsaE//fdhF//tsgA//marB//allC//caiD//ackA//nikR//cusB//fecE//treR//sodB//rrsE//pstB//uhpA//fucI//actP//hyfG//katE//narJ//fdnH//evgA//deoA//rpsP//cheY//idnT//gdhA//murP//fimH//malF//rplD//sdaA//rrlA//iscR//gatC//hyfI//flhC//tpx//preT//fecD//hcr//ilvM//speB//map//yjiY//purK//adiC//ompT//ftnA//hybG//purM//ubiG//sufA//lldR//cas1//nrfA//gntU//rpsJ//yjeV//rbfA//ykgM//nagE//phnP//moaD//mgrB//uhpA//preA//glpE//rhaR//map//pstB//trpA//cysC//cyoB//ydiU//flhD//oppB//cusC//tauA//sbmC//araJ//dgcZ//nirB//rhaA//paaH//ccmD//dps//csiE//skp//betB//avtA//nrdG//trg//gltW//lpd//hyfR//nuoN//nrfB//creC//comR//nrdE//glpF//mscM//preT//mtlA//yeaD//rrfH//abgB//fepG//aroM//rplT//oxyR//nuoH//hyaB//araC//phnE_1//nikD//hyfJ//nuoH//nohA//
ArcA-Phosphorylated_pos	mgtA//pyrC//ilvC//metI//fecR//phoU//rutE//icd//rpsS//ilvN//ynfH//ygiC//aldB//atoB//hcr//dcuC//alkB//uxaA//ilvY//nrdB//moeB//phoR//garK//fhuA//caiD//ilvI//ompX//cyoD//yegR//livF//livJ//sdhB//ung//baeS//rplI//cysW//envY//paaA//nuoC//napD//bglF//gntX//artP//nuoG//deoA//aaeX//araG//hha//amn//gntX//aroH//nuoH//zntA//pgpC//tauA//glcF//ssuC//ydeM//
ArgP-L-arginine_neg	speB//
ArgP-L-arginine_pos	mglB//ilvI//entH//mipA//lldD//lolB//mtr//oppF//rrlC//iscS//casB//uidA//araJ//dnaN//uhpT//
ArgR-L-arginine_neg	srlD//uxuB//feoB//alkB//cyoC//nikR//araA//cysB//nikC//mhpF//feaB//fixX//spy//glpE//thrV//hyfH//rplC//sufE//betB//pta//yiaJ//ldtC//edd//appC//nrfC//rstA//cyoD//pta//idnT//frdD//nrdF//hflK//ilvB//rplC//
ArgR-L-arginine_pos	dpiA//chbC//cusF//entH//sufB//
AtoC-phosphorylated_pos	ygeH//marA//fecA//xdhA//
BaeR-Phosphorylated_pos	ygiB//hypC//tyrR//edd//pheM//ccmD//fimH//xylH//
BirA-bio-5'-AMP_neg	prmC//ygiA//rutG//azuC//yhjA//
CRP-cAMP_neg	rutD//ugpQ//ydbD//fhuA//xylH//evgS//dnaA//rutE//gapA//phnL//exuT//nirC//rcnA//dsdA//napB//aaeA//ftnB//osmC//cysD//hyfJ//aidB//spy//phnN//glcG//nikR//amn//narX//iscU//dcuB//ydeP//gspD//abgT//hflK//fdnI//srlE//miaA//yfeW//ydeA//cheY//metF//mhpT//hofC//mepH//trpR//rpsF//fecB//purF//lsrB//cynT//hyaC//fdnH//serA//ilvG_2//rpsR//csgE//araD//hemL//yfeW//sodA//glcF//entH//serA//tsaE//cbl//hybG//ssuA//fixA//aaeR//hycF//yhjA//leuE//fecC//paaD//nuoH//entB//ompX//norR//rrsG//tnaB//narK//cusB//pyrC//norW//bamA//tehB//trpD//dppF//sufS//hisM//pgaA//ssuD//fixB//phnG//dcuD//fbaA//malS//trmD//nuoL//uhpC//oxc//napF//deoA//ulaC//rplI//araJ//galT//rhaB//lysA//rmf//udp//sufC//ilvE//slyB//pyrD//cusF//argT//mglA//fimH//zraS//nlpD//nrfD//ilvH//cynR//infB//fdnH//dapB//yeaR//rimP//cpdB//xdhA//tsgA//betB//xapA//
