#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	pheM//acrB//
Ada-Methylated_pos	fdnH//ssrS//fliZ//livM//
AlaS-L-alanine_neg	napC//
AllS-allantoin_pos	bioA//allD//rpoS//
AraC-L-arabinose_neg	phnE_1//ccmA//purK//torA//hypC//purR//amtB//nagB//
AraC-L-arabinose_pos	tauA//gntX//murP//ompX//xdhA//phnK//nuoJ//ogt//csgG//cysM//
ArcA-Phosphorylated_neg	yedX//sufD//mzrA//tolC//norR//upp//paaG//cysK//rhaD//nikB//narJ//mgrR//napH//ulaE//fdnG//artI//sdhD//pgaB//livH//ychH//nirC//gntT//rhaA//iclR//argA//fecA//nrdB//trpE//casE//exbD//guaA//ydhT//rrlA//phoH//argB//gcvP//ssuE//hflX//iscR//dcuC//srlD//gspM//dnaA//ychH//prfA//ihfA//sufD//ubiX//yoaC//xylG//malS//trpC//cysH//csgE//cynR//gltD//gltF//rpsI//mhpB//tauB//rrfH//ulaF//modC//caiA//dapD//pgaB//purK//oppB//cusC//dapD//fnrS//malI//garR//hyaB//gnd//phnI//gntU//manY//gdhA//nrdF//agaV//fes//ompA//yojI//pncB//ydhT//rrlG//rdoA//map//rrfA//grcA//mdtD//dmsA//nrdE//phnP//garP//cusF//srlR//cynS//fdnH//gatY//pstA//argR//tfaQ//raiA//rrfA//abgB//hybA//micF//gntR//gcvT//fadL//nanA//hmp//malZ//uidA//fecI//galE//rhaR//glgB//gadC//gspI//caiD//gapA//rrlG//rhaT//mhpB//
ArcA-Phosphorylated_pos	spf//cstA//rbsR//phnF//purK//mutY//pnp//tehB//rbsA//purE//ydhY//dcuS//erpA//argD//hyaD//evgA//dcuA//norR//nrfF//cra//feaR//napC//nuoI//gapA//feoB//entA//dnaN//ppiA//sufE//fadD//gltF//gltA//dpiA//uhpA//gspJ//hupB//rpoS//dctA//malZ//csgA//idnD//codB//marR//skp//prpC//dgcZ//glpF//yhjC//cirA//mipA//gspE//moeA//rrlH//narX//ssuC//cynR//znuB//motB//
ArgP-L-arginine_neg	pnp//
ArgP-L-arginine_pos	rhaB//rhaT//puuC//entC//fimF//casB//cytR//rcnB//idnO//aaeA//ydeN//fimD//ycjX//lacY//aidB//
ArgR-L-arginine_neg	argO//gatA//tpx//ulaD//hycG//icd//agp//cirA//livH//chbB//speB//infC//motA//tap//ilvM//nrfE//phnE_2//yoaG//ryhB//alaA//tehA//rplI//nrdD//uidA//tnaB//yggX//deoB//tnaC//appB//dmsA//nrfC//fecR//carA//phoU//
ArgR-L-arginine_pos	nrfB//cysA//truB//rpsP//bacA//
AtoC-phosphorylated_pos	feaB//trpB//ugpE//caiD//
BaeR-Phosphorylated_pos	yfaE//abgB//melA//fhuE//phnI//nlpE//fepA//preT//
