#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cysW//phoR//
Ada-Methylated_pos	nuoI//hypF//rcnA//nirC//
AlaS-L-alanine_neg	cas2//
AllS-allantoin_pos	nirD//glcF//tomB//
AraC-L-arabinose_neg	fixC//hypE//katG//entD//mtlD//tolC//tktB//yfdE//
AraC-L-arabinose_pos	nuoI//ycdZ//cra//entD//alaS//uxaC//purC//nuoI//nrfG//cheZ//
ArcA-Phosphorylated_neg	ompW//cvpA//osmC//gpmA//dmsA//uraA//ilvN//hofM//rpsO//cvpA//tauB//gltW//glrR//cspD//aroL//hslJ//upp//oppC//nrdA//xdhB//appB//udp//rstB//gspC//fimE//xdhA//fimH//gspD//lacI//lsrF//rpmI//gcvH//cysH//trpD//gatA//napA//fadJ//map//gyrA//trpE//hydN//nuoN//thrS//nac//paaA//mipA//feoB//rpsQ//aceB//yhhY//ebgC//ydhV//ychO//ilvN//motB//galT//metI//marR//gdhA//tap//sdhC//bamA//fimH//oppA//eda//lsrD//nuoJ//napC//argI//nanM//ydiU//hycB//emrK//yqjH//gntP//tpx//glnL//tyrP//dnaA//guaA//glpA//metC//torR//gntP//yhiD//phnK//norR//hycI//yojI//ubiX//prpD//fimH//uraA//lolB//dsdC//malG//dsdC//lldR//appX//tsr//ssuE//trpC//ahpC//metE//malP//lldP//acrD//purE//emrY//nrdH//borD//rstA//araD//mhpT//norR//appA//amn//rbfA//hyaB//yciW//ilvM//ygiB//ubiX//dcuD//fnr//hyfF//prpD//
ArcA-Phosphorylated_pos	nrfD//yfdE//sucD//malZ//glcF//modB//artM//nuoE//phnI//yjeF//ada//tdh//sufD//cysM//araH//phoR//trpC//trpA//fbaA//pgpC//flhD//manZ//ssuB//citG//aaeR//allC//feoC//dapD//yhjC//rrlG//dmsA//bcsB//preT//nanE//gadB//ybfN//cytR//rutC//pnp//hyfG//ssrS//mtr//map//trpC//ppdD//ssuE//fadJ//abgT//rof//ahpC//treR//nuoB//hybA//yegH//hyfB//tdcC//tauB//gatA//
ArgP-L-arginine_neg	garK//
ArgP-L-arginine_pos	efeU_2//yeaR//rhaB//narQ//ihfA//ilvX//malP//cyoA//napC//iraD//xylH//argH//rseB//sufS//uxaA//
ArgR-L-arginine_neg	rrsD//purM//appB//gcd//uxuA//astD//gdhA//lpxD//ssuA//fepB//glnB//araG//yiaJ//hyaE//hyaD//gabP//nuoL//znuA//trpC//nrdI//mutL//speB//ompA//mdtA//nuoB//aspC//cynX//fimF//aroA//hycH//yoaC//metE//motB//feaR//
ArgR-L-arginine_pos	lsrC//trpC//glgP//fecE//cpxR//
AtoC-phosphorylated_pos	osmC//astA//mhpR//nrdB//
BaeR-Phosphorylated_pos	arfB//dmsA//betA//ykgM//fimH//actP//prpR//argD//
BirA-bio-5'-AMP_neg	gspL//dcuS//ptsG//fucR//ybdZ//
