#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rpsF//acrE//
Ada-Methylated_pos	cusA//dps//ileT//hflK//
AlaS-L-alanine_neg	tdh//
AllS-allantoin_pos	ndh//trpE//fepE//
AraC-L-arabinose_neg	ilvC//metQ//nrdI//argO//malZ//hfq//znuA//hflX//
AraC-L-arabinose_pos	nrfF//nrfF//uxuA//melR//pta//feoB//fadI//yfaE//prpR//xylB//
ArcA-Phosphorylated_neg	nrdI//aroA//crp//rnpB//cysH//uhpB//nirB//uhpA//phnK//ompC//zraS//yjjZ//fhuA//gabD//focB//purD//tnaA//hyaA//nikC//ygeA//carA//rpsJ//sohB//ftnB//atoD//uhpB//tktB//iraM//rbsR//feaB//lysA//ompF//fldA//creB//phnM//lamB//gatB//artP//fdhF//moeA//ssuB//fadE//astC//rpsR//livK//ilvL//trg//tauC//argA//ugpB//tyrB//ybiT//ssuA//erpA//rrlB//glpF//betB//puuP//flhC//dgcZ//hycI//gltT//gdhA//acs//ilvG_2//mntP//atoB//cheW//agaW//ygiC//nuoK//argB//trpL//bcsZ//yjjZ//yibN//mtr//aroG//ampE//yqaE//iscU//ampE//dpiB//mltC//pncB//nuoE//rrfE//ydhY//ileT//grcA//ydeA//rhaA//astB//artJ//glnB//nuoB//rhaD//fliA//cas2//ccmG//mgtA//ssrS//envZ//dcuA//cas1//malY//agaV//znuB//pnp//mzrA//deoD//priB//arcZ//argG//glyA//lpd//hdeB//entE//speC//fadJ//malS//ccmC//rhaT//glpG//ydbD//amtB//aaeR//
ArcA-Phosphorylated_pos	rseB//rrfH//yeiW//envY//ilvY//fepB//gltF//aceF//aaeR//raiA//yhhY//argR//paaJ//putP//malZ//ilvD//yhhY//ygaC//nusA//araJ//proP//rpsQ//fimD//yjjZ//fepD//lsrG//ydfN//gapA//livJ//trpL//gcvH//lsrR//gspL//pitA//dcuS//norW//hydN//slyB//bcsZ//tsr//yeaE//gltW//idnO//fadH//pitB//yibN//nohA//nrfE//metA//yhcH//glpF//sufB//rpoH//purK//livF//sdhB//mutY//rpsC//
ArgP-L-arginine_neg	ulaD//
ArgP-L-arginine_pos	sucB//ugpA//malT//artJ//tauC//aspC//gatC//rstB//crp//bhsA//purD//dnaN//appA//glcF//chbG//
ArgR-L-arginine_neg	ilvG_1//bhsA//fecR//metJ//mtr//caiF//talA//purK//phnL//abgB//dps//rimP//napB//mgrR//ulaA//ybfN//mepH//rutD//cusC//rcnA//uidB//lpxD//lsrD//argR//rhaA//nrdD//rrlB//nlpD//dcuD//ygeA//ppiD//cueO//betT//ysgA//
ArgR-L-arginine_pos	rimP//glmY//chbB//yaeQ//fucK//
AtoC-phosphorylated_pos	araH//cheZ//cysH//melR//
BaeR-Phosphorylated_pos	artP//fur//oxc//yhjA//lldR//dnaA//arcZ//puuC//
BirA-bio-5'-AMP_neg	galE//puuC//ssuB//prpE//fadB//
CRP-cAMP_neg	ykgM//aaeA//fadH//modC//hyfA//glyA//gatY//cspE//metI//ada//csgF//iscU//ccmC//ugpA//azuC//allE//yfaE//gspE//sbcD//purH//arfB//rbsB//iraD//sbcC//hypB//marA//glpA//gntR//rrsD//nuoJ//mgrB//citG//nuoL//ompC//uxaA//appY//fdnI//citE//srlR//hyfC//mzrA//rrlB//envY//aroP//uhpA//cysC//cusB//ydeA//ilvY//ynfH//rrlD//lsrR//hofN//dppB//oxyR//nanS//rprA//oppB//alkA//rcnB//modC//fhuA//entB//fbaA//mutL//cas1//nirC//glcD//fhuE//yjeV//ldtC//yaeP//manY//fadH//phoQ//hypC//metY//lpxD//nrfE//rpsI//copA//yidQ//phnF//purC//ccmD//lysA//rutA//osmC//ilvI//mntH//phnP//fiu//marA//qseC//srlR//srlA//hyaC//ptsI//hupA//tyrB//aceA//eda//ytfE//dnaE//appY//pdhR//ppiA//rseC//cusC//pyrC//treB//mtlA//sxy//ugpQ//paaB//ptsI//ilvL//oxyR//yhfA//metY//gyrA//cheZ//gnd//gntR//rpsQ//moaB//astB//rnpB//gatC//manY//gabP//tyrA//phoQ//
CRP-cAMP_pos	fimF//fixA//patZ//fhuA//lhgO//zraP//rpmI//nlpE//moaD//cspD//ascB//fadB//phoR//asr//dmsD//rseA//dadA//dmsC//tyrP//ampE//nanC//rplV//proP//astD//ygeA//argF//erpA//metF//ydeN//rrfB//ssrS//cysG//rplP//glpQ//cheY//lldD//fecI//csgC//ampE//lpxD//nikE//yeiL//atoD//sodB//skp//ilvB//fucI//nuoH//gltA//ssuC//glcE//ygiB//cysB//ydhV//gntK//nirC//dsdX//stpA//creC//pstC//nanT//cpxR//rpsJ//lpxD//alaS//gatB//lsrC//puuB//fadA//chiP//hybD//phoR//aspC//agaW//frdC//melB//yjeF//ompR//argI//ivbL//ilvI//nuoB//bioA//oppC//moaC//glgB//narI//nrfF//yqjH//nrdE//rutG//nrdF//ynfH//fes//yaeQ//ileV//ysgA//recF//focB//fecB//aceB//lolB//upp//lysO//iscR//fixX//purM//cbl//gyrA//cadA//ccmB//yqaE//ulaA//rpsO//artM//nrdA//yoaG//glgA//argP//nrfF//nikC//nanS//yhhY//ydeA//ilvH//pstC//nlpD//argR//purM//cusB//nuoC//treC//agaW//napB//adiC//puuC//sdhD//mhpC//rnhB//ychO//mzrA//hypF//hybA//nohA//pheS//actP//envY//rbsA//abgB//patZ//cynS//uxuA//puuB//hyfD//araF//phnG//malT//aldB//agaA//kbl//hslJ//gcvP//rybB//fhlA//nuoG//cusB//galS//frdD//fdnI//aldB//fucI//hofB//glnG//gspL//trxA//hypB//rcnB//tadA//ssuA//rrfE//oppC//allC//sdhC//psiF//rpsQ//ybdN//gyrA//ansB//purD//fimD//glcC//puuC//nirB//gltA//fucA//lpxD//dsdC//tehA//cydA//psiF//atoE//cspD//alaV//moaB//fliZ//phoB//rplI//nuoF//ilvD//hyaB//hflX//ndh//pyrD//speC//fadL//fabZ//metB//nuoL//hycD//hisP//bacA//nrfA//glgS//galP//paaG//arfB//paaI//fau//artJ//murP//ynfF//argR//tam//argT//norW//hycC//creC//rybA//atoD//epd//mntS//purL//fecI//lysU//ompA//sbmC//fucP//napH//dmsC//hycF//paaD//hybG//folE//stpA//casD//grxD//appX//nanK//nuoG//srlD//hdeB//cynT//ubiA//qseB//rplB//appC//tap//mtr//tsx//tauA//glgP//nrdF//ulaA//araJ//hdeB//thrS//idnO//dapB//ascB//nlpD//pgpC//rpmC//tdcE//grxD//alaU//focB//focB//nlpE//pyrD//map//rnlA//cynT//bioA//rrlC//entS//puuD//zraS//fepG//rplB//fucP//nanA//mdtD//ssuC//rpoS//yhfA//dmsD//frdC//nuoH//hycH//rrfA//ilvL//creB//hyaE//hyfF//argA//paaA//ydhY//caiA//betT//lacZ//lldP//nanE//paaA//entD//mntP//nikR//livJ//puuP//phnK//xseA//creA//gspE//rutB//mpl//cas2//lpxA//uxaC//bhsA//hflK//rrfB//fimA//fimD//dsdA//astD//fucI//lysA//galK//astC//pgpC//puuC//nuoF//acnA//chbF//lacI//amn//baeR//cyoA//guaB//ycjF//hyfG//paaE//uxaB//nupC//rbsR//rrlB//iscU//cyaR//glpT//psd//nuoF//betT//purA//tap//oxyR//ilvM//livF//ygeA//cyoD//yqjI//cusA//gntU//glpT//psiE//gltV//srlE//fabZ//serC//caiC//torD//map//tam//hofM//aceB//paaF//comR//gutM//fepG//cyaA//fdnH//gutQ//argC//nrfG//arcA//astB//sbmA//ccmE//caiA//nuoE//uraA//ppiD//phnE_2//ftnB//dadA//lpxB//napD//mzrA//yegZ//fepE//xylH//mgtL//oxyR//ascB//glnB//lsrD//entH//acrF//mntH//rbsA//ynfH//
ChbR-Monoacetylchitobiose-6P_neg	ccmC//serC//nrdI//hflX//ulaD//avtA//
ChbR-Monoacetylchitobiose-6P_pos	rrfA//manX//dsdA//rplI//mgtL//ulaF//
CpxR-Phosphorylated_neg	nuoI//paaA//ccmA//hycI//upp//phnF//nlpE//nfuA//rbsC//lysO//rutF//nikB//ssuA//ydfH//gcd//uxaA//fadL//paaD//trpB//fhuC//crr//ccmE//artQ//trpB//
CpxR-Phosphorylated_pos	raiA//torD//purL//glgS//agaV//bcsC//srlB//entF//tdcG//glcC//dppD//gspG//tyrB//entC//csiD//sohB//mdh//hyfH//citX//galS//metA//phnG//appB//ulaD//astB//csgG//aroH//ccmB//cysA//phoU//talA//glpA//folA//paaA//guaB//uhpT//ugpB//nrdH//rplP//trpB//emrY//hcr//tyrP//garR//mhpA//
CreB-Phosphorylated_neg	hyfA//ldtB//dppB//
CreB-Phosphorylated_pos	pyrD//trpC//alkB//fdnH//hemL//rplS//
CueR-Ag_neg	caiF//yggX//ydhY//argI//acnA//
CueR-Ag_pos	preT//fhuA//
CueR-Cu+_neg	yaiW//gatZ//trg//aaeA//rrfF//
CueR-Cu+_pos	lysA//miaA//
CuerR-Au_neg	rpmC//argI//hyaA//caiD//hcp//
CuerR-Au_pos	fiu//gntP//
CusR-Pasp_pos	yibN//modC//psiF//rrsG//frdC//mtlA//priB//tcyJ//fur//hybE//hypF//purE//
CynR-Cyanate_neg	gltU//
CynR-Cyanate_pos	aroG//srlD//hisM//
CysB-N-acetyl-L-serine_neg	astE//glgS//pta//torR//gspK//phoB//gspL//
CysB-N-acetyl-L-serine_pos	crp//alkB//chbR//gspG//gspM//rplC//oppC//agaV//idnT//hybF//entB//xapA//cysP//metI//oppA//mdtA//marA//tar//cspE//ptsI//nusA//araH//nrdB//
CysB-O-acetyl-L-serine_neg	fucP//lsrB//cspD//waaH//mdtD//ampE//bioD//
CysB-O-acetyl-L-serine_pos	gltB//fhuA//ascF//tdh//fhuD//fadE//nanE//ycjF//ygaC//gntU//leuE//purD//modC//fucU//leuE//tnaA//phnI//aldB//argE//phnE_1//puuP//ilvD//gntX//rnlB//
DcuR-Phosphorylated_pos	gspL//ompX//malE//gpmA//rplW//pncB//fes//mgrR//tadA//
DnaA-ATP_neg	malZ//baeR//pstC//rpsF//rpmC//ilvX//yfbR//nanC//tsx//appB//yhiD//
DnaA-ATP_pos	bcsC//bioF//lpxD//micF//feaB//phoU//argH//
DpiA-Pasp_neg	hyfB//
DpiA-Pasp_pos	asr//ftnA//glcD//napG//purC//rrlH//moaD//lhgO//citF//fumB//
DsdC-D-serine_neg	fdnI//
DsdC-D-serine_pos	cheZ//ugpB//
EvgA-Phosphorylated_pos	ptsG//phnJ//ebgA//mtr//glgP//lsrB//rseA//rutC//mntS//lysC//hofM//rimM//fadD//hisJ//bioF//
FNR-[4Fe-4S]2+ reduced_neg	lldD//dpiB//focA//mhpC//glgX//tdcB//hypD//aer//nuoC//ydbD//betT//motA//glgP//pheM//norV//hyfI//fixA//hyfH//hflX//gutM//yfiP//cspE//deoD//phnL//cydB//cydB//pncB//ydfN//yciW//tyrP//aceF//frc//hybD//ilvL//ccmA//adiC//nuoI//pagP//glgB//iscR//rprA//ssuE//fhuD//hydN//trpE//frdC//aceB//ygiA//deoD//dmsD//ilvA//fimA//dmsD//astA//rpsI//phnE_2//ychH//gspM//cspE//ompX//pitB//glpB//hofC//thrV//gntT//fadL//sucC//malE//nrfF//motA//entE//nuoI//mtlR//ptsG//nanM//yegH//bioF//prpB//sucD//yhcH//rbsR//paaA//manZ//gdhA//appX//napG//rrlG//allD//hmp//lldP//zinT//aroP//sodA//cvpA//metN//sdhA//glcA//glpK//bcsA//creA//nlpE//sufB//argO//cadC//baeR//ynfF//frdA//livJ//phnL//tdcF//purK//hyfJ//ung//yqjI//argF//ilvG_1//ogt//chbA//cas2//glpX//
FNR-[4Fe-4S]2+ reduced_pos	yggX//thrS//hycE//cydD//pgaB//ugpB//nrfB//mdtA//aroL//araE//fepG//argI//hyfC//narL//paaZ//hyfF//purM//ydhT//fecI//yjcH//uidB//ung//citF//murQ//cheR//glpB//hflX//rpoE//phnJ//phnE_2//fucI//rpoS//ydeN//csgA//lsrR//rutA//yfeW//rplD//caiT//hycF//manA//ilvE//malQ//ydhX//crp//cpxA//dcuD//ssuE//ptsG//modA//grpE//rplV//rpsJ//gatA//gspK//bhsA//bglF//nuoI//ilvC//lsrB//znuA//ubiC//glgP//rpsQ//malK//casC//yjiY//glpE//argF//tfaQ//aspA//casE//hdeA//nuoG//rrlE//nuoF//fabZ//csgA//nuoL//cueO//cydC//agaA//pheS//gntT//frdD//gspK//nikB//ydhU//adhE//lpxA//tyrB//prpR//moaA//betI//glnK//hisP//araG//rrlE//araC//exbB//bdcA//cysM//rrfH//acrD//fldA//gdhA//gyrA//trpR//ssuE//metL//gatZ//sufA//thrS//udp//artM//fliA//gspE//alaA//atoB//mdtB//baeS//purH//codB//ilvN//aroL//ilvA//ynfG//sbmA//comR//astE//entH//hofB//preA//lsrK//yqjH//fepC//gspD//feoC//leuE//fabZ//aaeX//malF//sbmA//rrfB//ascF//yjiY//fdnG//ppiD//creC//feoC//appB//csgA//ulaD//codB//hycA//yecR//hflX//rutF//moeA//lsrB//idnT//cheR//abgA//mntS//ydeJ//mgtL//actP//flhC//rybA//hybE//srlR//puuP//lrp//lpxA//fucO//caiA//fadH//hypE//lsrB//tdcC//gntT//ynfK//rhaB//gabT//glpC//uidA//ccmA//idnR//creC//hdeB//gadB//waaH//thrS//tolC//cyaA//hypA//gspL//idnT//ulaF//gntK//nrdA//lsrR//
FhlA-Formate_pos	rimP//rbsB//allE//csgF//rplT//malS//malT//livF//yaiA//patZ//fimE//caiT//yqjH//ilvH//uidB//pyrD//hycF//hyfD//ydeM//sdhC//gspK//rseB//cusB//purK//nrfG//rseA//rpmI//malQ//ydhX//nikB//
FucR-L-fuculose-1-phosphate_pos	znuB//katE//emrK//mepH//hdeB//paaB//csgD//
