#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yidQ//gspK//
Ada-Methylated_pos	astB//glpD//kbl//aroP//
AlaS-L-alanine_neg	phnL//
AllS-allantoin_pos	cadC//gspI//astA//
AraC-L-arabinose_neg	phnM//zraP//phoB//mtlA//rrfD//nrfB//nlpE//caiD//
AraC-L-arabinose_pos	adhE//phnM//ycdZ//ybdN//rbsR//lacI//cusA//fhuA//puuC//paaA//
ArcA-Phosphorylated_neg	ygeA//hycG//ansB//narI//fucR//gltT//csgC//fldA//metA//nrfB//cpxA//moeA//arfB//pncB//nuoH//fau//adiC//nirB//cspE//narI//crr//ilvB//rcnB//nmpC//flhD//tadA//nikA//mhpC//moaD//rutE//livH//tdcF//cueO//tauA//ydhV//ydeO//artM//rrfD//trpL//dsdC//tam//yfbR//ugpQ//mhpE//fepC//cueO//nrdF//yeiL//pstB//cadB//serA//gspG//gspE//dsdX//rrlH//nikD//bioC//rrlG//rbsR//safA//umpH//glnA//cstA//yqjI//yqaE//yoaC//phnN//idnO//rseC//envZ//galM//grcA//fdhF//rpoS//sdhA//lacI//tcyJ//uhpT//grpE//hycB//lsrK//caiC//pheM//caiA//ssuA//ynfK//tdcB//exbD//moaC//hyfJ//tar//araC//rnhB//ccmC//glnK//lsrA//puuA//puuD//gntT//mntP//pgpC//hyaA//bcsA//yjiY//mdtB//tehB//dcuR//metN//ydeO//puuB//acrF//dppA//hupB//moaC//glcG//purF//icd//tdcG//citD//paaF//rrfG//ulaB//amtB//araG//fimI//artP//hycF//
ArcA-Phosphorylated_pos	argD//argG//napF//yjiY//envZ//tsgA//rnlB//hyaE//fepD//ychH//ftnA//mglA//caiT//aldA//napA//yeaR//fhuD//iclR//ispE//tam//citE//artQ//chbF//lsrD//paaI//sufE//phnL//csgC//efeU_2//ndh//sufS//appA//pstS//nuoN//avtA//pflB//sdhC//cysP//rbsC//phoA//erpA//iclR//lsrR//ccmE//caiF//phoQ//deoB//appX//fecE//ftnB//cydB//nuoG//fadL//rbsD//yggX//metC//gutM//gutM//
ArgP-L-arginine_neg	cpxR//
ArgP-L-arginine_pos	mutL//tonB//betT//tcyJ//chbA//abgA//lsrG//hfq//uidA//paaG//mtlD//fepB//purF//lamB//xdhC//
ArgR-L-arginine_neg	ugpC//glpF//yhjC//rrlA//stpA//folA//fimD//cysG//nuoA//tauB//tehB//yfbR//dapB//pstS//pstB//aspA//dps//ldtC//nrfE//glcF//mhpF//casA//malY//moeA//marB//phnL//narK//copA//livH//soxS//paaG//focB//trpE//fadL//
ArgR-L-arginine_pos	dcuD//focA//lolB//gpsA//mdtA//
AtoC-phosphorylated_pos	amn//pdhR//fur//dsdC//
BaeR-Phosphorylated_pos	phnN//ydeA//gltD//osmC//mhpC//moeA//ulaC//argH//
BirA-bio-5'-AMP_neg	gspI//nrfB//carB//cysP//mzrA//
CRP-cAMP_neg	nrfD//evgA//cheZ//ansB//fdhF//phnO//nuoJ//soxR//ilvY//gspL//iraD//codA//fimE//yqjI//phoP//aceF//katE//ssuD//galM//dnaA//glpQ//flhD//rrfG//lpd//mdtD//rpsJ//srlE//gltF//cusC//dsdX//pheT//hisJ//uxuA//malG//crl//fhuF//cstA//nanS//cysI//ssuE//galT//hydN//ccmE//malX//actP//ykgM//pnp//modA//ubiC//phnI//aer//nohA//osmY//narH//deoB//dusB//ydeJ//uxuR//srlA//spy//rpsI//appC//acs//bioC//pstA//gspD//torD//ftnB//yebE//ebgA//aroL//deoB//hdeB//tsx//artP//nrdF//lacZ//fhuC//ykgR//srlD//pheT//galE//cueO//dps//ssuA//gatA//miaA//sbcC//alkA//ccmF//ilvX//yeaR//fimD//nrdF//rybB//artM//rimM//gabD//yfeW//fhlA//cysC//zinT//cynR//dppC//nanC//mpl//ompT//bcsC//csgB//bioB//narX//phoB//yccA//ulaD//mcaS//phnK//malP//speC//rcnA//glnD//moeB//rpsQ//rstB//malG//focB//malE//udp//sufS//chbC//yggX//tdcE//nusA//dsdX//
