#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fepG//ilvH//
Ada-Methylated_pos	yjiY//ydfH//iscA//rplW//
AlaS-L-alanine_neg	nanE//
AllS-allantoin_pos	tauA//hycD//hycG//
AraC-L-arabinose_neg	hybB//priB//ygeA//slyB//ogt//fhuF//hypE//yqjA//
AraC-L-arabinose_pos	yhjC//nuoH//chiP//creC//uidC//lsrR//uhpB//ldtC//hofB//yojI//
ArcA-Phosphorylated_neg	zraS//ilvX//nrdA//aaeA//gltT//cysA//cspD//argC//acrF//tauB//xylR//oxc//gspD//gpsA//ptsH//rrfB//ilvA//cydB//gltA//aaeR//flhD//puuC//caiA//metH//metA//zwf//moaB//ydeP//dsbA//araJ//nupC//tsaE//rpsP//znuB//recF//chbG//ileU//gdhA//melR//pflB//ilvN//hupA//sdhC//fhuF//fur//sbmC//ispE//ulaF//entB//gcvP//livM//dmsA//oppC//rhaD//arfB//phnP//nuoL//tnaC//ybdN//tdcA//fhuD//nrdG//cusF//psd//moaE//aceE//moeA//garL//rdoA//rutD//ssuC//yeiB//motB//leuE//artI//alaU//dnaE//evgS//nirD//norR//oxc//oppD//galE//argA//gyrA//feoC//nlpE//umpH//napC//fhuA//tehA//ydbD//ompA//prpD//hcr//trpC//hisP//nrdD//hyaC//srlR//hflD//katE//dctA//cheB//hdeA//ugpA//alaA//ulaB//phnM//galK//mhpT//aldB//srlE//ulaF//metJ//dnaN//cydB//gspO//yjeF//alkA//ilvN//yfdX//purB//fadL//malP//narQ//livF//
ArcA-Phosphorylated_pos	ahpF//nrfE//frdD//ykgO//modC//lacY//aspC//nuoK//ompA//metC//sufS//dcuC//bioB//putP//nanM//fumC//mipA//glcG//araE//hdeD//arcZ//deoB//yaiA//gatA//hyfE//prpB//cheA//ybiT//sxy//guaB//norV//acnB//avtA//metI//oppF//abgT//rutA//yrbL//deoC//slyB//prpB//fixB//xapB//rplM//nikE//hofB//narH//casD//paaK//crl//carB//dppD//ygiC//rpoE//trpE//iclR//casC//phoE//
ArgP-L-arginine_neg	aidB//
ArgP-L-arginine_pos	cysP//rutC//ileV//tehB//ybjG//nuoN//cheR//aspA//rrsC//narK//ryhB//phoP//ynfK//prpC//ccmF//
ArgR-L-arginine_neg	ulaF//exbB//idnK//melA//nagC//pgaC//cas1//ycdZ//ompF//patZ//hycI//aspA//gspM//ileV//rnpB//rbsA//dsbA//norV//uxaA//evgS//yqjA//bcsC//purC//rpsI//aroA//dmsA//mglB//fucA//fecR//spf//fdnG//rbsD//hycE//puuD//
ArgR-L-arginine_pos	focB//murQ//cynT//rpoS//hycH//
AtoC-phosphorylated_pos	ygiC//gntX//aidB//iscR//
BaeR-Phosphorylated_pos	ilvX//fecE//oppC//agaW//bamA//gspL//aldB//ygiC//
BirA-bio-5'-AMP_neg	ppiD//araJ//appY//casA//fecR//
CRP-cAMP_neg	mutL//uhpA//yqjH//hycC//rdoA//entF//csgA//iscR//alaT//fis//tauD//cydC//aspA//hmp//cspD//aaeX//gntP//puuP//melA//tnaC//tyrR//amiB//aceF//paaF//rprA//yaeP//ompW//gspF//rpmC//pgaB//paaZ//yfiP//ilvN//rcnA//serA//acnB//rrlA//cynX//hemA//purC//aspA//fdhF//csiE//rnhB//ssuB//narQ//hypC//argT//nrdD//fecI//rimM//glpQ//gadC//acrD//ilvB//glyA//rrsB//ynfK//napC//tauC//ptsG//bcsZ//deoD//fimC//alaU//ssrS//mhpF//trxA//csiD//hybC//puuP//gntT//livK//zwf//mlc//ileV//nuoG//rhaD//rrlD//dnaE//glpR//lamB//sdhA//gyrA//ptsH//fixC//lhgO//manX//dctA//appB//rplS//hyfC//nikR//ydeJ//xylF//ccmB//hdeD//sucA//fixA//bhsA//caiF//tcyJ//nikR//hyfI//ung//pitB//fdnI//ybjG//araH//aroL//cydB//yjiY//hslJ//mhpB//glpX//ygbA//purM//lpxB//torD//cheA//ybdZ//sucC//abgT//edd//trpE//betA//trpE//galE//xapA//paaA//uxuR//udp//uxuR//
CRP-cAMP_pos	glpK//abgA//iclR//fepC//hflC//marR//yeiW//yciW//micF//galS//oppF//narG//agaV//glrR//yneM//amtB//hofB//ompC//purC//ebgC//gatB//lysP//manY//oppD//ybfN//chbB//sodB//fepB//cheA//nrfB//codA//cynR//phnJ//cheA//metH//polA//fadA//manX//gcvP//uxuA//metR//alkA//malI//abgT//lsrR//uhpB//hpt//modC//cheR//yaiA//aldA//cynT//fliA//ssuB//glnG//fnr//ilvC//nanT//evgS//metA//lhgO//fucO//puuE//gltW//cysJ//hypB//yecR//gltV//truB//dcuB//mglC//uhpA//nagC//chbR//fdhF//norR//ychO//caiF//lysP//ulaC//srlE//ygeH//hofC//nrdE//lpxD//yeiW//artQ//fadA//hycE//nuoL//entD//ssuC//yneM//rbsD//rpoE//napB//cysA//xylH//argD//mtr//sdhC//tap//lamB//manX//guaB//dnaN//hflC//ptsG//mzrA//kbaZ//rof//citG//araF//phnJ//malE//cheZ//fimI//argO//fecA//hofB//fucP//pstS//nrdD//purB//bdcA//ccmD//yhcH//puuD//bioB//nikB//ansB//glcG//csiD//ilvN//tktB//ydeP//yneM//glnK//rpsP//ygiA//yqjA//lsrF//infB//yfdE//uidA//cvpA//chbC//cusB//cvpA//mpl//napH//trpE//malZ//yaiW//deoD//cusC//codB//gutM//pheS//gdhA//hyfH//citG//ppiD//nrdI//garP//xapA//dppA//mntS//mtr//bglF//tolC//rpoE//mhpD//rutE//yeiP//yidQ//modA//argG//csiE//yegH//hyfJ//bioB//rpsP//yedX//gntK//rrlG//talA//entA//argG//casA//lsrD//nanK//metC//gltB//rrlC//torR//livM//fnr//feaR//nrdG//tonB//truB//ilvE//lysC//ssuC//sufC//focA//napD//hcr//acs//cpdB//ompR//grxD//rseB//ndh//katE//entC//ycjF//ydfH//tdh//purD//serC//astD//hybE//modB//fadE//fhuE//entF//katE//tyrP//dmsC//lldR//rpsP//phnK//fixB//gspL//ada//miaA//rpsR//cheY//cdd//yaiW//ccmG//astA//serA//lolB//mlc//ihfA//fis//rutE//erpA//ompT//rstB//bamE//hycA//avtA//xapB//lysA//cspE//casD//glnB//sufB//xseA//upp//malE//argF//csiD//caiD//galS//mpl//entH//argE//katG//fecE//ileU//hyfH//cysD//envY//cusC//nrfE//gntU//mtlR//dmsC//gatB//dppC//galS//gntP//sbmA//ascB//emrK//trpL//envY//arcA//nrdI//tam//ulaB//gcd//metJ//ilvY//motA//creC//bglG//astA//fdnG//torD//puuE//ilvB//dnaA//aceE//lsrB//lsrA//allC//gltD//fes//ynfK//map//aroA//serC//araH//nanA//pgk//rprA//alaT//ompX//uhpT//yfiP//slyB//yaeP//prpC//lpxA//alaT//gntR//tktB//cysN//marB//garR//rrfA//comR//cbl//moaE//metF//rrlC//rbsC//gspM//ydhV//tsaE//cyaA//envZ//norR//cusS//ydeP//lacY//dppD//codA//sucC//puuP//fimC//cstA//uvrA//ycjX//fecD//argF//lsrK//tadA//malS//talA//bacA//hpt//artP//folE//adhE//yoaC//cdd//hybE//ubiG//focA//hybB//appA//cas2//hypD//melA//pstC//cysM//astD//avtA//phnG//melR//phoP//moaC//mhpB//gdhA//patZ//phnM//metR//nuoI//ilvG_2//tsgA//ndh//csiE//ebgC//aceK//napF//psiE//ccmE//yedX//rpsF//rrsB//edd//mgrB//paaK//fixC//hflX//fabZ//fecB//fimH//deoA//dnaE//nuoA//rrfC//atoA//ackA//rbsA//cysG//ahpF//hyfA//pheM//ccmE//epd//chbF//
ChbR-Monoacetylchitobiose-6P_neg	zraR//dadA//ynfE//gadB//torC//astB//
ChbR-Monoacetylchitobiose-6P_pos	casD//baeR//speC//fdnG//prfA//rof//
CpxR-Phosphorylated_neg	malK//mglC//uvrA//narI//pitB//tonB//ulaD//rpsO//spy//phnJ//alaS//lpxB//chiP//tadA//ulaF//zinT//caiF//pgpC//fimF//gntX//stpA//exbB//yqjA//dnaE//
CpxR-Phosphorylated_pos	creD//idnR//atoD//rnpB//alkA//citD//emrY//ydbD//argO//yojI//epd//sdaA//ccmB//hyfJ//sucC//ytfE//citC//gatZ//cheB//artI//narQ//ilvL//rplM//rutF//fadB//srlA//ybdN//glnL//mgrR//dmsC//csgD//glcG//trpR//cysP//idnD//modB//pck//yhhY//fadE//sdhD//slt//hyaD//manZ//ebgA//cas1//
CreB-Phosphorylated_neg	rrfG//manY//trg//
CreB-Phosphorylated_pos	gatC//malG//ydeJ//rnlB//kbl//acrE//
CueR-Ag_neg	purC//rhaB//ubiG//ilvM//yfdX//
CueR-Ag_pos	oppB//sufD//
CueR-Cu+_neg	purA//chiP//torD//gltV//arcA//
CueR-Cu+_pos	gatB//yfiP//
CuerR-Au_neg	fecR//ubiA//iscA//fumB//gntT//
CuerR-Au_pos	ygiB//prpB//
CusR-Pasp_pos	mtlD//garL//melA//phnH//allD//cynX//galP//erpA//fecB//ileU//bamE//yfeW//
CynR-Cyanate_neg	glgC//
CynR-Cyanate_pos	hisM//hflC//ilvG_2//
CysB-N-acetyl-L-serine_neg	hybC//rbsB//puuC//lolB//osmY//yaiW//artJ//
CysB-N-acetyl-L-serine_pos	aceE//fnrS//deoB//dpiA//prfA//cynT//fdnI//marB//malQ//tnaB//feoA//cyoE//aceK//xylA//ppiD//pyrD//eda//fhuE//fbaA//rrfA//phoE//glgP//guaA//
CysB-O-acetyl-L-serine_neg	manA//hemL//rseC//hycI//chbG//garR//fhuD//
CysB-O-acetyl-L-serine_pos	ygeH//hycD//iscR//yhcH//yfeW//glnL//rplV//ascF//guaA//gspK//galM//ydeJ//deoC//hupB//yfdX//ugpC//puuB//citG//slyB//cysK//micF//phoH//fbaA//fhuC//
DcuR-Phosphorylated_pos	fadA//oxc//phoA//xapA//metI//cyoC//qseB//iraD//deoD//
DnaA-ATP_neg	slyB//artP//rcnA//rrsD//puuP//idnD//nrfA//moaE//zwf//nrdH//nfuA//
DnaA-ATP_pos	glnD//rrsC//phoA//araG//cheW//treB//fepG//
DpiA-Pasp_neg	tyrR//
DpiA-Pasp_pos	moeA//proP//yfaE//gltV//treR//glpD//dmsB//chbR//fhuB//narJ//
DsdC-D-serine_neg	degP//
DsdC-D-serine_pos	nikC//tomB//
EvgA-Phosphorylated_pos	hypC//fimA//cysP//oxc//tauA//aroM//fepC//iclR//malZ//cysC//moaC//rnpB//gspJ//rrsC//tonB//
