#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	aceK//abgB//
Ada-Methylated_pos	phoH//modC//dapD//pheS//
AlaS-L-alanine_neg	malS//
AllS-allantoin_pos	ydhY//envY//bdcA//
AraC-L-arabinose_neg	ppiD//phoE//dcuR//ydiU//mhpR//malG//trpL//hyaF//
AraC-L-arabinose_pos	ssuC//atoE//casC//ilvE//glpA//sufC//lsrD//phoQ//crl//rseC//
ArcA-Phosphorylated_neg	glpF//atoD//moaB//bioF//gltB//phnK//livG//phoU//gltF//stpA//astA//fixB//malT//mhpT//argT//rbsA//pncB//bglG//aceF//paaK//purL//puuD//metB//nagA//fimF//mdtB//rhaR//pstA//dmsD//glcG//cydC//paaB//hdeA//dmsB//tyrA//lysO//lhgO//hyfA//glgC//iscR//metN//puuE//ldtC//csiE//lysU//manY//dsbA//carA//norW//csgD//hflX//polA//livF//gcvT//cusB//torC//gatC//trmD//astB//putP//ycjF//gspH//marB//cydB//hslJ//aroM//nuoE//fhuA//glpD//prpB//lamB//fumC//rpmI//rplC//cas1//glpG//ascF//argG//csiD//glcD//cheZ//glmY//araC//srlB//speC//ybdZ//ssuA//yoaG//glpQ//cspE//phnI//lolB//uhpA//rimM//treB//hisP//skp//zwf//yeiB//cyaR//glcB//hyfD//mntH//hyfG//ydfN//yegH//hybG//yaeQ//nupG//map//acnB//phnD//grxC//puuA//nuoK//ilvI//rrfA//rpsQ//iclR//uxaB//nanT//katE//artM//rimP//focA//entF//glcE//
ArcA-Phosphorylated_pos	rpoS//paaE//aceE//uxaA//cysK//narH//araG//argA//narQ//bglG//malI//yfbR//glrR//znuB//narK//trpR//ugpB//aaeB//paaE//carA//rpmC//csgC//nikE//pgaC//mglB//pstS//araH//napD//uxuB//hofC//tsx//phoR//bioF//bglG//hycA//melB//gltV//fixA//fes//tcyJ//iscA//ubiG//aspC//ydeM//aaeX//fadD//fepA//uxuB//tauB//treC//appY//mhpC//fixA//hybD//nusA//gatD//phoE//cysP//
ArgP-L-arginine_neg	rhaT//
ArgP-L-arginine_pos	argG//cysB//dapB//rhaR//pstA//rrsA//cadB//preT//spf//araJ//marR//cyoD//yeiB//gatC//ubiX//
ArgR-L-arginine_neg	gltF//yeiW//sbcD//ynfH//rpoS//uof//ccmE//yeiP//metY//cydD//flhC//chbG//kbl//ldtC//sdhC//glgA//fhuD//hofO//ispE//fimE//ccmB//rrlG//artQ//astB//alkA//argB//dcuR//hypA//ugpB//ynfK//zraP//mglC//speC//uxuB//
ArgR-L-arginine_pos	gntX//uidC//bioF//ydhV//nrdG//
AtoC-phosphorylated_pos	rutD//nuoJ//mcaS//allC//
BaeR-Phosphorylated_pos	tam//gabT//phoB//marB//rrfF//hypA//fepD//yoaG//
BirA-bio-5'-AMP_neg	livH//oppA//malX//baeS//modA//
