#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rrsD//dppB//
Ada-Methylated_pos	fhlA//tnaA//grpE//skp//
AlaS-L-alanine_neg	mntS//
AllS-allantoin_pos	rbsC//ybdN//borD//
AraC-L-arabinose_neg	tdcC//hycD//chbA//mntS//nanM//purN//mlc//mipA//
AraC-L-arabinose_pos	gspE//nuoI//ssuA//tsr//cysU//ccmD//livJ//gatY//dsdX//entF//
ArcA-Phosphorylated_neg	ssuA//bcsZ//zraR//rutE//ptsH//ileT//argR//phoH//ilvG_1//lacY//gcd//ssuB//trpE//cynX//nlpE//phoU//hydN//trxA//rbsB//zwf//psiF//hyfJ//glnK//ssuE//mhpF//napB//nrfB//ilvN//cheB//entB//ubiX//fdnH//tnaA//casA//citD//raiA//hlyE//galP//slyB//rrsE//yhhY//fecC//dsdC//phoB//ybfN//lsrC//speB//yfbR//carB//srlR//rrsC//slyB//dmsB//tdcC//rplW//lldP//fadD//hdeA//allC//rrsC//glcD//ilvX//sdaA//malS//astE//iscS//fimF//dsbA//sdhB//deoA//argF//chiP//ugpB//galE//fhuE//erpA//ada//rrfD//grxC//garR//ppiA//hofO//glnG//acrE//hybE//rrfG//phnE_2//mdtC//aceF//eda//murP//ssuD//yfeW//lpd//rpsJ//galE//gabP//flhC//treC//trpB//pyrC//prmC//sdhB//infB//soxS//pitA//xylH//sdhB//mscM//ompR//trpL//ihfA//aer//lsrA//fucP//tnaC//artQ//treB//ompW//srlE//rrsC//astE//srlE//ydeN//melR//acnB//fumA//
ArcA-Phosphorylated_pos	fdnI//tadA//ebgC//rpsQ//gatZ//tehB//aspC//nikA//ppiA//citC//fdnI//hyfA//torD//rutA//cheA//sufD//spy//ogt//nuoA//metY//purE//pgpC//glmY//metE//phnM//gapA//yegR//yoaG//crl//pck//yfaE//hslJ//emrY//rbsR//gspC//atoB//lacI//phoU//dppD//hyfJ//modA//rbsB//feoA//fecA//actP//nuoC//livM//pitA//narL//rseC//melB//rpsR//appA//cynX//casB//nrdH//citG//hha//
ArgP-L-arginine_neg	yggX//
ArgP-L-arginine_pos	tktB//hyaA//purA//metC//erpA//ynfF//casB//eda//rrfA//fimI//uxaC//fecC//rseC//yaiA//csgC//
ArgR-L-arginine_neg	umpH//ivbL//creD//hycH//glcD//ubiG//yjeV//carA//rbfA//ynfF//frc//citC//guaA//malZ//mdtC//gltU//tyrP//bhsA//abgB//ryhB//truB//rplP//agaV//pstC//rimP//ihfA//ychO//gltB//fimD//glcD//cyoD//astE//cydB//talA//
ArgR-L-arginine_pos	cheR//aspA//paaI//exuT//yrbL//
AtoC-phosphorylated_pos	nohA//atoB//pstA//rrsC//
BaeR-Phosphorylated_pos	crl//rplW//cysW//baeR//creD//aspA//ubiC//mltC//
BirA-bio-5'-AMP_neg	ulaC//nohA//comR//rnlA//dctA//
CRP-cAMP_neg	ascF//psd//aceF//lsrG//fepD//glpG//ptsI//paaJ//ssb//uhpA//ydbD//appA//casE//caiB//tap//hisP//hflK//yqjI//cyoD//envZ//rcnA//nikD//ygiB//phnP//nanC//napC//nrfB//ynfH//dsbA//rrsA//rplC//hyfD//mntP//fepB//putP//hypB//gatZ//ileV//nusA//gabD//moaB//ycdZ//cydB//rrsD//nadC//thrV//fixC//rrfA//uxaB//lysC//dps//artJ//gadC//nikB//comR//glpK//fhuF//speC//aspA//pflB//torA//pgk//zntA//gyrA//phnM//yjeV//tdcD//hha//ccmG//lacA//fnr//hflD//pflB//fimF//trpD//rhaD//csgC//glcB//rhaA//hmp//tdh//grxC//tnaB//paaK//sufS//yqjI//rbfA//ygaC//cusC//rrsD//cynX//srlB//osmY//cyaR//cirA//aspA//abgT//marR//glcB//bglF//ftnA//acrE//cysH//hflX//gyrA//fecE//cdd//rseC//xylH//fucK//bcsB//nrdE//garR//dmsA//tdcB//arcZ//yneM//araA//rimM//nrdD//nagA//ytfE//sucD//fecA//glpA//rplP//gspJ//feoB//hemL//sufD//gspO//astE//dmsC//
