#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rrsH//araE//
Ada-Methylated_pos	hyfB//bcsC//pheM//nuoG//
AlaS-L-alanine_neg	focA//
AllS-allantoin_pos	acs//tdcA//aspC//
AraC-L-arabinose_neg	glcE//hslJ//gabD//rrsA//deoB//citG//glcF//allD//
AraC-L-arabinose_pos	hyfH//mglB//bcsA//gspF//dapD//tdcC//gspO//ptsH//deoD//nlpE//
ArcA-Phosphorylated_neg	gabD//ilvC//glcF//katE//znuC//rpoS//puuE//nuoK//dctA//metN//ulaB//sufD//xylB//yaiW//cysJ//tolC//uidA//ompW//livG//skp//alaS//rpsP//gatA//pgaA//ogt//astB//znuB//ygbA//nikC//prfA//hycH//exuT//motB//ydfH//yjjZ//yoaC//ccmD//abgA//hdeD//dapB//glcG//malZ//ynfF//bioB//ygbA//codB//tap//livM//rimP//edd//nanA//phnD//livJ//marA//ccmC//uidA//fdhF//sdhB//citF//mgrR//lysU//rhaD//gltV//pflB//tdcE//oppC//hycH//tnaC//sbcC//sufE//hflX//ilvC//nrfC//xylF//nohA//glpC//fixA//secB//hisM//raiA//fepA//puuP//fepB//allE//gcvP//sroD//glcF//efeU_2//aroL//nupC//gltV//ascF//preA//ftnB//rrfC//envY//uxuR//astC//gadC//livJ//ada//fecB//adhE//moaD//norV//fucU//arfB//livK//napF//nikC//sufE//motA//lsrA//pgpC//evgS//hfq//mhpR//hycH//mhpR//tar//sufD//ilvG_1//cysI//deoC//ompR//idnR//map//
ArcA-Phosphorylated_pos	gnd//ilvX//fur//yojI//prpD//gspC//torR//pgaB//rutA//napB//osmY//mepH//hyfE//yjjZ//trmD//cusS//rhaD//gatD//oxc//uvrA//phoA//grxC//hpt//stpA//mcaS//degP//fhuC//prpD//norW//nrdD//treB//hyfE//phnK//lsrD//argH//marB//fldA//nfuA//rrfE//hyfB//gspE//ssuC//creA//mntS//lsrA//idnR//gabD//purL//ilvH//fiu//norW//hcr//aspC//alaA//citX//yfeW//nanC//lhgO//
ArgP-L-arginine_neg	dmsC//
ArgP-L-arginine_pos	trpA//purH//citE//bioC//osmY//fepG//glgX//lldR//yeiP//narG//yjjZ//proP//sroD//paaZ//gspJ//
ArgR-L-arginine_neg	dmsA//ispE//agaW//araH//moaD//caiF//rrfF//ada//ydhT//lsrD//uxuA//bcsA//ada//arcA//nrdG//dppD//pitB//metY//gutQ//nuoC//malY//fbaA//rrfG//pck//pck//znuA//gspL//alaU//galT//pitB//edd//rnpB//sdhC//nrfD//
ArgR-L-arginine_pos	ileT//moeB//yqjH//eda//glcA//
AtoC-phosphorylated_pos	ilvH//astA//fecE//cysN//
BaeR-Phosphorylated_pos	trpB//phoR//livG//acrD//acrE//alkB//yecR//fucK//
BirA-bio-5'-AMP_neg	rseA//xylG//cyoB//pstS//pgaD//
CRP-cAMP_neg	xapA//casE//rplC//fecD//mglA//lpxB//ugpA//sdhD//fimH//ileU//folE//feoC//rseA//allE//astB//hybO//cyaR//xylH//ahpF//rrfE//tonB//csiD//raiA//entH//phnK//focB//cysA//aceK//uxuB//hyfG//srlA//codA//gabP//paaB//alaU//dppF//rrsB//paaE//hfq//ompF//glgS//hisJ//metQ//sucA//ilvE//deoA//nuoJ//pgaB//nrdI//fimH//znuA//nrdI//gspI//mdtD//sucD//nanK//pdeF//nrfA//rimM//iscA//ulaE//pgaD//xdhB//yegH//slt//tsx//ydhV//ilvG_2//gntR//argT//hybF//narK//avtA//ychO//ulaB//narL//hofP//nrfD//fixB//gltF//rrfG//ubiA//rprA//feoA//aceF//ahpF//alkB//citF//trpD//nanS//osmC//metC//hyaB//phoP//gpmA//phnF//malG//lldR//dmsD//acrD//mhpA//ydeA//cusF//csgG//rstA//hybE//tpx//cysI//pgaC//preT//gabD//acnA//cytR//argD//fepA//lolB//micF//caiE//ybdN//nadC//malT//hyaA//lacZ//tehB//cysP//cysK//bcsC//trg//metC//fimI//exbD//gabP//uvrA//
CRP-cAMP_pos	lysO//upp//cydB//sucD//hdeB//rpsF//fldA//ilvE//nagB//motB//hycC//purE//lsrF//fhuE//rpsF//lsrD//trpC//fadB//nrdE//rimM//dusB//mdtD//galK//lldR//artM//sufD//bdcA//glnK//ulaF//nuoK//glcB//gabP//argF//cyoA//hydN//mscM//atoB//uraA//rbfA//moaC//ompW//phnD//rimM//fecC//entA//argG//cadA//hflX//tehB//glcE//tyrA//rplB//gntX//aroG//hofO//cysW//ygiB//nagE//entS//puuA//deoA//xylG//ulaE//csgE//ydfN//hofM//pstS//ryhB//lrp//tehA//glpF//purM//ldtC//arcZ//cdd//argI//dmsD//aspA//rbsK//rpsJ//prs//mutL//ydeA//uvrA//arcA//yggX//ilvA//nrdB//torD//moeB//csgG//hyaD//dnaN//hypB//agaW//prpC//araC//ebgA//mntS//abgB//metH//gatZ//hcp//rrlH//fabZ//fhuB//prpD//fecD//trpC//tar//pnp//nrfA//dcuC//fadH//hisP//betB//dadX//gpsA//psiF//glpT//ompR//envZ//rseC//glnB//copA//argO//aidB//yoaG//entB//nrfA//yhfA//cydC//ubiX//galE//yecR//rdoA//hycD//rimP//fepC//zraP//fhlA//rrsA//rpsJ//argB//chbA//fucK//phoA//cueO//ycdZ//mglC//ydhY//dapD//gspE//metH//sdhD//caiT//csiD//paaA//cytR//cheZ//pstA//aidB//prpC//waaH//feoB//cyoE//xapA//arcZ//tap//malP//paaI//gntR//melB//rhaD//metK//mltC//prpE//yjcH//glcB//cpxR//gatY//lolB//hybG//oxc//folA//nrdE//ileV//hyfB//gatB//malE//sufE//argB//ygeA//aldB//tcyJ//nlpD//argO//aroH//sbmA//hlyE//trpL//iscU//oppD//phoQ//nuoB//iscS//nuoF//fecB//hycE//melB//icd//ssuD//nrdE//ssrS//ydhU//chbF//dgcZ//lpd//yeiP//mhpT//artI//ydhV//zinT//xdhC//xylG//nikC//hisJ//citG//srlA//rbfA//rrfC//trpR//yeiB//aceF//glcG//purH//ascB//gnd//glcB//uxuA//leuE//glgC//mhpT//comR//glcC//narL//hofN//csgF//yccA//crr//napC//hyfI//mglB//ychH//lacZ//glcA//torR//acnB//gltU//patZ//ilvN//cstA//bamE//ahpF//glgC//tdcG//gntK//mgrB//lldP//mlc//ccmH//acrB//lrp//qseB//nrfA//gntT//puuR//narJ//mhpT//miaA//hcr//glgP//alaU//nuoK//uraA//leuE//rhaA//rrsC//hyfF//nuoM//dkgB//tyrA//metR//rimP//folE//fhuF//acrA//gutQ//ssuE//gatC//gspJ//rhaS//rplT//gntU//ulaD//napC//livM//fecI//idnR//creC//fucA//narJ//purA//tdcC//xdhB//dpiB//ubiG//cusR//melR//aspA//fnr//comR//lysO//nupC//kbl//bcsZ//paaE//cysK//nuoN//ccmG//gntR//entS//fhuD//cusC//hcr//dsdX//mhpC//cheY//cysI//yeiW//creB//lhgO//hyfB//narK//nrdA//nuoG//sucD//ydhY//yoaG//hyfE//fucA//ssrS//fucO//osmC//rnlA//yciW//yqjH//ptsH//ybfN//srlR//arcA//oppC//guaB//psiE//uxaC//cynS//fecR//rpoS//aldA//tar//arfB//aer//recF//csgD//mhpB//ileV//rrfC//rutF//dpiA//ydeA//argI//rrsB//ispE//oxc//rbsR//aceK//nuoF//aroP//glnG//narQ//yfdV//rbsK//mhpE//appY//serC//ilvD//mscM//tdcE//nupC//fis//abgT//ykgO//yfeW//ompR//dsdA//hybE//gspH//fumA//fimI//bcsA//ybiT//ytfE//ulaB//xapB//yfbR//degP//dnaE//metB//envZ//ulaF//nagE//paaB//napD//nrfD//entF//srlE//fepA//hyfE//atoD//
ChbR-Monoacetylchitobiose-6P_neg	hybC//ykgR//mtlR//dnaN//crr//rbsC//
ChbR-Monoacetylchitobiose-6P_pos	csgB//cyoC//cra//qseC//murP//yaeQ//
CpxR-Phosphorylated_neg	xseA//speB//yfbR//kbaZ//lsrB//manY//glcA//mhpA//aroP//talA//tdcG//norR//frdD//galP//mscM//uxaB//deoA//purA//rplV//lldR//melA//degP//idnR//frdD//
CpxR-Phosphorylated_pos	evgA//rpmI//dmsD//rplV//moaB//lrp//rnlB//agaA//mgrR//xseA//fhuB//rpsP//rbsK//garL//glnB//hofO//csgF//tadA//grxC//araA//ilvE//lysC//yhfA//citX//rrlA//ybdZ//tomB//zntA//xseA//hybA//yhcH//mhpD//arcA//glpR//lacZ//cstA//murQ//moeB//treB//amtB//iraM//livF//rof//comR//araA//
CreB-Phosphorylated_neg	osmY//tauD//speC//
CreB-Phosphorylated_pos	pgpC//deoD//glnB//galE//paaH//edd//
CueR-Ag_neg	rpsC//caiC//araD//phnN//hycI//
CueR-Ag_pos	nlpD//feoC//
CueR-Cu+_neg	rnhB//hyaB//gadB//metL//paaI//
CueR-Cu+_pos	tap//entA//
CuerR-Au_neg	zraR//gspE//allE//cydA//gltU//
CuerR-Au_pos	ilvH//fucO//
CusR-Pasp_pos	glpA//mgtA//qseC//malX//ompF//hyfF//metY//hpt//aceB//ydbD//phoB//purC//
CynR-Cyanate_neg	glgA//
CynR-Cyanate_pos	udp//hybE//envY//
CysB-N-acetyl-L-serine_neg	ftnA//ssuE//galK//malE//envY//srlR//galS//
CysB-N-acetyl-L-serine_pos	serC//entD//hyfF//ygeH//tktB//nuoE//rrlA//fucR//fhuB//codB//paaB//rrsG//cyoE//araF//ogt//gltD//trpL//ccmF//safA//pnp//cysM//norV//rbsK//
CysB-O-acetyl-L-serine_neg	fumC//ilvM//ydhT//baeS//paaC//nagB//fucK//
CysB-O-acetyl-L-serine_pos	mltC//phoU//ilvN//qseC//ulaA//hfq//tdcF//phnK//cstA//uxaB//ydfN//cheZ//cueO//metL//casA//nrfE//nrdA//treR//agaW//mhpD//ompF//rhaS//glgA//fis//
DcuR-Phosphorylated_pos	hupB//bcsB//psd//rrfD//rhaS//hmp//fhuE//abgA//malT//
DnaA-ATP_neg	rpoE//paaH//atoE//aroF//tehA//bhsA//aaeR//yeaD//modC//pgk//bglG//
DnaA-ATP_pos	gcvH//ptsG//crp//malK//lysO//garK//sdhA//
DpiA-Pasp_neg	nrdB//
