#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	narQ//zraR//
Ada-Methylated_pos	torA//rbsK//metL//ugpQ//
AlaS-L-alanine_neg	appX//
AllS-allantoin_pos	gatY//mgtA//ilvH//
AraC-L-arabinose_neg	grpE//narX//paaF//mdtA//araC//phnE_1//nrdH//argR//
AraC-L-arabinose_pos	hofN//rrlC//oppF//nuoL//carB//rrfB//rrlE//tauA//polA//hypE//
ArcA-Phosphorylated_neg	yeaE//glcE//feaB//dsbA//moaD//yjcH//ssuE//fepC//spy//bioD//nrfE//cheR//lysA//malX//agaA//casB//bamA//gapA//rimP//folA//ebgC//ppiD//paaI//tehA//mdtD//narQ//fhlA//moaB//narG//raiA//patZ//glmY//trpB//rpmI//hcp//pncB//rrlC//pstB//metA//mgrR//rpmC//dmsC//hycE//ilvD//ompC//rplM//glcE//motB//agaV//livH//malY//moaA//rutE//narH//bacA//xdhB//mgrR//hyaA//chbG//glgC//ytfE//glnA//metH//rpoH//dmsC//lhgO//ulaB//torR//tpx//oxc//hycG//narJ//nohA//modC//slyB//cra//murP//ybfN//bioB//chbF//nanA//rybB//artP//ilvM//gntX//argG//cysK//ssuD//folA//ulaC//caiB//aroG//dcuD//zraP//gspF//hyfJ//nrdB//ompR//araJ//sufD//citF//lysU//ppiA//ygaC//puuD//ahpC//torA//paaJ//ugpE//nanS//ilvH//purF//fadJ//trpD//znuA//malY//mhpE//fdnH//argI//hofC//iraD//dmsD//rybA//yeiW//malE//hyfI//tcyJ//
ArcA-Phosphorylated_pos	yeiL//araA//hyfJ//rrfE//slyB//abgT//deoD//tauC//pnp//fimA//dppB//zraS//nuoC//frdC//ykgO//fur//yegZ//yfiP//patZ//rybB//zinT//sroD//ebgC//yaiW//phoE//fumB//dadX//cysN//yccA//trg//garP//moaE//nirD//mgrR//ynfF//ydeP//znuC//ugpC//caiF//yaiA//sdhB//fixC//ychH//znuA//cpdB//rof//hyaC//dppB//allD//hupB//paaC//ascB//gcvH//zwf//nirD//aaeB//cspE//fucO//
ArgP-L-arginine_neg	gltW//
ArgP-L-arginine_pos	lsrB//gntK//atoA//malP//phnM//torA//nupC//glpK//rrsD//hyaA//spy//zwf//phnD//hyaE//alaA//
ArgR-L-arginine_neg	rutD//ptsH//yrbL//fldA//ascB//ycjX//gspG//waaH//rrlC//mhpR//phnG//rrsA//nikR//glpX//safA//hslJ//ubiG//bioD//gltB//modC//entS//cheY//paaE//ydhU//frdB//entC//rimM//uidC//aroL//yaiW//purA//yedX//feoC//gcvP//
ArgR-L-arginine_pos	xylB//glpG//bioD//phnK//murQ//
AtoC-phosphorylated_pos	mscM//malE//creD//rhaR//
BaeR-Phosphorylated_pos	csgG//glgA//argI//stpA//xylG//tnaC//znuC//sufS//
BirA-bio-5'-AMP_neg	metC//tdcA//malX//dmsC//cheZ//
CRP-cAMP_neg	yeaD//slyB//rnpB//artJ//fixA//yeiW//prs//pdeF//ihfA//cheY//psd//znuC//pagP//gatD//fimH//idnD//atoE//fixX//dcuD//hyfR//rpoH//livH//fecE//codB//nadC//nirD//ahpF//narL//uhpB//torA//nrdI//comR//nrdA//bamE//rplD//dcuR//uxuB//argF//gltT//cheW//fabZ//fumB//sroD//cysG//bcsB//dgcZ//acrD//malQ//yeiB//rbsA//gltD//ysgA//hybD//hycB//nagA//ydbD//yfdX//aspC//fhuA//pyrD//rplP//aroH//purM//lrp//malG//fadB//gatB//yfbR//ompX//ssuE//ychO//glgP//hisJ//amtB//hofO//glcE//glcA//ykgR//alaA//hybB//torD//putP//nuoM//ldtC//ompR//edd//cydC//alkB//prfA//garR//fliZ//rpsS//ndh//galP//trpR//aaeA//rseC//rrfC//moeA//treR//ccmA//ydeO//cheA//nuoB//edd//rbsA//nuoB//ygiA//ebgA//cusB//ynfF//fixC//tomB//ispE//nirC//amn//gltA//galT//purF//betB//nanT//yaiW//acnA//gpsA//glcD//betT//citX//gapA//proP//pyrC//mglB//znuB//sbmC//
