#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	trxA//arcA//
Ada-Methylated_pos	nuoG//mtr//hybF//ilvI//
AlaS-L-alanine_neg	gcvP//
AllS-allantoin_pos	hyfF//fdnG//melR//
AraC-L-arabinose_neg	pgk//rrsA//pgaB//phnE_1//ychH//gntP//tauB//yaeQ//
AraC-L-arabinose_pos	malX//ybdN//lhgO//efeU_1//ydhY//cirA//sbmC//hyfB//treR//lysO//
ArcA-Phosphorylated_neg	motA//argR//guaB//uidA//lpxB//fimC//fimF//lsrF//ygaC//ampD//nrfF//malI//agp//talA//xdhA//narQ//folA//phoP//gspD//fimG//tauC//bioB//marB//idnD//nanA//chbR//fadH//dnaN//cysI//cadA//hyaA//rnlA//hofN//hypA//mhpF//secB//yneM//hycF//yjiY//malM//rbsC//fes//cyoC//yojI//astB//csgG//rpmC//hofN//ychH//speA//ileV//napD//cas1//ompF//actP//pstS//ppdD//acrA//napG//zraR//ybfN//yhjA//mhpT//paaE//cusC//torD//araC//cysC//hpt//betB//motA//ybjG//xdhC//dpiB//yhjA//chbG//baeR//metK//fhuE//metF//metQ//mdtA//mhpE//sbcD//purB//paaH//aroA//yfeW//alaV//hybO//aroM//hyfI//thrV//iraD//ompW//nrfA//nuoB//fecD//yfdE//rybA//rstB//purE//xseA//hcp//slyB//lldP//malS//ileV//bglB//napG//ada//deoB//rutD//fhuC//fecA//phnO//yhhY//aspC//aaeB//hyfA//fimG//rrlG//rstB//xylB//arcA//pgaA//evgS//
ArcA-Phosphorylated_pos	yqjI//bdcA//pyrC//ugpC//zraP//uxuA//pgaD//pnp//aaeR//napG//avtA//zwf//fadE//malT//betB//tcyJ//pheM//ilvN//ytfE//rhaB//cydB//thrS//nanC//metN//gcd//uidA//ilvY//fadI//fimE//gltT//folE//srlE//ryhB//tap//ompA//hofC//yfiP//lsrG//melA//livJ//aldB//rstB//oxc//rplI//metN//oppA//hybD//glnB//tyrB//narG//fumA//hyfC//bioF//metJ//mgtL//caiF//gutM//rseC//
ArgP-L-arginine_neg	idnD//
ArgP-L-arginine_pos	sdhB//dcuR//xylB//narX//dpiA//ygeH//trg//ulaF//ccmC//rstA//rplI//xylR//efeU_2//malF//creA//
ArgR-L-arginine_neg	pgaB//stpA//glnB//mtlD//purM//bcsA//entE//glnK//norR//metH//gatB//rpoH//ptsG//oppB//gspC//bamA//entB//pitA//garK//puuE//actP//gspJ//fhlA//astE//oxyR//icd//hyfI//lpxB//deoC//garR//dppC//gspJ//gadC//csiE//
ArgR-L-arginine_pos	glcD//mtlA//malP//sodA//gatZ//
AtoC-phosphorylated_pos	livJ//infC//zraS//betA//
BaeR-Phosphorylated_pos	gutQ//ulaE//focA//chbF//appB//gabD//hyaE//allD//
BirA-bio-5'-AMP_neg	malT//nuoN//fnr//motA//ccmA//
CRP-cAMP_neg	melB//ulaF//nanA//argG//nrfG//gdhA//focA//hypA//rrfG//feaB//ygeH//ynfG//malK//gspK//fldA//chbA//bioB//trpC//ykgR//livG//rybB//ccmH//tehA//rrlE//cas2//crp//rplC//murQ//hdeB//csgC//phoB//ascF//gatZ//gspC//tyrR//yhhY//cspD//prfA//rplV//fucK//ppdD//rcnA//phnG//bioA//tcyJ//ilvH//xylF//ssuB//cynX//rybA//slyB//uhpA//rplT//hycD//aceB//gltD//csiE//cvpA//upp//rpsC//cusS//rbsA//csgC//ydeO//nikA//nohA//murP//ompC//carA//rpoE//ydeM//ydeM//glnK//paaH//argI//gcvT//rbsK//rrfE//fldA//rnhB//lsrB//cysA//dapD//aroM//xdhA//phnK//rhaB//cusA//glgA//sroD//nikE//puuD//ompW//fepB//mtr//ugpC//yrbL//gatZ//nusA//ogt//dcuA//srlD//bioA//guaB//nrdI//sdaA//astB//dsdA//fadH//zwf//gspO//rrlC//prpB//appB//nanK//mglA//ykgO//nusA//phnL//hisQ//fhuD//ugpQ//mzrA//hemL//yjiY//yeaR//ykgR//glmY//hybG//nrdD//fimC//aroA//grcA//
CRP-cAMP_pos	norW//lldR//rrfE//bglB//ompT//dusB//gltF//appB//rhaR//rutB//gatZ//nuoH//cysG//rrsG//moaB//hlyE//ompC//creB//tcyJ//fecR//mglC//osmY//pheM//dcuB//paaE//nikC//sohB//lldR//hycH//arcA//nrdD//rimM//alaT//gdhA//truB//ycjF//alaS//iscS//bioD//tktB//rpoH//ynfH//fhlA//micF//araC//acnB//caiA//appA//rpsR//cynT//fimD//lolB//fecA//yedX//infC//slt//idnT//ybfN//fliZ//oppB//malM//hycC//skp//ychO//sroD//gutQ//hslJ//dapB//nikA//mdtB//metR//tnaB//skp//cheA//yaeQ//chbG//cheB//psd//lsrD//hyfJ//ilvH//aspA//psiE//avtA//ynfH//acrF//hisQ//mutY//feaR//argH//fimA//treR//cheZ//cysA//torC//dsbA//glpA//artP//hdeD//cyoA//norW//bamA//phoU//hisP//livG//tauC//znuB//gspM//tadA//gcd//livH//fecA//ydiU//mgtL//dpiA//hofB//rpmI//dnaN//yjeF//mdh//glpB//nuoM//yaiW//cbl//yjiY//gntP//znuC//paaJ//metH//comR//nuoB//osmC//oppD//metR//ada//uxuA//fhuD//ileU//yggX//fucO//nirD//ccmB//ahpF//prpR//ssuC//nuoG//tauC//acrF//sdhA//glyA//gcvT//fadE//ompC//tyrB//polA//glnK//crl//umpH//rstB//cdd//fhuA//ivbL//rrsH//hpt//glpA//purN//csgF//mglB//puuA//rpoS//aroM//garR//idnD//hypE//ybjG//efeU_2//bioB//aroP//hypB//gspO//metL//sufB//trpE//rpsI//ptsI//rplM//cysI//tnaB//glcA//nrfF//miaA//melA//ileV//dnaA//cyoC//entH//feoC//melR//cysC//rbsA//moeA//galK//rrlB//citE//puuA//glgP//pgpC//skp//galS//rpsS//katE//entH//chiP//agp//ulaD//citX//acrD//slyB//murP//purN//puuP//gutM//lacI//oppD//yhiD//ileU//mutY//aspA//qseC//glnA//pdeF//fdnI//agp//citX//csgB//moaC//hflC//secB//ompF//glmY//hycC//glgA//gltB//pheM//aroL//ybdZ//iscS//ftnB//recF//yrbL//tsaE//caiC//citX//galP//ada//deoB//yqjA//cysC//pflB//znuB//mgtL//micF//garR//phnH//ychH//ebgA//galT//efeU_1//araH//argG//purR//nanE//fhuE//ydbD//ugpB//fau//agaW//yeaD//norV//xylG//tfaQ//napD//thrS//acnB//fucP//hyaB//aaeA//cydD//dsbA//ilvE//metE//ompF//dcuB//sucC//mscM//pflB//rseA//ulaF//marA//hyfH//nuoA//ytfE//ebgA//nirB//cusF//alaU//hyaB//oxyR//ampD//tolC//alaS//fepB//upp//epd//casB//aaeA//ygbA//narJ//uxuR//fimH//gabD//lpd//borD//glgX//malM//entD//gatC//yhcH//ynfE//gutQ//efeU_2//gltW//ptsG//ubiA//treC//iclR//appC//rhaR//paaG//astB//melB//astA//trpL//rutG//rutD//manY//manX//tdcG//kbl//agaA//artP//fimE//pstB//bcsA//hyfF//ytfE//yibN//narJ//glgB//cheA//cynR//betA//dcuB//glnG//cydA//pgk//osmC//ascF//tnaA//dgcZ//hemA//gltD//paaD//ulaD//phnM//adhE//argH//sdaA//rybA//gatA//melB//dcuC//sxy//dps//mutL//ileU//ompX//gspI//ybdN//csgF//gspO//fadA//mgtA//rhaB//aroM//ung//glpB//paaC//murP//yfdV//ssuB//amn//fadJ//dcuD//oxyR//agaA//napA//narK//citC//stpA//pgaD//fadE//priB//gltD//torR//cusF//fadE//crl//dps//rpsP//aroL//sxy//pstA//cysP//aceE//aceE//phnK//araH//fadB//
ChbR-Monoacetylchitobiose-6P_neg	xdhB//zntA//zwf//pgaB//yqjH//mntP//
ChbR-Monoacetylchitobiose-6P_pos	cbl//dppB//sucB//hyfJ//ynfK//efeU_1//
CpxR-Phosphorylated_neg	hofB//fdhF//livG//chbA//betA//pgpC//rrfF//preT//mhpA//pitA//lamB//avtA//pgaA//csiE//xapB//lsrB//narK//norV//bglF//ycjF//mlc//rpsO//fdnI//casE//
CpxR-Phosphorylated_pos	cydA//glcE//rrsH//narH//bioD//lsrC//ulaE//napA//exbD//puuB//nrdH//rybA//fau//ccmE//modB//ackA//xylA//mdtA//sucB//hyfG//grpE//feoC//argP//dnaN//phnK//hemL//rhaD//trpA//phoA//lsrB//phnM//glrR//mdtD//pyrC//gntR//phnP//borD//ascB//lacY//acrE//livH//ssuE//ilvY//spf//argR//
CreB-Phosphorylated_neg	manX//avtA//slyB//
CreB-Phosphorylated_pos	cysB//hyaA//ulaE//speB//hcp//crl//
CueR-Ag_neg	cynS//fecD//rrlE//lsrB//preA//
CueR-Ag_pos	ydbD//dapB//
CueR-Cu+_neg	cheA//csiE//hisP//cysB//prs//
CueR-Cu+_pos	cydB//nrfG//
CuerR-Au_neg	xylA//rrlB//prfA//rhaB//tsr//
CuerR-Au_pos	gltU//yeaE//
CusR-Pasp_pos	glcC//trmD//glmY//osmY//astC//ygaC//glcA//yccA//flhD//nuoI//trxA//aroH//
CynR-Cyanate_neg	malK//
CynR-Cyanate_pos	pitA//rnhB//qseB//
CysB-N-acetyl-L-serine_neg	hypE//metB//purB//lpxB//ytfE//acrE//dkgB//
CysB-N-acetyl-L-serine_pos	puuB//aroM//xylR//ydeN//pstC//znuA//creB//hybG//argO//metI//nrdF//chbB//ulaC//csgA//aldB//udp//ubiX//ulaD//folA//rplC//gltW//rplI//napF//
CysB-O-acetyl-L-serine_neg	ompX//glgP//glnD//glpC//evgA//nrfE//nikA//
CysB-O-acetyl-L-serine_pos	rbsK//ydfH//ahpF//yojI//srlB//ubiX//ilvI//rbsK//yegR//nirC//ygaC//crr//nusA//malZ//mhpR//gyrA//mipA//hyfJ//purE//tpx//uof//tnaC//ogt//paaC//
DcuR-Phosphorylated_pos	cusA//dppD//speB//ilvM//xapA//frdB//ileU//cydC//tdcE//
DnaA-ATP_neg	thrV//hycH//hcp//caiD//hflD//casC//gltV//prmC//ebgA//dadA//nusA//
DnaA-ATP_pos	udp//rstB//ubiX//gntX//stpA//hofB//glnK//
DpiA-Pasp_neg	rutG//
DpiA-Pasp_pos	uxaB//hdeD//araD//tdcF//fucO//entE//lsrD//galK//rhaB//fecI//
DsdC-D-serine_neg	phoR//
DsdC-D-serine_pos	torR//mdtB//
EvgA-Phosphorylated_pos	zinT//zraS//glcG//yeiP//gntT//ydiU//metJ//pgpC//gspD//cysW//icd//mhpD//moaD//zraS//ynfG//
FNR-[4Fe-4S]2+ reduced_neg	nirD//pstA//rrlE//glnB//pflB//sodA//atoB//tnaB//cydB//qseB//glpE//rnhB//rrlB//lsrA//glcE//pheM//dcuS//mpl//rrfH//gltV//trpE//hyaD//pdhR//cpdB//phnM//hflX//dctA//hycB//sucA//prs//tauD//csgD//fixB//nuoK//rseC//yaiW//ynfE//zwf//gatD//prpB//purK//hycH//citE//casA//umpH//rplB//mntS//ssuB//rpmI//bglG//chbC//secB//puuE//cysK//cysW//truB//argF//citG//rnlA//mutL//prpE//livF//fiu//dpiB//cadA//fucA//envZ//ycjF//acrF//hisM//rutA//aspC//hypE//xylB//cysA//ppiD//creA//argP//prmC//mdh//rhaS//cynT//cusC//fadL//ung//ssuB//xseA//ccmF//melR//avtA//eda//emrY//katE//motB//tolC//micF//creB//glcF//gcvP//ilvH//gcvP//speC//lysA//tdcB//nikC//ulaD//creC//bcsB//gpmA//fabZ//prmC//mglB//garL//cspD//xdhA//rpsO//ydhU//ispE//osmY//yhjA//
FNR-[4Fe-4S]2+ reduced_pos	oppF//rrlD//purA//chbA//ycjF//bglF//fucI//psiE//gspD//nikD//cyaR//rrfH//dppA//betB//nrdA//rimM//phnH//ogt//tauA//ppdD//rplB//casE//ompW//phoA//pgpC//aaeA//creD//rhaB//fadE//borD//ygiC//motA//yaeQ//hybD//mutY//gltT//phnL//infC//puuR//nrdG//pgaD//rpmC//creC//pgk//fepA//fepG//ulaD//yqjA//yecR//pck//ycjX//evgS//torR//dapB//bioF//phnG//deoA//uxuB//hyaB//phnJ//mntP//sdhB//pstB//ldtB//tap//phnC//ccmB//gspE//rpsR//zraS//lpxB//fecI//moeA//hyfE//ompA//ihfA//mhpT//gpsA//lsrK//purM//zntA//hycI//motA//puuB//lpd//codA//miaA//cas1//bioD//azuC//bacA//citE//cydB//putP//iclR//glpD//entH//cvpA//appA//cusC//yfdE//melR//cheW//ydeA//garK//purE//gspG//putP//metN//rrsG//xapB//rplD//csgC//ydhW//rhaA//fucO//yhjA//znuA//nuoH//grcA//lacZ//folE//agp//aaeX//alkA//hypC//phnJ//phnM//tehB//betI//efeU_2//ptsG//rpsF//uxaB//rrlE//acrF//aldB//polA//puuD//iraD//metC//ampE//fumB//sufB//rrfG//fliZ//fepD//uhpC//bamA//hyfA//fucO//purB//cusR//csiE//rplD//baeR//cas1//cydA//aidB//tnaA//dmsA//dpiB//fepD//norW//ada//yqjA//rimP//hybA//rutB//mscM//csiD//chbR//fdnH//aaeX//ompT//cusA//acnB//feaB//cspE//speA//aroL//puuC//nrdF//bcsA//crr//hupB//moeB//rrlG//hyfI//ycdZ//cheB//hyfI//araF//nupG//glyA//fepB//aspC//rutG//hflK//fecB//bioA//lsrG//
FhlA-Formate_pos	hmp//nohA//rutD//ugpC//argR//hemL//yaeQ//fadJ//rpoS//gapA//rhaB//miaA//hypB//sufS//dcuR//dcuS//yegR//lpxB//moaC//cysP//yciW//phnF//manY//dcuS//tyrA//yjcH//phnF//fhuE//lamB//casD//
FucR-L-fuculose-1-phosphate_pos	ldtB//treR//ilvB//idnR//dkgB//fur//ynfE//
Fur-Fe2+_neg	purM//rpsS//evgA//manA//rrsB//spf//mipA//ilvA//rplS//psd//cysB//prpB//nrdF//iclR//lacY//argR//phnM//rpsR//lysO//appY//mhpC//mgtA//rrsB//trpD//nikD//purL//norW//nikA//safA//hflX//dadA//hupA//eda//ugpA//tcyJ//cspD//mpl//yjjZ//ompW//nac//ykgM//yegH//putP//ycdZ//idnK//iclR//araF//ulaF//rutF//phoP//ugpE//hydN//cheB//casA//rybB//mgrB//tpx//zraP//glmY//tsr//ptsI//nac//epd//trmD//napH//sbmA//avtA//livK//nikA//hyfD//hypE//glpK//prpD//ccmD//adiC//lpxA//glmY//metI//pncB//paaD//rbfA//sbcD//pgpC//rseA//paaZ//fur//ftnA//tehA//frdB//hyaE//dcuD//tnaC//nuoH//dsdX//dnaE//rrsC//dppC//aroH//idnT//cadA//atoD//csiE//edd//focA//nuoC//ccmG//nupG//lpxD//nrdH//ilvM//crr//cynR//mtr//lysU//gadC//znuC//glpT//moaB//purB//fucK//yciW//deoC//hofB//fumA//
Fur-Fe2+_pos	mgtL//alaS//fhuF//mutL//nrfA//ubiX//gspO//ompW//pheS//hofB//gspH//glpG//prmC//rpsI//fucA//fepE//mgtA//guaA//fepB//tauA//treR//dppA//cspE//yjcH//ftnB//
Fur-Mn2+_neg	cysD//paaC//phnM//uof//psd//ugpA//hycC//ubiC//creC//aceA//allC//puuR//fixC//rbsB//cyoD//acnB//uxuB//glpD//nusA//ycjF//rpoS//acrB//mepH//ihfA//nikC//melR//mdtC//rplS//rstB//fliZ//lpxB//metC//gcvT//fhuC//uof//sdhC//ftnB//cvpA//nanE//gadC//rnpB//bdcA//rrsB//yebE//betT//cusB//paaE//metB//cysD//osmY//gpsA//bglB//yeiP//cysH//pflB//tar//gntT//xylG//sroD//mhpB//mntS//gspF//bamA//appA//rpsC//baeS//napC//skp//hyfC//hypB//leuE//cyoA//gatC//hybC//cadB//rplI//dcuR//ccmB//cysK//efeU_2//purM//umpH//citX//yeaR//acrD//nirC//rplS//dpiB//glpK//metL//rof//cysJ//fimH//aroH//ygaC//ispE//appA//yiaJ//rbsC//bamA//lacY//modB//hflX//hupB//dmsC//cra//rrsC//feaB//sucB//nuoE//hslJ//fhuF//ilvL//avtA//gltV//uxuR//ccmH//pepT//nuoG//ykgM//nikR//rbsB//dmsC//yjeF//
Fur-Mn2+_pos	sufD//nirB//malQ//modC//aroF//gspJ//ompF//yidQ//mipA//rpmI//exuT//ydeP//ubiX//dppB//ugpC//fepD//ahpF//ulaA//micF//cspE//arcA//pncB//yneM//fimC//fau//
GlcC-Acetate_neg	metB//
GlcC-Acetate_pos	chbR//allE//xseA//ynfH//ompR//appY//
GlcC-Glycolate_neg	metK//
GlcC-Glycolate_pos	lldP//zwf//mtlR//mhpD//ptsG//lacA//
GlrR-Pasp56_pos	nrdH//
IclR-pyruvate_neg	aroA//aroF//rpsF//dps//
IdnR-5-ketogluconate_neg	napA//rrlE//hypF//
IdnR-5-ketogluconate_pos	mdh//iclR//artP//nlpD//hofB//
IdnR-Idonate_neg	hofM//guaB//narG//
IdnR-Idonate_pos	creC//mltC//glcA//hdeB//nirC//
IlvY-2-acetolactate_neg	yfbR//
IlvY-2-acetolactate_pos	purD//
IlvY-Alfa-acetohydroxybutirate_neg	qseB//
IlvY-Alfa-acetohydroxybutirate_pos	nrdD//
IscR-[2Fe-2S]1+_neg	cadC//manY//cusF//hybB//rdoA//dcuD//feoB//tam//treC//mdtB//agaA//tap//cysP//sdhA//slyB//lysC//paaG//lldP//cusB//yciW//casE//fliZ//hyaE//dgcZ//rbfA//cysJ//glcA//sufD//fucK//oppB//
IscR-[2Fe-2S]1+_pos	dctA//agaV//argO//hycD//pgaD//aldB//hcp//pitB//ssrS//araC//prs//
LldR-L-lactate_neg	dapD//ahpF//flhC//
LldR-L-lactate_pos	bglG//cadC//mtlD//
Lrp-Leucine_neg	araJ//ilvA//yfdV//nagC//ilvN//sucB//argR//idnR//nrdA//rrlA//nfuA//rutB//ilvC//ydfN//prpC//gspO//tktB//paaI//fbaA//argF//fepD//oppA//mdtA//aroG//aaeR//napC//argE//feaB//fimC//rhaA//napB//gadC//paaK//hydN//lysU//modA//livH//hcp//purH//hybF//cheR//torC//nuoN//ycjX//nrdI//tomB//uxuR//serC//argT//nusA//gltV//yqjI//rrfE//purB//phoE//aroP//ubiG//lysO//nrfG//ybjG//lsrK//pheS//rpmI//dadA//rhaD//hyaD//uidB//lhgO//ascF//fliZ//lysC//hflC//gatY//ykgR//hydN//
Lrp-Leucine_pos	prfA//ycdZ//yegH//rpoH//oxc//fdnI//fadA//ygiA//yjcH//gutM//glnL//fumB//cheR//citC//sdaA//rutF//dgcZ//purM//fixX//rrsB//citX//gyrA//idnR//cytR//lolB//entC//lysA//mhpT//astC//lacZ//agaW//yfiP//hybF//psd//narX//
LsrR_neg	acnB//nagB//hyaF//puuC//nuoL//yegR//trpL//dadX//csiE//
MalT-ADP-Maltotriose_pos	yecR//zwf//ykgR//torR//dgcZ//mglB//rplW//garP//hslJ//napD//
MalT-Maltotriose-ATP_pos	ompF//hybD//zwf//prs//rnpB//gadC//rybB//xylF//rutE//gatB//
MelR-Melibiose_neg	metY//mntH//acrA//
MelR-Melibiose_pos	astD//nuoF//hycE//
MetJ-S-adenosylmethionine_neg	ygiB//hyfH//moaA//mhpF//moaC//mpl//yidQ//rimM//nrfA//oppC//purH//ynfH//hypB//hypF//rpoE//
MetR-L-homocysteine_neg	nanE//cysH//
MetR-L-homocysteine_pos	uidA//rybB//purR//prs//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ybiT//narG//treC//hybG//gspE//glyA//
MhpR-3HPP_pos	glgX//cyaA//speC//ompX//phnE_2//artP//
MntR-Cd2+_neg	phnC//moeB//treB//yfdX//
MntR-Cd2+_pos	acnA//
ModE-MoO42-_neg	ompX//csgF//gcd//ulaB//cusS//alaA//fumA//mtlD//hflC//xdhC//oppA//atoB//rrlE//gntX//ybdZ//
ModE-MoO42-_pos	infB//napD//nagE//safA//talA//crl//gltB//katE//thrV//rpoS//metN//manA//ldtB//uhpA//fepC//paaA//bamA//arfB//glcF//oppC//phnH//creA//uxaC//fimA//hyfE//hha//hyaE//mglC//mglC//hybE//oppF//
NarL-Phosphorylated_neg	cusS//bcsZ//dppF//ptsH//tnaA//dnaN//prpB//manX//putP//idnK//tsgA//ileU//entD//mhpR//malS//bglB//malF//mntH//cydD//tyrA//uidA//efeU_1//dmsA//phoH//hybB//ompR//dps//pgpC//glnD//tehB//aroG//ilvB//rnlB//norW//xapB//ppdD//fixC//dmsC//fnrS//mgrB//puuR//flhC//moaD//zraS//frc//bcsB//phnM//hmp//hyfB//tyrA//phnD//hcp//melB//gspD//dmsA//agaV//rutA//ydeO//hisM//flhC//putP//purE//ilvM//miaA//phnO//cusC//mcaS//nuoN//casA//casD//pck//metR//araJ//uxuR//abgT//appY//tomB//purF//puuB//fiu//agaV//nuoB//pstA//prpD//glpK//skp//
NarL-Phosphorylated_pos	ilvB//puuB//uof//rpsP//deoB//evgA//ilvX//ynfE//chbB//preA//nfuA//codB//flhD//hypE//yecR//cas2//galK//galS//ulaE//fur//nrdG//pitB//speC//rutA//lacY//ndh//ccmB//hofC//ycdZ//crl//dcuA//feoB//ilvD//rseC//araD//sohB//psiF//mdtC//sucD//yegR//mlc//pgk//cheZ//fucO//fimI//casB//
NarP-Phosphorylated_neg	araG//purL//argI//murQ//uidA//fepD//mdtB//alaA//entS//torC//cirA//rrfH//pagP//amiB//sdhA//uxuR//efeU_1//lpd//hupB//gltV//eda//phnE_1//fadA//hypB//rdoA//hycB//nagE//melA//phoQ//ccmF//gltA//ptsH//livJ//
NarP-Phosphorylated_pos	ydfH//yjeV//ydeP//carA//lsrB//mgtA//hupA//hofB//sdaA//torR//aceE//galP//galT//nanE//qseB//gspM//arcZ//azuC//gpmA//rplV//argI//yeaE//metE//entA//uhpA//moeA//hycC//rbsA//gadC//purD//ssuE//stpA//
NhaR-Na+_pos	astB//gspO//rrsH//mdtB//aldA//
NikR-Cd2+_neg	gadB//dmsA//ompC//chbC//alaV//mtr//
NikR-Co2+_neg	tauD//rrfA//chbA//cusR//folE//nirB//
NikR-Cu2+_neg	dsdC//hycA//ilvC//cheB//creB//cstA//
NikR-Ni2+_neg	ygeH//galP//oppC//betT//copA//aroH//
NikR-Zn2+_neg	hpt//nanK//ompC//ccmH//caiB//argO//
NrdR-ATP_neg	pflB//carA//ilvC//arfB//phnF//gcvT//osmC//fepE//pgpC//
NrdR-Zn2+_neg	mglA//nrfF//ndh//edd//ychH//metR//ssb//metQ//sufD//
NrdR-dATP_neg	exuT//recF//prpE//cadB//ulaE//ssuC//mhpE//hcr//appY//
NsrR-[2Fe-2S]reduced_neg	dcuR//ygiB//nrdD//hofP//napF//tyrA//gntT//ppdD//nanA//fur//puuP//rcnA//ilvA//lacA//nuoF//malG//rrsC//iscR//ssrS//yjcH//emrK//rplP//rpmC//dmsC//bcsA//cirA//ppdD//ygiC//thrV//cyoE//ydeO//araC//ssuD//purA//actP//znuB//gspF//ynfF//glnD//lsrG//hybA//rhaT//purE//hofO//malI//paaD//sufE//mhpD//gltB//rrfC//ydhU//spf//feoB//ycjF//napB//sroD//tdh//serC//ygiA//creB//xylR//ydeM//rrlE//narI//fdnH//yegH//glgP//hydN//astB//yaeP//fldA//nrdD//entA//
PhoB-Phosphorylated_neg	citD//prpE//hisJ//ogt//edd//ilvY//ycjX//ilvC//dsbA//guaB//srlB//sodB//malM//
PhoB-Phosphorylated_pos	tauC//metR//ihfA//dgcZ//paaH//ygiB//cusA//lsrC//emrK//ilvY//bioC//rrfE//mglA//nlpD//dcuC//hemA//caiC//sufS//hofO//sucB//nrdI//metA//betA//cynR//hlyE//fadH//pepT//nadC//rpmC//hypE//nuoE//bamA//osmC//nuoF//cadB//cynS//pgaC//paaK//gatA//fimI//moaD//argF//gatB//fadE//nuoH//zraS//fumA//infB//purM//narG//kbaZ//ssuC//ydiU//
PhoP-Phosphorylated_neg	dppC//nrdD//rnlB//yaeQ//ptsG//motA//tauD//puuP//pncB//metB//lysA//
