#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	sucC//uxuA//
Ada-Methylated_pos	phnJ//nuoB//fucK//glcC//
AlaS-L-alanine_neg	rnpB//
AllS-allantoin_pos	uraA//sucB//ydeM//
AraC-L-arabinose_neg	pnp//eda//eda//qseB//cspD//mdtB//ppiA//fimD//
AraC-L-arabinose_pos	mhpC//phnF//argH//srlA//fepD//aceB//csiE//fadJ//phnJ//nikE//
ArcA-Phosphorylated_neg	mlc//yegZ//rrsC//prpE//yegR//ugpC//hyfD//dppA//focA//tomB//ybjG//sucD//stpA//aroA//manX//nrfD//hypA//lsrR//rrsH//creD//yaeP//guaA//rutD//glnB//ccmB//rrlH//oppA//lysA//malZ//purF//napA//metK//argH//rbsC//paaE//cheY//ahpC//focA//focA//paaD//xdhC//yggX//fecA//pck//grxD//pstA//nanT//ynfG//dmsD//ybdZ//ybfN//cynT//xdhC//glnD//argG//alaT//livJ//hofO//hlyE//ompR//trpC//ldtC//edd//fdhF//ycdZ//kbl//phoR//narI//mgtA//psiE//rdoA//moaC//yeiL//grxD//hlyE//glcB//mhpF//csgG//rseC//cyoD//pheM//metK//nikE//bcsC//yqjA//dcuC//deoC//lldP//hdeD//qseB//fhuA//bcsB//alkA//metF//hybE//paaF//sroD//moaB//entE//glpB//aceF//rpsR//fbaA//melA//rprA//hyfG//cheB//yfiP//sroD//aspC//rplB//nrfA//ygbA//srlB//cueO//araJ//fdnH//flhC//mntP//abgB//aroA//nrdF//glpC//yqjI//mntH//phnJ//napC//
ArcA-Phosphorylated_pos	malM//fimA//ugpB//gntP//mhpB//purN//rpsP//cadA//bioC//sufD//glpX//ydhX//yhcH//glmY//malP//nuoG//nirB//acrF//infB//aaeR//nuoB//ugpB//trxA//narH//rpmI//lsrK//ilvD//lpxA//nrdE//rplB//livH//fdnH//rrlA//rpsP//fadL//phnO//tam//ilvB//phnH//dppC//ydhW//pdhR//fixA//yjcH//bcsB//csiE//feaB//hyaA//fecB//tauC//gspC//sufB//pitA//ompC//sroD//mhpD//uhpB//ompW//
ArgP-L-arginine_neg	nanT//
ArgP-L-arginine_pos	tehA//nagA//ygeA//fepA//yfbR//nagB//hmp//aspA//hyfE//gcvP//alaV//hisJ//pgaC//cysI//aceA//
ArgR-L-arginine_neg	infC//yeiW//uvrA//yhcH//bioC//lysO//ppdD//fixB//betI//zinT//trpC//hyfB//pitB//citE//tyrA//bioA//pta//xseA//rpsC//modA//rseA//cysD//dppF//hyfR//ilvC//glpX//preA//ygbA//gspJ//gltF//nohA//carB//arcA//yaeQ//
ArgR-L-arginine_pos	mhpA//abgT//atoD//phnI//nrfD//
AtoC-phosphorylated_pos	lsrK//frdA//ydeP//nagB//
BaeR-Phosphorylated_pos	purK//fiu//glgS//trpA//gutQ//lsrR//cynR//astD//
BirA-bio-5'-AMP_neg	nikD//acrD//fepE//mltC//cueO//
CRP-cAMP_neg	mhpC//bioB//hemA//dctA//purC//nanC//cysP//norW//rrsG//hydN//waaH//rplM//grcA//gntX//rpoH//cysH//phnH//cysN//glgX//ivbL//fumB//dcuD//hflK//hycC//araE//map//hofP//idnT//acnB//tehB//sxy//metH//tam//ada//cheR//qseC//hybE//xdhC//entE//bglG//srlD//rrfA//fadD//emrK//rseA//yeiL//hisJ//tauB//oxc//hflD//nanE//trpA//yfaE//nikR//cusS//aroP//yeiP//livG//gspJ//phnO//gltB//bcsA//amiB//gspE//aroG//murQ//purH//mutY//malF//ycjX//proP//trpE//nanT//araJ//ydeO//chiP//hflC//tolC//nrfF//gutQ//tfaQ//nagC//cydA//hycI//motB//efeU_1//cysC//argH//narL//rplP//caiB//gutM//comR//glpF//hycI//cspE//dnaA//glgS//fdhF//aroA//tnaA//glpR//hycG//fimD//leuE//prpR//amn//nikD//agp//entE//napC//pitA//nuoC//sucB//pagP//sucB//ubiA//yegR//cirA//yjeF//emrY//ydhY//ccmG//rplB//psd//trpD//metN//dps//csiE//zraR//ssb//fur//dpiB//
