#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nrdE//pstS//
Ada-Methylated_pos	baeR//allD//ybfN//fepD//
AlaS-L-alanine_neg	fes//
AllS-allantoin_pos	acnA//ilvA//fnrS//
AraC-L-arabinose_neg	lpxB//fis//hdeB//psiE//narJ//cysB//gntP//envY//
AraC-L-arabinose_pos	sxy//ilvC//trmD//chiP//glgA//rutE//xylB//puuC//yeiW//sdaA//
ArcA-Phosphorylated_neg	ychO//phnF//qseC//carA//purL//tdcD//mdtC//xdhB//hycE//aroM//nrdG//rplB//hofB//gcvP//pgaB//idnO//sufE//csgC//lacZ//dppA//gspM//uof//citC//fliA//astA//trpR//rbsR//fixA//ihfA//bdcA//rbsD//erpA//metJ//yegH//bdcA//murP//gspF//rhaA//aroG//rpsO//hyaD//ccmC//oppB//kbl//xylF//pck//rutA//pgaC//hemA//puuP//acnB//aceK//icd//paaF//mpl//bglG//tcyJ//tnaA//argC//prpC//nuoF//tpx//cadB//dppF//yecR//abgA//serC//xapB//malS//talA//uidB//hyfG//cyoD//alkB//pheM//rbsA//yegR//uhpT//amtB//speA//glgP//manX//manX//glpK//gspL//fepG//gspF//yjjZ//yibN//deoD//ampE//gspH//hofB//glcF//paaB//csgE//hfq//sufB//hyaF//tdcA//astB//glcF//rrfD//dnaE//entF//xapB//osmY//caiC//serA//gspO//gatD//ybdZ//nirB//nfuA//mtlD//fixX//oppA//mhpB//bioD//caiC//puuC//hyfB//dadA//cheY//hmp//nagC//mglB//
ArcA-Phosphorylated_pos	purE//nrfG//prpD//creA//waaH//cysA//fadL//udp//nuoJ//rstB//ybdZ//moaC//paaG//hypD//carB//aceA//hofB//metJ//nuoJ//avtA//ybfN//hdeD//gntR//nuoH//ycjX//srlA//yhcH//moeA//torC//lamB//pta//cynR//malI//acrD//ygeA//narH//glgX//puuD//acrA//acrB//nikE//yhcH//dpiA//aceF//araC//carB//ppiD//ssuD//znuA//ada//cysK//glgX//rpsR//argE//tauB//tehB//nikC//xapB//
ArgP-L-arginine_neg	gspK//
ArgP-L-arginine_pos	rbfA//lsrD//tauA//phnE_1//murP//aspC//guaB//dcuC//cadC//ugpE//cynT//hypF//rhaS//yneM//hofB//
ArgR-L-arginine_neg	paaA//lldD//hofB//bioD//spf//allC//glgS//gyrA//ygiC//glpB//idnK//emrY//csiE//rbsA//phoQ//napC//fimG//fucP//glnB//abgA//edd//lolB//spy//preA//ompT//rpsJ//yeiB//truB//putP//rrfD//rseC//rpsS//amiB//garR//
ArgR-L-arginine_pos	trxA//grxD//frdC//fimF//rbfA//
AtoC-phosphorylated_pos	gatD//rimP//cydC//dcuR//
BaeR-Phosphorylated_pos	murP//ndh//fabZ//murP//metC//yhjC//tdcB//pck//
BirA-bio-5'-AMP_neg	psiE//yggX//argD//paaH//nanC//
CRP-cAMP_neg	yaeQ//purB//mglA//copA//betI//yqjH//aroF//cbl//nrdA//nikC//sodA//sufB//acrD//nuoC//iscR//appX//cydC//hypD//cspD//baeR//lhgO//lysP//nanE//gspM//fecR//cheB//yegH//glpA//yoaC//agp//hcr//dapB//purD//abgA//grcA//ndh//sdaA//fecD//yjjZ//uhpB//tauA//putP//rbsK//garR//lacZ//garR//yeaE//cusR//ssrS//paaA//frdC//ccmC//ppiD//fnrS//ascF//sufE//gutQ//tyrR//argC//ispE//glpA//nmpC//araA//nikC//metF//fucR//mzrA//rseA//fecA//dapD//lamB//tdh//agaA//phnM//amiB//argI//ada//argA//nuoK//ychO//ynfK//mutY//fumC//pheM//hyfI//cyaA//csgA//xdhC//garP//ydhU//nac//gcvP//puuR//mlc//argH//aroP//yhjA//hycI//phoH//uidB//malZ//glcC//cysJ//abgT//creD//gatB//fepG//ybiT//uhpC//gcvP//talA//rseC//yfdV//cstA//ydbD//uraA//bamA//cyaR//purD//truB//adhE//garR//kbl//fucK//glcG//hlyE//nagA//fliZ//focA//feoC//citE//gdhA//gatC//
CRP-cAMP_pos	phoA//cydC//nanM//nusA//fliZ//gntR//torD//atoE//cynX//prpE//prpD//gspK//proP//ppiA//gspK//nrfB//frc//gntP//evgS//nuoG//modB//cysU//rrsB//ilvG_2//katG//yeaD//fis//cadB//ebgC//gpmA//ilvD//alaA//carB//ilvI//gcvH//argB//malE//argI//rutE//cysD//cra//acrE//cueO//spf//glcE//malS//mtlA//psiF//talA//dcuR//glpQ//yegZ//ygbA//marR//gntP//ygeH//cysP//hycE//gutM//nuoL//casA//tolC//pitA//avtA//chbF//exbD//metF//fixA//ahpC//sodA//gadC//ydhW//phoU//yiaJ//fhuD//speC//alkA//lysO//glgS//cueO//rrfF//tyrA//chiP//araF//dps//lysC//nagA//abgT//hmp//hdeB//abgA//nlpE//artP//cueO//araB//yegR//glpC//araD//nupG//dsdC//sodB//gcd//leuE//hycC//malP//baeR//soxR//comR//glmY//hycA//fepD//dsdA//csgC//phnC//mntS//osmY//rpsO//bcsA//gutM//yhcH//gltW//lsrD//hisP//cysK//mntP//hycH//pck//cyaA//rrfG//rhaR//pgaA//eda//rpsF//cysW//artJ//grxD//zntA//rrfD//nrfE//rpmC//dppB//xylF//fabZ//argC//infC//grxC//yjcH//psd//chbR//rrfD//cysG//secB//truB//galK//narJ//nuoN//hdeA//feaB//prpE//csiE//ilvG_1//cdd//alaU//pepT//dpiB//ychH//hycD//yaeP//dusB//phoA//casD//rplM//caiD//glpK//rpsS//ilvB//gatY//livM//yfdV//cydB//napA//dnaN//tnaC//ilvI//ysgA//aspA//sxy//rrsB//udp//lpxD//dcuR//phoQ//sucA//fecR//yeaD//ilvD//modB//purF//araC//ileU//nrfD//yebE//ccmG//galM//ileT//pncB//cueO//gspL//ppdD//iscR//ugpB//bacA//psiF//pepT//bcsZ//ubiG//speA//rhaA//fixX//cheB//puuR//nohA//fimC//gpsA//bioC//fimG//ydhY//aroL//nuoH//ynfH//ydhU//lldD//argR//ydfH//ompR//ilvB//gspI//gltW//cadA//ydeM//prpD//ykgO//idnO//pgaB//manY//xylB//cyoD//ivbL//moaB//mhpF//phnC//dmsB//nuoF//puuR//fucO//phoE//yeiP//slyB//aldB//entF//rpsQ//moaA//ydhY//hypA//pgaC//pagP//livM//aceA//fadB//rpmC//livJ//bcsC//yggX//amn//paaE//dmsB//nuoG//nuoA//glgC//malM//gspJ//adiC//narX//moaE//folA//rrfA//baeS//ulaD//malK//rnhB//ydbD//hupA//baeR//ppiA//nanA//rybA//hofO//pta//rhaR//mgrR//cysG//nikD//chbR//nmpC//gabD//ldtB//kbaZ//osmY//purN//rmf//treC//pck//tyrB//puuB//ygiB//rbsK//norR//paaC//cydB//grxD//rprA//feoC//folE//fucR//bioF//mgtA//sdaA//caiB//fimD//gatY//norW//ptsG//ryhB//cysN//grxC//ebgC//lysA//cynS//rhaS//ychO//fecE//entF//fucK//citG//csiD//yebE//sbmA//glnD//fabZ//hycF//metI//argP//lpd//pncB//mglC//lysU//cysU//rrfE//metH//phnO//argD//gntX//nadC//ugpQ//zraS//uxuR//cydD//trpC//chbC//efeU_2//dcuB//qseC//ihfA//lysA//leuE//moaE//marA//tktB//glnA//hycC//ubiX//rcnA//rhaS//tauC//citC//pgaC//yqjA//hisP//alaU//ugpQ//fucK//gcvT//artQ//srlE//fepA//ybdN//ileU//yciW//moeB//xdhB//ileV//rbsK//slt//atoA//iscU//metA//yoaC//glyA//dmsB//uidC//agaV//srlD//araC//paaA//borD//pepT//fepD//chbR//hupB//tdcE//hycA//yebE//paaA//nikB//napA//tar//atoD//infB//oxyR//
ChbR-Monoacetylchitobiose-6P_neg	cysD//dnaN//nanS//grpE//modA//rutB//
ChbR-Monoacetylchitobiose-6P_pos	ilvI//astE//mdh//alkB//ccmH//glcB//
CpxR-Phosphorylated_neg	gltA//agaA//lysU//cysB//srlB//sxy//ydeP//rpoS//exbD//cheY//ychH//mhpR//hybB//ilvD//gntP//napH//glmY//nikB//safA//ompX//gabP//glrR//murP//pflB//
