#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	glpG//lysP//
Ada-Methylated_pos	phoP//hyaE//paaI//pheT//
AlaS-L-alanine_neg	phoP//
AllS-allantoin_pos	entB//fumB//hofB//
AraC-L-arabinose_neg	astE//zraS//mhpA//fucP//srlE//sufA//znuA//uidB//
AraC-L-arabinose_pos	lysU//hybB//ptsI//yrbL//crr//edd//gspJ//treB//lysU//uxaB//
ArcA-Phosphorylated_neg	livG//araJ//norR//malF//yhhY//pflB//nrfG//glgP//ccmA//gcvT//bioB//hybO//fnrS//chbR//cydD//purF//trpD//tdcG//gspL//puuC//phnG//yegZ//tnaC//acnB//hyfB//rbsC//glpF//katE//rplV//rrfE//ybdN//trpD//rutD//hycB//cysI//casB//trpA//araD//hofP//casA//mhpE//cas1//fecD//folA//ispE//mntS//chbC//hofO//tdcA//puuP//hybA//rrlB//hybG//aceB//gpmA//sroD//spf//cysP//zraS//tauA//uhpB//yegR//ycdZ//ssb//entC//gapA//pncB//rrfB//fimI//rpsI//hyfA//oppC//abgB//gntR//hybG//fucI//dcuR//gltU//uxuR//casE//zraS//sufS//umpH//hydN//uof//acnB//mhpR//ppiD//tehA//grcA//rnpB//artP//narQ//malG//nrdB//ssuE//lsrG//yhcH//fecD//ygbA//astC//nuoA//rrlA//fimG//mtr//arfB//baeS//znuC//dppC//phoB//yhjC//ppiA//moaE//ahpC//artM//alaS//cusC//rpoE//rplV//nuoI//ydeA//cpxR//tyrB//sufE//hflK//artI//phoE//
ArcA-Phosphorylated_pos	phnN//entH//napD//melR//hflC//cueO//artM//hyfR//alkA//ompC//fur//phnH//pdhR//lacY//hybO//fdhF//pyrC//ogt//cysA//cadA//serC//ydhY//rpsC//nanE//thrV//fliZ//deoA//hycI//fimE//moaE//trpC//yfeW//gpmA//betI//melA//citD//entE//nanM//cpdB//treB//gltU//lpd//metH//sbcD//fecD//yhcH//garL//fepA//phnH//ompX//nuoH//aidB//hybB//dmsA//prfA//hybD//yfbR//dusB//
ArgP-L-arginine_neg	nuoB//
ArgP-L-arginine_pos	tcyJ//fdnG//nrfA//allD//sxy//paaJ//ydfH//lpxB//glpX//hybF//epd//hypE//fepC//narK//chbG//
ArgR-L-arginine_neg	ybfN//tauD//cra//fepB//entD//tnaB//ydhX//artQ//emrK//gltU//mhpR//deoD//ssrS//mhpB//lysO//fepA//fur//mdtB//bhsA//nagE//fur//gntT//rutF//cusB//ompF//rrlA//nupG//fhuF//artJ//malX//nuoJ//dgcZ//lamB//fhuD//
ArgR-L-arginine_pos	nanK//ychO//ynfE//yggX//tdcA//
AtoC-phosphorylated_pos	osmY//gspK//appX//nrfB//
BaeR-Phosphorylated_pos	casA//hofB//pgpC//rnlB//tomB//ubiG//argC//hupB//
BirA-bio-5'-AMP_neg	phnJ//cysU//ydhW//casB//purK//
CRP-cAMP_neg	lpd//motA//guaB//ccmE//pitB//tsx//caiA//fis//znuC//nuoG//ppiA//modC//katE//paaD//mhpA//pgaD//ndh//paaA//hupB//ynfK//aaeB//bioF//rplC//uhpT//lacI//ydhW//cas2//galS//nrdI//prpR//lacY//gltW//gspI//nrdE//rpsJ//nirC//rrfC//pitA//astA//ydhY//treR//nuoI//bdcA//pheT//pck//mscM//sdhB//glpX//csiD//mglA//ydhV//gdhA//uidC//gspG//tyrP//rstA//spf//dpiA//malK//pncB//ydhW//feoA//sucD//mtlD//cydB//rpsC//purM//melB//yaeP//yegH//cueO//rybB//fucU//hycC//hfq//argF//tdcC//phnE_1//metI//nrfB//preT//fes//phnE_2//tam//manX//bioF//ssuB//nrfB//ynfE//yedX//artJ//atoD//hlyE//aroL//ynfE//hflK//rdoA//hycI//yaiW//dnaE//frc//mhpE//aaeR//baeR//mzrA//evgS//ldtB//fucU//livM//mglC//dsdA//crl//appY//ccmD//dppA//rpsI//rrsA//ygbA//napH//sucA//osmC//ccmG//citD//rrlG//hybA//yegZ//nrfF//narI//rcnA//yeiB//manY//pgaB//allD//
