#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	paaC//ilvD//
Ada-Methylated_pos	nikC//map//fadE//safA//
AlaS-L-alanine_neg	ycjX//
AllS-allantoin_pos	uhpC//pgaA//tdcE//
AraC-L-arabinose_neg	uxaC//tam//tonB//nagA//entC//rcnB//srlD//trg//
AraC-L-arabinose_pos	rhaA//gnd//hofP//spy//rrlC//paaH//abgB//torA//trmD//pstB//
ArcA-Phosphorylated_neg	lsrR//bcsZ//araH//glgA//prfA//rplD//ubiX//puuD//fdnG//thrV//cydB//casC//rof//pgaA//trpL//acnB//nrdI//murP//entF//mgtA//sbcC//rutB//speB//nirD//flhC//tnaC//feaB//fumB//adhE//pck//lpxD//tpx//preA//cspE//rutA//nadC//lysO//rbsR//skp//alkB//pck//mgrR//aroL//metQ//artI//malZ//nrfG//fecA//mcaS//gspC//sufB//ydeA//fnrS//argF//fepD//ahpF//lldR//napB//speB//aroM//ppdD//codA//adhE//dcuC//gspC//mlc//lsrK//modB//rnlB//hmp//idnO//cpdB//galM//glpE//ytfE//acnB//treR//gntT//ybfN//nupG//ygiB//dsdC//gspD//ilvG_2//paaD//gdhA//ascF//sodB//fecE//gltW//metR//lldD//glpK//mepH//fecI//zwf//rrfE//crr//puuD//citD//iscS//yrbL//appC//iraM//astA//lysC//nrdB//lldD//srlE//lacI//fepA//gnd//glpK//nuoH//rpsO//fadI//casB//rdoA//xylF//oppC//marR//rpsS//hcp//aceA//tyrP//artQ//tktB//
ArcA-Phosphorylated_pos	slt//crr//melB//pta//fepD//infB//soxR//deoD//cpxA//dusB//carA//glpB//phoP//fecA//sodA//hybF//ssuB//gutM//cheW//ychO//feoA//ugpA//exbD//thrV//skp//nuoK//yaiA//gspM//yeaE//aer//allD//phoU//ccmE//cynT//yggX//tauA//argD//cueO//phnP//malE//xdhB//yedX//hofC//caiA//yeiL//pyrD//ascB//hypA//yhhY//metH//prpE//oppD//rrfB//fis//fucI//yegH//fhuB//cyoE//
ArgP-L-arginine_neg	alaU//
ArgP-L-arginine_pos	zwf//moaC//eda//lysC//dps//glpD//rrlE//dusB//paaZ//nuoH//purB//qseC//tdcB//rrfB//melR//
ArgR-L-arginine_neg	hybO//agp//nanS//oppD//erpA//ompW//gatZ//betA//yjcH//arfB//lsrR//patZ//pdhR//fdnI//glpD//mcaS//hybB//bioB//gltD//ilvL//appA//glcE//ilvX//rrlD//nuoC//purL//gadB//rof//rybA//nupC//ryhB//xylB//srlD//cbl//
ArgR-L-arginine_pos	ilvN//fadE//abgT//mhpR//lysP//
AtoC-phosphorylated_pos	putP//grcA//iclR//dmsC//
BaeR-Phosphorylated_pos	ilvY//tyrA//grxD//garP//aceB//glcF//fhuF//nanE//
BirA-bio-5'-AMP_neg	rutB//gutQ//prpD//puuP//creD//
CRP-cAMP_neg	cysP//nikC//ycjX//thrS//cysP//galT//citX//hofM//mzrA//gltA//gadC//argG//carA//metC//pagP//efeU_2//moeB//sucC//sucA//codA//lacZ//uraA//csiE//pflB//hybB//ugpA//fucI//hyfB//fhuF//nuoG//caiT//appA//metA//glnA//ccmF//araF//cspE//uxaB//gpmA//rpmI//nuoC//fepB//uraA//napF//hdeB//fis//fucA//preA//glpR//uidA//deoA//glpR//lsrC//katG//dgcZ//rrfF//uraA//gntT//ivbL//nrdA//grxC//nrdI//hofP//pyrC//yfeW//chbA//aceK//rrlA//hycB//rpoS//fecR//mscM//sucB//frdC//moaB//rmf//ydhU//napH//hyfG//fimI//lsrK//hfq//ihfA//fimA//mepH//pncB//ccmD//hycF//mgtA//trpD//gspH//amtB//yojI//metR//xylR//hybE//stpA//mdtA//glcA//ybdN//soxS//nanC//trpD//dpiB//fecD//appY//prfA//codB//osmC//ynfH//alaU//ydbD//bioC//ssuD//mepH//gspK//mdtB//nrdG//hybE//moaE//trpE//phnE_2//fis//feaR//ygiC//csgD//artM//ydhX//pyrC//sbcD//ileT//tyrB//glyA//
CRP-cAMP_pos	nanT//rstA//tdcA//nuoK//hyfJ//metL//livK//rrfB//ebgA//tktB//cspE//pncB//katG//paaH//ssb//ydfH//pncB//nikR//cheW//phnN//tehA//hisJ//yjiY//soxS//aroL//fimH//melA//iscA//malI//araF//envY//gspL//puuP//xylF//fur//gltV//atoD//fixX//cpxA//aaeB//rrfD//ulaA//lldD//fiu//katE//metR//dcuR//ycjF//exbD//iscS//alaT//purN//uxuB//mdtD//gcd//narI//rimM//galM//atoE//sdhC//lsrC//hybC//ulaC//glnK//glcG//deoD//rutF//yhjA//cheW//gltA//rpsR//fepE//moaC//allC//ycdZ//ygiB//ydhV//infB//rnlA//map//cysG//exbB//galK//galS//pyrD//ybjG//fucP//tap//citX//borD//aroP//envY//actP//cyoE//rrfF//talA//rrsH//alaS//ppiA//caiE//rseA//ampD//gcvH//rrfD//lacZ//ihfA//tdcG//rbsR//melB//gspC//gnd//baeR//gatA//fucR//aceK//ubiC//codA//fucK//rutE//hypA//cyoC//ybfN//narQ//yibN//sdaA//cspD//argG//trpA//cyoD//iscU//hypC//lsrR//yjjZ//emrY//livM//rrfA//baeR//dadA//trg//fhlA//oxyR//tsaE//rplT//priB//puuA//nrfG//rpsJ//garP//aceF//oxc//tyrR//cyaA//bcsC//rbfA//hyaA//hycG//glpD//rhaD//ampD//fepA//nrfB//mtlR//dcuA//hflD//garK//ogt//hybG//cyoD//feoA//yegZ//sdhC//gntT//rprA//zraS//livM//hyfA//upp//mgtA//cas2//motA//slt//glgX//murQ//ydhU//paaH//ftnB//ydeJ//cpxA//ykgM//pgaA//rrfH//yeiB//ybjG//narJ//pta//tar//allE//glcG//rbsC//rrsG//rbsD//uhpT//ptsG//tsx//nusA//agp//eda//uhpB//malE//csgB//dadA//glgP//agaA//recF//fecI//creD//nikD//ilvG_2//fecD//purC//rutG//glrR//bioF//fucP//asr//nusA//waaH//caiE//patZ//glcB//prfA//yjjZ//argC//caiB//phoA//trpR//ilvG_1//hlyE//glcE//malE//ygeH//alaA//nirD//dcuS//tam//sbmC//narQ//rimM//tyrB//ssuD//abgB//nuoI//phoB//napB//yqaE//rrfD//katG//lsrK//tap//casE//hycA//sucA//sufS//trpB//ydhY//yeiW//lysA//fhuA//uof//lysU//marB//bdcA//aroP//nac//gnd//lpxB//purA//ssuE//rrlC//sucA//cusC//gspI//feoC//phoE//frc//ccmG//lpxA//bioA//dsdA//mglC//lldD//glcE//prpC//gspG//treC//rplB//avtA//ascB//trpL//melB//livM//phoP//tehA//infB//gatY//osmC//mlc//motB//purC//artJ//borD//rbsB//micF//csgC//agaA//glgB//malI//gadC//malY//dusB//glcD//gspL//fliZ//glpK//rrfG//artJ//casC//sucC//ynfK//tyrB//malY//yjeV//purK//nusA//rrlC//ydfN//melA//hyaF//rhaT//ycjF//rpsS//galK//nuoL//livJ//nuoE//nikR//tauC//gspJ//mgtA//ihfA//fabZ//hlyE//spy//puuE//cynS//ascF//rnlA//fldA//araD//trpC//ascF//rrfE//rrfB//ynfE//argR//ilvI//truB//rrfG//ccmB//zwf//bioC//mhpA//ulaA//carB//glcA//hycE//avtA//argB//hlyE//nlpD//metI//modA//uraA//cysJ//livH//rybB//fadJ//moaA//frdC//astB//zraP//gyrA//metK//creC//fadE//napG//fadB//hofB//uxuA//ssb//hyaA//soxR//dmsB//exbD//infC//purK//hflD//melR//yeaD//gspJ//rplP//ybjG//iscR//rpmC//glcE//trpA//hyaF//kbaZ//rrsE//torA//caiD//comR//murQ//rrfA//fucK//nlpD//hupA//xdhC//aaeA//
ChbR-Monoacetylchitobiose-6P_neg	mcaS//sbmA//udp//trpR//frdB//nrdH//
ChbR-Monoacetylchitobiose-6P_pos	cydB//hybE//secB//fhlA//bacA//emrY//
CpxR-Phosphorylated_neg	ilvM//zraP//yeaE//pck//cheA//napH//focB//napD//psd//bamE//yaeQ//ydeM//uvrA//gspM//trpB//rpmC//araG//creC//fhuA//hofO//cpxR//araH//yecR//glgA//
CpxR-Phosphorylated_pos	alaU//entH//hisJ//metA//bglB//malM//csiD//paaI//hycE//yggX//prpD//caiC//mtlA//tdcC//fldA//fdhF//araE//garP//rrlH//hycB//nikA//ilvM//spf//tauB//fecI//metC//hydN//csgB//uhpA//dsdX//nuoG//rrfC//gapA//metL//glnD//entB//narK//codA//marB//mdtA//nirD//rrsD//glgA//ytfE//sufA//
CreB-Phosphorylated_neg	hofN//yfdX//bioB//
CreB-Phosphorylated_pos	appC//hybO//miaA//yneM//hypC//xylA//
CueR-Ag_neg	ptsH//yibN//cpxA//trg//mhpR//
CueR-Ag_pos	sdhD//tdh//
CueR-Cu+_neg	appY//malX//pepT//fucI//ulaC//
CueR-Cu+_pos	tehA//sbmC//
CuerR-Au_neg	sucB//purB//cpxR//ftnA//spy//
CuerR-Au_pos	cysA//ybfN//
CusR-Pasp_pos	hdeB//rseA//betB//hyaD//ssuA//lhgO//uhpC//caiE//oppF//codA//rplT//moaC//
CynR-Cyanate_neg	sodB//
CynR-Cyanate_pos	glpB//ansB//fhuC//
CysB-N-acetyl-L-serine_neg	prpR//cusC//yccA//uhpB//phnM//iscS//lolB//
CysB-N-acetyl-L-serine_pos	cvpA//dsdA//xapA//ascF//araJ//yhhY//gspG//hybE//dmsD//ssrS//patZ//casE//fhuC//phoP//entB//focB//grxC//modC//glrR//napB//fhuD//tdh//rutA//
CysB-O-acetyl-L-serine_neg	glnD//cusF//mutY//qseB//citF//rplV//mdtA//
CysB-O-acetyl-L-serine_pos	glgS//crl//entE//ynfG//ccmH//psd//fucI//yidQ//phoU//argH//rpmI//sdhB//rimP//phnE_1//hydN//yqaE//icd//lacI//rrfG//galT//skp//ihfA//phnG//hofO//
DcuR-Phosphorylated_pos	caiC//hyfJ//csgD//argE//napF//casE//ahpC//exbD//hybC//
DnaA-ATP_neg	fbaA//bamA//araD//csgC//yfiP//ptsI//cysM//cynR//pitB//hha//dmsA//
DnaA-ATP_pos	putP//ilvM//crr//sbmC//ygeH//copA//iraD//
DpiA-Pasp_neg	spy//
DpiA-Pasp_pos	sucA//torA//marA//tomB//amiB//hyfF//yhjA//mglA//norW//dctA//
DsdC-D-serine_neg	ftnA//
DsdC-D-serine_pos	feoA//dps//
EvgA-Phosphorylated_pos	lsrF//astC//oppD//pitB//pagP//glpF//rrfH//ykgO//fdnG//aceK//fliZ//pdeF//casA//pstS//fdnG//
