#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	cydB//psd//
AcrR	hyaA//alkB//nadB//yhjA//paaD//yecT//hyfH//phnH//fepA//napG//yhjC//
Ada	amn//yefM//moaC//hisJ//
AdiY	cyoD//yciF//appX//caiA//csrB//ydiU//malS//yibQ//
AgaR	xylA//xapB//ybjC//ydcU//oppC//napG//hycH//amtB//recA//hybC//waaH//
AidB	yeaR//
AlaS	glmS//
AllR	bioC//torA//prpC//bglF//paaK//carB//nadA//metY//pnp//
AllS	rpoS//pspE//mhpF//
AlsR	fliD//yqjH//flhB//murG//gnd//yneM//
AppY	udp//murP//phnL//metL//lolA//lacY//uspA//fepA//hybG//patD//
AraC	nhaR//flgE//uxuA//ddpX//paaX//speA//fliH//tehB//metE//gspD//xapB//ptsI//dkgA//cheW//
ArgP	glpX//yeiL//cas2//phoE//argO//srlB//yhdW//glpX//oppA//fabB//nirD//fhuA//allA//allD//
ArgR	mpaA//rcnA//glgX//casE//yhjA//nfsA//fbaB//potF//csiD//sodB//ydfE//ada//flu//cynX//hycA//hyaD//yhjC//sutR//purK//nuoE//ynbA//yiaJ//astB//nrdE//betI//hydN//ycgR//tonB//gpmM//fruK//murI//ynfF//pqiA//spy//cysG//nrfE//yecR//ymgC//
ArsR	rarA//creA//ccmA//
AscG	garK//phoH//prpE//nupC//mngR//
AsnC	gltL//hypA//yfdV//xylG//
AtoC	deoD//argD//umuC//ptsH//
BaeR	yjiY//ftsL//citC//hybG//rstB//alsA//mhpA//fliD//
BasR	evgS//leuL//dsbC//dhaR//lsrG//ybjG//slp//ftsA//dapD//paaH//gspI//nemR//puuD//
BetI	gcvB//norR//ybhS//feoA//
BirA	purL//uxuB//sufA//nemA//yagK//
BluR	hisM//dicB//lsrG//gadY//
BolA	paaF//fliK//
CadC	hycH//polA//glgB//
CaiF	stpA//ydhX//eda//ccmA//phnD//sufE//iraP//efeU_2//yjbG//galS//
Cbl	galT//fabG//ydcS//gudD//lamB//mgtA//recA//cas1//garK//
CdaR	fbaB//hyi//glnB//mraZ//paaH//atoB//citC//phnE_1//purF//grxA//
CecR	fepC//ygiA//fbaB//ybaT//fixA//
ChbR	fdnI//ygeH//mgtL//mglA//yefM//nagA//
ComR	cspE//
CpxR	lsrB//rtcB//metQ//moeB//gadF//ygiC//hycA//artP//ymjC//pdeL//psiF//tdcF//ycjX//crl//gutQ//paaZ//metY//fiu//phoU//cecR//ykiA//rarA//fliF//dinI//nfo//dcuD//tauB//casA//fhuE//hcaE//cydA//flgB//hyfE//aroH//manX//lexA//metH//skp//yciW//phnD//yhiM//ssuB//malS//ecpR//dpiB//wecC//paaK//gntX//ynfF//micF//amn//acrA//hcaD//cho//fixC//relB//fucI//flhB//purM//ftsA//torD//dsdX//fdhF//polA//tomB//dcuR//exuT//metI//gloA//moaA//
Cra	rstA//cpxQ//frdB//dsdA//gltI//allE//pdeH//sucA//cysW//hha//fhuE//galE//gutM//xapB//phoH//rnpB//dctA//hisM//ppiA//tktB//mhpT//flu//rpsO//malY//dapB//prs//pgi//yciF//hflD//frdD//ydcS//paaG//gudP//caiE//hyfB//malI//fliK//flhA//feaR//iscS//cadC//mhpT//nrdE//nmpC//fdnG//cynR//phnG//dhaR//ybiT//idnO//hycF//flgL//aroF//paaK//ndh//gyrA//norR//agaR//rhaT//metY//puuE//nikC//rsmH//yeaH//soxR//flgD//pspC//mprA//lysO//cbl//gatY//ychF//garD//rbsA//pqiB//bioC//cytR//ydcT//oppB//
CreB	acrD//cysE//fruB//nikC//fepD//
CsgD	nrdA//metE//fruA//ybhF//gntX//purA//csgF//casA//dhaK//hdeB//trpL//cynT//norV//nrdE//nuoK//ulaF//hdeD//narI//metR//paaG//pitB//nfsB//garP//speB//ynbA//sufB//glcD//dapB//
CsiR	ubiC//gcvT//patA//tdcF//manY//
CspA	yecT//exbD//
CueR	pheM//gspM//fixC//kbaY//cas1//folE//glgA//
CusR	flhD//rhaB//psiF//sulA//yiaM//iscR//hcaD//crp//napF//hyaC//gadW//ruvA//
CynR	fdnH//flhA//metK//csgA//
CysB	cysG//serA//puuD//phnO//phnP//rbfA//casB//phoH//fucO//mlrA//hyaA//appC//ebgA//recN//fbaB//lpxC//cho//argA//yiaM//nimR//mhpB//yneM//setA//yiaL//ynfF//glpC//dhaL//glmS//mgtA//fliF//ftnB//skp//
