#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fbaA//yciX//
AcrR	hypB//mqsA//paaA//ccmG//fixX//sroD//ugpQ//yfdV//entS//dmsA//hypE//
Ada	glxK//argF//nanC//pgpC//
AdiY	mgrR//hipB//yjbE//araF//bdm//rffG//exbB//fhuA//
AgaR	araE//flgG//pyrC//atoA//rffT//glcG//cusS//nupC//pepD//hyfF//tdcE//
AidB	tsx//
AlaS	gabD//
AllR	ynbA//fixA//htpG//ybaT//cadA//oppF//bglG//glxK//sroC//
AllS	glpF//ynfF//mdtD//
AlsR	tadA//narK//higA//dhaR//asnC//yhiD//
AppY	hycC//ecpA//ugpC//fecR//ompN//hyaB//argP//znuB//symE//alkA//
AraC	talA//lacY//ddlB//chbA//rpoS//ydfW//higB//nhaR//ycgZ//nemA//pnuC//yjjQ//csgE//emrK//
ArgP	sodB//lysA//agaS//tdcC//hcaE//ugpA//aceF//araJ//csgD//kdpC//glcD//fecD//ygiB//cusC//
ArgR	prpC//btuB//ydcT//fhuD//bioF//eno//ebgA//cydD//hdeD//arsR//speA//alsC//accA//malI//ybjN//feoA//metI//appA//garK//argA//hyfG//cyoD//leuL//murG//ybhR//ppdC//mhpE//flgH//ulaC//atoB//dacC//puuR//paaC//hlyE//lpxC//efeU_1//dctR//caiF//
ArsR	glxR//glcC//frdC//
AscG	ybhL//feaR//rseA//fliA//aceF//
AsnC	fepC//fdnH//uspA//fliI//
AtoC	sroC//adiA//nuoN//flhC//
BaeR	ftsL//fhuF//iraM//deoD//pspD//agaA//allB//ompT//
BasR	rutF//ydhX//metC//luxS//bacA//phnI//ccmH//fhlA//tktB//btuB//sodA//fecE//mltF//
BetI	astE//fepD//ybbW//dcuA//
BirA	yccT//tam//hyfR//xapA//patA//
BluR	ynfE//dsdC//phnE_2//lpd//
BolA	ydfD//csgC//
CadC	ybjC//truB//rpsO//
