#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	recC//glnK//
AcrR	srlE//cadC//gadW//puuC//mhpD//oppB//oppB//ldtD//fbaA//pstS//nanK//
Ada	oxyR//tehA//caiE//nagB//
AdiY	dinG//fabI//argD//cysU//dnaN//ssuA//flgM//dnaN//
AgaR	ydcV//rbfA//metR//purF//flhE//pspG//ydhW//hyfE//yeaG//pdeH//torA//
AidB	fucI//
AlaS	hdeB//
AllR	aceA//appC//hyfJ//tynA//dsbG//galK//kbaZ//borD//fiu//
AllS	katG//csrC//prpD//
AlsR	yiaN//lldR//relB//luxS//paaG//cysM//
AppY	dicC//qseB//mqsR//hyaC//kdpB//flhE//hyfG//obgE//flgF//aroM//
AraC	dmsD//fecC//astE//entF//moaE//gor//infB//tyrR//gadW//bamE//caiT//codA//yjhB//aceF//
ArgP	agaB//efeU_2//katG//ydfW//pstB//agaC//cspE//modB//tauD//ydjM//cysE//adiA//nirB//metQ//
ArgR	srlR//argR//appY//lyxK//cpxQ//cysD//sdhD//aldA//ihfA//psiE//oppC//nikR//hyfJ//uxaB//nanK//uhpT//cpxR//nagA//caiB//tadA//ydfN//ybbY//ldtC//osmB//flgG//fliE//metK//ydhX//sufB//degP//ybjC//glgA//cysU//purK//ygiZ//kbaY//allA//bhsA//
ArsR	moeB//nrdH//napF//
AscG	gspO//mscM//fimB//allA//ssrS//
AsnC	mntP//accC//yhdX//cynX//
AtoC	fecD//insK//ibaG//ynfG//
BaeR	seqA//pheS//ssuC//dkgA//cynR//phnF//rutF//phoQ//
BasR	flhA//potG//yjiY//hybO//modC//ebgC//mcbA//hcp//zinT//yccT//ppdC//nrdH//glpK//
BetI	rbsR//seqA//yqjA//hisM//
BirA	potH//ubiX//bioA//hycD//focB//
BluR	ydhX//puuR//motB//tonB//
BolA	gcvB//dgkA//
CadC	nanC//speA//gadF//
CaiF	rbsR//purE//glcG//lldP//mazF//gdhA//oppC//ymiA//uxaB//gpmA//
Cbl	murF//norW//glnL//hdeD//speA//galT//dhaL//norV//mscM//
CdaR	argG//phr//dicB//ycdZ//glnA//argP//lsrR//lsrK//nrdB//lysA//
CecR	glpF//udp//ryhB//tdcB//deoD//
ChbR	nemA//cysI//aldA//rpmI//csgF//acrD//
ComR	wzzE//
CpxR	glpB//ymjC//lhgO//hyaA//ygiC//hcaR//uidB//ptsI//ygiZ//yebE//ydeI//oppB//napA//torD//dsbA//sroD//dsbC//qseC//gfcA//ddpD//yciG//malS//uvrB//purR//bioC//alsB//btuB//rclA//cynS//prs//zwf//tktB//dps//lsrC//frdA//glcD//fliC//sroD//glmU//hcp//tbpA//ihfA//casB//recC//ynfF//casB//gspK//murR//agaR//rclB//artM//araG//hypF//sgrT//efeU_1//htpG//purR//flgI//agaS//ttdB//caiF//ccmC//fimB//garL//hyfA//ybaT//metI//trxC//gatD//metH//
Cra	lysC//norR//torR//glnH//fecI//gspC//tdcF//hyfC//pgaC//puuD//rtcA//mhpA//glyA//pyrD//rhaD//hyfE//nimT//puuE//codA//tsx//tisB//ung//ynfE//ybdZ//cyoA//kbaY//fruK//tauB//nrfD//flgA//sgrT//rffT//sbcC//zinT//casD//yecT//ygiZ//nimR//patA//entH//fhuB//rcsA//glgB//napH//fliP//ascF//wzc//betB//yhbT//agaW//wzyE//glyA//phoR//rbsK//hybG//recB//ygeA//sbcC//ppsA//yqjH//safA//wzxE//uvrB//pspA//murD//flgH//bhsA//yncE//alkA//glcC//hypB//paaF//flgK//araH//mpl//ftsL//fiu//metK//kbaZ//
CreB	mngB//tynA//wcaA//nrdI//pgaA//
CsgD	idnR//fixA//pstS//fepB//pnuC//cirA//narG//mpaA//mscM//ygbK//pagP//nrdA//rhaR//iscR//sbcC//citG//dinI//rutG//asnA//yhbS//gatA//rseA//fixC//dhaL//agaR//phnO//atoD//sucC//
CsiR	evgS//aspA//kdpA//metJ//ddpC//
CspA	nrfE//lacZ//
CueR	atoA//mhpT//ygiA//gatD//lysA//ynfE//fucA//
CusR	ykgM//ycjY//phoH//hyi//ygiC//glnQ//flgJ//rhaS//ygbK//zraR//argD//fliS//
CynR	tdcE//hypE//oxyS//ymiA//
