#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yoaG//recA//
AcrR	csgA//appX//fabI//fecE//uidB//gcl//alsA//ftsK//moaB//speB//pgaC//
Ada	lsrF//yneM//ppc//yjjZ//
AdiY	bacA//osmB//lysP//glnH//arsR//agaD//hdeA//ftsW//
AgaR	ftsA//pheM//wzc//thiQ//murF//nikD//soxR//ybjG//hyfA//dmsD//umpH//
AidB	rutD//
AlaS	flgF//
AllR	aceK//fixX//srlE//fhuE//phnC//wzzE//astA//omrA//pgi//
AllS	rnlB//tadA//ydhX//
AlsR	waaZ//tomB//hybO//paaG//lldP//gadB//
AppY	galS//wecC//chbA//ihfA//malT//mngB//ppdC//sra//slt//leuC//
AraC	srlD//ppiA//dsdX//sra//wecB//mioC//yccT//folE//cysU//yqhG//ynbD//yhcH//murR//setA//
ArgP	fliD//murQ//ydhV//oppA//nrfD//mcbA//cpxR//pheT//yecT//hisP//yfiR//hycH//recB//caiA//
ArgR	yhdY//dsdC//gltB//alkA//fadA//malS//ftsZ//fhuB//yqhG//tam//gudD//gatZ//patD//cynR//puuD//astB//nuoJ//yciX//ihfA//yciX//cusR//hycD//glcG//ybhR//wrbA//aceE//yciF//mdtA//purR//fumC//tfaQ//cvpA//glcE//glpB//fldB//nac//mzrA//ymjD//
ArsR	mazE//rpoS//puuP//
AscG	yqhG//flhC//ymgA//nanE//gadY//
AsnC	ycjF//pspG//yoeB//aldA//
AtoC	narG//bolA//iscS//malT//
BaeR	rtcA//acrB//narL//glgX//appC//exbD//lhgO//fliM//
BasR	ycjG//mglB//epd//baeS//accD//bamE//galR//gspO//tcyJ//rpoH//yfdE//wzb//cysB//
BetI	ecpR//araB//caiA//nimR//
BirA	allB//ccmD//pepA//ppc//napB//
BluR	ulaD//agaW//yafP//rutA//
BolA	fepB//oppD//
CadC	mgrR//dhaK//hycF//
CaiF	murC//nuoH//glgA//slyB//psd//cspD//ulaF//aspA//higA//rffT//
Cbl	gatA//paaZ//iclR//zraR//glmS//ccmG//citC//srlA//lexA//
CdaR	ribA//htpG//bhsA//nrdD//fimB//yfdE//cysU//yfbR//atoB//garR//
CecR	rsmH//lsrK//malE//purH//chbR//
ChbR	gspK//nagA//rdoA//feoA//rtcA//ydhU//
ComR	fabA//
CpxR	hmp//asnA//hycB//icd//envC//hybD//gabT//purK//lacA//creD//xylH//uxuB//yiiS//sgbU//ccmA//trpL//csiD//rcnR//cydD//folE//amtB//mtlA//purF//gntP//hypC//fucI//ccmA//ecpR//nuoM//fliA//oppF//sucC//yhdW//ppdA//molR_1//ftsZ//nagB//murF//artP//focA//ppsA//ycjY//gntT//lysR//hemH//fepG//moaD//adiA//thrS//fecE//rseB//recD//phnP//gspL//fiu//aroP//cheA//artJ//ymiA//leuA//malP//ycjX//puuB//bglF//waaY//grcA//mtlD//leuB//dcuR//erpA//
Cra	yhhY//kdpF//ycdZ//appY//bolA//phr//moeA//dsrA//leuC//nrdI//phoH//codA//gatA//trpE//dinJ//yhhY//gyrA//lysC//glnB//ptrA//pnuC//arsR//mscM//fixB//malX//mscM//oxyS//gspI//serA//pgaD//phr//wzc//sbmC//hypE//dctA//cpxA//isrC//pgaC//dsdC//ygiC//rybB//acrZ//dgcZ//puuE//treB//yjjQ//qseB//hybG//leuD//aceF//emrY//paaZ//casD//pgaB//emrK//hyfB//flgC//flgK//lldD//yeaR//nadB//dcuR//hisJ//hybA//fhuC//cra//bioA//phnL//ccmD//narG//waaZ//dmsB//galT//pstA//glnH//pstB//nuoA//yeiB//kdpA//
CreB	flgI//yibQ//aceA//bioF//infC//
CsgD	ugpA//narJ//glmU//tfaQ//ybaT//flgD//fepB//ppdA//gspE//rutE//ynfK//flgB//mepH//btuB//speA//hipA//cbl//cysM//araD//chbB//ddpF//rhaR//accC//sodA//rsmH//csgA//waaH//cysC//
CsiR	ssuA//yfaE//yccA//iraP//dnaN//
CspA	dhaM//tsx//
CueR	trpB//sroA//metF//glnD//paaZ//gspL//rfe//
CusR	ybhG//nikR//tyrP//malZ//bglF//hdeB//mdtC//yjhB//fabI//alsE//ydcV//fnr//
CynR	mcbA//zinT//pgi//bioA//
