#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ydcS//ubiA//
AcrR	hycA//hcaE//ydfH//rdoA//ydeI//feaR//argA//fhuE//nirB//yjbG//fliP//
Ada	purB//hyaE//potF//nrfA//
AdiY	iraP//cysA//kdpC//rhaT//ubiX//pyrD//gatC//rhaB//
AgaR	srlD//eno//fdnH//yiaJ//narI//dtpA//aceE//oxc//uof//nrfD//dctA//
AidB	gabP//
AlaS	cpxQ//
AllR	glgC//aspA//chbG//sufS//ttdR//gfcA//ccmE//ybjG//fucK//
AllS	spy//uspA//lsrG//
AlsR	fucP//oppC//uspA//nagC//molR_1//agaB//
AppY	marR//ydhX//puuC//flgK//glcF//murF//mtlD//purD//deoC//entF//
AraC	yhbE//murR//csgD//xylH//yqhG//frdC//malX//gadC//betA//cusF//gfcA//yjjQ//cadA//fliP//
ArgP	murD//glmU//lsrA//nac//ccmC//flgK//yqaE//lsrC//yfdE//psd//hyfF//sdhA//deoD//hcaR//
ArgR	kdpA//gspM//pspC//dinI//ybdN//galE//yccJ//fes//glnD//mtr//ytfE//hslJ//bhsA//yafP//aceE//gatB//paaI//tdcE//mazE//fadI//gadE//cusA//dpiA//ydhW//dnaA//mtlD//amn//napG//hybO//fucR//entB//mgrR//metE//araB//tdcF//hcaC//gor//flgN//
ArsR	narG//tdcA//nrfG//
AscG	alsC//hyfI//garL//xapA//ldtD//
AsnC	ftsL//yciF//flhA//marB//
AtoC	ynfE//gadE//sgrS//ddpA//
BaeR	tisB//recC//hyfI//ygiB//lsrK//cyoD//hyaF//hyfI//
BasR	cho//ulaD//asnA//yiaJ//grxA//napG//fepA//alsB//fucP//fadM//rstB//metQ//ccmE//
BetI	rffG//phnP//slt//ycjG//
BirA	yqhG//slt//appB//puuD//qseB//
BluR	metK//dinF//ydeO//gabT//
BolA	motB//sbcC//
CadC	rseA//purE//trpR//
CaiF	qseB//glgB//lrhA//galP//aroL//yagK//hypF//ruvB//pspC//gabD//
