#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fabB//epd//
AcrR	rseC//flhC//fruA//metB//fdnH//ydeO//polA//gnd//galR//rffM//hemH//
Ada	uspD//slt//stpA//acrZ//
AdiY	mdtE//ccmF//qseC//puuD//ahpC//fldB//gntX//paaK//
AgaR	appC//ung//argH//pgpC//asnC//recB//phoH//malF//nuoN//pyrC//ydiV//
AidB	ldtB//
AlaS	artM//
AllR	phnE_1//ydfE//cusS//arsB//yiaO//mntH//yegR//gdhA//rhaR//
AllS	hyfC//speB//hycI//
AlsR	sroA//adiC//cadB//flgF//cusR//ptsH//
AppY	fabZ//mdh//bioF//yecT//cbl//mhpB//flgN//yiaJ//cusB//glmU//
AraC	rpsO//ymiA//ychF//speB//mhpC//lyxK//dinI//sufB//nrdA//ycjY//murE//ruvB//ycjY//yqhD//
ArgP	glxK//nadA//relA//nikE//aceE//dhaL//gyrA//ymjD//araB//yefM//yhjX//bglJ//ynbA//argG//
ArgR	wcaB//fhuA//pqiA//nanA//mngA//fadE//lldR//acrD//fldA//gutQ//pyrC//torA//fliD//rnpB//narH//araJ//artP//lsrB//uxaB//ftsQ//fepA//nusA//ptsI//ddlB//fliT//phnO//prpR//speB//yafQ//yjhC//yhdZ//csgD//norV//moaC//norR//erpA//phnE_1//chbR//
ArsR	gyrA//yaiW//aslB//
AscG	csgF//ulaE//dgcN//wza//wecB//
AsnC	lldD//hyaA//entH//cusF//
AtoC	bdm//agaB//hybB//nrfB//
BaeR	gabD//zntA//codA//yhiD//dinB//argF//ygeA//mtlD//
BasR	argP//rnpB//gspK//cynT//tyrR//cydB//ompW//gltI//dsrA//rimP//metR//fucI//ybjN//
BetI	ppdB//gspM//hyaE//malM//
BirA	bdcA//mzrA//paaH//yciW//fucP//
BluR	yiaM//higA//iscR//rpiR//
BolA	dsrA//idnR//
CadC	galE//araF//entA//
CaiF	tdcC//leuB//ydeI//allD//fabA//sucC//hyfH//accA//yqjI//purR//
Cbl	fadJ//cusC//oppD//yoeB//ymiA//nrfB//fucU//yefM//motA//
CdaR	ptsI//allC//sbcD//tdcE//yfaE//creC//uidR//rpoD//astD//yeiB//
CecR	cas2//yjbG//ppiA//glgB//hyfC//
ChbR	cueO//cydD//rbsR//ribA//fliO//moaD//
ComR	bolA//
CpxR	rbsR//dinD//fur//gadB//glpX//xylA//gfcA//fucA//cpxA//ftsA//csiD//cdd//ppdC//idnR//flgB//dhaK//hyfA//rbsD//paaF//hydN//gntP//melR//csgB//hemL//dicC//purN//acrZ//eda//paaF//bglB//glyA//fliI//dhaL//allD//ulaB//allB//xylB//guaA//dkgA//trxC//aldA//alsB//fliR//paaC//nrdD//aceB//acrZ//melB//rutR//tdcF//dinJ//stpA//hlyE//xylG//dsdA//recF//acrA//fliE//leuD//accA//sra//efeU_2//sufE//cynR//ldtC//fecR//tnaA//codB//phoE//nfsA//
Cra	hcaE//ydeP//glcE//nuoF//melR//yoaG//mdh//nimT//pgm//uidC//evgA//narX//glgX//nrfF//pgk//glcG//ccmE//ompC//symE//rpoH//ubiC//flhD//yhjC//emrA//lldD//citX//gatZ//gspH//waaY//ydhY//nuoE//yciE//evgA//bluF//glmS//cyoC//uvrB//fldB//phoE//ilvC//chbF//ascF//nrdD//fadA//dctR//rbsA//lamB//phnO//casA//pncB//fhlA//bluF//yeaD//araH//ttdA//yeaG//flgA//ccmD//ynfG//intQ//iclR//ydeP//fliJ//hha//yciW//mhpC//flgI//uspA//marR//recX//crp//nuoI//fhuD//psiF//rplU//recN//pgm//ftsK//rcnB//
CreB	caiC//ydeN//ydiV//hslJ//ompW//
CsgD	accC//tdcF//prpC//recC//hdeA//manZ//kbaY//lpd//xapA//ugpQ//envC//pitB//gcvH//dgcN//yeaH//entF//tdcD//cysN//flhC//hyaC//flgJ//yhdW//csgC//dps//sdhC//tauA//galS//poxB//
CsiR	aslB//hyi//purN//acrA//nimR//
CspA	fabB//fecR//
CueR	fecD//iscU//casC//paaH//napB//artP//ahpC//
CusR	cusF//glnQ//araB//nuoM//rutR//fliZ//puuP//argO//murF//csgB//betA//ykgO//
CynR	fabH//yhdZ//hyaB//rbsA//
CysB	wecE//yhdZ//gcvA//polB//fliO//nhaR//ugpA//lamB//entH//acrB//rffM//feaR//glmY//hyaF//pflB//gor//ynbC//creB//phnI//rclB//glcB//fliK//argB//ssuA//argD//ynbC//hcaB//glnP//wecB//aceB//gatA//phoH//
CytR	pspD//glmS//ccmD//caiA//uxuB//argD//fliA//ugpQ//leuO//yqaE//xapA//tsx//tauB//
Dan	recD//glpX//baeS//sroA//
DcuR	ttdT//ymiA//nanC//hydN//rplU//aspC//hybE//sucC//kbaY//
DeoR	oxyS//artI//creD//dinJ//hypF//iclR//
DhaR	ybbY//dpiB//nrfA//sucB//
DicA	dsdC//leuA//rseC//sucC//pgi//potH//wzxE//ymiA//
DinJ-YafQ	nrfF//tdcE//iscS//
DnaA	metA//ryhB//uvrA//hyaF//yiaM//prs//ydcU//fucK//speA//phr//carB//kbp//
DpiA	znuA//feaR//rutB//osmY//ugpC//ftnA//ecpA//srlR//fixA//guaB//lysO//
DsdC	fadE//prs//glmS//
EbgR	ydeN//mhpF//
EnvR	dicC//nadA//
EnvY	yneM//cysP//
EvgA	gltF//recX//metK//argD//sfsB//gabD//uxaA//wecB//nimR//flgJ//glcC//sulA//phnG//malM//recD//cysJ//ldtB//kdpF//argG//
ExuR	wecE//fruK//ddpD//ytfE//ariR//gatZ//argE//pstB//ecnB//
FabR	agaC//hycD//
FadR	yebG//accC//dpiA//alsC//qseC//pgi//sbcD//zraS//gabP//aceK//iclR//lgoR//cadB//wzzE//moeB//treB//pnp//fabG//deoD//nfuA//adiA//ddpB//phnD//
FeaR	glnD//pdhR//
FhlA	ccmE//accC//dnaA//umpH//hyfH//nuoI//rbsB//lsrD//carA//fliC//ppdC//tpiA//cydD//yegR//fnr//cbl//gudX//fepB//feaB//kbaY//narK//sufD//cysC//idnD//yjbE//ahpF//yjjQ//fadM//fadJ//glnG//
FlhDC	glnP//tolC//gspK//citC//nmpC//cdaR//fabD//rprA//udp//wrbA//polB//pdeL//hipA//ompT//ugpB//uvrY//argP//pykF//nuoF//uspA//nanS//glnK//lldR//isrC//rseC//ynbD//leuO//hybF//yiaL//tolC//ccmC//lsrK//rtcB//dnaN//trpC//dgcN//ykgM//glmU//nanC//pheS//lsrR//recA//ttdA//sra//cynX//phnF//rstA//gcvT//guaB//gpmM//phnC//purM//ccmG//flhC//pgk//ygiB//fliN//ybhS//trpA//uvrB//isrC//hyaD//lsrD//lsrF//lpxA//narG//nirD//decR//ttdB//ybjN//glcA//ftsI//flhB//btuB//cysN//intQ//alaC//yccJ//sufB//bioD//fimE//lyxK//
