#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgrR//glcC//
AcrR	fabB//dsrA//lsrD//metY//nfuA//ruvB//flgE//nadB//fliS//mipA//focB//
Ada	mioC//chbA//pdeR//purB//
AdiY	dinI//rutF//allA//lyxK//hybC//rplT//norW//gspI//
AgaR	fur//ogt//folA//dctR//glmY//yhbT//gltK//gltF//ybhF//pspF//accD//
AidB	pgaD//
AlaS	melB//
AllR	cheW//yhbS//narX//xapA//yafP//mzrA//hypF//malT//flgJ//
AllS	ssuC//csgB//feoB//
AlsR	rybB//tbpA//fumB//fliA//dmsB//baeR//
AppY	mhpB//safA//hyfB//phnH//yeaH//wzb//hyfA//hcaC//yiaO//ydhY//
AraC	dhaK//gabP//galT//hybO//nikR//aroL//yqjA//amtB//rfe//caiT//ssuB//mngB//ttdR//obgE//
ArgP	pstB//cpxA//ulaF//dnaG//mcbA//tdcB//cbl//srlA//fliL//pfkA//dgcZ//mglA//alsB//hypD//
ArgR	aceA//ymgA//ydhV//paaH//ygbA//astE//asnB//folA//xylG//dgkA//argD//dinJ//rutR//fruK//citG//relA//hyfC//yhdW//grxD//gcvH//gadW//rtcB//rnlA//malI//cusA//rutR//symE//ldtC//fimB//infC//copA//yrbL//hycH//bglB//argA//nagA//nfuA//ydeP//
ArsR	ybhL//rhaA//mazF//
AscG	lacY//tehA//gadW//setA//fhuB//
AsnC	aceE//sroA//rcsA//dtpA//
AtoC	mdtC//relB//pstC//nfo//
BaeR	relE//uxuR//gadA//fhuD//ydeI//accB//pflB//nusA//
BasR	phnM//mglB//acrA//fimE//deoB//trxC//norV//prs//ribA//argD//yeaE//evgS//ycjY//
BetI	ydeO//glnH//ybiT//glpF//
BirA	nagA//fliT//mscM//rpiR//fucU//
BluR	asnA//rffT//cynT//glmY//
BolA	gadX//ychF//
CadC	lldD//nagE//purL//
CaiF	bacA//pspG//recB//fadI//ybdZ//glpD//alaC//rpoH//icd//fliF//
Cbl	bioA//tyrB//uxuA//bioB//ulaF//srlB//pgpC//ddpB//cydA//
CdaR	hemL//manX//alsC//rstB//yidQ//puuP//csgB//galR//hycH//dhaR//
CecR	acnB//moaC//ybhF//sufA//yeaG//
ChbR	ulaA//malF//casD//rclC//ynbB//rcsA//
ComR	argA//
CpxR	ftsZ//potI//ydcU//ydfH//lsrK//cysE//tdcC//dkgB//purK//yeiB//hycC//tdcC//rstA//hemH//hycB//entE//iscA//tauD//trpB//speA//rpmA//znuB//truB//ariR//hycF//uidB//napC//dsrA//atoB//metQ//glk//prpC//dcuD//ycdZ//hycH//mazG//patD//mngR//gadC//baeS//fruB//fepA//gadA//yjbG//ampC//spy//oppB//uxaA//sdhB//ynbA//molR_1//aceA//dsdC//purB//ruvB//rclA//tdcC//rpoS//astE//ybfN//flhE//ddlB//nikE//mpl//dnaN//adhE//yrbL//nagB//uhpT//btuB//
Cra	sufE//argR//leuC//fhuB//pdeL//pstC//ydhX//fabI//nikA//ybhL//potI//lysR//mhpF//hybE//nemR//tpiA//dnaN//ecpR//purE//zraS//emrY//mntP//slyB//ftsA//slp//soxS//metE//hmp//torA//yqhG//gloA//hisP//sfsB//mazE//csgA//fhuB//dhaK//recB//creD//yeaD//ydeM//dhaM//pepD//narK//rtcB//citX//mntH//tonB//rhaR//napD//ddpX//yefM//yhdZ//cdd//astD//glxK//nrfD//cyoE//csiD//nfuA//iscU//hipA//dcuR//hyfR//dctA//rtcA//gfcA//nanC//fliD//lpd//ada//frdD//yeaG//murR//sfsB//rcnA//feaR//paaJ//mdtF//
CreB	ftsW//slp//amn//cydC//mgrB//
CsgD	ybfE//aceB//alsA//phoQ//nrdF//prs//hyi//adiC//hybA//flgK//fucP//pepA//hcaF//osmY//ynfH//glxK//ybjG//ybhS//sbmA//mngA//appA//pstB//lpd//ydeO//ygdB//fumC//modA//fpr//
CsiR	pitB//yfdE//chiP//glpX//rhaR//
CspA	chbA//gadF//
CueR	hypA//aspC//mntS//cas1//sufC//yfdE//udp//
CusR	metC//bolA//gatC//yciX//kdpA//rutD//ibaG//ygbA//hypA//yfiB//lacA//wza//
CynR	edd//ynbA//lldR//ynbC//
CysB	nrfF//gspD//flgK//lsrF//fepC//cusF//sgbH//glpK//aceA//gcvT//folE//mepH//rffM//ddpX//sutR//nuoB//tfaQ//glgA//cyoA//hyfI//astA//glpD//ruvB//leuD//osmB//fliT//rffH//nuoC//dsrA//ydfE//ynfG//paaX//
CytR	ygiZ//pyrC//gadX//rdoA//agaW//yhbE//dctR//ydeN//sbmA//fecE//eno//gcvB//flhE//
Dan	cspI//baeR//treR//rarA//
DcuR	melB//araH//infB//csrC//pitB//csgF//rcnB//carB//potH//
DeoR	pnuC//gatA//ulaA//metK//ybhG//sdhB//
DhaR	ilvY//cynR//hcaR//astB//
DicA	norR//leuO//araD//fnr//asnC//mqsA//uxaC//dhaM//
DinJ-YafQ	yfiB//flgI//ykgM//
DnaA	fecD//cysP//acnA//uidC//agaV//wecC//kdpF//narG//ompT//xapA//edd//gntP//
DpiA	paaE//lldP//malS//nikB//dacC//chbB//arsB//fadB//ryhB//cyoB//infC//
DsdC	mepH//cspD//sbcD//
EbgR	csgC//ycjG//
EnvR	yiaJ//flhA//
EnvY	zinT//cdaR//
EvgA	iraM//tomB//ibaG//yegH//argA//asnC//flgM//sufS//pnuC//mpaA//glk//ydfW//rutG//hha//fabH//ynfG//cecR//yafO//psd//
ExuR	glpB//bglJ//cpxP//dcuD//ynbC//phnF//narK//relA//rimK//
FabR	glnH//guaB//
FadR	nagA//ahpF//rstA//yjbE//argC//ascF//rob//mgrR//napB//prs//bglF//narL//lacA//ytfE//sgbU//poxB//metE//cusC//nrdE//cysH//waaZ//ygdB//uspD//
FeaR	paaK//trpE//
FhlA	dnaN//hyaC//oxyS//paaX//alsC//nemR//prs//mgtA//trpE//rpmI//rutE//efeU_1//bglB//gspK//iraP//fhuF//wzyE//nikE//fliK//patD//fbaB//gcvH//fecA//yefM//glnA//arsC//sfsB//nuoL//phnK//gcvH//
FlhDC	phnP//iscU//fepG//dtpA//psiF//phnL//srlR//yjbG//rfe//uidR//mngR//rybA//ascB//cysG//nadA//dcuA//exbB//ecnB//gabT//napG//glpK//uspE//metJ//sdhC//mgrR//ydbK//creB//tynA//aidB//bioA//rclA//citD//rarA//gatD//cdaR//wecC//aceA//phnE_2//glnQ//gatA//fumC//sgrT//moaB//garR//argF//fliS//pspB//yjhB//hflD//mdtC//hdeB//dhaR//hcr//paaK//ddpB//ddpA//glcD//spy//uxuB//pnuC//accD//napF//bhsA//nrdI//tam//hypF//tauB//nanK//umuC//psiF//yhbE//trpA//cdaR//purD//deoD//ttdT//ibaG//phoU//lpxD//sufC//sgrT//lsrA//
FliZ	yoaC//xylA//fucP//uxaA//hyfA//exuT//melA//sufC//insK//hisQ//wcaB//paaH//znuC//csgA//paaF//pncB//dpiA//yoaG//ydeI//csgF//rstB//
FucR	fepG//yfaE//rtcB//hyfG//rpsO//znuA//dcuA//
Fur	prpD//cpxA//ygbK//xapB//katE//yccA//tyrB//ymjD//oppF//ddpA//ccmB//wecB//cysE//betI//araB//napF//psd//yebG//ptsH//crr//cas2//dinQ//cysU//norW//allA//ydfW//yeiL//yjbF//decR//rstB//fumC//moaB//gltD//nikE//pstA//pspF//rffC//dmsA//agaI//fau//allD//ppc//mtlR//talA//paaD//potI//argF//rffT//gltI//fecI//sutR//tdcB//mdtA//ibaG//gspC//astA//araD//araB//yiaJ//yeaD//cusC//yjhC//intQ//entS//rclB//appA//erpA//grcA//sgbH//yjbH//aspA//srlA//uvrD//nemA//acrD//araJ//rpoS//treB//mntH//rbsK//talA//fucI//ppiD//rtcB//ydcV//phr//mngR//nanS//ssuE//insK//sodA//dnaG//ecpA//yecR//purB//ykgO//acrB//tyrA//ychF//purH//gatC//emrA//rpoS//fliI//bglJ//ebgC//lsrC//dicB//gspO//higA//cadB//metC//glcG//pfkA//aspC//feaB//yccJ//yhjA//trpL//phnI//fucI//uspA//phnN//appX//serA//torA//yjbH//dinG//rhaD//puuR//
GadE	fliM//fbaA//napB//malE//dnaG//emrK//nmpC//nirB//ynbA//emrK//rhaS//fabH//kdpB//fliR//hyaF//lsrK//yegH//ycjX//ynfE//cydD//paaE//entB//ppdA//caiC//mhpD//setA//araC//qseC//pspE//
GadE-RcsB	deoA//phoQ//deoB//pheT//fhuF//allS//glgX//nagE//exuR//
GadW	ptsH//napH//bioA//cdd//atoE//gltL//creC//ftsL//rpoS//puuR//micF//flgG//sroD//ccmE//glpB//
GadX	omrB//araJ//ssuB//ogt//fepB//phnM//ogt//trpR//crr//purE//infB//fldB//nuoL//citE//ccmD//gpmA//sgrT//pgi//entS//glpC//ybjC//nagB//ccmH//glcD//sbcC//marA//rhaD//hisM//nfuA//
GalR	tdcA//mipA//lpxC//pstB//fhuF//ybaT//ynfG//sufB//yciF//lsrG//
GalS	caiD//csgA//ybbY//fliJ//hybA//csgG//tam//hha//ompW//gloA//
GatR	mhpC//malZ//glcC//garP//lldR//bioF//
GcvA	nrdG//ugpE//rcnA//fliH//marR//
GlcC	aidB//ppsA//dcuB//hyi//thrS//pyrD//yciX//
GlpR	puuE//uxaC//metJ//deoD//yjhB//purK//flgG//potI//dmsA//
GlrR	agaV//appY//nuoG//uvrY//rcnR//
GntR	tehB//yibQ//ubiC//uspE//dapD//phnE_1//glcE//fucA//asnA//cadC//hycE//citE//
GutM	fucO//tdcE//ddpD//ydiU//dgcC//iscU//pstS//
GutR	fbaB//melA//xapA//rtcB//ptsG//tolC//insK//
HU	pspE//zraP//trpD//prpC//fabG//fhuB//ldtB//hcaE//paaD//
HcaR	glnH//entS//efeU_2//recD//ilvY//chbB//
HdfR	pykF//dmsB//ygaC//rbsA//flgL//
HigA	yeiL//yhjA//
HigB-HigA	cvpA//edd//
HipAB	aldA//dnaA//glnL//torR//malT//
HipB	nikA//pqiB//mdtF//yjeV//uxaB//nagE//
HyfR	srlA//rbsR//nuoL//alsB//trpR//mazE//hha//rutE//artI//yqjA//mglA//moaB//
HypT	ymgA//cysH//fucO//creC//nrfD//lpxD//napF//znuA//katE//dnaA//cysI//uvrC//moaD//
IclR	csgD//entF//nrfF//ppiA//
IdnR	chbB//emrY//fldB//paaE//nlpA//gnd//puuA//
IlvY	idnO//bglB//
IscR	rutA//garR//uof//pstS//hycF//flhC//fadE//ppiD//purM//yeiL//dcuA//mqsA//fecD//acrZ//lrp//erpA//fliA//glnQ//tehA//napF//lldP//motA//trpR//ascB//fliO//narK//artQ//paaZ//trpR//nrfB//fadR//fecD//
KdgR	xylR//polB//
KdpE	iscU//pflB//gyrA//yciF//
LacI	fliP//glxR//exbD//
LeuO	chbA//ydhT//nuoL//dkgA//acrB//pstA//tktB//cpxP//cheW//ynjI//ybjN//ybhL//tyrA//sgrS//yaiW//potF//yoeB//nhaA//yjbG//wrbA//
LexA	yhdX//moeA//fliK//yqjA//nuoF//hyfG//nrdD//hslJ//infB//cra//betI//fecR//yeaH//hdeD//dinD//rpmA//fadA//potI//ydfX//exuT//lexA//dmsB//mraZ//fliL//napA//nlpA//yfaE//yjbF//rutC//ttdB//focB//rutD//hyfF//cusR//ascB//mdtB//pgaD//feaB//torD//sufD//cysI//rprA//ymjD//ulaA//talA//uvrY//csgB//fliR//allD//nikA//gadC//glnA//argR//atoA//paaX//appC//cydC//casD//nuoI//
LldR	mdtB//fiu//lacZ//
LrhA	napA//glyA//dpiA//fbaA//
LsrR	ygiA//slt//puuR//metY//sbcD//dnaN//prpB//deoB//yeaH//
LysR	idnO//narX//
MalI	araG//tsx//yhbE//
MalT	glyA//glpD//hyi//rutB//hypE//fadJ//ybbY//appX//nuoK//glnB//
MarA	hycG//entA//gatC//acrZ//dcuD//nrdF//ssuB//hcaB//entH//purH//citE//slt//flgB//yhdW//yibQ//argF//fixA//leuL//feoA//nusA//ynfE//yjeV//hyfJ//folA//argI//trpD//ftsK//cysP//ddpC//ydeN//ymjC//yfdE//nrfB//tsgA//aroG//fliR//rarA//fixB//
MarR	lysA//hybC//ppdC//
MatA	rprA//agaV//rnpB//metA//ccmF//malP//sufE//yccA//
MazE	motB//rnlA//rbsB//
MazE-MazF	ptsG//yeiL//ydjM//
McbR	ppsA//purD//gspE//gatY//
MelR	zraR//ydhY//malF//
MetJ	ccmC//intQ//glcG//pspD//uxuA//tsgA//uxaA//yeaH//hcaC//polA//dinJ//puuA//ssrS//yjhB//metE//
MetR	bolA//fepC//accB//gpmM//metL//
MhpR	dapD//yfbR//copA//guaB//ygiZ//kbp//
Mlc	gntT//malZ//yhdY//leuL//deoC//lgoR//yjiY//sutR//phnG//ebgA//
MlrA	csiD//ybhR//hcaB//lpd//znuC//yneM//fruA//lpd//csrB//nusA//
MngR	pstB//sgbU//accD//
MntR	exbD//tam//csgD//eda//melA//
ModE	yeaR//xylF//fimE//uxuB//wcaB//tsgA//sbcD//mhpA//ygeH//eno//tadA//metN//ada//nac//phnE_1//pspC//flhB//wrbA//cysJ//aceE//ldtC//sroA//flgA//flu//fecR//narH//marA//efeU_2//bdcA//yjbF//tfaQ//rbsD//gcvT//glnH//pqiA//cysP//ulaB//ybaT//aceF//hokE//citD//degP//gdhA//rfe//glxR//malS//
MprA	fabG//hflD//poxB//marB//sdhA//srlR//
MqsA	gutM//rstA//napB//phnK//caiD//dmsB//tdcD//puuD//
MraZ	gapA//ugpQ//rybB//nupG//yciX//fadE//bglF//cheA//fdhF//uof//phoQ//glpQ//purE//emrK//tam//hcr//uspA//
MtlR	fabI//eno//pspB//
MurR	nuoM//appY//rpoE//
Nac	speA//yciE//yibQ//nadB//manY//fabI//nuoG//hybG//cysM//nrdB//gntP//hycD//narK//yqaE//fhlA//thiP//yjbE//fabA//creC//chbG//yrbL//
NadR	creB//rbsD//nusA//agaA//
NagC	fliN//metE//uvrD//asnA//ssb//hyfI//tcyP//modB//sucC//pqiA//rbsK//nanT//aldA//ynbA//fliP//codA//ung//nrfE//prpE//yfbR//copA//nhaR//ppsA//creC//agaI//hcaC//lsrG//malQ//fruB//fadL//kdpF//rseB//fliL//tktB//gudX//oxc//cyaR//
NanR	yjbE//yaiA//hlyE//fumB//ybaS//ynbB//pflB//dmsD//glcE//fau//bacA//
NarL	gatZ//putA//mhpT//fliJ//tdcD//caiB//ebgC//tonB//mtr//ftsI//yiaL//chbB//ssuA//fimE//phoQ//creB//fhuE//yccJ//safA//dhaK//argF//nfuA//yoaG//dmsD//sbcD//folE//symE//fdhF//patA//lolA//hycF//caiB//sroC//oppD//dpiB//agaD//rpsO//ybdN//pspF//galR//citC//flgG//ppsA//gspI//emrY//hisJ//uxuB//fliN//fepC//yhbT//lsrK//gpmM//nuoC//osmC//malZ//mazE//gspD//mscM//yidL//yhjX//sroA//citX//rplT//ynbA//ldtC//dpiB//sbmC//acnB//manY//arsB//hdeA//hyfE//dhaM//glcC//fepE//moeB//nuoA//feoC//dctA//csgB//yoaG//cvpA//yeaE//ygiA//ascF//gcl//ybaT//hydN//nadA//rpoH//sufA//tadA//luxS//gatY//creD//allA//fldB//yiaL//ulaF//gatB//fhuA//feaR//lldD//garD//glcB//sdhA//speA//lsrB//ycjF//slt//mqsA//yjiY//argA//flgD//yiaJ//uspA//bioC//idnT//napF//arsB//dtpA//ptrA//cho//
NarP	lysP//pyrD//galM//metK//yiaL//hybA//soxS//pnp//garL//yfdV//ydeI//hcaC//rbsK//accB//ybbW//hdeB//rutE//lpxC//serA//carA//narI//insD//sucA//bioA//pfkA//rpoH//mqsA//caiT//dmsB//alkA//paaK//xylF//pykF//ybhG//alaS//lyxK//yhiD//gor//ykgM//yiiS//ugpC//yccJ//waaY//purR//glgX//phnK//ccmA//potG//rbsA//gutQ//
NemR	aroL//emrA//sbmC//
NhaR	arsB//hdeD//yiaN//cpxQ//ygeA//purC//gspM//
NikR	pqiB//rpiR//metK//yiaM//sufS//murQ//
NimR	rcnA//nrdE//
NorR	manX//oppF//psiF//
NrdR	cpxA//yaiW//leuL//ychF//glxK//purM//mipA//idnR//malM//
