#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tauB//hypB//
AcrR	nmpC//grxA//sgbH//ybjN//argA//phnE_2//narL//narI//phnK//thiQ//gcl//
Ada	ftsI//zinT//cydA//uspD//
AdiY	nanT//hybA//oppC//appB//yqjH//deoA//atoE//malZ//
AgaR	flgL//phnP//rcnR//torR//rutB//ybaT//mhpC//ruvB//gntX//focA//glpT//
AidB	nirD//
AlaS	lyxK//
AllR	ydjM//cyoE//hycF//nuoJ//fepC//recB//ddlB//rseB//treB//
AllS	caiD//ytfE//dnaA//
AlsR	ulaF//gltK//hisJ//uidB//pgaC//tdcF//
AppY	nanC//fliN//znuB//dtpA//ybjN//insD//malF//hybG//mcbA//ompC//
AraC	mltF//pspB//znuB//ydhU//tnaB//murR//tdcF//osmB//sgrR//poxB//mngA//nuoC//nemR//sroD//
ArgP	ydfE//ccmD//gcvB//rhaR//pstS//cysK//ychF//fimB//gcvH//dinJ//casE//cyoA//glgB//citG//
ArgR	uvrC//pnp//alkA//cspD//murP//yhhY//nikB//dmsC//ebgA//asr//nanT//yrbL//narG//csrC//nanT//slp//cheW//nrdE//purE//ttdA//yedX//ulaG//ynfE//mhpF//glnA//ddpB//rutE//ecpA//csgD//dinJ//glnK//envC//patA//metN//agaS//ynbD//uidB//nrdH//
ArsR	sutR//ftsW//flhA//
AscG	fepD//tsr//cusA//fucO//ymjC//
AsnC	lrhA//alsB//pspA//araJ//
AtoC	fadM//yebE//ccmD//recB//
BaeR	cusS//ccmA//lsrA//uvrB//focA//iscU//dsdX//yhjC//
BasR	lgoR//ycjX//mdtE//chbB//betA//uidB//ychF//argH//cyoA//ydbK//tyrA//alsB//ymjD//
BetI	fixC//dcuS//ybjC//nagB//
BirA	cysI//asnA//uvrC//zwf//cysU//
BluR	yfdX//ynbA//yjiY//bglB//
BolA	glcD//cysJ//
CadC	sodB//appA//galE//
CaiF	oxyS//gspO//flgF//appB//uidC//uspE//atoB//pheM//entA//lsrC//
Cbl	uxaA//mhpF//yiaM//lysP//pstB//dpiB//hyaE//iraM//bioD//
CdaR	crr//deoA//dgkA//sufA//cysI//yecT//atoE//lysR//mnmG//hyfA//
CecR	rutF//fimB//ppdB//yeaR//ycjG//
ChbR	potF//bioF//norV//dhaR//casA//ygiA//
ComR	soxS//
CpxR	rutR//ompF//sbcC//artM//tktB//yiiS//stpA//yjiY//rffT//purR//iraM//glgA//cas1//paaK//rdoA//aceA//argB//rbsB//treC//ahpF//gfcA//nuoB//glnH//pykF//grxA//rnpB//puuC//tdcF//pnuC//mioC//btuB//dinJ//nrdI//rnlB//tadA//ygiA//frdD//nuoB//dapB//ygdB//dicC//metE//allE//dtpA//ccmE//araF//yjeV//gutM//pspB//cynR//fhuE//fes//lpd//tolC//hdeB//malF//ptrA//purH//metK//guaA//gntK//astA//hyaB//sgbH//xylA//ytfE//ilvY//yjbH//malF//treR//
Cra	cysB//recF//ihfA//pspE//umpH//appY//ftsA//phnE_2//mltF//ccmC//ydeN//rffC//lolA//yegR//ykgM//gspI//appB//hybB//yebE//soxS//sufB//nanM//casB//ybfN//gntP//dmsB//gloA//tynA//rbfA//ldtB//mdtC//asnC//gloA//trpR//carB//uxuR//yqhG//sgrR//decR//dps//folE//yeiB//accD//gntT//rutA//purN//deoB//fhuF//dctR//higA//deoD//ymgA//melA//lrp//rutD//ynjI//codB//phoA//psiF//cysE//fucP//murR//sdhD//argC//hemH//fhlA//ydfH//hyfC//hybA//rhaS//ygiB//fecD//sroD//gadA//recF//glnK//entS//fucO//ulaG//
CreB	appB//asnA//tcyP//alaS//sdhB//
CsgD	paaD//rutF//rclC//bdcA//recB//ompT//rutA//bioF//oppC//accC//purH//hcp//patD//metN//higA//nagE//hycE//cadA//yhcH//argT//hyfA//ydhV//metH//araG//uidB//metA//dinB//hcaD//
CsiR	ydeN//dnaA//sodA//metQ//glnA//
CspA	rseA//hycC//
CueR	wecB//metH//yaiA//sra//crl//flgH//cysB//
CusR	ulaG//xylB//acrZ//nanT//ssuE//nuoM//iscA//pgpC//dmsA//modB//hemL//ecpR//
CynR	thiQ//yncE//phoA//wrbA//
CysB	acrA//rtcB//nanA//lacZ//hybD//purK//uxuB//rplU//decR//mntH//ftnA//cynT//sbmC//motB//casE//grxD//phnO//ihfA//bioF//hyaB//ydfH//pitB//flgE//dhaK//wza//mazF//ompW//atoD//fliL//glmY//fepA//pspF//
CytR	alsB//tsgA//yafO//araD//bdcA//sgrR//yqjI//rseB//rhaT//hybE//emrB//gadB//gabT//
Dan	guaB//fabI//dcuB//fadE//
