#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	rplT//deoD//
AcrR	ulaF//hcaB//rpsU//hisJ//pfkA//hypA//higB//emrK//rutC//yjiY//fucA//
Ada	mdtC//cysB//galP//fimE//
AdiY	fabH//pck//rffG//mepH//allD//ydfD//recB//araC//
AgaR	talA//nikB//glgC//ydfX//flhE//polB//fldA//ulaD//dsbC//astE//yjeV//
AidB	ecnB//
AlaS	dsbA//
AllR	emrY//rutD//pdeH//yoeB//dcuA//norW//ebgA//galE//nagE//
AllS	fhlA//bioA//skp//
AlsR	gyrA//aidB//sodA//yjhB//yeaE//mraZ//
AppY	yqjA//metC//soxS//spy//phnP//alsE//murI//fumC//puuP//phnN//
AraC	lhgO//yjbF//metY//csgC//fliA//lsrD//sdhA//lldD//dmsB//cysU//rbsR//rnpB//rbsA//hokD//
ArgP	argA//cysN//purF//glpQ//gcvT//agaA//folA//pdeH//ruvA//dmsA//artQ//fabD//hyfE//iraM//
ArgR	oppF//wcaA//appX//nikE//mltF//uspA//aidB//yfiB//tpiA//cysC//ribA//frdB//citX//argE//pdeL//sucA//appC//rpoH//gor//puuP//mqsR//nanC//lsrK//yeiL//gabP//tauC//feoA//lysO//deoA//allC//tauA//entS//malE//ptsH//mglA//creA//nuoC//yhjA//
ArsR	nrdG//fbaA//ybhS//
AscG	caiC//ompC//cusC//malY//ddpF//
AsnC	aroL//yeaG//mhpA//ytfE//
AtoC	crl//prpD//murC//hyfR//
BaeR	mhpD//yhdZ//puuP//deoB//soxR//gatY//astA//murD//
BasR	znuB//flu//edd//yfdE//phnP//epd//gadW//fliM//oppB//rffG//gcvT//puuE//nac//
BetI	fdhF//phnK//sdhA//iraP//
BirA	ftsK//hycI//fimB//lhgO//efeU_1//
BluR	cysD//rbsR//citE//creA//
BolA	ttdA//sucB//
CadC	psd//iraM//recC//
CaiF	bluF//omrB//atoB//recF//argH//galP//entF//sulA//hisM//phnO//
Cbl	deoC//kbaZ//ybjN//trpR//yiiS//dmsD//glnB//gatD//rcsA//
CdaR	agaW//paaE//ycjY//tdcB//fepB//dkgB//csgE//ulaE//hyaB//napD//
CecR	argE//gntK//mdtF//trpE//nagC//
ChbR	ssuC//gltD//nadA//dhaM//argG//gatY//
ComR	bioF//
CpxR	hcaC//exuR//glpF//hdeB//entB//arsR//fhuA//ynbA//ampC//sdhD//glpT//flhD//gltF//malY//fhuD//purB//ydhW//yafQ//obgE//araD//ugpQ//yqaE//fliQ//eda//acnA//lysA//ynbA//yjhC//sucA//lolA//nrdE//pqiB//tktB//ccmH//cpxA//osmC//nimT//rfe//metQ//phoH//cpxP//nrfC//pdeR//glmY//nrdB//epd//yqhD//cynR//mraZ//hyfC//phnD//glmY//nikC//fecD//gspO//purA//ulaA//fhuD//trxC//hybG//rnpB//moaB//yhdW//mqsR//higB//dsbC//glgC//accC//fadI//yccA//
Cra	gabP//cysM//alkB//crl//qseB//ecpR//ydiU//ompW//focA//puuA//tadA//ddpD//entA//mlrA//yhbS//ttdB//pagP//fadB//uspA//fpr//yfiR//phnF//speB//wcaA//yafO//ndh//ygaC//tadA//mglB//cysJ//gntU//mtlA//metA//serA//ttdB//norW//fliI//gltF//rutD//lsrK//hyaC//pagP//pqiA//uxaC//lldP//glpA//yhdW//fiu//gspE//ttdR//fecA//lexA//phnN//mtlA//cysU//codA//uxuB//chbR//gcvP//ynfF//yiaL//mdtB//lacA//rffM//wecB//glpA//moaA//fhuF//ppsA//sgrR//ilvY//agaW//wcaB//ihfA//ynbC//hybF//astA//tdcF//wzzE//
CreB	cysD//hybB//ddpA//mngA//cusS//
