#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	frdC//trxC//
AcrR	dapD//cpxQ//flgE//cyoA//yhiM//aslB//atoD//ssuC//dkgA//gcvP//pitB//
Ada	dmsD//hycE//yccA//pck//
AdiY	narI//tcyP//alaC//rutA//cusF//qseC//yjjQ//metJ//
AgaR	rpmI//phoQ//hyfA//acrA//nrdE//murE//dgcC//gltF//yhiD//tnaC//truB//
AidB	dsbC//
AlaS	trpB//
AllR	xylH//pykF//dsbC//aidB//hyfG//yafP//rbsC//prpR//ssuA//
AllS	dinG//aroH//sufE//
AlsR	norW//nanE//gltJ//mglB//cyoE//hemL//
AppY	ydeO//flgE//trpA//mlrA//acnB//lldR//fhlA//phnJ//btuB//gspE//
AraC	ymjC//yhiD//dinD//metH//rffT//gyrA//gadE//eno//accC//allE//slp//uidC//bglG//metC//
ArgP	entA//accC//pgm//ssuA//rffT//mioC//pnp//ynjI//prpE//citC//rcnR//pheS//modB//ymgA//
ArgR	cysD//tsgA//uvrD//tdcD//ybfE//dinG//motB//xylB//araD//fes//uvrA//yiaN//iscR//fimB//dsrA//prpC//deoA//oppB//leuL//pck//nanM//nanE//ppsA//trpB//nuoC//puuC//ynjI//umuC//uvrA//yegZ//napC//argG//ilvY//cadC//serA//nanC//phnJ//purE//
ArsR	recC//trpL//dsdX//
AscG	gspG//gadA//dinB//sulA//deoA//
AsnC	ccmH//crl//ydfH//ynfK//
AtoC	yibQ//zntA//skp//agaA//
BaeR	asr//yegR//caiA//rpsO//ydbD//nuoI//napB//ygeA//
BasR	hisP//pgi//uxaC//rpsU//lpxA//ychF//fecA//aceE//lpxA//rpsO//thrS//dnaG//fucA//
BetI	dapD//ebgA//yjhC//araG//
BirA	paaJ//tynA//rtcB//ycgZ//bioC//
BluR	dpiA//cyoE//leuC//rffG//
BolA	gatC//talA//
CadC	ddpA//xylF//yjhB//
CaiF	yafO//oxyS//dinG//garD//nuoE//nrdD//yafO//kbp//purN//ihfA//
Cbl	nikC//fadE//ydcT//dcuS//cynX//rprA//glnK//entA//mdtF//
CdaR	yjjQ//bolA//envC//putP//lsrG//hisJ//recB//araB//fliO//fepB//
CecR	grxD//flgM//ydjM//cecR//nikR//
