#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	metR//casB//
AcrR	artM//cpxQ//entH//kdpF//rybB//argH//cyoB//ruvA//lsrD//entS//gatB//
Ada	aroP//malF//luxS//glcD//
AdiY	purR//mglA//ldtD//ldtD//cysP//putA//napD//fldA//
AgaR	gltL//ykiA//murP//ytfE//feoB//fabH//ymiA//hcr//purH//ftsI//ompT//
AidB	dinF//
AlaS	artM//
AllR	gspF//yiaJ//frdC//chbA//fumC//sufB//flgM//fecB//mgtA//
AllS	lgoR//ppdB//mpaA//
AlsR	sodB//cysE//metA//metI//cusA//fabD//
AppY	mpaA//mngB//carB//rbsK//napD//cdd//srlR//trpB//trpB//uvrC//
AraC	fur//glcD//mgrB//napH//lsrC//xylB//acrD//nagB//bhsA//rutB//yecT//polB//yhbS//cydB//
ArgP	cdd//cusF//efeU_2//ybbW//narI//trxC//mgtL//evgA//flgJ//fepD//ycjG//add//rpsU//dcuR//
ArgR	xapB//decR//napB//flgN//yeiB//bioA//treB//nanK//xylF//ymgC//dcuB//sbmC//ompF//sroD//hyfC//sroC//pdeL//melA//ddpA//cynS//hyfB//ogt//tnaB//sbmA//ymgC//metI//fdnG//kdpA//xylH//fliM//fldA//yciF//gntP//ymjC//fabD//mepH//melA//gntX//
ArsR	ftsW//kdpA//ymiA//
AscG	napH//slt//argH//pncB//carB//
AsnC	borD//mglB//fliT//malK//
AtoC	fur//rclB//recN//ascB//
BaeR	rpoS//rbsA//tyrP//osmB//gabP//iclR//murP//rtcB//
BasR	srlA//mraZ//fepE//nac//appX//alsE//yciX//bhsA//kdpF//ppiA//iclR//katG//slp//
BetI	ada//truB//katG//cvpA//
BirA	rclB//carA//hycE//ycjG//eda//
BluR	iscS//uof//ydcV//accB//
BolA	nlpA//mhpA//
CadC	ccmF//rcsA//fliN//
CaiF	dnaG//rbsA//eda//hypB//putP//dctA//malQ//paaJ//lldP//accD//
Cbl	udp//gntU//gadB//potI//metH//pyrC//cadA//agaS//sucA//
CdaR	prpR//higB//recB//dps//tdcE//norV//nuoE//napG//crr//uxaB//
CecR	ddpX//gspE//psiE//pstC//modC//
ChbR	tauC//pepA//fliR//astB//paaG//cysW//
ComR	setA//
CpxR	rplU//nrdI//rffT//lldP//ppiA//zraP//artQ//yjjZ//nanA//ynfH//purH//yhbT//pheS//phoQ//sucC//rfe//acrR//ynfF//acrA//cysH//artJ//tktB//tyrP//pdeL//cspE//nrdI//fecR//fur//araF//fliJ//phnE_2//relA//mdtE//aroM//cyoD//ynbD//fucA//trpB//entE//lexA//cyoA//ybjC//rimK//hyfH//malI//rutC//hcaF//nuoG//lsrK//hycD//fepD//gspK//rtcA//hypF//ydcU//yqaE//phnG//mtlD//malG//nemR//mdtE//murF//mgrB//phr//emrY//phnC//kbp//allD//narK//yccJ//
Cra	hisP//citC//glpD//yecR//ilvC//csgG//astB//glcB//lsrR//artP//fucP//sgrR//ygiA//norW//gnd//murG//lsrD//cueO//pflB//rutR//codB//argT//exbB//gltL//dhaK//rpoD//flgN//phnP//ycdZ//hycG//cyoB//narG//yiaO//ecnB//glcB//uxaC//yrbL//ebgC//frdB//nuoC//insD//hybE//srlE//ydhY//glpT//ybdZ//ssuE//nohA//ynfG//oppD//prpB//napH//flhC//gltI//ldtD//csiD//nimT//ygdB//ppsA//hyaA//fucR//tadA//nrfA//dkgA//araD//ompW//glcD//tomB//glnQ//fucR//hypC//mpaA//xylA//fbaB//ftsW//yjiY//iscU//focA//ptsH//
CreB	nlpA//sbmA//chiP//murQ//frdC//
CsgD	ppdC//oxyR//napG//csgA//ftsK//fdnH//fliI//serA//epd//ynfK//mhpC//nirC//malG//fepC//inaA//rffG//ompW//tomB//glgP//murR//gspE//nrdD//tdcG//uidR//dicB//isrC//kbp//hisQ//
CsiR	dhaK//ybbY//entF//bluF//potG//
CspA	nupC//ssuA//
CueR	glmU//hybD//dinI//rbsR//phnE_2//sufE//fumC//
CusR	mraY//nagC//cyoB//fhuA//glgX//rffG//trpE//araD//arsC//deoA//yoaG//ydfD//
CynR	nagE//tisB//kbp//ulaG//
CysB	rffM//phoP//lpxA//rclC//fepG//melA//fadA//ldtC//wzzE//cysW//ssrS//lrhA//sgrS//fixC//prpB//envC//ybjC//katG//sdhC//fadH//nanM//lrp//ftsZ//murP//ssrS//asnA//trpB//gadY//recN//melR//hcaF//omrA//
CytR	yegZ//fepD//gabD//argD//hycD//fhuA//wzxE//ybhS//flgF//glnG//feaR//hcaC//ycgR//
Dan	iscU//ygaC//nikR//lsrK//
DcuR	kbaZ//ygiB//gltB//betI//cdaR//torC//entH//ytfE//astE//
DeoR	ddpA//glmY//pgpC//pykF//htpG//fhlA//
DhaR	ppsA//deoB//srlA//uidB//
DicA	fhuB//ydeO//ssuA//osmB//pdhR//mtlA//ydiU//artI//
DinJ-YafQ	fliR//atoE//ftnB//
DnaA	yiaK//yefM//ccmD//dhaM//dgcN//iscA//serA//galP//nikA//phoB//cysG//flgA//
DpiA	casC//yjjQ//uhpT//hycA//pepD//betT//ppiD//dpiB//osmY//cysJ//ung//
DsdC	dpiA//phnD//yqjH//
EbgR	tfaQ//nuoI//
EnvR	allA//marA//
EnvY	nirB//dicB//
EvgA	hisM//hyfH//nfuA//purN//lpxC//pdeH//ymgA//hybA//nadB//fpr//ddpF//gntX//yjeV//ihfA//paaK//kbaY//malT//psiF//mazE//
ExuR	aslB//exuT//bglG//cdaR//fpr//lolA//ccmC//murF//fabD//
FabR	purH//ydcV//
FadR	cheW//yjjQ//cynX//yegR//cas2//kdpC//pyrC//gutQ//nrdD//luxS//ppiD//efeU_1//puuD//phoE//fepE//pheS//lsrF//phoE//degP//cysB//yhjC//cspE//chbA//
FeaR	ascF//lsrR//
FhlA	sgrS//uxaA//fabZ//galM//dsdA//prpR//rimK//glnB//argB//yhdZ//sgbU//hyfE//bioC//cas2//fliJ//glk//yeaH//sucD//appC//astE//glmU//relB//wecE//ulaA//phnJ//fur//yhbS//mntS//galM//ydhT//
FlhDC	nemR//ttdA//soxS//hyfR//ycgZ//rbsB//agaW//srlE//ybdZ//higA//csiD//dinB//glcB//hyaB//nanK//dps//kdpA//zinT//ddpB//mntH//pgk//flgK//ydfE//ybhF//mntH//rsmH//ydhX//potI//araD//sucB//iraP//fecC//pdeH//ccmC//speB//ybiT//metN//pdeH//mgrB//phoB//mngR//melB//bhsA//pspG//mzrA//fecB//higA//pgm//polB//symE//glcG//hslJ//ydhV//cho//metK//metF//fabH//prs//acrR//hdeD//malM//gspI//ygiC//ydbD//ugpE//cpxQ//grxA//murD//glk//ydjM//yedX//bamE//hflD//cysN//fadI//fabB//metH//ppsA//lacA//yeiL//lhgO//acrD//
FliZ	moaB//pgm//trpB//sufC//fliC//eno//phnG//astB//lpxA//flhB//uxuR//folE//hcaC//tonB//moaE//exuT//sucB//yhdW//ecpA//cysK//cydC//
FucR	dmsC//rpmA//fdnI//yciF//katG//yegR//pgaC//
Fur	prpR//ynbD//ftsQ//fliE//pgaD//qseC//emrA//ttdB//cspD//ccmA//ftsL//ydfE//speB//mzrA//exuR//citF//recA//flgC//fecB//glgA//feaB//ssb//bioC//aroL//baeR//lpd//gadB//aslB//dtpA//tdcG//nrdH//ydhX//nagA//fdhF//cynR//torC//prpD//fldB//csgF//srlR//srlR//astE//pgm//ppc//exbD//csgD//hemL//dinG//leuO//alsC//oppB//purR//nupC//uvrA//srlB//gspC//psiF//cydC//glmS//ssuA//hisJ//fucK//yhbT//kbaZ//ydeM//uxuA//cyoA//araF//rbsD//rimP//omrB//alaS//fecB//yecT//hyfG//ycdZ//flgE//poxB//yegH//fepA//ydbD//gfcA//rbsC//pgi//ftsW//glcD//glpB//hmp//fepA//ytfE//paaY//ttdR//rutA//flgE//appX//yidQ//astA//ydbD//yjbE//pncB//ppsA//bhsA//malX//hokE//rseC//ykiA//pqiA//cdd//sufE//mntH//micF//yegZ//gloA//mhpD//citE//mazE//evgS//fliI//araE//yiaK//pepD//mnmG//metJ//bglJ//pyrC//ygiB//pspE//ihfA//nagC//bglB//
GadE	iscR//malK//seqA//arsC//tfaQ//ycgZ//ascF//artQ//dcuA//rstA//tauD//trpE//efeU_2//araH//fhuE//napF//ydcT//allE//evgS//pqiB//mtlR//astA//lldP//creC//rpoS//folA//dcuA//ulaG//araH//
GadE-RcsB	ccmC//pagP//kbp//mgrB//ariR//sufE//exuT//murD//pdeR//
GadW	agaS//ynbA//cpxR//hyaB//sbcC//fimB//cynT//metC//mraY//murD//argB//uxaC//appC//flgN//tpiA//
GadX	feaR//uidB//tnaA//murQ//xylG//cysC//yegR//glgX//soxS//phnE_1//cydC//dcuA//gntT//cysW//ndh//chbC//alaS//yeaR//katG//allS//aspC//rybB//uidB//norR//fabH//caiF//hyfR//yafQ//mngR//
GalR	allS//yqjI//aspC//pstA//mglB//evgA//idnT//ddpF//relB//lolA//
GalS	tcyP//fbaA//moeA//znuB//fliS//hypF//ydeP//artJ//chbG//trpD//
GatR	pstS//csgF//mdtE//nuoE//manX//dpiB//
GcvA	ssuB//feaB//tdcA//speB//hyi//
GlcC	yhdZ//yqjH//artP//micF//hdeA//bglB//gntU//
GlpR	wzc//ldtD//aroL//cysI//sra//thiP//dinI//fliL//purC//
GlrR	wecB//rstB//glnK//gadW//glk//
GntR	deoB//rutA//yiaL//tauC//glnG//lysP//sufD//iscR//kdpA//yoaG//cpxA//fliL//
GutM	tdcE//csgF//gpmA//csgE//hyfR//cysE//lysP//
GutR	arsC//phoA//ebgA//entA//cpxR//sucB//artJ//
HU	fecD//cbl//yccA//flgM//rimK//speB//soxR//lpxA//lacY//
HcaR	lacA//argR//yefM//rimP//agaV//gadX//
HdfR	dnaA//thiQ//entE//nemR//rtcB//
HigA	rcnR//gspH//
HigB-HigA	pqiB//nlpA//
HipAB	tyrA//idnO//leuL//astD//cheA//
HipB	nikA//prpD//ompN//nuoM//potF//yafO//
HyfR	kbaY//lsrC//yqhG//acrB//nrfE//ahpF//recC//ldtC//nohA//nuoN//accB//casD//
HypT	paaI//ariR//glcF//slyB//argA//hycA//metE//ygiB//sbmC//flgM//csgG//iscR//hisQ//
IclR	aceA//pqiB//gspJ//cysE//
IdnR	yjjZ//ulaG//cyoD//caiC//glgC//lldR//talA//
IlvY	yiaM//purR//
IscR	icd//mhpT//fadH//ftnA//kdpC//yqhD//emrY//yhdX//uidR//glgX//dsbC//ppsA//cpxQ//accC//ybhG//yhiD//argO//pgaA//fumB//bglF//rbsD//dnaN//cynX//erpA//aslB//tfaQ//csgD//fadB//qseB//osmC//nirC//zraS//
KdgR	fhuE//adiA//
KdpE	pepA//accA//thiP//recB//
LacI	agaI//chbG//sgrT//
LeuO	epd//hypE//gor//dgcZ//glgX//ycjY//ulaC//metA//slt//thiQ//htpG//cpxP//nimT//nfsA//sroA//ydiU//intQ//cusA//hycG//gudD//
LexA	sdhD//sbcD//gcvT//ydfD//molR_1//nrfG//cheA//artQ//ppc//gadC//cheA//moeB//lpxA//pykF//aroH//dcuD//fecD//dicB//nemR//wzc//astA//fadR//hipB//yhdY//argD//mepH//glnL//dsdC//ybjN//tauB//thiP//rseA//nikE//flhB//ybhL//purE//acnB//sufA//stpA//csgD//aidB//htpG//torA//chbR//rnlA//purL//allD//rhaD//paaC//aroG//uxaB//fdnG//caiB//yeaE//zraP//ygdB//fhuF//pdeL//chiP//
LldR	puuC//aceK//rcnR//
LrhA	nuoL//exuR//pdeR//ssrS//
LsrR	add//emrB//ybdZ//uvrA//dcuB//hypF//pck//hyaB//insK//
LysR	allC//paaX//
MalI	hcaB//ccmF//cysM//
MalT	dsdC//ugpE//pnp//tauB//lrp//yeiB//trpD//cspI//nikE//accB//
MarA	paaZ//garP//rplT//nanE//modB//rpiR//glgP//casC//caiA//yneM//uxuA//appA//lamB//ibaG//fliD//malM//marB//soxR//mpaA//astD//glpT//ybhF//fepE//artI//paaX//hslJ//argE//ryhB//yebG//argA//ldtC//bacA//lpxD//fabZ//rcsA//cadA//stpA//fucR//
MarR	ppdC//molR_1//caiA//
MatA	ptsI//rob//bioB//phnE_1//hyi//phoP//gabT//carA//
MazE	trpC//purL//fliM//
MazE-MazF	lgoR//napA//phoE//
McbR	hflD//csgF//higA//uxaB//
MelR	rffM//srlD//oppB//
MetJ	lysA//ampC//phoP//glcC//fliT//appC//astC//ttdR//nikR//modC//phnF//rpoE//yciX//glcC//nagC//
MetR	yiiS//fdnI//tsgA//tauB//aspC//
MhpR	paaF//recD//gspG//nohA//glpK//prpR//
Mlc	argA//fliH//fldA//hyfF//tehA//iraP//chiP//molR_1//rseB//uspD//
MlrA	crl//pgaD//cecR//hybO//rimK//mtlA//rffC//srlR//hyfB//gntP//
MngR	marB//glpB//oxc//
MntR	sbmC//ynfE//purL//glgX//yebG//
ModE	glgX//hcaC//cysM//ftsK//prpD//degP//uidA//puuE//yibQ//ulaD//manX//ybfE//fnr//idnO//ccmC//garP//bluF//dapB//dtpA//yeaE//frdD//tnaC//zraS//crr//rtcA//torA//insD//ybhF//cho//uidR//mlc//ycjY//mepH//metJ//sfsB//dinD//uhpT//malT//wecC//yiaK//nrfG//umpH//nirC//ydbD//hdeD//ecnB//
MprA	uspD//seqA//phoR//lysP//lpxC//rbfA//
MqsA	spy//hcaR//uidR//flgD//dapD//agaA//ygeH//glpQ//
MraZ	yciG//ssuD//pdeR//iscA//mazF//cynT//hyfH//leuL//mlrA//iscA//allB//nupC//mdtC//yidL//yeaD//nfsA//fhuE//
MtlR	exbD//rarA//yqjA//
MurR	mhpA//flgJ//idnD//
Nac	accC//yoaC//ompT//decR//cusR//htpG//pflB//sucD//ldtC//glgA//fdnG//purH//bdm//argR//alsA//nupC//fecA//hcaE//fdnI//astE//pykF//
NadR	hyaF//ugpQ//pepD//glgC//
NagC	nohA//ccmD//mazF//ccmB//epd//glcB//entE//fhuE//ydhT//xylF//cusR//uvrC//srlR//feoB//ndh//fliH//nrdI//dinJ//dhaM//rseA//sufB//wzzE//insD//rpoD//ubiC//kdpA//csiD//purN//sucB//mdtF//yecT//fliH//tdcF//metF//ynfG//oxyS//fliG//
NanR	znuC//srlE//yegZ//nfsB//gloA//rimP//gudP//glgX//yiaK//yebG//cysK//
NarL	ybfN//ssrS//rffT//artP//envC//flgN//mngA//aslB//yqaE//gcvT//mlrA//tktB//evgS//chiP//dcuA//accD//nimT//aslB//nupC//fliM//nirB//btuB//ydeN//ddpA//rob//glnQ//ugpA//tfaQ//nagE//cysN//acrA//yccJ//ptsH//asnA//recX//sufB//hokD//nohA//oppB//acnA//nuoG//dps//kdpB//sgbE//allD//yjbG//sbcD//hybG//umuC//mhpA//agaR//thrS//psiF//hmp//mqsR//allC//hypB//appA//idnT//malF//znuC//ygbK//aroM//fabD//rffT//iscU//nuoL//glgC//garR//argE//rffC//mglB//xapA//paaB//cysW//ydfN//aroG//paaC//dtpA//mazE//fabD//infB//icd//nuoJ//ldtB//uxuA//rclC//nikD//grxA//cueO//nagB//fimB//pstS//artP//sroA//phoA//lyxK//fliJ//ompT//ybhF//dicB//sra//torA//tolC//rpoE//sbmA//napF//focA//tisB//fbaB//phoU//alaC//sdhD//rhaR//fecR//cusC//fliH//ybhF//casD//bolA//waaY//gspK//lysC//
NarP	aroL//dinQ//ydeN//gltI//pspF//galE//galE//sufE//nrfG//ydhX//relA//hisM//tam//cysP//puuP//phnH//mdtA//fhuA//araC//ttdT//citG//leuD//idnK//ykgO//nuoC//dinG//hyaF//ydhY//rhaD//dapB//infC//fucU//agaC//yoeB//exuR//gltJ//dinD//sucB//appX//lsrA//fdhF//hyfF//hydN//alsC//nuoA//murC//ccmD//lsrG//dgcN//wecB//
NemR	motA//nuoC//agaB//
NhaR	glxK//gadF//sgbE//narH//rhaA//ccmH//cysG//
NikR	sgbU//mdtC//codA//slyB//cydD//alkA//
NimR	hybA//cirA//
NorR	ydeP//fepG//dsbC//
NrdR	skp//tktB//yciG//agaI//gdhA//cydB//tdcE//hyaF//qseB//
