#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hlyE//pspE//
AcrR	hdeB//yeaH//cheW//aceE//baeR//hycB//hycG//phnK//katG//trpA//osmC//
Ada	crr//oxyS//fabG//metR//
AdiY	fabB//malS//lldD//frdA//ygbK//ychF//yqhD//sodB//
AgaR	phnD//rdoA//ydfD//agaC//ygiA//feoC//ptrA//cyoD//yjbH//kdpA//rffT//
AidB	bioF//
AlaS	atoB//
AllR	recC//acnA//ygbK//bhsA//ppdC//lrp//nuoI//hybA//fliQ//
AllS	lysC//flgH//ddpF//
AlsR	entA//baeR//ssuC//sdhC//mepH//alsC//
AppY	malG//napC//tauC//metK//lsrR//rplT//recF//norR//ppdC//cynX//
AraC	dsbA//caiT//fruK//fucI//glpD//yidL//ycjX//hcaE//ddlB//lldP//focB//phoA//lsrC//guaA//
ArgP	ydeP//mipA//cysI//csgB//nrfG//aroM//gadF//pfkA//ycgR//nuoL//hisJ//cdaR//zntA//phnP//
ArgR	glnL//gspI//phnD//caiT//ybhS//flhC//fabI//nuoK//lysO//puuP//pspA//rffH//ftnB//narI//relB//aceA//ccmB//gnd//fliA//hycF//nikR//truB//dtpA//ttdT//flgA//yjbE//glpT//gabT//alsC//malM//acrB//rbsA//narK//nhaA//fruB//uidA//ribA//dcuR//
ArsR	dgcN//gadW//casE//
AscG	arsR//glpF//hyaF//ada//dhaR//
AsnC	ccmF//accC//grxD//narK//
AtoC	tomB//ompC//ydeO//umpH//
BaeR	yqhD//flgH//tauB//murE//ybhL//ung//cysH//cysB//
BasR	rstB//add//mlc//yegH//malI//tadA//ilvC//torC//ftsA//ssuA//yiaJ//metC//hyaC//
BetI	rpoH//rcsA//dgcC//fliC//
BirA	nfsB//hipB//ompC//dinF//bglF//
BluR	cheW//gspO//cdaR//ssuC//
BolA	mazE//sufD//
CadC	dcuR//mdtE//malY//
CaiF	cho//fepG//hycG//pdhR//znuC//rutG//glmS//hisM//uvrA//lrhA//
Cbl	fau//nuoN//yiaO//yeaD//alsA//entD//micF//ymjC//glcD//
CdaR	nuoL//envC//hslJ//kdpC//mnmG//zraP//oppB//galK//glnK//hyfR//
CecR	agaB//gatD//yciW//dsrA//cpxA//
ChbR	wzxE//fadA//melA//bglB//ynfE//recB//
ComR	accC//
CpxR	mglA//ygbA//leuD//wecC//rpmA//hcaC//purF//nuoN//malZ//nrdH//rprA//ptrA//cadA//pspD//ulaC//nrdD//ppdB//fau//lysC//lldP//rbsR//murP//trxC//tpiA//artQ//ydiV//glpX//gapA//yiaM//zinT//potG//dacC//bdcA//uidR//pck//araF//uvrY//ulaF//chbC//agaI//tdcD//bioA//ynbB//ldtB//mtlA//fadD//dcuR//nrdI//csrB//uvrD//ariR//appA//gadA//entA//pepD//nfsA//yrbL//ubiC//hybC//ssuC//hycE//lyxK//glmU//pdeL//exbB//aroL//iclR//tonB//sgrR//fliS//
Cra	entA//rutE//lpxD//tsr//flgI//melA//malI//ydhX//hcp//fadH//cusF//glk//agaI//gatB//ssuC//fimB//ascB//mltF//flgB//qseB//phnE_2//baeS//yafQ//betT//rhaD//mhpC//hokE//yeiL//thiQ//lon//rffH//pncB//glxK//pnuC//phoU//appC//recN//feoC//citC//yafQ//infB//ybhL//tehB//sufB//creB//glmU//atoB//luxS//lsrF//nuoB//udp//ulaF//citE//creB//ydfW//entS//murG//moaD//casB//fruB//obgE//fliL//alaS//dapB//relE//citE//ybjG//feoC//ygaC//ddpB//gadB//skp//puuE//caiT//gadX//hyfC//ycgZ//nanK//mhpC//
CreB	murE//pspB//fabH//motB//bglB//
CsgD	fabB//nanE//ychF//exbB//hyaA//ycjF//pheM//tbpA//rob//tyrR//purC//ygaC//accC//lpxC//bglJ//nrdD//gntT//nuoK//kdpF//chbG//hcr//ddlB//fdnI//hypD//hslJ//entA//flgH//argO//
CsiR	nac//lsrA//pgi//ybjN//hyfC//
CspA	acrZ//fucI//
CueR	phnG//ftsQ//cpxR//argT//ruvA//oxc//ugpQ//
CusR	xylA//cadA//alkA//ftnB//moaD//nmpC//yecR//mntP//rseB//mpl//mtlR//sufE//
CynR	lamB//acrD//waaY//ydbK//
CysB	wzc//nikD//ydhW//baeR//mhpF//gapA//astB//yeaR//gcvH//creB//artM//araF//fumC//nupC//chbG//entB//ftsW//ydfW//feaB//ynfF//hyi//spy//treC//ompF//fumB//cvpA//yhjX//ihfA//ampC//hslJ//hyfG//murG//
CytR	casE//yjjZ//rpsU//ppdC//gpmM//idnK//casD//ttdB//rcnB//ybjC//hokD//gspH//galE//
Dan	cpxP//nemA//uidB//deoB//
DcuR	rseC//yneM//ssrS//adiA//purH//lsrA//prs//uvrC//hypA//
DeoR	ydcT//citX//prpC//ftsK//sgrR//fadD//
DhaR	sucD//cpxP//csgE//ariR//
DicA	ygiZ//nuoG//rybA//gudP//ulaF//degP//glcA//narJ//
DinJ-YafQ	nagB//yfdE//fes//
DnaA	mnmG//aceB//tdcD//fliJ//gspH//lpxA//ybfE//sra//lldR//fecI//fadA//mgtL//
DpiA	flhE//yccA//pheT//rbsD//nlpA//ccmE//gadB//rnlB//paaD//rhaB//mngA//
DsdC	fdnI//artQ//citE//
EbgR	fepD//srlD//
EnvR	agaS//dhaK//
EnvY	nrfG//ariR//
EvgA	araH//iscS//flgA//bglF//znuB//stpA//fadJ//alsC//iscR//gadA//lsrA//dinI//ykiA//ybhR//mdtE//mltF//ygiB//araA//glnA//
ExuR	glcC//aslB//ldtB//bioA//nagB//hisP//agaB//fadD//nuoG//
FabR	gutM//narL//
FadR	hcaR//ompF//rarA//idnO//flgL//gadB//phoB//wzxE//yhiM//fecD//ydhY//envC//yjjZ//ydhU//galT//malX//kdpF//cynX//yeaR//sufD//paaJ//nuoM//cpxR//
FeaR	hycE//lysR//
FhlA	wcaA//sbmA//dnaA//fixC//lpxC//csrC//fixB//mepH//yiaK//ccmD//hycF//fiu//hydN//glnA//rbsA//bamE//aroF//gltJ//torD//carB//phoA//lldP//paaB//lpd//pyrD//adiA//tyrR//cyoE//dcuB//cusS//
FlhDC	fecB//fhlA//moaC//wcaB//erpA//phnC//ybiT//tyrB//yeaG//tnaB//yafP//znuC//argF//prs//degP//nikA//sufB//nanK//malM//caiF//ycjG//rybA//narX//fdnH//glpT//rclA//alsE//pyrD//phnJ//zraS//osmB//psd//cusA//casD//gspI//manY//fliT//yiaO//ftsQ//ppiA//pfkA//glcG//argA//tehA//rutR//prpR//phnP//mnmG//bioA//ftsA//paaI//emrY//obgE//ftsQ//infB//malF//pgaC//astE//zraS//oxc//hipB//znuB//ybfN//rhaA//ttdA//patD//sgrR//mpaA//bioD//dsbG//purR//wzb//nrdH//flgH//garP//kbp//soxR//lsrF//glcA//hmp//ydcT//ddlB//
FliZ	murQ//isrC//astE//ccmA//hokD//cyoB//mepH//manX//potG//yjhB//xapA//cyoE//moaD//aroP//ppc//cysB//hyi//potG//fruB//hybE//cynR//
FucR	fliJ//adhE//infC//entB//yoaG//hydN//aroL//
Fur	nuoJ//fixC//pgpC//nikR//hflD//uxaC//uxuR//ptsH//crl//dsbC//evgA//higA//mdtC//ybaT//csgC//nagC//melR//wecB//casA//uxaA//lpxD//purM//fhlA//yafP//rclC//oppA//entD//yiaN//gspM//wecB//yiaK//dinQ//casC//tdcG//phoE//hybD//recB//fdnH//ybhF//glnG//yhiD//cas1//cpxR//ybdZ//murI//nfsB//gltK//hyaE//tauB//lamB//pyrC//garP//motB//pflB//relB//uidA//cspI//rutE//ydfE//dkgB//ycgZ//ccmA//ppdB//yjjZ//cysD//narK//codA//mntH//isrC//citF//fliI//argT//yfaE//argP//ptrA//aidB//yhjA//fliA//ydhX//gcvB//nemA//fimE//mraY//gabD//gspO//ccmF//glcC//hyfB//atoB//agaS//sufD//argA//fucK//bamE//pgaA//nrdD//rffT//uof//yqaE//mgtL//lrp//ynbD//gabD//glcA//znuB//ahpC//ldtC//hisP//gadX//ydeM//crp//tsr//ccmF//rdoA//bhsA//metH//dinG//nrfC//nrfB//yiaJ//icd//puuD//tomB//wzc//ogt//metB//ndh//glpQ//astD//cdd//
GadE	glnQ//flgA//fadB//malT//yafO//fixX//ccmG//nuoM//flgE//agaC//yciF//flgK//mdtD//flhE//purD//evgA//csgB//uxaA//cvpA//rcsA//wecC//dcuD//ygiA//trpE//sgbU//cydB//ygeA//murR//yjbE//
GadE-RcsB	cirA//paaF//lpd//tyrR//narK//aceB//appC//polA//metN//
GadW	ydfN//yjiY//phoB//glgP//uxaC//yegZ//casC//ssuA//ruvB//fliC//dmsA//fdhF//flgG//fixC//tauA//
GadX	hyaA//tomB//glgC//hipA//sbmA//gatD//cysP//cysU//moaB//ycjG//zraP//uvrD//sdhA//pyrC//iscR//gpmA//ldtC//ascB//yiiS//yjeV//caiD//lhgO//feoB//ddpA//focB//lacY//csgC//malY//glnH//
GalR	yeaG//ruvA//deoB//mpaA//garR//pstB//lsrK//cheA//ygiB//ptrA//
GalS	exuT//acrZ//fabD//yhiD//rclB//casB//mdtF//evgS//tisB//pflB//
GatR	ygdB//dinJ//cusB//ygeA//lsrA//bioA//
GcvA	polB//gltI//puuB//nusA//lsrC//
GlcC	mepH//pheS//icd//argC//rclC//nikA//fliT//
GlpR	dtpA//artJ//glnH//flu//sufB//ydeO//dmsC//recD//flgK//
GlrR	aceF//ydhV//emrA//insD//ybfE//
GntR	atoE//rclA//glxK//nimR//ybfN//flgE//gspK//dnaG//ccmH//flhE//hyfD//gudX//
GutM	ydfE//rimP//nanC//hypF//tisB//puuE//tisB//
