#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgrR//glpC//
AcrR	soxR//ydeM//yeaE//yhjX//lsrB//fepE//gcvB//glnA//pspB//tsr//fliE//
Ada	polA//rnlB//ybaS//sdhA//
AdiY	yiaL//casB//sroC//ydcT//alaC//fbaB//feaB//ihfA//
AgaR	araD//melA//ftsI//xylR//gspK//fliJ//gatZ//prpD//uhpT//hyfI//chbG//
AidB	gspO//
AlaS	ruvB//
AllR	lolA//casD//hypC//wzc//hycI//ykgO//nanM//ftsZ//baeR//
AllS	yibQ//yqjA//feoB//
AlsR	flhD//gspK//paaZ//hybO//cysB//rpoE//
AppY	yjhC//cspD//ecpA//cyoC//ftsL//osmC//yciG//yhjC//nanE//pgaA//
AraC	ruvA//gntK//mazG//ppc//dmsA//ttdB//hemH//phoE//rpiR//srlA//frdC//oxyS//hybE//yhdX//
ArgP	cusR//gudX//argH//ppiA//xylH//amn//gspL//hybO//yiaL//guaA//dtpA//flu//pnp//fepC//
ArgR	xylF//higB//argI//modA//nrfF//metB//tisB//bglJ//amtB//malZ//fur//amtB//cysN//ddpA//recA//dinD//higB//gutM//ccmD//malT//xylR//fhuD//ddlB//nrdA//ulaA//fau//csgE//yjbG//kbp//dinF//hcaD//cpxP//ulaB//codB//hypC//dinG//xylH//ulaB//
ArsR	hyfR//rutR//yncE//
AscG	sgrT//rffT//fliJ//alkA//cadB//
AsnC	argB//yhiD//ybhF//fbaA//
AtoC	tdcC//napH//ddpC//lldP//
BaeR	ycjY//nrdG//betB//ydbD//ymiA//ynfF//malY//uspD//
BasR	cadB//cadA//dsrA//aspC//torC//yebE//baeR//emrK//fadA//gnd//nanT//cysD//gapA//
BetI	ydhU//sufB//nhaA//flgF//
BirA	mpl//ydfE//fimB//hydN//bamE//
BluR	chbB//sufS//lsrD//metQ//
BolA	flgD//ygbA//
CadC	citC//malM//sdhD//
CaiF	pgpC//purM//phnD//ubiC//yhbT//allD//prpB//norW//leuA//creC//
Cbl	insD//ddpA//appY//srlA//ydeN//nrfF//gspD//wrbA//relA//
CdaR	ftsI//ruvB//gnd//ybfN//ddpD//gltL//nuoC//purF//patD//garD//
CecR	rplT//dsrA//kdpF//ruvA//rpiR//
ChbR	allE//norW//cadA//galE//caiC//artM//
ComR	gadE//
CpxR	dkgB//caiF//gltJ//guaB//molR_1//cvpA//fadA//lsrR//prpC//agaW//wzzE//gntK//rprA//yqhG//recB//ascB//ttdR//torD//yjbH//phnE_1//melR//kbp//hyfF//rcnA//ybdN//ssuE//paaK//cyoC//ribA//cpxA//mdtA//astA//ada//galE//zraP//sbcC//prpD//ecpR//pstA//glcA//glcE//ahpC//csgF//agaI//mntH//argI//gapA//flgM//ybhG//ydfW//pgm//frdA//fliT//ibaG//osmY//rnpB//aroH//exbB//hyfD//glcG//argA//hdeD//ptsG//gspJ//rbsD//glgA//umuC//fpr//emrY//eda//
Cra	ydfN//argA//ccmE//eno//dmsA//fecD//yebE//sfsB//purM//ybiT//rclA//gspE//phoU//yjbG//prpR//creC//mscM//xylA//creD//mngA//rnlB//hyfJ//xylA//yeaR//yhhY//frc//dkgA//cysP//torC//cynS//lhgO//ydfH//fliH//nuoA//hisM//rutB//fliL//fliQ//appX//ttdB//cyoE//cysW//xylF//uxuA//fhuF//fhuC//entB//gadF//rnpB//bioA//nrfG//uxuR//gcvA//yjeV//yebE//fadJ//phnK//motA//caiD//efeU_1//yhbS//prpB//fhlA//ulaA//ryhB//glgA//ruvB//ssuB//ssuB//mraY//mraY//nuoB//oxc//bioC//fepG//rhaS//mdh//mtlD//uidC//
CreB	uidB//tauA//cyoC//creA//ymgC//
CsgD	napH//ccmB//rbsK//iraP//fucK//pagP//rybA//iscS//uvrA//yjjQ//rpmA//hdeD//arsB//nfsB//fdnH//flgJ//recX//ybhS//chbC//cadC//bolA//glxK//ynbC//sufD//dnaN//glnL//ftnA//lpd//
CsiR	glmS//ymjC//envC//moaB//ybaS//
CspA	creC//ppdB//
CueR	ybaT//srlD//tyrR//nanK//sgbH//yjhC//fucK//
CusR	paaB//flgA//argD//puuD//argA//nuoI//hipB//ygiA//psiE//fixC//yegZ//ykgO//
CynR	ddpX//fepG//yncE//pqiB//
CysB	lon//hydN//cysP//dmsD//mqsA//dnaG//tsgA//ybhR//znuA//cadA//sufC//qseC//entD//bioA//lamB//gspM//metQ//gudX//hcaR//yegR//pspB//nagB//cyoE//trpD//recB//hycC//mngR//ydhX//ompT//nuoI//glpK//pspD//
CytR	efeU_2//appY//galS//agaB//gcvP//zraR//hisJ//hipA//asr//fabZ//hycG//yaiW//ccmC//
Dan	dnaG//ychF//betA//osmB//
DcuR	oppD//ybjN//flgE//add//fldA//omrA//katG//lsrG//mngB//
DeoR	yeaD//mglC//yegH//mntS//ugpA//nrfE//
DhaR	rhaD//ilvY//puuB//fabG//
DicA	fixC//fucA//evgS//rpiB//gadC//lsrA//hokE//trpC//
DinJ-YafQ	casA//dkgA//yefM//
DnaA	ybhS//iraP//phoU//cas2//entH//envC//rarA//uidC//gltB//lolA//nikE//pflB//
DpiA	ymgA//wcaB//ykgO//degP//ynbB//trpB//creA//deoB//fdnH//yeiB//mtlA//
DsdC	phnE_2//glnH//fau//
EbgR	agaW//ssuE//
EnvR	nuoI//appY//
EnvY	tdcB//tyrB//
EvgA	ycgZ//baeS//phnJ//cysD//symE//sra//aceA//rbsB//fadI//cysJ//galT//paaI//deoD//motA//hycA//nfuA//murG//sgrT//nuoC//
ExuR	oxyR//kbaY//bglG//modA//yeaR//purE//metQ//entE//glnQ//
FabR	flgG//flhC//
FadR	speA//ydhW//yafO//ccmB//fucA//fucU//sucB//agaD//putP//yjiY//yjhC//flgC//phr//ampC//tcyP//argI//bioD//ppiD//idnR//qseB//tfaQ//baeS//phnG//
FeaR	nagC//ydeN//
FhlA	fliO//yeiB//ybdZ//nuoB//acrZ//mtlD//gltF//folA//argI//yhbE//srlE//gnd//iscU//ssuB//mepH//psd//hypD//gloA//metA//ydeP//hybE//metA//sufS//cysN//artQ//feaR//cysE//dmsC//araG//gntP//
FlhDC	leuO//cusS//nupC//paaJ//allA//yegH//potF//frdA//erpA//idnD//frdB//paaH//bamE//hisQ//hycF//allD//gspL//deoC//iraP//phoQ//higB//allC//flgE//ymjC//hcaD//potG//purA//gspE//allB//mngR//araD//zraR//fadE//cpxR//yhdY//nemR//ttdA//wzxE//napD//xylR//gloA//yhdZ//sbcC//yoaG//gspD//ydcV//degP//yafQ//casE//lsrB//chbA//lpd//flgF//rbfA//motB//bioF//aldA//rnpB//rhaD//pheT//ynjI//lsrK//cdd//astD//artQ//glpX//fliP//betI//ymiA//ytfE//hybA//cspE//fabB//metL//hcaR//bamE//gpmM//pqiA//dkgB//fruK//tfaQ//psiE//
FliZ	ppc//osmC//frdA//yjhC//glnG//hcaE//yeaR//ascF//dicC//dinG//rhaA//polB//agaR//nanC//mepH//appB//ydbK//paaI//metL//araA//fliI//
FucR	sgrT//ygiA//glgX//katG//gadC//rcnB//ulaB//
