#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	insK//dnaN//
AcrR	hycB//kdpF//yiaN//fepC//leuA//pncB//argH//srlD//wzb//flhC//codA//
Ada	ydfE//kbaY//mzrA//sbmC//
AdiY	hypA//yafQ//cysU//bacA//ycgZ//cbl//malQ//nagC//
AgaR	yedX//xylB//glcF//paaG//yoaG//nagB//rybB//hisP//sbcD//hycC//potI//
AidB	dctR//
AlaS	uvrA//
AllR	purL//yeaR//glnQ//hha//malX//metQ//cysN//trpA//hyfD//
AllS	nrfC//murE//paaK//
AlsR	fur//metN//carA//nuoJ//pheS//nfsA//
AppY	ydfD//fhuC//dsbC//prpC//hycI//rbsD//fliG//nac//fadJ//nrfG//
AraC	purM//ppiA//ydfD//atoE//mglC//patD//manZ//entD//trpC//rutD//dpiB//cydB//srlB//rutD//
ArgP	cusB//alkA//prpE//tdcA//fecA//gcvB//hypF//tehA//narK//lldR//pspB//evgA//hcaD//mdtD//
ArgR	udp//cysP//yjbF//yhiD//ynbD//araB//mntH//tyrA//ssuC//relE//sgbE//ftsW//yjhC//paaZ//ydfW//asnB//iscU//folA//ybhR//appY//cueO//araF//ydcV//icd//appA//prpD//dsbC//lolA//putP//astE//fliJ//lsrA//argC//hdeA//poxB//tonB//infB//yqjI//
ArsR	frdC//recN//ttdB//
AscG	accC//trxC//grxD//katE//cysG//
AsnC	ulaG//rimK//phnC//stpA//
AtoC	mglA//znuA//ada//rpmA//
BaeR	ecnB//fliD//artM//ykiA//fucA//yhiD//narG//zraP//
BasR	flhA//fabG//hyaB//nfo//dsbC//napG//dsbG//nirC//rclB//nemR//crl//mtlA//gspE//
BetI	fixB//recC//cysH//mpaA//
BirA	ttdT//yhiD//flgC//paaD//flgM//
BluR	tsr//mtr//oxc//hyfI//
BolA	chbA//slt//
CadC	mpl//fimB//kdpA//
CaiF	gcvP//uspD//paaI//yccA//btuB//ddpA//aroL//sgbE//aroP//ygaC//
Cbl	pspG//gfcA//moaC//ygiC//wecB//allC//mdtC//deoA//pdeL//
CdaR	napD//appY//waaY//gcvH//phnG//puuA//cpxR//atoB//amtB//lyxK//
CecR	entH//phoQ//hyfC//tam//malG//
ChbR	ulaD//csiD//fucA//uvrB//srlA//dsbC//
ComR	uspA//
CpxR	ebgC//astB//purF//asnB//nirD//ppc//gudP//hcr//yebG//omrA//ytfE//gnd//iscA//fecR//fucP//cysC//fliC//purK//ugpE//yiaK//hyaB//gatB//rutF//zraP//dsdX//citC//nrdI//glnL//sucC//paaX//xylH//pepD//glyA//ydbK//ygeA//flgH//malG//nagC//dinQ//yeiB//ulaC//rbsD//cpxP//cyoE//bioA//yqjH//gatZ//lsrG//puuA//tsx//emrK//pyrD//citG//ybhR//oxyR//metN//rbsD//hlyE//rseC//glxK//acrZ//caiB//caiF//mngR//uvrB//gabD//hypD//entF//fabB//argG//
Cra	nhaR//malP//ulaC//fucO//fliL//mhpD//metE//paaI//fliG//ybhG//tauC//yafP//lsrC//marA//tyrA//ybdN//exuT//kbaZ//phoE//fepC//norV//znuA//feaR//carA//bacA//tsr//glgB//sufD//gspO//uspD//yjbF//citE//uxuA//fliF//ddpB//aceE//csgB//tcyJ//oppB//hipB//dsbG//nuoB//mraY//puuP//ogt//grcA//narX//agaA//gadF//csgB//glcG//ddlB//araB//galK//hmp//citE//fdnI//mcbA//btuB//moaB//hcaE//fixA//flgD//entF//puuE//hyaC//ulaF//paaF//ada//uhpT//rtcB//ascF//rstA//hybE//uvrY//metN//rclC//yiaN//kdpA//
CreB	ftnB//ycdZ//tauD//atoA//chiP//
CsgD	folA//fliN//polB//paaZ//uxuA//ahpF//hcaB//nuoI//gspG//zraS//tsr//ynfF//yccA//ycgZ//yaiW//ugpE//intQ//flhA//araA//nlpA//uvrC//cadC//lsrR//dcuA//chbA//artI//ccmH//fldB//
CsiR	glpK//srlB//pqiA//gspJ//pnp//
CspA	entS//sgbU//
CueR	insD//ynbB//yjjQ//znuC//araJ//ttdB//fabH//
