#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	osmC//entS//
AcrR	fliT//dapB//argE//frc//gutM//ybhR//pgaB//ogt//yafO//yoaG//chbF//
Ada	gudD//ecnB//yfdV//dpiA//
AdiY	galP//nusA//fruB//wrbA//ssuC//yneM//gspM//atoB//
AgaR	pepD//glnQ//arsC//yegZ//nfuA//galM//mltF//pqiA//csrB//garR//fucI//
AidB	emrA//
AlaS	yegH//
AllR	ymjC//polA//glcC//mioC//mdtF//aroP//yafN//yfiB//nagE//
AllS	cysJ//fliR//pdeH//
AlsR	metA//nrfE//napA//ascB//garR//sdhC//
AppY	tsx//recN//idnT//guaA//nikA//caiC//yebG//hcaD//rseC//ddpB//
AraC	csgE//fhuC//gudD//fbaB//mprA//paaZ//pstB//psd//cytR//ldtD//betB//znuB//argO//cadC//
ArgP	tyrB//leuB//sufB//ptsI//dctR//hns//waaH//leuO//rprA//recN//motB//sbcC//rffC//yqhG//
ArgR	wzb//purA//phnI//rffM//ygeH//csgF//trpA//rcnR//sufD//csgF//envC//adhE//pyrD//ulaD//hypE//garD//uidR//entC//bglG//yiaO//sdhC//paaA//tehB//ubiA//hyfR//hcaB//mntS//nuoH//cydB//rclB//rhaD//arsB//emrB//nrdH//cysH//gspL//ynfK//uvrD//
ArsR	glgP//hycD//phnC//
AscG	gspC//fdhF//ulaE//mhpF//glpF//
AsnC	hcaD//dinD//dctA//ttdB//
AtoC	iraM//tomB//aslB//rarA//
BaeR	setA//gspH//zraS//nrfF//paaA//tisB//glnK//cpxP//
BasR	lamB//chbR//yeaE//rsmH//galT//yjiY//ugpE//phnL//osmY//nfsA//pykF//alaC//gapA//
BetI	gltI//yjhC//ssuC//gntX//
BirA	nanM//xylR//fhuA//murE//qseB//
BluR	recD//acrD//ydeM//uidC//
BolA	yecT//mltF//
CadC	rbsK//yoaC//hcp//
CaiF	fliH//modA//marR//nuoI//fliT//cynS//gor//ccmA//hybB//asnB//
Cbl	ycjF//gadW//grcA//flu//kdpF//pqiB//tnaC//iraP//rnlB//
CdaR	oxyR//ahpF//yafO//emrA//hyfF//lysR//feoC//fliO//fecI//sodA//
CecR	cysP//dsbA//dcuD//recN//gloA//
ChbR	serA//hcaE//iscA//rclA//paaY//zraP//
ComR	sbcD//
CpxR	glgX//yedX//yciG//glnP//tyrP//nanC//inaA//sutR//ygiB//zntA//ndh//cysG//icd//hlyE//bglG//chbG//bdm//puuE//ydhV//melB//cynS//tomB//uspD//oxc//yeiL//potG//nuoM//lldP//rarA//gnd//nemR//zraP//fruA//hemH//ydhV//mngB//phoP//cpxP//yeaR//ycjY//ygiB//lpxD//rutF//flgE//hydN//flhB//gspL//recC//yfdE//oppC//hyaE//cirA//malG//cpxQ//flgE//aroH//gfcA//xylR//yciE//xapA//yqjI//ydeI//citC//phnL//ybjG//rpoD//efeU_1//tdcC//fliS//pdeR//
Cra	iscA//yjhB//yoaG//rbsC//hyaC//cytR//srlA//ybhS//feaB//cysD//gabD//paaC//accA//fabZ//puuC//dpiB//agaC//yjjZ//garR//argB//cvpA//tdcD//napD//gabT//recA//nirD//fliL//malF//ycjX//znuB//uhpT//garP//ulaE//lpxA//paaC//rdoA//modC//gspF//gspH//astD//mtr//ydfW//gatB//yiaM//citG//treC//srlA//alkB//uof//folE//evgS//rhaT//betA//lrp//narI//metN//uhpT//hydN//lsrC//evgA//allC//ssuC//ybjG//ccmG//pflB//nhaA//glcA//pspF//rhaD//rpiB//crp//marB//sgrT//phoQ//cynS//pdhR//ppdA//fadM//purH//
CreB	ftsA//bdm//fecA//napA//fhuE//
CsgD	higB//sbcD//guaA//gutM//yrbL//glcG//acrA//mntP//rhaT//fhlA//cas1//dgcN//mtr//dcuA//hyfJ//pqiA//tyrR//aceK//folE//iscR//manZ//gabT//chbF//ugpQ//gloA//codB//bdm//prpC//
CsiR	ihfA//nrdA//ydfN//metY//glcF//
CspA	murF//rstA//
CueR	rbsD//paaA//yhbT//cysP//dsbC//glmU//sroD//
CusR	citF//phnN//hypE//ynfK//lacZ//ascB//dcuS//cysE//rhaB//leuD//metY//ecpA//
CynR	sbmA//nrdI//cysI//gatB//
CysB	ftsA//treC//tdcB//grxD//fdhF//hemH//hycI//ydcT//napC//phoU//ynbB//phnP//hydN//tam//metE//mtr//nrfB//paaC//nrfB//pheT//csgB//nupG//yoaG//betT//hcaC//caiT//lysR//nikA//accC//ydcS//napH//alaC//
CytR	yebG//paaF//aceK//wcaA//nuoC//fau//ykgO//fucI//paaC//yafO//phnE_2//paaZ//yafQ//
Dan	flgB//cusA//yidL//yoaC//
DcuR	fdhF//yecR//dicC//oxyR//wzc//fucK//pheS//cspE//gpmA//
DeoR	pspG//rutA//yciG//gspC//mgtL//fecR//
DhaR	lsrR//focB//rtcB//metQ//
DicA	oxc//alsA//pfkA//fliA//rffG//yiaK//hns//fruK//
DinJ-YafQ	ruvB//manZ//fadA//
DnaA	emrY//glnK//yqjI//rimP//acrR//add//idnT//tyrA//fucA//idnO//rseA//phnC//
DpiA	accC//cspD//accD//rutA//cysG//rseA//gntU//gltF//nlpA//ssuD//ddlB//
DsdC	ompN//ycjF//insK//
EbgR	spy//tehB//
EnvR	tdcA//narH//
EnvY	bolA//pflB//
EvgA	tehB//yqjI//rcnA//recB//thiP//pspB//araE//ccmF//gatA//ompT//yfaE//yqhG//ulaA//amtB//flgH//gntU//ulaG//glmS//efeU_1//
ExuR	cyoB//yjjQ//mpaA//pspG//recD//agaC//fliD//betI//allC//
FabR	ompT//dapD//
FadR	aroM//fadJ//asnB//acrR//sra//csrB//guaA//skp//wza//ecpA//ynbB//dgcZ//ydfH//allD//ymjD//gadF//ycjF//mhpA//yecT//hypF//cyoA//appX//fhuE//
FeaR	obgE//dgcC//
FhlA	ynfK//chbR//cyoA//tktB//hybE//aspA//gutQ//lpd//leuO//nfsB//accC//yiaJ//artJ//cadC//ybhG//hyaB//znuC//aroP//lexA//nuoA//ddpC//fliZ//luxS//cas1//edd//alaS//acrB//sdhD//ptsG//acrD//
FlhDC	ydeM//mglA//murD//nrfA//phoE//alkA//mhpB//dsbA//mraY//mhpE//waaZ//asnB//arsR//torR//waaH//ccmH//manX//entF//nanK//gatD//dhaL//hflD//gcvH//fhlA//ugpE//araC//fau//gpmA//hdeB//argP//bluF//paaJ//ybfN//leuA//znuC//nhaR//gltL//idnR//pstS//glnH//mzrA//entH//glk//malZ//ahpF//yhbS//malX//paaX//prs//rutB//ydfW//rob//pgaA//pgaB//glk//gatC//citE//hyfF//rpoD//marB//iclR//argB//hcaC//aceB//sdhC//ybhG//purE//sodB//ynbB//citG//hypB//ddpF//yegR//cyoB//fepB//gadF//rffC//rffM//yeiL//rutF//mqsA//fepA//
FliZ	ybiT//phnE_2//malP//norR//appB//purM//lhgO//ascB//tnaC//gatB//malQ//tolC//yfaE//citF//frdB//murQ//yfiR//metJ//ahpC//arsB//poxB//
FucR	yhdZ//flgD//rclC//appY//rdoA//potI//narH//
